,Open,High,Low,Close,Volume
2021-12-23 07:00:00,0.138,0.2,0.138,0.1645,158078448400.0
2021-12-23 08:00:00,0.1644,0.1655,0.1607,0.1618,30285261200.0
2021-12-23 09:00:00,0.1618,0.1628,0.1467,0.1505,48397947200.0
2021-12-23 10:00:00,0.1505,0.165,0.1488,0.1531,56114770500.0
2021-12-23 11:00:00,0.1532,0.162,0.1531,0.1553,26521577700.0
2021-12-23 12:00:00,0.1554,0.1576,0.1509,0.154,17058435700.0
2021-12-23 13:00:00,0.154,0.1619,0.1531,0.1567,28609392100.0
2021-12-23 14:00:00,0.1565,0.1599,0.1541,0.1546,14912245300.0
2021-12-23 15:00:00,0.1546,0.1583,0.1525,0.1572,16313263900.0
2021-12-23 16:00:00,0.1574,0.1648,0.155,0.1635,30151374600.0
2021-12-23 17:00:00,0.1635,0.1649,0.1506,0.155,34842903300.0
2021-12-23 18:00:00,0.1549,0.1565,0.151,0.1541,15251090200.0
2021-12-23 19:00:00,0.1543,0.1586,0.1517,0.1558,8658724600.0
2021-12-23 20:00:00,0.1557,0.161,0.1554,0.1563,8811962100.0
2021-12-23 21:00:00,0.1564,0.1594,0.1555,0.1574,4655314600.0
2021-12-23 22:00:00,0.1574,0.1615,0.1562,0.1591,7001411000.0
2021-12-23 23:00:00,0.1591,0.1622,0.1577,0.1602,5718239600.0
2021-12-24 00:00:00,0.1603,0.1786,0.1601,0.1681,64935021200.0
2021-12-24 01:00:00,0.1681,0.1686,0.1587,0.1621,15640077500.0
2021-12-24 02:00:00,0.162,0.1777,0.1608,0.1733,27499922400.0
2021-12-24 03:00:00,0.1733,0.177,0.167,0.1764,33812218600.0
2021-12-24 04:00:00,0.1764,0.18,0.1715,0.1752,41261058200.0
2021-12-24 05:00:00,0.1751,0.1768,0.1686,0.1711,17039909500.0
2021-12-24 06:00:00,0.1711,0.1724,0.1644,0.1672,13882766300.0
2021-12-24 07:00:00,0.1672,0.168,0.1628,0.1654,10873579100.0
2021-12-24 08:00:00,0.1654,0.1704,0.1653,0.1688,10038639400.0
2021-12-24 09:00:00,0.1689,0.1698,0.1646,0.166,8210943200.0
2021-12-24 10:00:00,0.166,0.1718,0.1653,0.1713,9119209700.0
