,Open,High,Low,Close,Volume
2019-08-26 14:00:00,0.0775,0.27,0.0775,0.1322,71204450370.0
2019-08-26 15:00:00,0.1322,0.1462,0.132,0.1347,12576095210.0
2019-08-26 16:00:00,0.1344,0.1353,0.1293,0.1296,4780426960.0
2019-08-26 17:00:00,0.1295,0.1298,0.123,0.1265,5594741580.0
2019-08-26 18:00:00,0.1264,0.127,0.1199,0.1244,3733195980.0
2019-08-26 19:00:00,0.1243,0.1289,0.1218,0.1265,3204486530.0
2019-08-26 20:00:00,0.1262,0.1267,0.122,0.1233,1783308740.0
2019-08-26 21:00:00,0.1235,0.1238,0.1207,0.1218,729206210.0
2019-08-26 22:00:00,0.1218,0.1248,0.1175,0.1237,2171271300.0
2019-08-26 23:00:00,0.1232,0.1242,0.1208,0.121,657157260.0
2019-08-27 00:00:00,0.1209,0.1236,0.1196,0.121,505162850.0
2019-08-27 01:00:00,0.1206,0.1212,0.1145,0.1151,2128745560.0
2019-08-27 02:00:00,0.1152,0.1168,0.1123,0.113,2465042960.0
2019-08-27 03:00:00,0.1131,0.1155,0.1102,0.1148,3458879090.0
2019-08-27 04:00:00,0.1152,0.1153,0.104,0.104,7233801610.0
2019-08-27 05:00:00,0.1043,0.1084,0.104,0.1064,3258556860.0
2019-08-27 06:00:00,0.1062,0.108,0.1042,0.1071,1730795070.0
2019-08-27 07:00:00,0.107,0.1118,0.1069,0.1118,2960322410.0
2019-08-27 08:00:00,0.1115,0.1184,0.11,0.1167,5469996410.0
2019-08-27 09:00:00,0.1171,0.1209,0.1153,0.1193,4786250950.0
2019-08-27 10:00:00,0.1191,0.1199,0.1148,0.1173,1549760280.0
2019-08-27 11:00:00,0.1174,0.1182,0.1133,0.1171,1908200830.0
2019-08-27 12:00:00,0.1175,0.125,0.1165,0.1239,3379108150.0
2019-08-27 13:00:00,0.1239,0.1295,0.1227,0.1258,6716008510.0
2019-08-27 14:00:00,0.1255,0.1259,0.1198,0.1241,4517917270.0
2019-08-27 15:00:00,0.1241,0.1264,0.1189,0.1199,2933529800.0
2019-08-27 16:00:00,0.1195,0.1199,0.1159,0.116,2461442510.0
2019-08-27 17:00:00,0.1165,0.1186,0.1151,0.1163,1719391730.0
2019-08-27 18:00:00,0.1163,0.119,0.1158,0.1164,883870420.0
2019-08-27 19:00:00,0.1164,0.1167,0.1141,0.1154,1587863020.0
2019-08-27 20:00:00,0.1161,0.1162,0.1127,0.1131,922103650.0
2019-08-27 21:00:00,0.1137,0.1164,0.1129,0.1135,1718772330.0
2019-08-27 22:00:00,0.1135,0.1155,0.1121,0.1133,613446690.0
2019-08-27 23:00:00,0.1134,0.1143,0.1123,0.1132,218934160.0
2019-08-28 00:00:00,0.1135,0.1141,0.1112,0.1123,666938760.0
2019-08-28 01:00:00,0.1122,0.1138,0.1115,0.1124,286492050.0
2019-08-28 02:00:00,0.1121,0.1173,0.112,0.1161,709264700.0
2019-08-28 03:00:00,0.116,0.117,0.113,0.1134,696543280.0
2019-08-28 04:00:00,0.1134,0.1165,0.1121,0.1135,964126630.0
2019-08-28 05:00:00,0.1131,0.1159,0.1127,0.1132,575318330.0
2019-08-28 06:00:00,0.1132,0.1188,0.1128,0.1159,1243490580.0
2019-08-28 07:00:00,0.1162,0.1175,0.1143,0.1171,1069571230.0
2019-08-28 08:00:00,0.1171,0.118,0.1154,0.1168,1035835660.0
2019-08-28 09:00:00,0.1168,0.1174,0.1145,0.1162,756980590.0
2019-08-28 10:00:00,0.1163,0.1167,0.115,0.1157,682203900.0
2019-08-28 11:00:00,0.1157,0.1157,0.1128,0.1132,1210682350.0
2019-08-28 12:00:00,0.1135,0.1136,0.1119,0.1125,1101969010.0
2019-08-28 13:00:00,0.1125,0.1133,0.1123,0.1131,879154110.0
2019-08-28 14:00:00,0.1131,0.1157,0.113,0.1135,1433939360.0
2019-08-28 15:00:00,0.1135,0.1143,0.1123,0.1124,524118300.0
2019-08-28 16:00:00,0.1126,0.113,0.1078,0.109,2833160470.0
2019-08-28 17:00:00,0.1091,0.1092,0.1066,0.1084,2265905590.0
2019-08-28 18:00:00,0.1083,0.109,0.1067,0.1087,889404530.0
2019-08-28 19:00:00,0.1084,0.1111,0.108,0.1083,1338760000.0
2019-08-28 20:00:00,0.1083,0.1091,0.0961,0.0986,5945737670.0
2019-08-28 21:00:00,0.0986,0.1008,0.0942,0.0945,2279814910.0
2019-08-28 22:00:00,0.0944,0.0969,0.094,0.0963,1606346200.0
2019-08-28 23:00:00,0.0963,0.0978,0.0952,0.0965,750704870.0
2019-08-29 00:00:00,0.0972,0.0988,0.096,0.0969,723349790.0
