,Open,High,Low,Close,Volume
2021-03-19 09:00:00,9.38,17.6,9.38,10.416,4907536438.0
2021-03-19 10:00:00,10.439,10.714,9.633,9.91,694917868.0
2021-03-19 11:00:00,9.91,10.452,9.7,9.975,449394647.0
2021-03-19 12:00:00,9.967,10.76,9.88,10.65,455535301.0
2021-03-19 13:00:00,10.653,11.59,10.653,10.968,1198749756.0
2021-03-19 14:00:00,10.98,11.309,10.336,10.48,373518720.0
2021-03-19 15:00:00,10.481,11.0,10.203,10.522,281047912.0
2021-03-19 16:00:00,10.522,11.006,10.3,10.334,292899155.0
2021-03-19 17:00:00,10.337,10.639,9.951,9.978,213125569.0
2021-03-19 18:00:00,9.978,10.022,9.66,9.765,171686750.0
2021-03-19 19:00:00,9.75,9.905,9.68,9.808,43652589.0
2021-03-19 20:00:00,9.808,9.83,9.777,9.792,27103892.0
2021-03-19 21:00:00,9.792,9.829,9.5,9.571,140913498.0
2021-03-19 22:00:00,9.571,10.186,9.5,10.033,129714695.0
2021-03-19 23:00:00,10.035,10.089,9.7,9.793,52367136.0
2021-03-20 00:00:00,9.795,9.851,9.582,9.613,47161555.0
2021-03-20 01:00:00,9.61,10.1,9.437,9.555,130134112.0
2021-03-20 02:00:00,9.555,9.704,9.506,9.674,40724181.0
2021-03-20 03:00:00,9.679,9.851,9.579,9.708,78373598.0
2021-03-20 04:00:00,9.712,9.768,9.691,9.703,41190976.0
2021-03-20 05:00:00,9.702,9.73,9.475,9.48,70760357.0
2021-03-20 06:00:00,9.48,9.539,9.04,9.059,318939736.0
2021-03-20 07:00:00,9.061,9.251,8.75,8.987,244460066.0
2021-03-20 08:00:00,8.983,8.983,8.729,8.924,157470591.0
2021-03-20 09:00:00,8.933,9.258,8.933,9.103,192117701.0
2021-03-20 10:00:00,9.102,9.375,9.088,9.219,104621131.0
2021-03-20 11:00:00,9.219,9.247,8.95,8.979,93753304.0
2021-03-20 12:00:00,8.98,9.1,8.95,9.091,94111795.0
2021-03-20 13:00:00,9.095,9.297,9.041,9.141,181073593.0
2021-03-20 14:00:00,9.133,9.146,9.016,9.071,49781791.0
2021-03-20 15:00:00,9.061,9.13,9.004,9.097,40718500.0
2021-03-20 16:00:00,9.096,9.121,9.059,9.083,24888063.0
2021-03-20 17:00:00,9.082,9.106,9.0,9.069,35044480.0
2021-03-20 18:00:00,9.086,9.122,8.973,8.996,33211521.0
2021-03-20 19:00:00,8.996,9.009,8.898,8.954,32426579.0
2021-03-20 20:00:00,8.946,9.033,8.922,8.971,25250532.0
2021-03-20 21:00:00,8.971,8.971,8.803,8.808,30617459.0
2021-03-20 22:00:00,8.808,8.944,8.779,8.885,32381651.0
2021-03-20 23:00:00,8.88,8.95,8.856,8.923,27707496.0
2021-03-21 00:00:00,8.923,8.94,8.48,8.504,112770484.0
2021-03-21 01:00:00,8.509,9.0,8.416,8.501,110669538.0
2021-03-21 02:00:00,8.511,8.541,8.458,8.514,26071460.0
2021-03-21 03:00:00,8.51,8.518,8.343,8.345,57211669.0
2021-03-21 04:00:00,8.345,8.358,8.199,8.25,51350113.0
2021-03-21 05:00:00,8.25,8.258,8.152,8.173,39525621.0
2021-03-21 06:00:00,8.18,8.204,8.01,8.048,60671834.0
2021-03-21 07:00:00,8.048,8.35,8.047,8.308,95920597.0
2021-03-21 08:00:00,8.3,8.336,8.157,8.245,35116007.0
2021-03-21 09:00:00,8.25,8.401,8.217,8.301,43456118.0
2021-03-21 10:00:00,8.301,8.309,8.11,8.11,57323196.0
2021-03-21 11:00:00,8.111,8.14,7.952,8.133,58629540.0
2021-03-21 12:00:00,8.134,8.135,7.95,8.004,36700394.0
2021-03-21 13:00:00,7.991,8.032,7.653,7.67,99602156.0
2021-03-21 14:00:00,7.67,7.986,7.657,7.949,98972736.0
2021-03-21 15:00:00,7.958,7.978,7.885,7.947,22369549.0
2021-03-21 16:00:00,7.944,8.046,7.916,7.93,29134437.0
2021-03-21 17:00:00,7.924,7.999,7.829,7.979,64644783.0
2021-03-21 18:00:00,7.975,8.361,7.938,8.254,70768857.0
2021-03-21 19:00:00,8.254,8.254,8.161,8.165,33321735.999999996
2021-03-21 20:00:00,8.16,8.213,8.135,8.153,11857981.0
2021-03-21 21:00:00,8.153,8.162,8.06,8.108,16090163.0
2021-03-21 22:00:00,8.108,8.132,8.0,8.019,12212473.0
2021-03-21 23:00:00,8.019,8.135,8.009,8.059,18975079.0
2021-03-22 00:00:00,8.059,8.144,8.0,8.004,33526214.999999996
2021-03-22 01:00:00,8.007,8.043,7.861,7.886,29821289.0
2021-03-22 02:00:00,7.875,7.879,7.76,7.85,24458064.0
2021-03-22 03:00:00,7.846,7.91,7.801,7.906,24030753.0
2021-03-22 04:00:00,7.913,7.914,7.808,7.84,17646088.0
2021-03-22 05:00:00,7.851,7.888,7.842,7.881,17867247.0
2021-03-22 06:00:00,7.889,7.944,7.848,7.92,25879816.0
2021-03-22 07:00:00,7.92,7.975,7.826,7.849,32266273.0
2021-03-22 08:00:00,7.849,7.896,7.818,7.851,17243863.0
2021-03-22 09:00:00,7.851,8.459,7.812,8.258,241194801.0
2021-03-22 10:00:00,8.239,8.64,8.23,8.561,105658944.0
2021-03-22 11:00:00,8.561,8.6,8.367,8.388,93395126.0
2021-03-22 12:00:00,8.4,8.4,8.235,8.319,67222575.0
2021-03-22 13:00:00,8.327,8.35,8.2,8.226,42923483.0
2021-03-22 14:00:00,8.217,8.269,8.173,8.214,36282984.0
2021-03-22 15:00:00,8.198,8.4,8.15,8.385,67616189.0
2021-03-22 16:00:00,8.384,8.468,8.3,8.35,38032780.0
2021-03-22 17:00:00,8.337,8.37,8.18,8.203,40840711.0
2021-03-22 18:00:00,8.196,8.25,8.147,8.23,23745311.0
2021-03-22 19:00:00,8.229,8.237,8.14,8.147,10336966.0
2021-03-22 20:00:00,8.141,8.145,7.932,8.018,39264563.0
2021-03-22 21:00:00,8.005,8.029,7.83,7.864,17564191.0
2021-03-22 22:00:00,7.83,7.877,7.79,7.817,11493049.0
2021-03-22 23:00:00,7.812,7.812,7.666,7.715,36917605.0
2021-03-23 00:00:00,7.7,7.743,7.551,7.601,30015671.0
2021-03-23 01:00:00,7.59,7.614,7.334,7.527,127094821.0
2021-03-23 02:00:00,7.526,7.681,7.513,7.66,35317257.0
2021-03-23 03:00:00,7.671,7.692,7.506,7.53,21447795.0
2021-03-23 04:00:00,7.527,7.646,7.375,7.506,18228546.0
2021-03-23 05:00:00,7.51,7.522,7.466,7.493,10491486.0
2021-03-23 06:00:00,7.493,7.504,7.362,7.369,20638893.0
2021-03-23 07:00:00,7.364,7.374,7.035,7.075,61555394.0
2021-03-23 08:00:00,7.075,7.181,6.5,7.03,65984526.0
2021-03-23 09:00:00,7.033,7.038,6.845,6.942,79857284.0
2021-03-23 10:00:00,6.942,6.999,6.925,6.982,14655225.0
2021-03-23 11:00:00,6.993,7.097,6.985,7.068,33903786.0
2021-03-23 12:00:00,7.061,7.089,7.019,7.026,16181530.0
2021-03-23 13:00:00,7.034,7.065,7.001,7.043,24031068.0
2021-03-23 14:00:00,7.053,7.225,7.053,7.181,34066426.0
2021-03-23 15:00:00,7.177,7.47,7.151,7.423,62591171.0
2021-03-23 16:00:00,7.422,7.457,7.244,7.346,56751727.0
2021-03-23 17:00:00,7.338,7.403,7.183,7.203,38869955.0
2021-03-23 18:00:00,7.196,7.242,7.013,7.102,47433430.0
2021-03-23 19:00:00,7.102,7.125,7.074,7.081,7878459.0
2021-03-23 20:00:00,7.081,7.144,7.076,7.128,10088493.0
2021-03-23 21:00:00,7.134,7.211,7.044,7.067,15211057.0
2021-03-23 22:00:00,7.076,7.126,7.021,7.078,11483755.0
2021-03-23 23:00:00,7.078,7.109,7.078,7.099,4515631.0
2021-03-24 00:00:00,7.101,7.122,7.09,7.102,8880278.0
2021-03-24 01:00:00,7.098,7.108,7.021,7.03,27386628.0
2021-03-24 02:00:00,7.031,7.05,6.8,6.92,85209419.0
2021-03-24 03:00:00,6.899,7.141,6.651,6.739,191304892.0
2021-03-24 04:00:00,6.738,6.75,6.655,6.745,33477095.999999996
2021-03-24 05:00:00,6.73,6.816,6.498,6.556,90084014.0
2021-03-24 06:00:00,6.562,6.606,6.523,6.577,28421948.0
2021-03-24 07:00:00,6.564,6.595,6.5,6.584,42930342.0
2021-03-24 08:00:00,6.592,6.816,6.578,6.803,63199581.0
2021-03-24 09:00:00,6.811,7.033,6.81,6.974,94559714.0
2021-03-24 10:00:00,6.974,7.158,6.969,7.109,50441986.0
2021-03-24 11:00:00,7.119,7.164,7.079,7.152,31878259.0
2021-03-24 12:00:00,7.149,7.164,7.033,7.046,36084242.0
2021-03-24 13:00:00,7.054,7.101,7.044,7.071,17075084.0
2021-03-24 14:00:00,7.082,7.191,7.069,7.159,43585839.0
2021-03-24 15:00:00,7.176,7.333,7.161,7.294,41155057.0
2021-03-24 16:00:00,7.29,7.295,7.055,7.188,46527207.0
2021-03-24 17:00:00,7.19,7.2,6.638,6.677,160493473.0
2021-03-24 18:00:00,6.664,6.693,6.607,6.619,86914476.0
2021-03-24 19:00:00,6.629,6.641,6.572,6.58,25057672.0
2021-03-24 20:00:00,6.58,6.617,6.514,6.549,26024888.0
2021-03-24 21:00:00,6.554,6.643,6.52,6.591,53541603.0
2021-03-24 22:00:00,6.591,6.598,6.502,6.535,26110974.0
2021-03-24 23:00:00,6.528,6.54,6.337,6.439,44352471.0
2021-03-25 00:00:00,6.439,6.439,6.3,6.315,37986184.0
2021-03-25 01:00:00,6.322,6.352,6.299,6.324,41166686.0
2021-03-25 02:00:00,6.323,6.327,6.027,6.04,78987610.0
2021-03-25 03:00:00,6.04,6.046,5.889,5.961,79050281.0
2021-03-25 04:00:00,5.978,5.978,5.9,5.932,21883824.0
2021-03-25 05:00:00,5.932,6.005,5.91,5.955,43700482.0
2021-03-25 06:00:00,5.953,6.075,5.948,6.051,28279862.0
2021-03-25 07:00:00,6.051,6.1,6.042,6.064,23823079.0
2021-03-25 08:00:00,6.064,6.095,6.021,6.021,26968088.0
2021-03-25 09:00:00,6.027,6.072,6.0,6.029,32190964.0
2021-03-25 10:00:00,6.029,6.25,6.01,6.127,67015591.0
2021-03-25 11:00:00,6.127,6.156,6.1,6.144,17272705.0
2021-03-25 12:00:00,6.138,6.158,6.0,6.005,41025143.0
2021-03-25 13:00:00,6.028,6.028,5.685,5.766,90813701.0
2021-03-25 14:00:00,5.762,5.854,5.68,5.787,54883875.0
2021-03-25 15:00:00,5.788,5.852,5.762,5.804,41334332.0
2021-03-25 16:00:00,5.805,5.827,5.75,5.768,37787793.0
2021-03-25 17:00:00,5.768,5.843,5.721,5.791,37711789.0
2021-03-25 18:00:00,5.791,5.868,5.781,5.795,19969700.0
2021-03-25 19:00:00,5.781,5.8,5.74,5.784,27168815.0
2021-03-25 20:00:00,5.784,5.812,5.738,5.742,15353722.0
2021-03-25 21:00:00,5.738,6.663,5.73,5.862,116824622.0
2021-03-25 22:00:00,5.859,5.882,5.827,5.869,19633035.0
2021-03-25 23:00:00,5.869,6.033,5.869,5.964,50296481.0
2021-03-26 00:00:00,5.965,6.289,5.965,6.048,31044861.0
2021-03-26 01:00:00,6.037,6.239,6.037,6.228,69630907.0
2021-03-26 02:00:00,6.235,6.299,6.094,6.155,73355413.0
2021-03-26 03:00:00,6.156,6.177,5.909,5.941,81012563.0
2021-03-26 04:00:00,5.946,6.045,5.946,6.013,30146815.0
2021-03-26 05:00:00,6.019,6.034,5.981,6.004,30375973.0
