,Open,High,Low,Close,Volume
2021-06-25 12:00:00,0.6199,0.74,0.6199,0.7008,1784028000.0
2021-06-25 13:00:00,0.6947,0.7007,0.6588,0.6648,279789000.0
2021-06-25 14:00:00,0.6615,0.6648,0.641,0.6533,345557000.0
2021-06-25 15:00:00,0.6515,0.6553,0.6241,0.6275,254908000.0
2021-06-25 16:00:00,0.631,0.6671,0.6274,0.6425,281482000.0
2021-06-25 17:00:00,0.6458,0.662,0.6241,0.6605,124352000.0
2021-06-25 18:00:00,0.6585,0.6627,0.6304,0.642,146466000.0
2021-06-25 19:00:00,0.642,0.6778,0.642,0.6595,171731000.0
2021-06-25 20:00:00,0.6575,0.6682,0.6428,0.6517,94998000.0
2021-06-25 21:00:00,0.6534,0.6537,0.639,0.6462,43837000.0
2021-06-25 22:00:00,0.6462,0.6622,0.6398,0.6435,40561000.0
2021-06-25 23:00:00,0.6454,0.6454,0.63,0.6367,69271000.0
2021-06-26 00:00:00,0.6366,0.6439,0.6324,0.6355,61848000.0
2021-06-26 01:00:00,0.6336,0.653,0.6336,0.646,21541000.0
2021-06-26 02:00:00,0.6441,0.6661,0.6353,0.6646,50348000.0
2021-06-26 03:00:00,0.6626,0.6657,0.6405,0.652,37604000.0
2021-06-26 04:00:00,0.6539,0.6597,0.6448,0.6511,64510000.0
2021-06-26 05:00:00,0.6511,0.6553,0.6422,0.6504,58470000.0
2021-06-26 06:00:00,0.649,0.6584,0.6466,0.6558,46126000.0
2021-06-26 07:00:00,0.6566,0.6652,0.6528,0.6571,66478000.0
2021-06-26 08:00:00,0.6558,0.6658,0.6475,0.648,98462000.0
2021-06-26 09:00:00,0.6487,0.6495,0.6261,0.6298,150958000.0
2021-06-26 10:00:00,0.6281,0.6349,0.614,0.6229,116574000.0
2021-06-26 11:00:00,0.6225,0.64,0.619,0.6317,108159000.0
2021-06-26 12:00:00,0.632,0.6369,0.6241,0.6358,73782000.0
2021-06-26 13:00:00,0.6362,0.6607,0.6362,0.6601,94496000.0
2021-06-26 14:00:00,0.6605,0.6637,0.6411,0.6449,111723000.0
2021-06-26 15:00:00,0.6444,0.6494,0.63,0.6352,150123000.0
2021-06-26 16:00:00,0.6334,0.644,0.622,0.6364,84354000.0
2021-06-26 17:00:00,0.6373,0.6423,0.6261,0.6393,64805000.0
2021-06-26 18:00:00,0.6396,0.6402,0.622,0.6318,70179000.0
2021-06-26 19:00:00,0.6325,0.635,0.6222,0.6306,55969000.0
2021-06-26 20:00:00,0.6308,0.6373,0.6294,0.6338,39400000.0
2021-06-26 21:00:00,0.6344,0.6352,0.6278,0.6296,25429000.0
2021-06-26 22:00:00,0.6308,0.6379,0.6222,0.6276,39993000.0
2021-06-26 23:00:00,0.6284,0.6296,0.621,0.6266,39745000.0
2021-06-27 00:00:00,0.6267,0.6376,0.6262,0.636,29993000.0
2021-06-27 01:00:00,0.6365,0.6491,0.6341,0.6478,21794000.0
2021-06-27 02:00:00,0.647,0.6592,0.6366,0.6412,520225000.0
2021-06-27 03:00:00,0.6408,0.6609,0.6388,0.6533,368752000.0
2021-06-27 04:00:00,0.6525,0.6608,0.6517,0.6596,448276000.0
2021-06-27 05:00:00,0.658,0.6596,0.6453,0.6568,422637000.0
2021-06-27 06:00:00,0.6569,0.6594,0.6476,0.6512,336847000.0
2021-06-27 07:00:00,0.6515,0.6538,0.6427,0.6491,415542000.0
2021-06-27 08:00:00,0.6489,0.6523,0.6419,0.6448,331054000.0
2021-06-27 09:00:00,0.6456,0.6577,0.6437,0.6562,249981000.0
2021-06-27 10:00:00,0.6543,0.6551,0.65,0.6505,212224000.0
2021-06-27 11:00:00,0.6504,0.6512,0.635,0.643,215544000.0
2021-06-27 12:00:00,0.643,0.6464,0.6379,0.6398,179056000.0
2021-06-27 13:00:00,0.6379,0.656,0.6357,0.6505,178414000.0
2021-06-27 14:00:00,0.6518,0.6525,0.6417,0.6476,148171000.0
2021-06-27 15:00:00,0.6476,0.65,0.6433,0.6491,252553000.0
2021-06-27 16:00:00,0.6472,0.6559,0.6421,0.6553,294427000.0
2021-06-27 17:00:00,0.6533,0.6533,0.639,0.649,242296000.0
2021-06-27 18:00:00,0.6492,0.6512,0.639,0.6428,17167000.0
2021-06-27 19:00:00,0.6438,0.649,0.6402,0.646,5262000.0
2021-06-27 20:00:00,0.648,0.648,0.639,0.6405,15044000.0
2021-06-27 21:00:00,0.645,0.6469,0.6398,0.6469,3704000.0
2021-06-27 22:00:00,0.6418,0.6471,0.6418,0.6434,1962000.0
2021-06-27 23:00:00,0.6434,0.6468,0.6393,0.6468,5384000.0
2021-06-28 00:00:00,0.6468,0.66,0.6468,0.66,131545000.0
2021-06-28 01:00:00,0.66,0.6633,0.6532,0.6633,68048000.0
2021-06-28 02:00:00,0.6639,0.6681,0.6601,0.6614,11439000.0
2021-06-28 03:00:00,0.6619,0.6623,0.6507,0.6514,40476000.0
2021-06-28 04:00:00,0.6547,0.6672,0.6471,0.6605,101046000.0
2021-06-28 05:00:00,0.6584,0.662,0.6524,0.6551,115599000.0
2021-06-28 06:00:00,0.6534,0.6595,0.6512,0.6556,139921000.0
2021-06-28 07:00:00,0.6568,0.6629,0.6548,0.6616,259861000.0
2021-06-28 08:00:00,0.6617,0.6648,0.6562,0.6624,258906000.0
2021-06-28 09:00:00,0.6592,0.675,0.6592,0.6654,221927000.0
2021-06-28 10:00:00,0.6655,0.6706,0.6605,0.6671,171344000.0
2021-06-28 11:00:00,0.6673,0.6706,0.6612,0.6634,138546000.0
2021-06-28 12:00:00,0.6641,0.6659,0.657,0.6615,171959000.0
2021-06-28 13:00:00,0.6616,0.6674,0.6595,0.6659,130789000.0
2021-06-28 14:00:00,0.6639,0.6838,0.6613,0.6789,190559000.0
2021-06-28 15:00:00,0.6794,0.6817,0.6713,0.6758,183561000.0
2021-06-28 16:00:00,0.6764,0.684,0.6762,0.6818,125010000.0
2021-06-28 17:00:00,0.6804,0.6906,0.6804,0.6906,135570000.0
2021-06-28 18:00:00,0.6906,0.6907,0.6727,0.6783,173661000.0
2021-06-28 19:00:00,0.6773,0.6805,0.6705,0.6763,133267000.0
2021-06-28 20:00:00,0.6743,0.6831,0.6727,0.6743,115874000.0
2021-06-28 21:00:00,0.6755,0.6864,0.6755,0.6864,84032000.0
2021-06-28 22:00:00,0.6852,0.6905,0.6777,0.684,73797000.0
2021-06-28 23:00:00,0.6859,0.6929,0.6778,0.6827,104383000.0
2021-06-29 00:00:00,0.6818,0.6843,0.6695,0.6769,60844000.0
2021-06-29 01:00:00,0.6759,0.6842,0.6721,0.6823,49238000.0
2021-06-29 02:00:00,0.6835,0.7,0.6805,0.6949,68935000.0
2021-06-29 03:00:00,0.6949,0.6955,0.6809,0.6857,70549000.0
2021-06-29 04:00:00,0.6849,0.72,0.6849,0.7058,202794000.0
2021-06-29 05:00:00,0.7066,0.753,0.7066,0.7491,283477000.0
2021-06-29 06:00:00,0.7468,0.753,0.7264,0.748,185928000.0
2021-06-29 07:00:00,0.7462,0.76,0.7399,0.7557,136818000.0
2021-06-29 08:00:00,0.7578,0.7579,0.743,0.7481,113448000.0
2021-06-29 09:00:00,0.75,0.75,0.7285,0.7303,93671000.0
2021-06-29 10:00:00,0.7285,0.7461,0.7281,0.7426,174846000.0
2021-06-29 11:00:00,0.7448,0.7466,0.7322,0.7353,118368000.0
2021-06-29 12:00:00,0.7331,0.744,0.73,0.7421,123057000.0
2021-06-29 13:00:00,0.742,0.7438,0.7353,0.7408,144504000.0
2021-06-29 14:00:00,0.7408,0.7477,0.7377,0.7451,138137000.0
2021-06-29 15:00:00,0.7429,0.7675,0.7399,0.7601,194826000.0
2021-06-29 16:00:00,0.7601,0.7655,0.756,0.7562,141129000.0
2021-06-29 17:00:00,0.7585,0.7585,0.7419,0.7507,86789000.0
2021-06-29 18:00:00,0.7507,0.7638,0.7408,0.7638,51191000.0
2021-06-29 19:00:00,0.7638,0.7776,0.761,0.7668,54999000.0
2021-06-29 20:00:00,0.7668,0.7701,0.755,0.7595,55866000.0
2021-06-29 21:00:00,0.7618,0.7675,0.7565,0.7565,14247000.0
2021-06-29 22:00:00,0.7587,0.7587,0.75,0.75,63227000.0
2021-06-29 23:00:00,0.7515,0.7732,0.75,0.7699,54767000.0
2021-06-30 00:00:00,0.7699,0.7727,0.76,0.76,41346000.0
2021-06-30 01:00:00,0.7559,0.7611,0.7522,0.7547,64548000.0
2021-06-30 02:00:00,0.757,0.7656,0.7511,0.7634,49614000.0
2021-06-30 03:00:00,0.7634,0.78,0.7619,0.7737,51958000.0
2021-06-30 04:00:00,0.7715,0.83,0.7689,0.8155,335706000.0
2021-06-30 05:00:00,0.8185,0.8229,0.7865,0.7912,552065000.0
2021-06-30 06:00:00,0.7912,0.7946,0.76,0.76,394136000.0
2021-06-30 07:00:00,0.7596,0.8005,0.7593,0.7878,355138000.0
2021-06-30 08:00:00,0.7886,0.8106,0.7867,0.794,318524000.0
2021-06-30 09:00:00,0.7929,0.8144,0.7909,0.8023,312206000.0
2021-06-30 10:00:00,0.8011,0.8137,0.79,0.7904,253614000.0
2021-06-30 11:00:00,0.79,0.8069,0.7807,0.7927,355502000.0
2021-06-30 12:00:00,0.7917,0.8193,0.7886,0.8144,211402000.0
2021-06-30 13:00:00,0.8128,0.826,0.7909,0.8096,327608000.0
2021-06-30 14:00:00,0.812,0.83,0.8044,0.8251,315278000.0
2021-06-30 15:00:00,0.8208,0.857,0.8159,0.83,803251000.0
2021-06-30 16:00:00,0.8301,0.8413,0.8045,0.8334,324244000.0
2021-06-30 17:00:00,0.8359,0.8359,0.7922,0.8026,445988000.0
