,Open,High,Low,Close,Volume
2020-06-22 06:00:00,0.5227,1.5,0.5227,0.6472,878369960.0
2020-06-22 07:00:00,0.6472,0.65,0.5953,0.608,307330230.0
2020-06-22 08:00:00,0.6076,0.6079,0.5735,0.5999,201024840.0
2020-06-22 09:00:00,0.5957,0.6249,0.584,0.6142,152198230.0
2020-06-22 10:00:00,0.6059,0.625,0.5917,0.625,103111690.0
2020-06-22 11:00:00,0.6222,0.625,0.6101,0.6169,90526150.0
2020-06-22 12:00:00,0.6168,0.6168,0.588,0.5903,101956080.0
2020-06-22 13:00:00,0.5961,0.7587,0.5939,0.709,1139741890.0
2020-06-22 14:00:00,0.7092,0.7353,0.6751,0.6843,829769780.0
2020-06-22 15:00:00,0.6854,0.75,0.6775,0.7142,691263230.0
2020-06-22 16:00:00,0.7143,0.7455,0.6889,0.74,677507880.0
2020-06-22 17:00:00,0.7427,0.8063,0.74,0.7932,1681605600.0
2020-06-22 18:00:00,0.7932,0.8327,0.76,0.83,775427250.0
2020-06-22 19:00:00,0.83,0.8415,0.7533,0.7587,1119855710.0
2020-06-22 20:00:00,0.7575,0.8141,0.7575,0.7927,463412030.0
2020-06-22 21:00:00,0.7928,0.7951,0.7621,0.7687,317239710.0
2020-06-22 22:00:00,0.7687,0.8085,0.7687,0.7783,253965010.0
2020-06-22 23:00:00,0.7796,0.797,0.755,0.77,305497320.0
2020-06-23 00:00:00,0.771,0.79,0.7605,0.7745,147301630.0
2020-06-23 01:00:00,0.7737,0.7769,0.7318,0.741,209225700.0
2020-06-23 02:00:00,0.7401,0.7656,0.7025,0.7056,268629030.0
2020-06-23 03:00:00,0.7056,0.7159,0.6863,0.6996,200359870.0
2020-06-23 04:00:00,0.7,0.7181,0.6997,0.7167,150785390.0
2020-06-23 05:00:00,0.7166,0.7265,0.7006,0.7054,138488790.0
2020-06-23 06:00:00,0.706,0.722,0.69,0.72,188072320.0
2020-06-23 07:00:00,0.7219,0.7949,0.703,0.7832,424451980.0
2020-06-23 08:00:00,0.7833,0.8066,0.7745,0.7796,369046500.0
2020-06-23 09:00:00,0.7796,0.7953,0.7568,0.7779,325872660.0
2020-06-23 10:00:00,0.7779,0.7962,0.7691,0.785,117809440.0
2020-06-23 11:00:00,0.7851,0.8055,0.765,0.784,225395230.0
2020-06-23 12:00:00,0.7857,0.7869,0.7743,0.7809,71650010.0
2020-06-23 13:00:00,0.776,0.786,0.751,0.7639,199433150.0
2020-06-23 14:00:00,0.7646,0.7882,0.74,0.7837,224915530.0
2020-06-23 15:00:00,0.784,0.7859,0.755,0.7674,183767510.0
2020-06-23 16:00:00,0.7672,0.7748,0.746,0.772,129212980.0
2020-06-23 17:00:00,0.772,0.773,0.746,0.7669,207252240.0
2020-06-23 18:00:00,0.7669,0.7928,0.764,0.79,206642120.0
2020-06-23 19:00:00,0.79,0.7971,0.7659,0.777,98811080.0
2020-06-23 20:00:00,0.781,0.785,0.7585,0.7614,41866980.0
2020-06-23 21:00:00,0.7637,0.7692,0.7555,0.7626,55655070.0
2020-06-23 22:00:00,0.7602,0.7643,0.7537,0.7537,56870110.0
2020-06-23 23:00:00,0.7537,0.7671,0.7501,0.7671,23521770.0
2020-06-24 00:00:00,0.7676,0.7678,0.7487,0.7514,41420610.0
2020-06-24 01:00:00,0.7515,0.757,0.7335,0.7346,42552170.0
2020-06-24 02:00:00,0.7347,0.75,0.7168,0.7171,74431560.0
2020-06-24 03:00:00,0.7189,0.7271,0.7051,0.7271,123402950.0
2020-06-24 04:00:00,0.7261,0.73,0.7224,0.7293,29818700.0
2020-06-24 05:00:00,0.7292,0.7367,0.7292,0.7367,31421300.0
2020-06-24 06:00:00,0.7367,0.7488,0.7165,0.7482,131469130.0
2020-06-24 07:00:00,0.7477,0.7481,0.7303,0.7347,58941880.0
2020-06-24 08:00:00,0.7343,0.7488,0.7305,0.7486,74974980.0
2020-06-24 09:00:00,0.7486,0.77,0.7472,0.7582,108266100.0
2020-06-24 10:00:00,0.7561,0.7934,0.7469,0.785,178208250.0
2020-06-24 11:00:00,0.785,0.7956,0.7642,0.7642,87244520.0
2020-06-24 12:00:00,0.7717,0.7784,0.7404,0.7458,70707410.0
2020-06-24 13:00:00,0.747,0.7538,0.7252,0.7358,182251830.0
2020-06-24 14:00:00,0.7361,0.7585,0.7313,0.756,68041860.0
2020-06-24 15:00:00,0.7562,0.7653,0.7445,0.746,57846500.0
2020-06-24 16:00:00,0.7459,0.7499,0.732,0.7417,56972260.0
2020-06-24 17:00:00,0.7368,0.74,0.7212,0.7269,54360670.0
2020-06-24 18:00:00,0.7305,0.7377,0.7255,0.7297,33692290.0
2020-06-24 19:00:00,0.73,0.7771,0.73,0.774,156085610.0
2020-06-24 20:00:00,0.7733,0.791,0.7399,0.7402,220588070.0
2020-06-24 21:00:00,0.7419,0.7582,0.7193,0.7299,112974770.0
2020-06-24 22:00:00,0.7298,0.741,0.7208,0.7405,82180740.0
2020-06-24 23:00:00,0.7376,0.7388,0.7151,0.7267,27732210.0
2020-06-25 00:00:00,0.7268,0.7269,0.7033,0.7169,80620430.0
2020-06-25 01:00:00,0.7215,0.7307,0.715,0.7154,33819170.0
2020-06-25 02:00:00,0.7153,0.7197,0.7104,0.7192,10063210.0
2020-06-25 03:00:00,0.7169,0.726,0.7163,0.724,11070550.0
2020-06-25 04:00:00,0.7239,0.7239,0.71,0.7116,15067810.0
2020-06-25 05:00:00,0.7114,0.7139,0.6722,0.68,96494550.0
2020-06-25 06:00:00,0.68,0.7168,0.68,0.7056,31274440.0
2020-06-25 07:00:00,0.7056,0.7116,0.6966,0.7046,24840260.0
