,Open,High,Low,Close,Volume
2021-05-19 09:00:00,3.218,3.99,2.63,2.849,3455729310.0
2021-05-19 10:00:00,2.851,2.958,2.762,2.913,543758770.0
2021-05-19 11:00:00,2.919,3.105,2.828,2.953,673657480.0
2021-05-19 12:00:00,2.969,2.981,2.653,2.699,314773850.0
2021-05-19 13:00:00,2.692,2.873,2.2,2.451,619782140.0
2021-05-19 14:00:00,2.483,2.589,1.683,1.985,707428880.0
2021-05-19 15:00:00,1.899,2.299,1.343,2.249,706383240.0
2021-05-19 16:00:00,2.244,2.297,1.905,2.176,384269060.0
2021-05-19 17:00:00,2.176,2.5,2.0,2.476,408325240.0
2021-05-19 18:00:00,2.446,2.631,2.225,2.559,248210750.0
2021-05-19 19:00:00,2.559,2.7,2.408,2.521,239312960.0
2021-05-19 20:00:00,2.517,2.584,2.241,2.475,311394410.0
2021-05-19 21:00:00,2.477,2.661,2.37,2.6,156644380.0
2021-05-19 22:00:00,2.613,2.701,2.342,2.342,218111390.0
2021-05-19 23:00:00,2.358,2.435,2.209,2.303,154675380.0
2021-05-20 00:00:00,2.303,2.63,2.279,2.449,129239190.0
2021-05-20 01:00:00,2.448,2.448,2.169,2.172,109751890.0
2021-05-20 02:00:00,2.173,2.281,1.9,1.926,185829710.0
2021-05-20 03:00:00,1.936,2.104,1.936,1.966,85362300.0
2021-05-20 04:00:00,1.966,2.266,1.965,2.197,117233920.0
2021-05-20 05:00:00,2.197,2.306,2.061,2.215,124748700.0
2021-05-20 06:00:00,2.228,2.39,2.161,2.281,99933590.0
2021-05-20 07:00:00,2.297,2.52,2.256,2.35,117359220.0
2021-05-20 08:00:00,2.358,2.53,2.328,2.48,97003730.0
2021-05-20 09:00:00,2.485,2.5,2.373,2.451,75220320.0
2021-05-20 10:00:00,2.451,2.521,2.355,2.378,73305620.0
2021-05-20 11:00:00,2.378,2.422,2.273,2.406,62492680.0
2021-05-20 12:00:00,2.406,2.443,2.33,2.37,52629390.0
2021-05-20 13:00:00,2.369,2.6,2.32,2.475,163509420.0
2021-05-20 14:00:00,2.478,2.763,2.385,2.629,354229410.0
2021-05-20 15:00:00,2.614,2.74,2.591,2.711,195944420.0
2021-05-20 16:00:00,2.709,2.91,2.658,2.876,275818670.0
2021-05-20 17:00:00,2.877,2.93,2.615,2.633,227080250.0
2021-05-20 18:00:00,2.632,2.669,2.31,2.466,210770760.0
2021-05-20 19:00:00,2.453,2.53,2.422,2.52,75301740.0
2021-05-20 20:00:00,2.52,2.658,2.369,2.555,152360480.0
2021-05-20 21:00:00,2.554,2.641,2.49,2.525,88916480.0
2021-05-20 22:00:00,2.527,2.565,2.469,2.498,75520030.0
2021-05-20 23:00:00,2.49,2.565,2.431,2.565,67751610.0
2021-05-21 00:00:00,2.565,2.584,2.475,2.533,51815460.0
2021-05-21 01:00:00,2.533,2.548,2.455,2.481,30231200.0
2021-05-21 02:00:00,2.48,2.7,2.478,2.585,76499240.0
2021-05-21 03:00:00,2.585,2.634,2.585,2.621,29472850.0
2021-05-21 04:00:00,2.62,2.63,2.54,2.579,31021480.0
2021-05-21 05:00:00,2.551,2.637,2.502,2.505,60042030.0
2021-05-21 06:00:00,2.51,2.521,2.392,2.481,55859340.0
2021-05-21 07:00:00,2.481,2.649,2.429,2.429,64058890.0
2021-05-21 08:00:00,2.449,2.451,2.35,2.433,96027580.0
2021-05-21 09:00:00,2.432,2.474,2.381,2.422,50087460.0
2021-05-21 10:00:00,2.422,2.422,2.325,2.375,77902870.0
2021-05-21 11:00:00,2.375,2.523,2.365,2.487,77616230.0
2021-05-21 12:00:00,2.487,2.572,2.45,2.494,98555580.0
2021-05-21 13:00:00,2.486,2.613,2.423,2.517,177865830.0
2021-05-21 14:00:00,2.518,2.615,2.51,2.538,91259380.0
2021-05-21 15:00:00,2.539,2.56,2.465,2.555,82841580.0
2021-05-21 16:00:00,2.559,2.6,2.131,2.245,308429970.0
2021-05-21 17:00:00,2.244,2.32,2.023,2.063,238593020.0
