,Open,High,Low,Close,Volume
2021-09-09 10:00:00,0.7233,0.83,0.7233,0.753,2358583400.0
2021-09-09 11:00:00,0.7534,0.76,0.7398,0.7416,386194600.0
2021-09-09 12:00:00,0.7409,0.752,0.7247,0.7358,403528600.0
2021-09-09 13:00:00,0.7362,0.755,0.7287,0.7474,439544600.0
2021-09-09 14:00:00,0.7477,0.7598,0.7189,0.7382,295548700.0
2021-09-09 15:00:00,0.7368,0.7545,0.7368,0.7408,365211900.0
2021-09-09 16:00:00,0.7419,0.7579,0.741,0.7468,141483500.0
2021-09-09 17:00:00,0.745,0.7534,0.74,0.7482,110732300.0
2021-09-09 18:00:00,0.75,0.7598,0.7435,0.7469,238621200.0
2021-09-09 19:00:00,0.7452,0.7549,0.74,0.7436,248527200.0
2021-09-09 20:00:00,0.7428,0.747,0.7257,0.728,592810600.0
2021-09-09 21:00:00,0.7294,0.736,0.7252,0.7293,195677700.0
2021-09-09 22:00:00,0.7293,0.7399,0.7231,0.733,126243200.0
2021-09-09 23:00:00,0.7323,0.7446,0.7284,0.7405,89168900.0
2021-09-10 00:00:00,0.7413,0.7501,0.7375,0.7445,124689400.0
2021-09-10 01:00:00,0.7446,0.7559,0.7326,0.7413,489271800.0
2021-09-10 02:00:00,0.7417,0.7618,0.7319,0.7385,241414200.0
2021-09-10 03:00:00,0.7369,0.7387,0.7271,0.73,132092500.0
2021-09-10 04:00:00,0.7295,0.7351,0.7241,0.7279,106662100.0
2021-09-10 05:00:00,0.7288,0.7316,0.7242,0.7315,100228400.0
2021-09-10 06:00:00,0.7319,0.7354,0.7281,0.73,106183100.0
2021-09-10 07:00:00,0.7292,0.7319,0.7232,0.7291,57213300.0
2021-09-10 08:00:00,0.7277,0.7298,0.7186,0.7254,167565300.0
2021-09-10 09:00:00,0.7241,0.7243,0.7016,0.7071,209235000.0
2021-09-10 10:00:00,0.7073,0.7147,0.6811,0.691,375985000.0
2021-09-10 11:00:00,0.6907,0.7221,0.6853,0.6961,197199500.0
2021-09-10 12:00:00,0.6958,0.7089,0.6844,0.7022,163850300.0
2021-09-10 13:00:00,0.7031,0.7031,0.6899,0.7027,108560100.0
2021-09-10 14:00:00,0.701,0.7032,0.6853,0.6867,49290800.0
2021-09-10 15:00:00,0.6863,0.6948,0.6798,0.6851,72598900.0
2021-09-10 16:00:00,0.6835,0.6838,0.648,0.6522,284612700.0
2021-09-10 17:00:00,0.6524,0.6745,0.6405,0.6745,322174900.0
2021-09-10 18:00:00,0.6717,0.6731,0.6647,0.6649,80291300.0
2021-09-10 19:00:00,0.6666,0.6758,0.6629,0.6758,106990100.0
