,Open,High,Low,Close,Volume
2021-03-09 09:00:00,0.1598,0.2,0.1556,0.162,88744630570.0
2021-03-09 10:00:00,0.162,0.1665,0.1575,0.1606,15930817360.0
2021-03-09 11:00:00,0.1608,0.161,0.1555,0.1582,9434046690.0
2021-03-09 12:00:00,0.1582,0.1636,0.1575,0.1602,8950702670.0
2021-03-09 13:00:00,0.1607,0.161,0.1475,0.1492,13859472000.0
2021-03-09 14:00:00,0.1493,0.1569,0.1492,0.1543,6630374180.0
2021-03-09 15:00:00,0.154,0.1604,0.1498,0.1591,8710167530.0
2021-03-09 16:00:00,0.159,0.1635,0.156,0.1584,4536339330.0
2021-03-09 17:00:00,0.1586,0.1615,0.1528,0.1608,5844357540.0
2021-03-09 18:00:00,0.1608,0.1689,0.16,0.1683,9651094780.0
2021-03-09 19:00:00,0.1678,0.17,0.1587,0.1622,10576895730.0
2021-03-09 20:00:00,0.1621,0.169,0.1601,0.1679,4921322920.0
2021-03-09 21:00:00,0.1679,0.1744,0.1624,0.164,10489219170.0
2021-03-09 22:00:00,0.164,0.1699,0.164,0.1672,3088184410.0
2021-03-09 23:00:00,0.1672,0.1672,0.1631,0.1652,4208000929.9999995
2021-03-10 00:00:00,0.1655,0.1662,0.1632,0.1652,1496215020.0
2021-03-10 01:00:00,0.1654,0.1654,0.1601,0.1636,2710430910.0
2021-03-10 02:00:00,0.1636,0.1657,0.1531,0.1559,2690093290.0
2021-03-10 03:00:00,0.1559,0.1587,0.15,0.1529,3569451160.0
2021-03-10 04:00:00,0.1529,0.1529,0.15,0.1503,2730604290.0
2021-03-10 05:00:00,0.1504,0.1559,0.1503,0.1527,2053742530.0
2021-03-10 06:00:00,0.1525,0.1549,0.1502,0.1537,2061063400.0
2021-03-10 07:00:00,0.1537,0.1579,0.1532,0.1565,2361153280.0
2021-03-10 08:00:00,0.1565,0.1569,0.153,0.1536,2525087200.0
2021-03-10 09:00:00,0.1539,0.1565,0.1485,0.1511,5656561120.0
2021-03-10 10:00:00,0.1516,0.1554,0.1505,0.155,2188032180.0
2021-03-10 11:00:00,0.1553,0.1553,0.1516,0.1517,2190317570.0
2021-03-10 12:00:00,0.1517,0.1539,0.1505,0.1524,2487278550.0
2021-03-10 13:00:00,0.1524,0.1544,0.152,0.152,1502602190.0
2021-03-10 14:00:00,0.152,0.1535,0.1519,0.1524,1192460160.0
2021-03-10 15:00:00,0.1524,0.1531,0.1505,0.151,2413392530.0
2021-03-10 16:00:00,0.1511,0.1526,0.1504,0.1504,1993814430.0
2021-03-10 17:00:00,0.1505,0.1509,0.1482,0.1493,2918275380.0
2021-03-10 18:00:00,0.1493,0.151,0.143,0.1472,6019143180.0
2021-03-10 19:00:00,0.1473,0.1509,0.1468,0.1491,2022180860.0
2021-03-10 20:00:00,0.149,0.1494,0.1469,0.1476,1577307320.0
2021-03-10 21:00:00,0.1476,0.1487,0.1427,0.1434,2365935150.0
2021-03-10 22:00:00,0.1434,0.152,0.1407,0.1447,2710332440.0
2021-03-10 23:00:00,0.1447,0.148,0.1423,0.1449,1289879020.0
2021-03-11 00:00:00,0.1447,0.146,0.1421,0.1426,1387052080.0
2021-03-11 01:00:00,0.1429,0.1436,0.1402,0.1406,1398356010.0
2021-03-11 02:00:00,0.1407,0.1408,0.1301,0.1364,4433992870.0
