,Open,High,Low,Close,Volume
2021-11-16 13:00:00,1.0,41.11,1.0,11.3465,16134318020.0
2021-11-16 14:00:00,11.3681,11.87,10.5646,11.3792,3124476650.0
2021-11-16 15:00:00,11.3683,11.7144,9.901,10.3498,1870410720.0
2021-11-16 16:00:00,10.3498,10.7398,9.8,10.4367,1507624870.0
2021-11-16 17:00:00,10.447,10.85,10.0001,10.0904,1017649910.0
2021-11-16 18:00:00,10.0969,10.3212,9.2545,9.3616,865530610.0
2021-11-16 19:00:00,9.3606,9.5499,8.4502,8.6345,1453731790.0
2021-11-16 20:00:00,8.641,8.7455,8.3612,8.5999,763525490.0
2021-11-16 21:00:00,8.5992,8.7666,7.7382,7.8953,911009160.0
2021-11-16 22:00:00,7.8947,8.4551,7.7595,8.0585,808019380.0
2021-11-16 23:00:00,8.0567,8.6577,8.0317,8.4722,806403850.0
2021-11-17 00:00:00,8.4712,8.4809,8.0465,8.303,280439740.0
2021-11-17 01:00:00,8.2901,8.3083,7.8155,8.1024,247160810.0
2021-11-17 02:00:00,8.1024,8.1349,7.7301,7.9823,289613160.0
2021-11-17 03:00:00,7.9695,9.1798,7.9127,8.75,1017578670.0
2021-11-17 04:00:00,8.7543,8.9664,8.0698,8.2552,707075740.0
2021-11-17 05:00:00,8.2552,8.55,8.1042,8.3209,254251590.0
2021-11-17 06:00:00,8.3112,8.3112,7.9639,7.9983,242744450.0
2021-11-17 07:00:00,7.9822,8.0,7.5289,7.7284,409100020.0
2021-11-17 08:00:00,7.7284,7.73,7.3255,7.4403,339676880.0
2021-11-17 09:00:00,7.4407,7.8485,7.3917,7.6767,415019300.0
2021-11-17 10:00:00,7.6764,7.9515,7.5964,7.6811,367429800.0
2021-11-17 11:00:00,7.6886,7.8494,7.4207,7.6974,422292830.0
2021-11-17 12:00:00,7.7175,7.7979,7.4601,7.6453,318546170.0
2021-11-17 13:00:00,7.65,7.66,7.3519,7.37,265838760.0
2021-11-17 14:00:00,7.3755,7.4847,7.25,7.2708,266178680.0
2021-11-17 15:00:00,7.2731,7.3999,7.0231,7.1,285436490.0
2021-11-17 16:00:00,7.0972,7.1325,6.8266,6.8465,297571630.0
2021-11-17 17:00:00,6.8465,6.95,6.73,6.88,306148770.0
2021-11-17 18:00:00,6.8683,7.1696,6.8623,6.943,330898670.0
2021-11-17 19:00:00,6.9415,7.0,6.7705,6.8214,179008120.0
2021-11-17 20:00:00,6.8312,6.8954,6.6798,6.696,167321250.0
2021-11-17 21:00:00,6.6998,6.8641,6.5981,6.6993,194235080.0
2021-11-17 22:00:00,6.6997,6.7204,6.5192,6.6355,131869420.00000001
2021-11-17 23:00:00,6.6347,6.6809,6.6129,6.6282,56233420.0
2021-11-18 00:00:00,6.6289,6.8243,6.6008,6.7703,86436360.0
2021-11-18 01:00:00,6.7645,6.7886,6.609,6.62,75924330.0
2021-11-18 02:00:00,6.62,6.7032,6.5,6.5942,84194220.0
2021-11-18 03:00:00,6.594,6.7462,6.5506,6.7102,61979330.0
2021-11-18 04:00:00,6.6848,6.7167,6.5715,6.5899,52262630.0
2021-11-18 05:00:00,6.5721,6.5858,6.3351,6.3548,144782130.0
2021-11-18 06:00:00,6.35,6.38,6.1816,6.2217,139945380.0
2021-11-18 07:00:00,6.2222,6.2465,6.102,6.2073,137954330.0
2021-11-18 08:00:00,6.202,6.21,5.9066,6.1347,253852290.0
2021-11-18 09:00:00,6.131,6.2012,5.9837,6.1114,182102600.0
2021-11-18 10:00:00,6.113,6.243,5.98,6.0441,150705700.0
2021-11-18 11:00:00,6.0546,6.1,5.9158,6.0175,142445370.0
2021-11-18 12:00:00,6.0159,6.0899,5.8379,5.94,231475620.0
2021-11-18 13:00:00,5.9588,6.2346,5.9,6.0366,224113980.0
2021-11-18 14:00:00,6.0579,6.0624,5.83,5.8649,132803829.99999999
2021-11-18 15:00:00,5.8673,6.0888,5.7492,5.7969,127415870.0
2021-11-18 16:00:00,5.802,5.95,5.6,5.6058,170685360.0
2021-11-18 17:00:00,5.6122,5.7,5.3864,5.4656,176691820.0
2021-11-18 18:00:00,5.4673,5.55,5.1924,5.4471,176293570.0
2021-11-18 19:00:00,5.4484,5.7447,5.4484,5.5578,108392440.0
2021-11-18 20:00:00,5.5578,5.65,5.5,5.5203,66823679.99999999
2021-11-18 21:00:00,5.5296,5.61,5.5,5.5203,31697760.0
2021-11-18 22:00:00,5.5016,5.5781,5.3386,5.3729,54464950.0
2021-11-18 23:00:00,5.3886,5.4654,5.29,5.312,65327920.0
2021-11-19 00:00:00,5.3124,5.6141,5.3058,5.492,76909880.0
2021-11-19 01:00:00,5.492,5.57,5.3323,5.4568,58853290.0
2021-11-19 02:00:00,5.4812,5.96,5.3911,5.7593,222332230.0
2021-11-19 03:00:00,5.7715,5.9504,5.6001,5.6156,98237810.0
2021-11-19 04:00:00,5.6151,5.7177,5.4363,5.6347,58938260.0
2021-11-19 05:00:00,5.6527,6.0,5.5894,5.8473,73943980.0
2021-11-19 06:00:00,5.8325,5.8325,5.6728,5.7972,41585500.0
2021-11-19 07:00:00,5.7964,5.7964,5.4395,5.5712,97560970.0
2021-11-19 08:00:00,5.5607,5.5942,5.4898,5.5135,33307040.0
2021-11-19 09:00:00,5.5016,5.763,5.5,5.69,62402150.0
2021-11-19 10:00:00,5.6889,5.81,5.6106,5.7773,53765110.0
2021-11-19 11:00:00,5.7727,5.7775,5.5892,5.6568,49291800.0
2021-11-19 12:00:00,5.6645,5.6709,5.5773,5.6433,36845080.0
2021-11-19 13:00:00,5.6423,5.887,5.6289,5.8302,101654520.0
2021-11-19 14:00:00,5.8313,6.75,5.731,6.4586,827693810.0
2021-11-19 15:00:00,6.4719,7.0522,6.1153,6.1279,1354560490.0
2021-11-19 16:00:00,6.1641,6.3878,6.052,6.1679,464462230.0
2021-11-19 17:00:00,6.153,6.3787,6.15,6.1791,150172660.0
2021-11-19 18:00:00,6.1781,6.1986,6.0,6.0305,131239320.0
2021-11-19 19:00:00,6.0299,6.1927,6.0213,6.1407,101597010.0
2021-11-19 20:00:00,6.1482,6.1485,6.0001,6.0259,91827360.0
2021-11-19 21:00:00,6.0386,6.342,6.0228,6.118,124410840.0
2021-11-19 22:00:00,6.119,6.17,6.0414,6.1511,50500910.0
2021-11-19 23:00:00,6.1317,6.3372,6.054,6.1888,97899930.0
2021-11-20 00:00:00,6.1764,6.2799,6.1004,6.1031,54130690.0
2021-11-20 01:00:00,6.1037,6.13,6.0,6.0726,53191280.0
2021-11-20 02:00:00,6.0707,6.0878,6.0,6.0691,43403640.0
2021-11-20 03:00:00,6.0823,6.1697,6.0566,6.1101,36054460.0
2021-11-20 04:00:00,6.116,6.12,6.0502,6.0574,29680750.0
2021-11-20 05:00:00,6.056,6.1339,6.0502,6.0811,37204590.0
2021-11-20 06:00:00,6.0862,6.1039,5.92,6.0184,58985620.0
2021-11-20 07:00:00,6.0184,6.1789,5.9703,6.1239,71367260.0
2021-11-20 08:00:00,6.1251,6.19,6.0581,6.19,67416300.0
2021-11-20 09:00:00,6.1818,6.5,6.14,6.2307,201461130.0
2021-11-20 10:00:00,6.2374,6.27,6.1533,6.2108,56004910.0
2021-11-20 11:00:00,6.2108,6.2235,6.0999,6.1415,46791850.0
2021-11-20 12:00:00,6.1306,6.33,6.1306,6.175,92225260.0
2021-11-20 13:00:00,6.1832,6.2,6.1,6.1175,75457960.0
2021-11-20 14:00:00,6.12,6.2577,6.1023,6.112,74021930.0
2021-11-20 15:00:00,6.1098,6.2054,6.0528,6.0651,85179890.0
2021-11-20 16:00:00,6.065,6.0866,5.95,6.0011,132730090.0
2021-11-20 17:00:00,6.0013,6.245,5.937,5.9959,113846690.0
2021-11-20 18:00:00,6.0,6.0889,5.9333,5.9706,109500890.0
2021-11-20 19:00:00,5.9705,6.083,5.8702,6.0023,96789480.0
2021-11-20 20:00:00,6.0022,6.0746,5.9751,6.06,71640930.0
2021-11-20 21:00:00,6.0569,6.0831,6.0,6.0433,40944190.0
2021-11-20 22:00:00,6.044,6.0588,6.0,6.0015,31973590.0
2021-11-20 23:00:00,6.0021,6.1,6.0016,6.0499,31236930.0
2021-11-21 00:00:00,6.0498,6.1103,6.0206,6.0635,31276000.0
2021-11-21 01:00:00,6.0635,6.1,6.0044,6.0529,33216550.000000004
2021-11-21 02:00:00,6.0598,6.2798,6.0535,6.1761,121756880.0
2021-11-21 03:00:00,6.169,6.1697,5.98,6.0011,66065130.00000001
2021-11-21 04:00:00,6.0024,6.04,5.999,6.0,41387390.0
2021-11-21 05:00:00,6.0065,6.03,5.9533,5.9551,25156520.0
2021-11-21 06:00:00,5.9556,6.0599,5.9556,6.0034,20387410.0
2021-11-21 07:00:00,6.004,6.2,5.9553,6.1404,63784010.0
2021-11-21 08:00:00,6.1404,6.1908,6.0087,6.0925,60591010.0
2021-11-21 09:00:00,6.0925,6.1558,5.96,6.058,82771840.0
2021-11-21 10:00:00,6.058,6.1144,6.006,6.05,50712070.0
2021-11-21 11:00:00,6.05,6.0753,5.9535,6.0159,60604380.0
2021-11-21 12:00:00,6.0144,6.0346,5.9,5.9865,73665050.0
2021-11-21 13:00:00,5.9893,6.01,5.9602,6.0096,23846240.0
2021-11-21 14:00:00,6.003,6.02,5.9249,5.9308,41612580.0
2021-11-21 15:00:00,5.9308,5.9308,5.72,5.7924,82579210.0
2021-11-21 16:00:00,5.7924,5.9521,5.72,5.8159,127535090.0
2021-11-21 17:00:00,5.8215,5.9599,5.7982,5.8702,46580530.0
2021-11-21 18:00:00,5.8709,5.9258,5.817,5.8274,34758860.0
2021-11-21 19:00:00,5.8286,5.8453,5.77,5.8146,34247750.0
2021-11-21 20:00:00,5.8282,5.8499,5.699,5.7241,58477580.0
2021-11-21 21:00:00,5.7245,5.9103,5.6836,5.7856,79711320.0
2021-11-21 22:00:00,5.7854,5.8263,5.751,5.7606,46416310.0
2021-11-21 23:00:00,5.7678,5.803,5.7,5.772,22192200.0
2021-11-22 00:00:00,5.772,5.7876,5.65,5.6958,22690020.0
2021-11-22 01:00:00,5.6677,6.05,5.4692,5.7081,352050100.0
2021-11-22 02:00:00,5.7081,5.9788,5.6124,5.6912,166984360.0
2021-11-22 03:00:00,5.6968,5.6968,5.4904,5.5665,35746130.0
2021-11-22 04:00:00,5.5665,5.6606,5.458,5.5891,41666880.0
2021-11-22 05:00:00,5.5902,5.95,5.5846,5.6711,110311740.0
2021-11-22 06:00:00,5.671,5.7703,5.5816,5.6791,50856890.0
2021-11-22 07:00:00,5.6791,6.004,5.6664,5.9999,87380430.0
2021-11-22 08:00:00,5.9997,6.0406,5.8474,5.8727,92624020.0
2021-11-22 09:00:00,5.8728,6.221,5.8548,6.0174,125567230.0
2021-11-22 10:00:00,6.0175,6.5826,5.9482,6.4327,365934310.0
2021-11-22 11:00:00,6.4327,6.5898,6.0437,6.0734,238542850.0
2021-11-22 12:00:00,6.0729,6.1111,5.9658,5.9785,125226860.0
2021-11-22 13:00:00,5.9893,6.357,5.9777,6.1156,166293450.0
2021-11-22 14:00:00,6.115,6.1323,5.9881,6.0559,127070780.0
2021-11-22 15:00:00,6.056,6.28,6.0559,6.1534,136789170.0
2021-11-22 16:00:00,6.1509,6.1509,6.05,6.1133,47454780.0
2021-11-22 17:00:00,6.103,6.1326,6.0252,6.0421,60814380.0
2021-11-22 18:00:00,6.0421,6.0767,6.0128,6.0131,32051710.0
2021-11-22 19:00:00,6.0136,6.101,5.98,5.98,56380970.0
2021-11-22 20:00:00,5.98,6.0195,5.895,5.9011,65741670.0
2021-11-22 21:00:00,5.9014,5.9743,5.7991,5.9472,48637140.0
2021-11-22 22:00:00,5.9472,6.088,5.8,6.0331,62039130.0
2021-11-22 23:00:00,6.03,6.0552,5.9603,6.0288,31850440.0
2021-11-23 00:00:00,6.0436,6.05,5.9833,6.0217,32141410.0
2021-11-23 01:00:00,6.013,6.2004,5.9,6.0642,83729650.0
2021-11-23 02:00:00,6.064,6.23,6.0475,6.224,44553450.0
2021-11-23 03:00:00,6.2207,6.4999,6.1356,6.1933,149978370.0
2021-11-23 04:00:00,6.1786,6.2144,6.1033,6.1179,37912580.0
2021-11-23 05:00:00,6.1182,6.1182,6.052,6.055,22967130.0
2021-11-23 06:00:00,6.055,6.0792,6.04,6.05,19261780.0
2021-11-23 07:00:00,6.05,6.0795,5.901,5.9067,64693430.0
2021-11-23 08:00:00,5.9165,5.9924,5.7105,5.8399,108730330.0
2021-11-23 09:00:00,5.8431,5.9269,5.8431,5.9166,75702480.0
2021-11-23 10:00:00,5.9167,6.2003,5.9028,5.9594,205579310.0
2021-11-23 11:00:00,5.9489,6.0005,5.62,5.6309,341599220.0
2021-11-23 12:00:00,5.6448,5.8,5.4904,5.5996,511016570.0
2021-11-23 13:00:00,5.5972,5.65,5.401,5.5526,195464590.0
2021-11-23 14:00:00,5.5526,5.7058,5.5,5.6005,92388910.0
2021-11-23 15:00:00,5.61,5.6665,5.5391,5.6272,57573000.0
2021-11-23 16:00:00,5.6386,5.679,5.55,5.5966,53106610.0
2021-11-23 17:00:00,5.6,5.6203,5.5748,5.5885,44298260.0
2021-11-23 18:00:00,5.5885,5.66,5.5193,5.5613,65820830.0
2021-11-23 19:00:00,5.5729,5.6134,5.525,5.5538,62989790.0
2021-11-23 20:00:00,5.5538,5.5975,5.5,5.5747,35372560.0
2021-11-23 21:00:00,5.5737,5.5908,5.5401,5.5781,29087480.0
2021-11-23 22:00:00,5.5781,5.5799,5.5301,5.5484,29357340.0
2021-11-23 23:00:00,5.5476,5.5742,5.5224,5.555,22801930.0
2021-11-24 00:00:00,5.5638,5.5654,5.5308,5.5502,19206790.0
2021-11-24 01:00:00,5.56,5.7,5.5317,5.6059,34878860.0
2021-11-24 02:00:00,5.6159,5.6308,5.5434,5.5496,18524900.0
2021-11-24 03:00:00,5.5491,5.5494,5.4,5.4327,44568860.0
2021-11-24 04:00:00,5.4314,5.5713,5.4196,5.4941,39758270.0
2021-11-24 05:00:00,5.479,5.489,5.44,5.4607,25007750.0
2021-11-24 06:00:00,5.4612,5.4818,5.3727,5.3856,40983820.0
2021-11-24 07:00:00,5.3856,5.565,5.25,5.3419,111085350.0
2021-11-24 08:00:00,5.3533,5.3534,5.3062,5.3194,36469440.0
2021-11-24 09:00:00,5.319,5.499,5.3096,5.4045,53998630.0
2021-11-24 10:00:00,5.3923,5.4299,5.3,5.3709,51649880.0
2021-11-24 11:00:00,5.3709,5.3782,5.314,5.3198,54811630.0
2021-11-24 12:00:00,5.3205,5.3489,5.2,5.3101,84743840.0
2021-11-24 13:00:00,5.33,5.3627,5.2404,5.3277,48425800.0
2021-11-24 14:00:00,5.3341,5.3551,5.2,5.2128,62287050.0
2021-11-24 15:00:00,5.2129,5.2614,5.075,5.115,66667720.0
2021-11-24 16:00:00,5.115,5.205,5.075,5.1537,59399050.0
2021-11-24 17:00:00,5.1549,5.1656,5.0,5.0286,45256260.0
2021-11-24 18:00:00,5.0321,5.2091,5.03,5.0976,56075340.0
2021-11-24 19:00:00,5.0966,5.1359,5.0702,5.0739,24123950.0
2021-11-24 20:00:00,5.0947,5.1577,5.084,5.1015,33698250.0
2021-11-24 21:00:00,5.1093,5.1484,5.0571,5.0867,42541640.0
2021-11-24 22:00:00,5.0867,5.1533,5.023,5.1189,44127310.0
2021-11-24 23:00:00,5.1096,5.133,5.0224,5.1204,36302670.0
2021-11-25 00:00:00,5.1204,5.133,5.0269,5.0712,37697110.0
2021-11-25 01:00:00,5.0716,5.2364,5.0716,5.224,35315420.0
2021-11-25 02:00:00,5.2359,5.2761,5.1793,5.2383,23751930.0
2021-11-25 03:00:00,5.2395,5.2525,5.2258,5.2312,10906260.0
2021-11-25 04:00:00,5.2312,5.35,5.2239,5.2698,44650280.0
2021-11-25 05:00:00,5.2689,5.2779,5.1789,5.1994,15814390.0
2021-11-25 06:00:00,5.2,5.2109,5.1351,5.1359,21619310.0
2021-11-25 07:00:00,5.1379,5.1451,5.086,5.09,27497860.0
