,Open,High,Low,Close,Volume
2020-12-21 07:00:00,12.88,35.4,10.0,21.096,506472928.0
2020-12-21 08:00:00,21.021,21.122,16.2,19.399,165053873.0
2020-12-21 09:00:00,19.399,24.017,17.849,19.771,162013880.0
2020-12-21 10:00:00,19.701,25.0,18.111,24.4,212358105.0
2020-12-21 11:00:00,24.402,25.5,21.0,24.352,157233976.0
2020-12-21 12:00:00,24.351,34.85,23.184,32.481,327455642.0
2020-12-21 13:00:00,32.401,43.5,28.645,39.214,624028185.0
2020-12-21 14:00:00,38.752,43.0,36.0,42.9,135041687.0
2020-12-21 15:00:00,42.9,42.9,42.9,42.9,0.0
2020-12-21 19:00:00,37.5,42.883,31.0,35.77,354821391.0
2020-12-21 20:00:00,35.769,35.771,25.046,32.135,367879798.0
2020-12-21 21:00:00,32.142,35.888,29.1,33.625,265339957.99999997
2020-12-21 22:00:00,33.625,35.499,30.8,32.851,208995446.0
2020-12-21 23:00:00,32.97,33.297,28.65,29.501,136295332.0
2020-12-22 00:00:00,29.501,31.4,26.6,29.936,173989009.0
2020-12-22 01:00:00,29.999,30.0,21.11,24.698,305174688.0
2020-12-22 02:00:00,24.686,24.7,19.0,19.784,167174109.0
2020-12-22 03:00:00,19.784,26.0,18.605,25.807,188501674.0
2020-12-22 04:00:00,25.834,28.58,23.604,26.942,167036358.0
2020-12-22 05:00:00,26.942,28.439,22.75,23.743,124480745.0
2020-12-22 06:00:00,23.591,27.78,23.069,25.921,120655395.0
2020-12-22 07:00:00,25.85,25.943,23.0,23.902,90788612.0
2020-12-22 08:00:00,23.902,25.989,23.254,25.25,87390908.0
2020-12-22 09:00:00,25.251,25.8,23.51,23.998,71401097.0
2020-12-22 10:00:00,23.901,31.936,23.8,30.69,250214619.0
2020-12-22 11:00:00,30.721,32.342,28.11,29.431,311585398.0
2020-12-22 12:00:00,29.43,29.942,26.742,26.782,140739694.0
2020-12-22 13:00:00,26.783,27.288,24.325,24.455,120450711.0
2020-12-22 14:00:00,24.584,26.435,24.482,25.368,77677418.0
2020-12-22 15:00:00,25.367,25.491,23.4,24.048,67086339.00000001
2020-12-22 16:00:00,24.048,25.594,23.136,23.7,72437213.0
2020-12-22 17:00:00,23.801,24.777,23.5,24.0,44002042.0
2020-12-22 18:00:00,23.9,26.217,23.9,24.7,62656206.0
2020-12-22 19:00:00,24.793,24.835,23.641,24.0,34943284.0
2020-12-22 20:00:00,24.0,24.399,22.222,22.308,48158128.0
2020-12-22 21:00:00,22.302,22.6,21.136,21.8,44467547.0
2020-12-22 22:00:00,21.8,22.103,20.002,20.971,48242295.0
2020-12-22 23:00:00,20.601,23.3,20.3,22.0,65376717.0
2020-12-23 00:00:00,22.0,22.75,21.138,21.699,26458713.0
2020-12-23 01:00:00,21.741,23.2,20.954,22.33,31669182.0
2020-12-23 02:00:00,22.297,26.0,22.063,25.8,71026965.0
2020-12-23 03:00:00,25.798,25.798,22.8,23.198,50205942.0
2020-12-23 04:00:00,23.002,23.2,21.919,22.286,27328487.0
2020-12-23 05:00:00,22.285,22.331,20.864,21.183,29383486.0
2020-12-23 06:00:00,21.182,22.94,20.135,20.201,45165512.0
2020-12-23 07:00:00,20.431,20.998,18.702,19.602,62387050.0
2020-12-23 08:00:00,19.602,20.742,18.881,19.31,36130748.0
2020-12-23 09:00:00,19.31,20.279,19.2,19.769,27365022.0
2020-12-23 10:00:00,19.652,19.788,16.469,17.92,91704643.0
2020-12-23 11:00:00,17.994,19.444,17.4,17.862,59162275.0
2020-12-23 12:00:00,17.977,18.609,16.134,17.0,53509274.0
2020-12-23 13:00:00,16.931,17.959,16.345,17.062,44434661.0
2020-12-23 14:00:00,17.1,17.852,16.685,16.9,48119516.0
2020-12-23 15:00:00,16.9,17.371,15.22,15.601,63958247.0
2020-12-23 16:00:00,15.679,16.331,14.4,14.651,75333018.0
2020-12-23 17:00:00,14.689,15.6,14.2,14.655,41254630.0
2020-12-23 18:00:00,14.792,15.7,14.0,15.106,39936857.0
2020-12-23 19:00:00,15.106,17.809,15.105,17.241,68523622.0
2020-12-23 20:00:00,17.241,17.4,15.249,16.424,56009826.0
2020-12-23 21:00:00,16.426,17.222,14.5,14.791,40115092.0
2020-12-23 22:00:00,14.791,15.69,13.534,13.902,45040101.0
2020-12-23 23:00:00,13.903,14.501,12.6,14.057,42323979.0
2020-12-24 00:00:00,14.057,15.248,13.052,14.03,55785798.0
2020-12-24 01:00:00,14.039,14.257,13.477,13.618,14879028.0
2020-12-24 02:00:00,13.694,14.49,13.618,14.179,14372562.0
2020-12-24 03:00:00,14.183,15.425,13.618,14.009,21347656.0
2020-12-24 04:00:00,14.041,14.538,13.65,13.65,12571368.0
