,Open,High,Low,Close,Volume
2021-04-09 06:00:00,7.03,9.699,5.66,6.115,10342933735.0
2021-04-09 07:00:00,6.115,6.129,5.5,5.655,2517410280.0
2021-04-09 08:00:00,5.655,5.94,5.65,5.73,1340984310.0
2021-04-09 09:00:00,5.736,5.8,5.527,5.798,1068755551.0
2021-04-09 10:00:00,5.798,5.8,5.201,5.334,1583832768.0
2021-04-09 11:00:00,5.338,5.688,5.33,5.533,1008975835.0
2021-04-09 12:00:00,5.541,5.665,5.451,5.535,861033222.0
2021-04-09 13:00:00,5.535,6.8,5.535,5.89,6024314460.0
2021-04-09 14:00:00,5.892,5.893,5.61,5.727,1377739521.0
2021-04-09 15:00:00,5.724,5.741,5.459,5.496,1123409122.0
2021-04-09 16:00:00,5.49,5.729,5.4,5.609,1093488818.0
2021-04-09 17:00:00,5.609,5.681,5.48,5.564,626431181.0
2021-04-09 18:00:00,5.564,5.59,5.4,5.549,760593542.0
2021-04-09 19:00:00,5.549,5.587,5.458,5.553,548762918.0
2021-04-09 20:00:00,5.553,5.8,5.499,5.777,683159707.0
2021-04-09 21:00:00,5.778,5.828,5.5,5.622,1110187654.0
2021-04-09 22:00:00,5.628,5.638,5.502,5.511,475899002.0
2021-04-09 23:00:00,5.511,5.75,5.501,5.568,600225666.0
2021-04-10 00:00:00,5.568,5.671,5.523,5.545,376769039.0
2021-04-10 01:00:00,5.545,5.7,5.503,5.529,289204823.0
2021-04-10 02:00:00,5.529,5.67,5.21,5.298,770915829.0
2021-04-10 03:00:00,5.308,5.64,5.3,5.396,627213922.0
2021-04-10 04:00:00,5.396,5.408,5.271,5.32,313401034.0
2021-04-10 05:00:00,5.324,5.4,5.25,5.253,458843306.0
2021-04-10 06:00:00,5.253,5.276,4.958,5.055,1025301180.0
2021-04-10 07:00:00,5.058,5.25,5.009,5.127,658957317.0
2021-04-10 08:00:00,5.128,5.19,5.022,5.105,525423046.0
2021-04-10 09:00:00,5.102,5.161,4.951,5.082,829653857.0
2021-04-10 10:00:00,5.082,5.129,5.0,5.001,662215907.0
2021-04-10 11:00:00,5.001,5.065,4.88,5.015,869391984.0
2021-04-10 12:00:00,5.014,5.066,4.912,5.032,784719697.0
2021-04-10 13:00:00,5.042,5.5,4.98,5.328,1471591736.0
2021-04-10 14:00:00,5.328,5.329,4.988,5.013,1207230829.0
2021-04-10 15:00:00,5.014,5.061,4.777,4.865,1079588149.0
2021-04-10 16:00:00,4.865,4.929,4.734,4.774,1113666070.0
2021-04-10 17:00:00,4.775,4.825,4.538,4.571,1411407669.0
2021-04-10 18:00:00,4.552,4.82,4.324,4.629,2569427859.0
2021-04-10 19:00:00,4.635,5.0,4.576,4.71,1371837452.0
2021-04-10 20:00:00,4.703,4.809,4.553,4.685,678540396.0
2021-04-10 21:00:00,4.689,4.745,4.6,4.67,515835455.0
2021-04-10 22:00:00,4.652,4.72,4.463,4.488,638754130.0
2021-04-10 23:00:00,4.488,4.729,4.487,4.669,504648257.0
2021-04-11 00:00:00,4.676,4.789,4.668,4.697,360772015.0
2021-04-11 01:00:00,4.697,4.782,4.673,4.774,277349989.0
2021-04-11 02:00:00,4.767,4.8,4.35,4.44,787002901.0
2021-04-11 03:00:00,4.44,4.554,4.352,4.479,408601685.0
2021-04-11 04:00:00,4.479,4.542,4.39,4.4,230724404.0
2021-04-11 05:00:00,4.4,4.461,4.356,4.379,347029641.0
2021-04-11 06:00:00,4.38,4.395,4.305,4.322,415103340.0
2021-04-11 07:00:00,4.322,4.355,4.123,4.217,868797712.0
2021-04-11 08:00:00,4.219,4.27,3.862,4.219,1695906918.0
2021-04-11 09:00:00,4.221,4.4,4.152,4.302,873104096.0
2021-04-11 10:00:00,4.309,4.6,4.303,4.474,1186770000.0
2021-04-11 11:00:00,4.473,4.484,4.318,4.4,667015475.0
2021-04-11 12:00:00,4.397,4.48,4.301,4.363,513757495.0
2021-04-11 13:00:00,4.363,4.479,4.342,4.43,482073366.0
2021-04-11 14:00:00,4.431,4.47,4.353,4.379,478110807.0
2021-04-11 15:00:00,4.376,4.42,4.372,4.381,390644493.0
2021-04-11 16:00:00,4.396,4.46,4.373,4.415,424859435.0
2021-04-11 17:00:00,4.416,4.7,4.414,4.658,1308705992.0
2021-04-11 18:00:00,4.659,4.75,4.442,4.443,1256854113.0
2021-04-11 19:00:00,4.443,4.57,4.438,4.489,463362726.0
2021-04-11 20:00:00,4.492,4.636,4.489,4.583,358314644.0
2021-04-11 21:00:00,4.583,4.6,4.491,4.509,321974331.0
2021-04-11 22:00:00,4.509,4.587,4.45,4.544,355438590.0
2021-04-11 23:00:00,4.548,4.564,4.473,4.501,218854693.0
2021-04-12 00:00:00,4.501,4.591,4.469,4.512,276410362.0
2021-04-12 01:00:00,4.512,4.525,4.381,4.47,257857959.0
2021-04-12 02:00:00,4.475,4.7,4.431,4.498,790030129.0
2021-04-12 03:00:00,4.5,4.567,4.455,4.517,190086442.0
2021-04-12 04:00:00,4.517,4.665,4.476,4.502,360682112.0
2021-04-12 05:00:00,4.506,4.74,4.46,4.599,320100372.0
2021-04-12 06:00:00,4.591,4.769,4.541,4.671,457599384.0
2021-04-12 07:00:00,4.671,4.97,4.666,4.873,1358114584.0
