,Open,High,Low,Close,Volume
2021-11-26 09:00:00,30.39,40.0,30.31,32.6,536555554.0
2021-11-26 10:00:00,32.59,33.98,30.5,30.69,75981438.0
2021-11-26 11:00:00,30.69,35.01,28.59,33.86,106601261.0
2021-11-26 12:00:00,33.77,35.3,31.13,31.8,91848474.0
2021-11-26 13:00:00,31.82,36.75,31.34,36.49,96747653.0
2021-11-26 14:00:00,36.47,42.0,34.13,39.48,198999037.0
2021-11-26 15:00:00,39.38,41.76,34.8,36.28,181157533.0
2021-11-26 16:00:00,36.4,37.78,35.6,36.06,68922923.0
2021-11-26 17:00:00,36.01,38.0,35.0,35.79,56755279.0
2021-11-26 18:00:00,35.7,39.5,33.25,39.0,80959677.0
2021-11-26 19:00:00,39.02,50.0,38.37,40.08,862529582.0
2021-11-26 20:00:00,40.06,43.13,37.73,38.53,252402438.0
2021-11-26 21:00:00,38.67,42.9,38.18,42.8,183201402.0
2021-11-26 22:00:00,42.8,45.43,39.0,41.77,222148900.0
2021-11-26 23:00:00,41.9,45.98,40.05,40.19,233997358.0
2021-11-27 00:00:00,40.2,40.84,35.43,36.0,113029632.0
2021-11-27 01:00:00,36.0,41.0,35.74,37.85,99460271.0
2021-11-27 02:00:00,37.86,37.96,34.46,35.42,51573426.0
2021-11-27 03:00:00,35.37,36.74,35.16,35.49,22973910.0
2021-11-27 04:00:00,35.5,38.5,34.99,37.43,44345889.0
2021-11-27 05:00:00,37.43,38.5,35.48,36.04,28692039.0
2021-11-27 06:00:00,36.19,36.24,33.69,33.7,27142983.0
2021-11-27 07:00:00,33.7,35.56,31.55,34.88,75663557.0
2021-11-27 08:00:00,34.88,37.98,33.45,36.0,67602594.0
2021-11-27 09:00:00,36.04,36.38,34.18,36.21,38690424.0
2021-11-27 10:00:00,36.22,36.9,35.05,35.84,37104616.0
2021-11-27 11:00:00,35.84,37.66,35.06,35.14,39170034.0
2021-11-27 12:00:00,35.12,35.39,34.1,34.25,15807930.0
2021-11-27 13:00:00,34.34,35.7,33.57,35.11,17544687.0
2021-11-27 14:00:00,35.06,35.9,35.0,35.69,13574933.0
2021-11-27 15:00:00,35.69,39.7,34.61,38.5,64710954.0
2021-11-27 16:00:00,38.5,39.69,36.78,38.14,48826251.0
2021-11-27 17:00:00,38.23,39.5,36.91,39.13,47787833.0
2021-11-27 18:00:00,39.13,42.5,38.9,41.46,81541358.0
2021-11-27 19:00:00,41.44,41.48,39.4,39.71,28384082.0
