,Open,High,Low,Close,Volume
2021-11-15 09:00:00,0.1739,0.3,0.1739,0.2256,208137982000.0
2021-11-15 10:00:00,0.2256,0.2362,0.214,0.2302,48333211000.0
2021-11-15 11:00:00,0.2302,0.2578,0.2296,0.2401,102805745000.0
2021-11-15 12:00:00,0.24,0.2438,0.2257,0.2295,38010092000.0
2021-11-15 13:00:00,0.2295,0.2439,0.2229,0.2415,40579100000.0
2021-11-15 14:00:00,0.2415,0.242,0.228,0.2332,21224097000.0
2021-11-15 15:00:00,0.2332,0.2333,0.2178,0.2186,34809314000.0
2021-11-15 16:00:00,0.2186,0.2208,0.207,0.2091,21235241000.0
2021-11-15 17:00:00,0.2094,0.2192,0.207,0.2154,20696720000.0
2021-11-15 18:00:00,0.2155,0.2187,0.208,0.2084,11647944000.0
2021-11-15 19:00:00,0.2085,0.217,0.2023,0.2036,16092807000.0
2021-11-15 20:00:00,0.2036,0.2066,0.1937,0.1966,12537775000.0
2021-11-15 21:00:00,0.1966,0.2163,0.1949,0.2061,23908861000.0
2021-11-15 22:00:00,0.2062,0.2162,0.2046,0.2082,15138586000.0
2021-11-15 23:00:00,0.2082,0.2126,0.2017,0.2063,8763758000.0
2021-11-16 00:00:00,0.2064,0.2142,0.2039,0.2119,6294509000.0
2021-11-16 01:00:00,0.2119,0.2119,0.194,0.1951,12389166000.0
2021-11-16 02:00:00,0.1953,0.1957,0.1853,0.1905,13421184000.0
2021-11-16 03:00:00,0.1907,0.1948,0.1855,0.1864,5551552000.0
2021-11-16 04:00:00,0.1865,0.1921,0.1837,0.1887,8663297000.0
2021-11-16 05:00:00,0.1887,0.1957,0.185,0.1935,8068600000.0
2021-11-16 06:00:00,0.1935,0.1935,0.1853,0.1853,4969565000.0
2021-11-16 07:00:00,0.1856,0.1941,0.1856,0.1939,6076020000.0
2021-11-16 08:00:00,0.194,0.2285,0.194,0.2192,50303965000.0
2021-11-16 09:00:00,0.2192,0.2194,0.197,0.201,26971809000.0
2021-11-16 10:00:00,0.2008,0.2026,0.1912,0.1938,12556560000.0
2021-11-16 11:00:00,0.1938,0.1957,0.183,0.1951,16054927000.0
2021-11-16 12:00:00,0.1953,0.2001,0.192,0.1933,8528296000.0
2021-11-16 13:00:00,0.1933,0.1948,0.1881,0.1889,8349216000.0
2021-11-16 14:00:00,0.1889,0.1955,0.1878,0.1902,5862050000.0
2021-11-16 15:00:00,0.1902,0.1974,0.188,0.195,8685367000.0
2021-11-16 16:00:00,0.1949,0.1949,0.1868,0.187,7270661000.0
2021-11-16 17:00:00,0.187,0.1919,0.1869,0.1886,4848610000.0
2021-11-16 18:00:00,0.1885,0.1924,0.187,0.1912,5604858000.0
2021-11-16 19:00:00,0.1912,0.193,0.1877,0.1896,5597362000.0
2021-11-16 20:00:00,0.1896,0.1938,0.186,0.1876,4270769000.0
2021-11-16 21:00:00,0.1876,0.1879,0.1808,0.1825,3949017000.0
2021-11-16 22:00:00,0.1825,0.1899,0.1823,0.188,3026563000.0
2021-11-16 23:00:00,0.188,0.195,0.1864,0.1891,4527714000.0
2021-11-17 00:00:00,0.189,0.19,0.1871,0.189,2502487000.0
2021-11-17 01:00:00,0.1891,0.1898,0.182,0.1841,3179984000.0
2021-11-17 02:00:00,0.1842,0.1848,0.1806,0.1807,3824318000.0
2021-11-17 03:00:00,0.1808,0.1819,0.1779,0.1806,3875256000.0
2021-11-17 04:00:00,0.1806,0.1815,0.1752,0.1789,4526278000.0
2021-11-17 05:00:00,0.1788,0.1807,0.1751,0.1771,2897686000.0
2021-11-17 06:00:00,0.1771,0.1834,0.177,0.1807,3692173000.0
2021-11-17 07:00:00,0.1807,0.1825,0.1765,0.1801,2860903000.0
2021-11-17 08:00:00,0.18,0.1803,0.1771,0.1797,3667865000.0
