,Open,High,Low,Close,Volume
2021-07-29 08:00:00,100.4,156.7,100.4,115.5,68925554.0
2021-07-29 09:00:00,115.5,116.7,106.6,108.9,12852608.0
2021-07-29 10:00:00,108.9,129.0,103.0,113.0,40730400.0
2021-07-29 11:00:00,112.8,120.0,112.8,117.9,13110355.0
2021-07-29 12:00:00,117.9,139.9,117.5,131.5,66352663.0
2021-07-29 13:00:00,131.7,148.0,127.7,137.1,97669507.0
2021-07-29 14:00:00,137.2,137.3,123.1,127.6,50582206.0
2021-07-29 15:00:00,127.6,132.3,124.8,129.5,24423143.0
2021-07-29 16:00:00,129.5,129.6,126.0,128.3,8989342.0
2021-07-29 17:00:00,128.1,132.0,126.7,127.4,11338916.0
2021-07-29 18:00:00,127.5,127.6,124.5,125.1,7863412.0
2021-07-29 19:00:00,125.1,126.9,121.3,121.9,8439982.0
2021-07-29 20:00:00,121.8,138.6,121.1,135.4,28747459.0
2021-07-29 21:00:00,135.4,141.0,133.0,138.5,49917593.0
2021-07-29 22:00:00,138.7,138.9,130.0,134.0,15352242.0
2021-07-29 23:00:00,134.0,143.1,133.3,142.6,25436956.0
2021-07-30 00:00:00,142.8,143.8,135.0,136.3,21140586.0
2021-07-30 01:00:00,136.2,136.2,130.0,134.1,12390654.0
2021-07-30 02:00:00,134.2,137.7,128.3,130.9,11766992.0
2021-07-30 03:00:00,130.9,132.9,128.1,129.3,5255421.0
2021-07-30 04:00:00,129.4,134.9,128.3,130.2,7423052.0
2021-07-30 05:00:00,130.2,132.8,130.0,130.4,4388021.0
2021-07-30 06:00:00,130.1,131.3,128.4,129.0,2973646.0
2021-07-30 07:00:00,128.9,131.0,128.0,129.9,3226743.0
2021-07-30 08:00:00,129.9,130.0,127.8,128.5,3794375.0
2021-07-30 09:00:00,128.5,132.0,125.5,127.4,9199875.0
2021-07-30 10:00:00,127.4,127.6,125.0,126.8,5901019.0
2021-07-30 11:00:00,126.8,127.0,125.0,125.1,7976481.0
2021-07-30 12:00:00,125.1,125.8,120.7,122.8,11164943.0
2021-07-30 13:00:00,122.9,125.3,121.0,122.2,5661038.0
2021-07-30 14:00:00,122.0,129.6,122.0,125.6,9220042.0
2021-07-30 15:00:00,125.6,126.9,124.0,126.0,3584162.0
2021-07-30 16:00:00,126.2,131.0,124.5,130.6,9602146.0
2021-07-30 17:00:00,130.8,131.8,126.8,128.9,6578759.0
2021-07-30 18:00:00,128.9,132.0,127.8,128.4,8065752.0
2021-07-30 19:00:00,128.1,129.8,127.0,128.5,2629855.0
2021-07-30 20:00:00,128.7,131.9,128.5,129.2,2577721.0
2021-07-30 21:00:00,129.2,130.8,127.8,128.1,2449011.0
2021-07-30 22:00:00,128.1,129.9,124.7,127.1,7710341.0
2021-07-30 23:00:00,127.1,129.0,125.5,128.0,4764128.0
2021-07-31 00:00:00,128.0,130.0,127.0,129.4,3227995.0
2021-07-31 01:00:00,129.1,130.1,128.7,129.8,1869684.0
2021-07-31 02:00:00,129.7,131.8,125.8,126.0,3574218.0
2021-07-31 03:00:00,126.0,127.7,125.5,126.7,2218285.0
2021-07-31 04:00:00,126.6,127.4,125.2,126.4,1631865.0
2021-07-31 05:00:00,126.4,128.2,126.4,127.2,1146701.0
2021-07-31 06:00:00,127.2,127.4,125.2,126.2,1234479.0
2021-07-31 07:00:00,126.2,127.1,125.5,126.4,1026352.0000000001
2021-07-31 08:00:00,126.4,127.2,123.2,127.0,1947302.0
2021-07-31 09:00:00,126.9,127.5,125.7,126.3,938016.0
2021-07-31 10:00:00,126.2,127.7,125.7,126.4,1720655.0
2021-07-31 11:00:00,126.2,128.0,126.2,127.3,1076969.0
2021-07-31 12:00:00,127.1,128.3,127.0,127.8,1181150.0
2021-07-31 13:00:00,127.6,129.6,126.9,128.9,1713368.0
2021-07-31 14:00:00,128.9,129.4,127.0,128.5,1964471.0
2021-07-31 15:00:00,128.5,128.6,127.0,127.3,1022726.0
2021-07-31 16:00:00,127.3,127.9,126.5,127.9,517813.0
