,Open,High,Low,Close,Volume
2018-03-19 09:00:00,16.0,16.5,13.1,15.299,23734507.0
2018-03-19 10:00:00,15.299,15.569,14.199,15.05,43698026.0
2018-03-19 11:00:00,15.05,15.25,14.405,15.03,24884629.0
2018-03-19 12:00:00,15.055,15.368,14.876,15.252,31917637.0
2018-03-19 13:00:00,15.251,15.252,14.933,15.071,17500311.0
2018-03-19 14:00:00,15.072,15.3,14.83,15.1,50530851.0
2018-03-19 15:00:00,15.051,15.489,14.7,15.18,54306339.0
2018-03-19 16:00:00,15.18,16.65,15.179,16.4,70850555.0
2018-03-19 17:00:00,16.4,16.85,16.0,16.01,157597794.0
2018-03-19 18:00:00,16.01,16.397,15.51,16.195,79688032.0
2018-03-19 19:00:00,16.195,16.585,16.1,16.492,38237668.0
2018-03-19 20:00:00,16.5,18.5,16.495,18.299,169171283.0
2018-03-19 21:00:00,18.299,18.399,17.446,17.677,76094087.0
2018-03-19 22:00:00,17.677,18.2,17.181,17.9,61795672.0
2018-03-19 23:00:00,17.939,18.955,17.6,18.955,56977009.0
2018-03-20 00:00:00,18.967,20.549,18.92,19.878,216367058.0
2018-03-20 01:00:00,19.88,22.0,19.718,21.605,248300135.0
2018-03-20 02:00:00,21.615,21.65,19.3,20.136,196258037.0
2018-03-20 03:00:00,20.14,21.1,20.0,20.704,128306694.0
2018-03-20 04:00:00,20.724,20.89,20.0,20.411,83038632.0
2018-03-20 05:00:00,20.411,20.419,18.7,19.174,108594927.0
2018-03-20 06:00:00,19.154,20.0,18.555,19.912,105352231.0
2018-03-20 07:00:00,19.919,19.999,19.338,19.449,60291062.0
2018-03-20 08:00:00,19.469,19.549,18.41,18.587,44179150.0
2018-03-20 09:00:00,18.587,19.498,18.053,18.78,98954801.0
2018-03-20 10:00:00,18.78,19.685,18.35,19.648,89000377.0
2018-03-20 11:00:00,19.625,19.8,19.313,19.59,60034188.0
2018-03-20 12:00:00,19.622,19.75,19.312,19.445,46312177.0
2018-03-20 13:00:00,19.443,19.637,19.2,19.512,45344181.0
2018-03-20 14:00:00,19.505,20.607,19.464,19.829,146486294.0
2018-03-20 15:00:00,19.835,20.7,19.65,20.476,104594337.0
2018-03-20 16:00:00,20.49,21.6,20.405,21.258,171978561.0
2018-03-20 17:00:00,21.258,21.8,21.0,21.227,179957759.0
2018-03-20 18:00:00,21.227,21.6,21.0,21.49,70908025.0
2018-03-20 19:00:00,21.48,21.589,21.002,21.078,55902356.0
2018-03-20 20:00:00,21.08,21.55,21.001,21.187,80288431.0
