,Open,High,Low,Close,Volume
2021-10-07 09:00:00,9.701,30.5,9.701,22.75,5806610000.0
2021-10-07 10:00:00,22.751,22.77,20.293,20.368,815230300.0
2021-10-07 11:00:00,20.365,22.074,18.906,21.257,1162709200.0
2021-10-07 12:00:00,21.251,21.27,19.56,20.1,352184700.0
2021-10-07 13:00:00,20.1,21.189,19.655,19.844,444715000.0
2021-10-07 14:00:00,19.844,20.897,19.763,20.51,332908200.0
2021-10-07 15:00:00,20.519,26.847,20.01,23.827,2827670900.0
2021-10-07 16:00:00,23.846,23.9,20.126,21.957,1026770200.0
2021-10-07 17:00:00,21.956,22.672,20.926,21.349,425736400.0
2021-10-07 18:00:00,21.349,21.4,20.511,20.875,252755900.0
2021-10-07 19:00:00,20.877,24.0,20.829,23.337,705110400.0
2021-10-07 20:00:00,23.344,23.48,21.06,21.878,451009100.0
2021-10-07 21:00:00,21.87,21.921,20.516,20.654,242701600.0
2021-10-07 22:00:00,20.652,21.593,20.6,20.639,156910600.0
2021-10-07 23:00:00,20.64,20.741,19.568,20.013,269604700.0
2021-10-08 00:00:00,20.013,20.158,18.822,19.243,253339400.0
2021-10-08 01:00:00,19.242,19.25,17.756,17.982,155762700.0
2021-10-08 02:00:00,17.965,21.175,17.892,19.847,512665200.0
2021-10-08 03:00:00,19.744,20.468,18.167,18.81,269708800.0
2021-10-08 04:00:00,18.831,19.0,17.722,18.7,189665700.0
2021-10-08 05:00:00,18.7,20.5,18.165,19.314,403833400.0
2021-10-08 06:00:00,19.318,20.2,18.57,18.755,258534100.0
2021-10-08 07:00:00,18.757,19.193,18.165,18.471,175061800.0
2021-10-08 08:00:00,18.47,18.823,18.184,18.211,167004700.0
2021-10-08 09:00:00,18.205,18.212,16.791,17.079,256421600.0
2021-10-08 10:00:00,17.08,17.289,16.478,16.7,190862200.0
2021-10-08 11:00:00,16.7,16.968,16.41,16.46,104058400.0
2021-10-08 12:00:00,16.445,16.788,16.219,16.291,156241300.0
2021-10-08 13:00:00,16.315,16.7,15.651,15.652,191324200.0
2021-10-08 14:00:00,15.652,15.894,15.32,15.62,242516300.0
2021-10-08 15:00:00,15.63,16.59,15.496,15.549,352439400.0
2021-10-08 16:00:00,15.538,15.989,15.11,15.975,249526700.0
2021-10-08 17:00:00,15.979,16.332,15.497,15.85,280829200.0
2021-10-08 18:00:00,15.852,16.329,15.495,15.749,159328600.0
2021-10-08 19:00:00,15.735,16.295,15.735,16.295,92391900.0
2021-10-08 20:00:00,16.295,17.178,16.233,16.47,231602000.0
2021-10-08 21:00:00,16.469,16.995,16.28,16.471,86140800.0
2021-10-08 22:00:00,16.458,16.538,15.9,16.058,58866300.0
2021-10-08 23:00:00,16.063,16.348,15.9,16.181,36311900.0
2021-10-09 00:00:00,16.208,16.5,15.872,15.889,50814400.0
2021-10-09 01:00:00,15.887,15.967,15.599,15.722,28990800.0
2021-10-09 02:00:00,15.709,15.74,15.239,15.654,61247500.0
2021-10-09 03:00:00,15.652,16.143,15.5,15.815,60433400.0
2021-10-09 04:00:00,15.825,16.319,15.653,16.043,45691800.0
2021-10-09 05:00:00,16.043,16.3,15.908,16.17,29929700.0
2021-10-09 06:00:00,16.17,16.804,15.958,16.674,101789200.0
2021-10-09 07:00:00,16.66,16.946,16.1,16.171,89080400.0
2021-10-09 08:00:00,16.147,16.56,15.898,16.207,66032000.0
2021-10-09 09:00:00,16.205,16.456,16.0,16.323,43149300.0
2021-10-09 10:00:00,16.323,16.323,15.66,15.74,50947700.0
2021-10-09 11:00:00,15.72,15.846,15.387,15.645,90628600.0
2021-10-09 12:00:00,15.65,15.826,15.515,15.574,57351400.0
2021-10-09 13:00:00,15.574,15.685,15.26,15.272,58620300.0
2021-10-09 14:00:00,15.298,15.453,14.607,14.734,134993500.0
2021-10-09 15:00:00,14.736,15.0,14.509,14.676,97395700.0
2021-10-09 16:00:00,14.68,15.072,14.381,14.72,129004300.0
2021-10-09 17:00:00,14.703,14.995,14.575,14.598,86591700.0
2021-10-09 18:00:00,14.574,14.623,13.899,14.184,117627300.0
2021-10-09 19:00:00,14.184,14.224,14.0,14.0,26366700.0
2021-10-09 20:00:00,14.001,14.588,13.964,14.49,61952600.0
2021-10-09 21:00:00,14.494,14.693,14.27,14.65,44895900.0
2021-10-09 22:00:00,14.645,14.938,14.328,14.395,54760500.0
2021-10-09 23:00:00,14.416,14.74,14.38,14.44,20026700.0
2021-10-10 00:00:00,14.439,15.119,14.36,14.907,46473200.0
2021-10-10 01:00:00,14.89,14.908,14.62,14.657,16980600.0
2021-10-10 02:00:00,14.668,15.35,14.521,14.676,149371100.0
2021-10-10 03:00:00,14.669,14.669,14.126,14.172,34443200.0
2021-10-10 04:00:00,14.202,14.896,14.125,14.411,64960100.0
2021-10-10 05:00:00,14.411,14.82,14.21,14.502,42367700.0
2021-10-10 06:00:00,14.503,14.701,14.4,14.436,102490100.0
2021-10-10 07:00:00,14.447,14.606,14.393,14.42,34394400.0
2021-10-10 08:00:00,14.405,14.554,14.318,14.318,11154000.0
2021-10-10 09:00:00,14.316,14.435,14.169,14.202,29912200.0
2021-10-10 10:00:00,14.2,14.356,14.151,14.177,29153600.0
2021-10-10 11:00:00,14.18,14.297,14.022,14.121,27587000.0
2021-10-10 12:00:00,14.121,14.216,14.056,14.161,36738900.0
2021-10-10 13:00:00,14.161,14.325,14.02,14.059,29267900.0
2021-10-10 14:00:00,14.057,14.057,13.752,13.918,41852900.0
2021-10-10 15:00:00,13.912,14.161,13.778,14.085,34321500.0
2021-10-10 16:00:00,14.085,14.65,14.082,14.286,98236200.0
2021-10-10 17:00:00,14.281,14.527,14.114,14.291,33517100.0
2021-10-10 18:00:00,14.299,14.528,14.154,14.528,28623000.0
2021-10-10 19:00:00,14.533,16.3,14.39,15.702,424861900.0
2021-10-10 20:00:00,15.721,21.319,15.6,18.124,2295766900.0
2021-10-10 21:00:00,18.119,20.413,18.062,18.915,1060131000.0
2021-10-10 22:00:00,18.915,19.019,17.428,17.628,312987400.0
2021-10-10 23:00:00,17.601,18.448,16.729,17.096,303044300.0
2021-10-11 00:00:00,17.067,17.808,16.661,16.755,194752700.0
2021-10-11 01:00:00,16.755,18.4,16.75,17.175,357910900.0
2021-10-11 02:00:00,17.181,17.799,16.8,17.146,129037300.0
2021-10-11 03:00:00,17.114,17.551,16.7,16.861,82252100.0
2021-10-11 04:00:00,16.865,16.876,16.312,16.793,72106900.0
2021-10-11 05:00:00,16.797,17.437,16.285,17.079,88794000.0
2021-10-11 06:00:00,17.102,17.104,16.333,16.409,72604300.0
2021-10-11 07:00:00,16.41,16.588,15.87,15.888,90771200.0
2021-10-11 08:00:00,15.876,15.929,15.4,15.642,96210400.0
2021-10-11 09:00:00,15.654,16.413,15.371,15.796,211892700.0
2021-10-11 10:00:00,15.8,16.069,15.6,15.86,62903900.0
2021-10-11 11:00:00,15.861,17.365,15.859,16.301,373644000.0
2021-10-11 12:00:00,16.3,16.822,15.805,15.947,164804500.0
2021-10-11 13:00:00,15.94,16.04,15.355,15.708,131665900.0
2021-10-11 14:00:00,15.708,15.739,15.345,15.7,51634000.0
2021-10-11 15:00:00,15.698,15.89,15.475,15.685,90063200.0
2021-10-11 16:00:00,15.684,15.684,15.169,15.308,55847400.0
2021-10-11 17:00:00,15.317,15.573,14.81,15.167,90981800.0
2021-10-11 18:00:00,15.135,15.215,14.65,14.906,46780900.0
2021-10-11 19:00:00,14.911,15.473,14.714,14.776,70457100.0
2021-10-11 20:00:00,14.782,15.56,14.596,14.826,84127700.0
2021-10-11 21:00:00,14.822,15.4,14.801,14.989,64290900.0
2021-10-11 22:00:00,14.98,14.985,14.6,14.6,35089600.0
2021-10-11 23:00:00,14.601,15.069,14.58,15.021,22089500.0
2021-10-12 00:00:00,15.014,15.4,14.777,15.087,41070600.0
2021-10-12 01:00:00,15.08,15.518,14.934,15.455,85612600.0
2021-10-12 02:00:00,15.451,15.466,14.992,15.203,39739000.0
2021-10-12 03:00:00,15.212,15.393,14.95,15.248,72844000.0
2021-10-12 04:00:00,15.243,15.259,14.681,14.866,15005200.0
2021-10-12 05:00:00,14.9,14.973,14.442,14.496,36383700.0
2021-10-12 06:00:00,14.481,14.593,14.392,14.401,18069500.0
2021-10-12 07:00:00,14.404,14.42,14.232,14.338,19758800.0
2021-10-12 08:00:00,14.325,14.498,14.204,14.204,12719000.0
2021-10-12 09:00:00,14.204,14.288,14.121,14.123,20019000.0
2021-10-12 10:00:00,14.132,14.622,14.124,14.406,47136900.0
2021-10-12 11:00:00,14.403,14.403,13.927,13.967,29498400.0
2021-10-12 12:00:00,13.968,14.059,13.902,14.039,19718400.0
2021-10-12 13:00:00,14.039,14.152,13.979,14.029,20728600.0
2021-10-12 14:00:00,14.045,14.4,13.9,13.945,33954500.0
2021-10-12 15:00:00,13.965,14.6,13.965,14.438,42761500.0
2021-10-12 16:00:00,14.435,14.6,14.08,14.12,42782200.0
2021-10-12 17:00:00,14.158,14.52,14.111,14.227,21136700.0
2021-10-12 18:00:00,14.228,14.468,14.228,14.319,18246200.0
2021-10-12 19:00:00,14.329,15.794,14.295,14.754,174791900.0
2021-10-12 20:00:00,14.754,14.828,14.387,14.409,48530600.0
2021-10-12 21:00:00,14.409,14.742,14.394,14.409,27432200.0
2021-10-12 22:00:00,14.409,14.711,14.392,14.502,18178200.0
2021-10-12 23:00:00,14.516,14.793,14.474,14.572,24876100.0
2021-10-13 00:00:00,14.575,14.64,14.399,14.53,16365000.0
2021-10-13 01:00:00,14.549,14.568,14.195,14.252,18732300.0
