,Open,High,Low,Close,Volume
2021-03-22 10:00:00,0.68,1.3,0.68,0.7198,49321889880.0
2021-03-22 11:00:00,0.7187,0.728,0.661,0.6761,7253146120.0
2021-03-22 12:00:00,0.6769,0.68,0.6481,0.6532,4015531030.0
2021-03-22 13:00:00,0.6527,0.66,0.575,0.6019,10463262280.0
2021-03-22 14:00:00,0.5995,0.6632,0.5977,0.6379,5499650190.0
2021-03-22 15:00:00,0.6397,0.664,0.612,0.6188,2319461850.0
2021-03-22 16:00:00,0.6187,0.6273,0.6088,0.6146,1294186360.0
2021-03-22 17:00:00,0.6123,0.6333,0.59,0.5966,2587927380.0
2021-03-22 18:00:00,0.5966,0.622,0.588,0.6069,1714762050.0
2021-03-22 19:00:00,0.6061,0.6109,0.5826,0.5995,1896497430.0
2021-03-22 20:00:00,0.5993,0.637,0.5932,0.6188,1589368990.0
2021-03-22 21:00:00,0.6188,0.63,0.5818,0.5913,1495579730.0
2021-03-22 22:00:00,0.5913,0.606,0.5829,0.5872,774452280.0
2021-03-22 23:00:00,0.5868,0.597,0.578,0.5951,696888830.0
2021-03-23 00:00:00,0.5951,0.5974,0.581,0.5877,621458070.0
2021-03-23 01:00:00,0.586,0.5876,0.545,0.5583,1738629280.0
2021-03-23 02:00:00,0.552,0.5721,0.5443,0.565,1062891620.0000001
2021-03-23 03:00:00,0.5651,0.5761,0.56,0.5734,715789990.0
2021-03-23 04:00:00,0.5725,0.5819,0.5697,0.578,345454240.0
2021-03-23 05:00:00,0.5781,0.5819,0.5502,0.5524,765581320.0
2021-03-23 06:00:00,0.5517,0.5587,0.5341,0.5384,895348790.0
2021-03-23 07:00:00,0.5381,0.5443,0.5251,0.528,917397710.0
2021-03-23 08:00:00,0.5293,0.5492,0.525,0.548,698893200.0
2021-03-23 09:00:00,0.5479,0.5479,0.5301,0.5365,877450430.0
2021-03-23 10:00:00,0.5365,0.5758,0.5365,0.5667,1372516990.0
2021-03-23 11:00:00,0.568,0.5797,0.5601,0.5664,702720480.0
2021-03-23 12:00:00,0.5646,0.5665,0.55,0.55,493021000.0
2021-03-23 13:00:00,0.551,0.5671,0.548,0.5541,558517080.0
2021-03-23 14:00:00,0.5557,0.5665,0.55,0.5556,435925320.0
2021-03-23 15:00:00,0.5556,0.5674,0.5454,0.5507,636483980.0
2021-03-23 16:00:00,0.5525,0.5605,0.5466,0.549,239528460.0
2021-03-23 17:00:00,0.5489,0.5514,0.5353,0.547,399455960.0
2021-03-23 18:00:00,0.547,0.55,0.5346,0.5401,1097562430.0
2021-03-23 19:00:00,0.5402,0.5434,0.532,0.5357,475540620.0
2021-03-23 20:00:00,0.5379,0.5789,0.526,0.5457,1591909840.0
2021-03-23 21:00:00,0.5484,0.589,0.5439,0.5556,1987918240.0
2021-03-23 22:00:00,0.5557,0.5569,0.545,0.5508,439956810.0
2021-03-23 23:00:00,0.5498,0.5533,0.5423,0.5424,202545900.0
2021-03-24 00:00:00,0.5423,0.548,0.5386,0.5415,195780830.0
2021-03-24 01:00:00,0.541,0.5458,0.5293,0.5293,346663440.0
2021-03-24 02:00:00,0.5316,0.5458,0.5279,0.5323,288907410.0
2021-03-24 03:00:00,0.5341,0.5398,0.5286,0.5306,168017920.0
2021-03-24 04:00:00,0.5314,0.54,0.5306,0.5327,176065460.0
2021-03-24 05:00:00,0.5317,0.5346,0.525,0.5283,204749150.0
2021-03-24 06:00:00,0.5257,0.5301,0.52,0.5257,300406360.0
2021-03-24 07:00:00,0.5258,0.5497,0.5246,0.5289,568639200.0
2021-03-24 08:00:00,0.5289,0.5495,0.5266,0.5381,495935100.0
2021-03-24 09:00:00,0.5415,0.563,0.537,0.5572,766450980.0
2021-03-24 10:00:00,0.5566,0.5572,0.5447,0.5495,465968540.0
2021-03-24 11:00:00,0.5493,0.5776,0.5455,0.5609,612284220.0
2021-03-24 12:00:00,0.5609,0.5749,0.5587,0.569,638793160.0
2021-03-24 13:00:00,0.569,0.57,0.555,0.5651,386155620.0
2021-03-24 14:00:00,0.5651,0.5798,0.5637,0.5716,681366040.0
2021-03-24 15:00:00,0.5715,0.6063,0.5701,0.5987,940853900.0
2021-03-24 16:00:00,0.5976,0.5991,0.5743,0.5866,931866950.0
2021-03-24 17:00:00,0.5866,0.5978,0.5817,0.5933,335952760.0
2021-03-24 18:00:00,0.593,0.6651,0.5882,0.632,5233950490.0
2021-03-24 19:00:00,0.6352,0.666,0.6121,0.645,3949800490.0
2021-03-24 20:00:00,0.6455,0.8299,0.645,0.8065,36527828510.0
2021-03-24 21:00:00,0.8066,0.8134,0.654,0.68,20827567880.0
2021-03-24 22:00:00,0.6803,0.7181,0.6583,0.672,4905928250.0
2021-03-24 23:00:00,0.6753,0.6791,0.6,0.6282,4046962430.0
2021-03-25 00:00:00,0.6281,0.6631,0.61,0.6421,2313357080.0
2021-03-25 01:00:00,0.6445,0.71,0.625,0.7067,3148410110.0
2021-03-25 02:00:00,0.7067,0.7067,0.6462,0.6496,2608635210.0
2021-03-25 03:00:00,0.65,0.6662,0.6248,0.634,1553781650.0
2021-03-25 04:00:00,0.6339,0.6581,0.6131,0.6251,1226690360.0
2021-03-25 05:00:00,0.625,0.625,0.5836,0.5841,2204791800.0
2021-03-25 06:00:00,0.5866,0.6448,0.5836,0.6398,2603133080.0
2021-03-25 07:00:00,0.6396,0.6539,0.62,0.6293,2223295100.0
2021-03-25 08:00:00,0.6293,0.6295,0.5905,0.594,2590770680.0
2021-03-25 09:00:00,0.5952,0.6455,0.5916,0.6236,2575323220.0
2021-03-25 10:00:00,0.6227,0.6399,0.606,0.6088,1626918020.0
2021-03-25 11:00:00,0.6087,0.6117,0.5802,0.5945,3307156300.0
2021-03-25 12:00:00,0.5944,0.5945,0.565,0.5747,1549446200.0
2021-03-25 13:00:00,0.5736,0.5747,0.5212,0.5327,3114363470.0
2021-03-25 14:00:00,0.5309,0.5558,0.5291,0.5384,1256232130.0
2021-03-25 15:00:00,0.5378,0.5689,0.5326,0.5347,1327882350.0
2021-03-25 16:00:00,0.536,0.5655,0.5252,0.549,1120696500.0
2021-03-25 17:00:00,0.549,0.57,0.5304,0.5383,1417278140.0
2021-03-25 18:00:00,0.5395,0.544,0.5275,0.53,792154810.0
2021-03-25 19:00:00,0.531,0.5569,0.5279,0.5424,1272080280.0
2021-03-25 20:00:00,0.5422,0.6166,0.5395,0.587,4626180680.0
2021-03-25 21:00:00,0.587,0.5894,0.5636,0.5674,1262165180.0
2021-03-25 22:00:00,0.5675,0.583,0.5661,0.5725,597026500.0
2021-03-25 23:00:00,0.5743,0.61,0.57,0.5718,863441600.0
2021-03-26 00:00:00,0.5728,0.5737,0.5552,0.5587,475690380.0
2021-03-26 01:00:00,0.5586,0.5839,0.5551,0.58,493906000.0
2021-03-26 02:00:00,0.58,0.5887,0.5703,0.5866,378736110.0
2021-03-26 03:00:00,0.5882,0.5928,0.563,0.5695,444411720.0
2021-03-26 04:00:00,0.5694,0.586,0.5665,0.5855,366031020.0
2021-03-26 05:00:00,0.585,0.586,0.5726,0.5801,719039210.0
2021-03-26 06:00:00,0.5801,0.5856,0.571,0.5831,330245360.0
2021-03-26 07:00:00,0.5819,0.59,0.575,0.589,604274070.0
2021-03-26 08:00:00,0.588,0.624,0.581,0.62,1645132440.0
2021-03-26 09:00:00,0.62,0.6214,0.5936,0.5955,1036694440.0
2021-03-26 10:00:00,0.595,0.6063,0.5947,0.6044,406236430.0
2021-03-26 11:00:00,0.6044,0.6331,0.5997,0.6142,1783318500.0
2021-03-26 12:00:00,0.6148,0.6195,0.5949,0.599,1153269190.0
2021-03-26 13:00:00,0.5983,0.6008,0.589,0.5957,608435880.0
2021-03-26 14:00:00,0.5957,0.6058,0.59,0.602,628437050.0
2021-03-26 15:00:00,0.602,0.6058,0.59,0.6005,579646160.0
2021-03-26 16:00:00,0.6003,0.615,0.5959,0.6007,748162190.0
2021-03-26 17:00:00,0.6007,0.6142,0.5951,0.61,1171059990.0
2021-03-26 18:00:00,0.6102,0.63,0.6086,0.6131,797597830.0
2021-03-26 19:00:00,0.6136,0.6136,0.5935,0.6001,1465248200.0
2021-03-26 20:00:00,0.5984,0.6188,0.58,0.5914,1118573260.0
2021-03-26 21:00:00,0.5924,0.5951,0.5788,0.5827,679695500.0
2021-03-26 22:00:00,0.5825,0.608,0.5721,0.6066,1032383600.0
2021-03-26 23:00:00,0.6067,0.6198,0.5903,0.6155,1763774810.0
2021-03-27 00:00:00,0.6176,0.659,0.6133,0.6534,1912212380.0
2021-03-27 01:00:00,0.6534,0.6538,0.6315,0.6333,742850280.0
2021-03-27 02:00:00,0.6323,0.6469,0.6175,0.6179,509321680.0
2021-03-27 03:00:00,0.6193,0.6372,0.6178,0.6349,406555910.0
2021-03-27 04:00:00,0.6376,0.6729,0.6307,0.6714,944454500.0
2021-03-27 05:00:00,0.6709,0.6777,0.6506,0.6747,851891000.0
2021-03-27 06:00:00,0.6745,0.6776,0.6395,0.6516,920374250.0
2021-03-27 07:00:00,0.6515,0.6675,0.6433,0.6598,752442680.0
2021-03-27 08:00:00,0.659,0.659,0.638,0.6386,993462260.0
2021-03-27 09:00:00,0.6386,0.6559,0.638,0.6458,582145970.0
2021-03-27 10:00:00,0.647,0.6567,0.642,0.6498,595708150.0
2021-03-27 11:00:00,0.6501,0.6699,0.6434,0.65,760748480.0
2021-03-27 12:00:00,0.6498,0.6594,0.6326,0.6427,608068460.0
2021-03-27 13:00:00,0.6427,0.65,0.6345,0.6393,635044760.0
