,Open,High,Low,Close,Volume
2021-10-11 08:00:00,1.481,5.0,1.481,3.265,27952992300.0
2021-10-11 09:00:00,3.27,3.49,3.0,3.264,9432788800.0
2021-10-11 10:00:00,3.262,3.299,3.1,3.227,3652457500.0
2021-10-11 11:00:00,3.222,3.44,3.137,3.174,6393238000.0
2021-10-11 12:00:00,3.18,3.237,2.812,2.833,4370862900.0
2021-10-11 13:00:00,2.831,2.938,2.636,2.725,4727921100.0
2021-10-11 14:00:00,2.723,2.891,2.654,2.807,4397864000.0
2021-10-11 15:00:00,2.808,2.94,2.69,2.767,3294013300.0
2021-10-11 16:00:00,2.765,2.784,2.542,2.651,3200929200.0
2021-10-11 17:00:00,2.654,2.722,2.425,2.432,2828893700.0
2021-10-11 18:00:00,2.434,2.574,2.393,2.555,3061392800.0
2021-10-11 19:00:00,2.556,2.578,2.4,2.429,1772974200.0
2021-10-11 20:00:00,2.429,2.585,2.422,2.479,2095809700.0
2021-10-11 21:00:00,2.48,2.67,2.479,2.661,2485341100.0
2021-10-11 22:00:00,2.66,2.66,2.436,2.483,1518218700.0
2021-10-11 23:00:00,2.485,2.509,2.397,2.422,598557500.0
2021-10-12 00:00:00,2.422,2.51,2.409,2.479,831613100.0
2021-10-12 01:00:00,2.478,2.56,2.424,2.559,817993700.0
2021-10-12 02:00:00,2.558,2.973,2.5,2.914,6006263500.0
2021-10-12 03:00:00,2.915,3.1,2.732,2.826,7080032000.0
2021-10-12 04:00:00,2.825,3.015,2.75,2.791,4086853800.0
2021-10-12 05:00:00,2.791,2.898,2.544,2.57,3487581900.0
2021-10-12 06:00:00,2.571,2.644,2.53,2.546,1910425400.0
2021-10-12 07:00:00,2.546,2.595,2.472,2.583,1232636900.0
2021-10-12 08:00:00,2.581,2.63,2.492,2.556,1587303400.0
2021-10-12 09:00:00,2.556,2.628,2.501,2.55,936208700.0
2021-10-12 10:00:00,2.548,2.68,2.535,2.597,1007883900.0
2021-10-12 11:00:00,2.593,2.617,2.356,2.445,1857537400.0
2021-10-12 12:00:00,2.445,2.513,2.365,2.4,1586572400.0
2021-10-12 13:00:00,2.4,2.41,2.327,2.341,868436500.0
2021-10-12 14:00:00,2.34,2.524,2.304,2.36,2024555100.0
2021-10-12 15:00:00,2.361,2.439,2.346,2.36,655463000.0
2021-10-12 16:00:00,2.361,2.523,2.361,2.408,953420000.0
2021-10-12 17:00:00,2.409,2.449,2.379,2.447,305117500.0
2021-10-12 18:00:00,2.447,2.456,2.36,2.367,379534200.0
2021-10-12 19:00:00,2.37,2.373,2.32,2.322,438568100.0
2021-10-12 20:00:00,2.322,2.34,2.307,2.331,242156600.0
2021-10-12 21:00:00,2.331,2.341,2.305,2.338,218222800.0
2021-10-12 22:00:00,2.338,2.398,2.32,2.342,366400400.0
2021-10-12 23:00:00,2.342,2.348,2.31,2.336,158187300.0
2021-10-13 00:00:00,2.338,2.467,2.329,2.381,474830300.0
2021-10-13 01:00:00,2.382,2.416,2.368,2.398,173910900.0
2021-10-13 02:00:00,2.398,2.503,2.352,2.45,496902500.0
2021-10-13 03:00:00,2.451,2.458,2.381,2.432,301033400.0
2021-10-13 04:00:00,2.432,2.486,2.407,2.469,414647400.0
2021-10-13 05:00:00,2.467,2.467,2.4,2.425,284137100.0
2021-10-13 06:00:00,2.427,2.433,2.362,2.379,306582800.0
2021-10-13 07:00:00,2.376,2.38,2.188,2.199,934838000.0
2021-10-13 08:00:00,2.194,2.273,2.119,2.15,1329782000.0
2021-10-13 09:00:00,2.15,2.227,2.104,2.172,786686400.0
2021-10-13 10:00:00,2.17,2.242,2.155,2.162,535985500.0
2021-10-13 11:00:00,2.165,2.2,2.15,2.174,468807100.0
2021-10-13 12:00:00,2.18,2.22,2.135,2.158,442007900.0
2021-10-13 13:00:00,2.16,2.208,2.156,2.157,263260300.0
2021-10-13 14:00:00,2.159,2.195,2.061,2.075,1180076600.0
2021-10-13 15:00:00,2.071,2.074,2.01,2.04,941961600.0
2021-10-13 16:00:00,2.04,2.093,2.015,2.038,879198700.0
2021-10-13 17:00:00,2.037,2.083,2.031,2.051,459761400.0
2021-10-13 18:00:00,2.051,2.086,1.992,2.041,781148400.0
2021-10-13 19:00:00,2.041,2.072,2.01,2.012,410646700.0
2021-10-13 20:00:00,2.015,2.025,1.963,1.973,689508500.0
2021-10-13 21:00:00,1.972,2.024,1.96,2.005,511500400.0
2021-10-13 22:00:00,2.004,2.068,2.001,2.019,476811300.0
