,Open,High,Low,Close,Volume
2021-08-10 08:00:00,3.862,5.5,3.862,4.31,2240048600.0
2021-08-10 09:00:00,4.318,4.49,4.223,4.459,659545000.0
2021-08-10 10:00:00,4.458,4.458,4.251,4.31,328245300.0
2021-08-10 11:00:00,4.308,4.35,4.263,4.329,200149200.0
2021-08-10 12:00:00,4.329,4.41,4.18,4.21,353743000.0
2021-08-10 13:00:00,4.209,4.293,4.148,4.215,179805400.0
2021-08-10 14:00:00,4.215,4.337,4.198,4.31,112861600.0
2021-08-10 15:00:00,4.302,4.331,4.15,4.182,328281000.0
2021-08-10 16:00:00,4.191,4.22,4.1,4.14,150921100.0
2021-08-10 17:00:00,4.139,4.173,4.05,4.109,84883000.0
2021-08-10 18:00:00,4.108,4.123,4.0,4.06,189724100.0
2021-08-10 19:00:00,4.066,4.137,4.048,4.11,96175200.0
2021-08-10 20:00:00,4.11,4.2,4.11,4.184,53888500.0
2021-08-10 21:00:00,4.188,4.239,4.17,4.193,65906000.0
2021-08-10 22:00:00,4.194,4.28,4.189,4.24,80798100.0
2021-08-10 23:00:00,4.24,4.318,4.2,4.249,57704700.0
2021-08-11 00:00:00,4.251,4.301,4.229,4.237,36026900.0
2021-08-11 01:00:00,4.237,4.339,4.18,4.201,44532600.0
2021-08-11 02:00:00,4.2,4.245,4.136,4.174,63369900.0
2021-08-11 03:00:00,4.175,4.18,4.146,4.171,30982800.0
2021-08-11 04:00:00,4.172,4.224,4.143,4.152,36046100.0
2021-08-11 05:00:00,4.152,4.2,4.123,4.175,33588400.0
2021-08-11 06:00:00,4.182,4.3,4.163,4.272,86137600.0
2021-08-11 07:00:00,4.278,4.368,4.273,4.321,102730700.0
2021-08-11 08:00:00,4.328,4.344,4.269,4.276,87168300.0
2021-08-11 09:00:00,4.274,4.338,4.212,4.229,95159000.0
2021-08-11 10:00:00,4.238,4.684,4.21,4.53,470376100.0
2021-08-11 11:00:00,4.528,4.675,4.355,4.384,218454600.0
2021-08-11 12:00:00,4.385,4.568,4.353,4.466,190344900.0
2021-08-11 13:00:00,4.466,4.467,4.37,4.373,52007800.0
2021-08-11 14:00:00,4.375,4.468,4.356,4.461,50716900.0
2021-08-11 15:00:00,4.459,4.571,4.45,4.507,60070800.0
2021-08-11 16:00:00,4.505,4.515,4.36,4.405,79873200.0
2021-08-11 17:00:00,4.406,4.408,4.32,4.321,40498000.0
2021-08-11 18:00:00,4.322,4.49,4.271,4.466,78653800.0
2021-08-11 19:00:00,4.465,4.49,4.393,4.423,31510500.0
2021-08-11 20:00:00,4.424,4.435,4.337,4.347,44830300.0
2021-08-11 21:00:00,4.342,4.413,4.337,4.408,28799900.0
2021-08-11 22:00:00,4.409,4.436,4.38,4.401,27850000.0
2021-08-11 23:00:00,4.401,4.407,4.281,4.341,57589300.0
2021-08-12 00:00:00,4.334,4.334,4.19,4.243,59690100.0
2021-08-12 01:00:00,4.239,4.248,4.18,4.199,29424100.0
2021-08-12 02:00:00,4.193,4.31,4.172,4.27,98276900.0
2021-08-12 03:00:00,4.271,4.412,4.257,4.4,86225100.0
2021-08-12 04:00:00,4.396,4.45,4.358,4.423,79480200.0
2021-08-12 05:00:00,4.423,4.588,4.356,4.52,296359400.0
2021-08-12 06:00:00,4.51,4.8,4.45,4.612,463512800.0
2021-08-12 07:00:00,4.612,4.8,4.25,4.456,513286300.0
2021-08-12 08:00:00,4.455,4.503,4.341,4.416,142145800.0
2021-08-12 09:00:00,4.424,4.549,4.375,4.519,103138200.0
