,Open,High,Low,Close,Volume
2020-06-12 10:00:00,14.325,15.229,14.325,14.585,230079.0
2020-06-12 11:00:00,14.65,16.988,14.65,14.701,1196630.0
2020-06-12 12:00:00,14.693,15.139,14.64,15.0,6347379.0
2020-06-12 13:00:00,15.011,15.451,14.997,15.021,6990194.0
2020-06-12 14:00:00,15.024,15.342,15.0,15.146,1618602.0
2020-06-12 15:00:00,15.335,15.439,15.0,15.117,2250341.0
2020-06-12 16:00:00,15.117,15.148,14.762,14.857,2766364.0
2020-06-12 17:00:00,14.857,14.921,14.408,14.704,1609332.0
2020-06-12 18:00:00,14.694,15.156,14.56,14.823,1356345.0
2020-06-12 19:00:00,14.823,14.883,14.606,14.741,294223.0
2020-06-12 20:00:00,14.571,14.784,14.328,14.784,342968.0
2020-06-12 21:00:00,14.784,14.907,14.451,14.798,2119758.0
2020-06-12 22:00:00,14.802,15.043,14.791,14.851,268500.0
2020-06-12 23:00:00,14.958,14.958,14.83,14.922,90988.0
2020-06-13 00:00:00,14.767,15.052,14.766,14.869,1126692.0
2020-06-13 01:00:00,14.985,14.99,14.823,14.984,747149.0
2020-06-13 02:00:00,14.984,15.051,14.601,14.693,805505.0
2020-06-13 03:00:00,14.691,14.693,14.452,14.647,1311098.0
2020-06-13 04:00:00,14.647,14.774,14.52,14.62,795041.0
2020-06-13 05:00:00,14.625,14.761,14.3,14.438,573605.0
2020-06-13 06:00:00,14.389,14.545,14.3,14.471,605649.0
2020-06-13 07:00:00,14.447,14.521,14.3,14.407,647620.0
2020-06-13 08:00:00,14.407,14.452,14.33,14.445,646723.0
2020-06-13 09:00:00,14.407,14.648,14.316,14.628,1310893.0
2020-06-13 10:00:00,14.628,14.814,14.6,14.773,745950.0
2020-06-13 11:00:00,14.773,14.795,14.561,14.7,930665.0
2020-06-13 12:00:00,14.707,14.793,14.628,14.72,208396.0
2020-06-13 13:00:00,14.7,14.742,14.696,14.742,455884.0
2020-06-13 14:00:00,14.742,14.802,14.598,14.732,173234.0
2020-06-13 15:00:00,14.724,14.724,14.499,14.591,245755.0
2020-06-13 16:00:00,14.629,14.629,14.5,14.629,186458.0
