,Open,High,Low,Close,Volume
2021-08-20 12:00:00,0.2176,0.4388,0.2176,0.3238,31709224000.0
2021-08-20 13:00:00,0.3238,0.332,0.3156,0.3213,6041173000.0
2021-08-20 14:00:00,0.3211,0.3242,0.3071,0.3171,6097615000.0
2021-08-20 15:00:00,0.3171,0.3208,0.3014,0.3019,4302863000.0
2021-08-20 16:00:00,0.302,0.3136,0.2922,0.312,7785803000.0
2021-08-20 17:00:00,0.3119,0.3182,0.3022,0.3084,6526849000.0
2021-08-20 18:00:00,0.3084,0.309,0.2931,0.2992,3620529000.0
2021-08-20 19:00:00,0.2992,0.3007,0.288,0.2906,3101553000.0
2021-08-20 20:00:00,0.29,0.295,0.286,0.2915,1983013000.0
2021-08-20 21:00:00,0.2903,0.2994,0.289,0.2906,2599522000.0
2021-08-20 22:00:00,0.2901,0.2954,0.282,0.29,2236755000.0
2021-08-20 23:00:00,0.2901,0.2912,0.2802,0.2821,1664817000.0
2021-08-21 00:00:00,0.2824,0.2935,0.2818,0.2932,1133828000.0
2021-08-21 01:00:00,0.2928,0.2944,0.283,0.2868,1317215000.0
2021-08-21 02:00:00,0.2883,0.3034,0.2825,0.2838,1603283000.0
2021-08-21 03:00:00,0.2831,0.293,0.2765,0.287,2062044000.0
2021-08-21 04:00:00,0.2874,0.2915,0.2865,0.2898,866358000.0
2021-08-21 05:00:00,0.2895,0.3065,0.2865,0.3021,2528688000.0
2021-08-21 06:00:00,0.3019,0.307,0.2911,0.2921,2219400000.0
2021-08-21 07:00:00,0.293,0.2944,0.2873,0.2919,1743237000.0
2021-08-21 08:00:00,0.2923,0.3014,0.2912,0.2941,1383108000.0
2021-08-21 09:00:00,0.295,0.31,0.2943,0.3061,2344435000.0
2021-08-21 10:00:00,0.3071,0.32,0.3044,0.3059,4661192000.0
2021-08-21 11:00:00,0.3058,0.3082,0.3,0.3039,1846544000.0
2021-08-21 12:00:00,0.3033,0.3061,0.2969,0.2999,1509325000.0
2021-08-21 13:00:00,0.3002,0.3015,0.2885,0.2927,2249690000.0
2021-08-21 14:00:00,0.2927,0.2988,0.2888,0.2984,1728335000.0
2021-08-21 15:00:00,0.2975,0.2987,0.2887,0.2907,1235045000.0
2021-08-21 16:00:00,0.2909,0.2934,0.2857,0.2868,705447000.0
2021-08-21 17:00:00,0.2868,0.2929,0.2802,0.2901,884592000.0
2021-08-21 18:00:00,0.2905,0.2905,0.2865,0.2882,418847000.0
2021-08-21 19:00:00,0.2879,0.2935,0.2841,0.2909,664691000.0
2021-08-21 20:00:00,0.2915,0.2915,0.28,0.2802,685056000.0
2021-08-21 21:00:00,0.2806,0.2907,0.2801,0.2843,796675000.0
2021-08-21 22:00:00,0.2846,0.2867,0.2756,0.2773,447880000.0
2021-08-21 23:00:00,0.2772,0.2796,0.2765,0.2785,389707000.0
2021-08-22 00:00:00,0.2792,0.2845,0.2782,0.2837,346356000.0
2021-08-22 01:00:00,0.2844,0.285,0.2789,0.2794,265629000.0
2021-08-22 02:00:00,0.28,0.28,0.2769,0.2774,307642000.0
2021-08-22 03:00:00,0.2775,0.2797,0.276,0.2771,265451000.0
2021-08-22 04:00:00,0.2771,0.2771,0.2701,0.2717,537487000.0
2021-08-22 05:00:00,0.2711,0.2761,0.2702,0.2756,276288000.0
2021-08-22 06:00:00,0.2742,0.2823,0.2738,0.2778,314898000.0
2021-08-22 07:00:00,0.2777,0.2819,0.277,0.2799,152061000.0
2021-08-22 08:00:00,0.2793,0.28,0.2723,0.275,868772000.0
2021-08-22 09:00:00,0.2744,0.2779,0.2742,0.2778,275248000.0
2021-08-22 10:00:00,0.2765,0.285,0.2765,0.2814,494115000.0
2021-08-22 11:00:00,0.2811,0.3,0.2799,0.286,1798633000.0
2021-08-22 12:00:00,0.286,0.2885,0.2813,0.2826,558590000.0
2021-08-22 13:00:00,0.2823,0.2834,0.2816,0.282,262289000.0
2021-08-22 14:00:00,0.282,0.285,0.2803,0.2835,199912000.0
2021-08-22 15:00:00,0.2825,0.2879,0.28,0.2804,434878000.0
2021-08-22 16:00:00,0.2802,0.2806,0.2586,0.2659,1505529000.0
2021-08-22 17:00:00,0.2656,0.2743,0.2638,0.2706,529390000.0
2021-08-22 18:00:00,0.2706,0.272,0.2642,0.268,318188000.0
2021-08-22 19:00:00,0.2678,0.268,0.2648,0.267,277538000.0
2021-08-22 20:00:00,0.2672,0.2672,0.2627,0.266,170608000.0
2021-08-22 21:00:00,0.266,0.2713,0.2634,0.2713,426283000.0
2021-08-22 22:00:00,0.271,0.271,0.2635,0.2684,306056000.0
2021-08-22 23:00:00,0.268,0.2685,0.2635,0.2682,135340000.0
2021-08-23 00:00:00,0.2674,0.2696,0.2665,0.2682,102634000.0
2021-08-23 01:00:00,0.2685,0.2736,0.2683,0.2727,589386000.0
2021-08-23 02:00:00,0.2717,0.2792,0.2704,0.2764,543136000.0
2021-08-23 03:00:00,0.276,0.276,0.2706,0.271,774783000.0
2021-08-23 04:00:00,0.271,0.2731,0.2663,0.2731,405045000.0
2021-08-23 05:00:00,0.2729,0.276,0.2691,0.2693,585842000.0
2021-08-23 06:00:00,0.2704,0.2708,0.2666,0.2683,913654000.0
2021-08-23 07:00:00,0.2683,0.2732,0.2672,0.2724,705587000.0
2021-08-23 08:00:00,0.2724,0.2764,0.2688,0.2695,619521000.0
2021-08-23 09:00:00,0.2692,0.2707,0.2648,0.2695,780356000.0
2021-08-23 10:00:00,0.2694,0.2756,0.2694,0.2733,777785000.0
2021-08-23 11:00:00,0.2742,0.2742,0.2713,0.2721,224808000.0
2021-08-23 12:00:00,0.2721,0.2741,0.2708,0.2708,348230000.0
2021-08-23 13:00:00,0.2703,0.2715,0.2691,0.2691,227935000.0
2021-08-23 14:00:00,0.2692,0.2714,0.2684,0.2689,323664000.0
2021-08-23 15:00:00,0.2689,0.2747,0.2689,0.2726,442092000.0
2021-08-23 16:00:00,0.2726,0.2728,0.2674,0.2686,265963000.0
2021-08-23 17:00:00,0.2691,0.2713,0.268,0.2687,246942000.0
2021-08-23 18:00:00,0.2687,0.2692,0.2647,0.2675,249645000.0
2021-08-23 19:00:00,0.2675,0.2725,0.2643,0.2686,277347000.0
2021-08-23 20:00:00,0.2685,0.2687,0.26,0.2657,619724000.0
2021-08-23 21:00:00,0.2659,0.266,0.2636,0.265,162147000.0
2021-08-23 22:00:00,0.2649,0.2653,0.2627,0.2643,147585000.0
2021-08-23 23:00:00,0.2652,0.2725,0.2638,0.269,384280000.0
2021-08-24 00:00:00,0.2686,0.2686,0.266,0.2675,179290000.0
2021-08-24 01:00:00,0.2675,0.2684,0.2649,0.266,156129000.0
2021-08-24 02:00:00,0.266,0.2671,0.2636,0.2644,87411000.0
2021-08-24 03:00:00,0.2655,0.2664,0.2613,0.2655,274721000.0
2021-08-24 04:00:00,0.2655,0.2671,0.2652,0.2659,269230000.0
2021-08-24 05:00:00,0.265,0.2804,0.2646,0.2793,1345026000.0
2021-08-24 06:00:00,0.2806,0.2912,0.2768,0.2873,3142267000.0
2021-08-24 07:00:00,0.2873,0.2925,0.2796,0.2816,884910000.0
2021-08-24 08:00:00,0.2815,0.2823,0.275,0.2774,480419000.0
2021-08-24 09:00:00,0.2772,0.2786,0.2748,0.2764,311435000.0
2021-08-24 10:00:00,0.2764,0.2768,0.2748,0.2758,265750000.0
2021-08-24 11:00:00,0.2752,0.2766,0.2744,0.2754,463854000.0
2021-08-24 12:00:00,0.2754,0.285,0.2752,0.2759,1065091000.0
2021-08-24 13:00:00,0.2765,0.2765,0.2712,0.2733,466193000.0
2021-08-24 14:00:00,0.2733,0.2738,0.2688,0.2692,193239000.0
2021-08-24 15:00:00,0.2693,0.272,0.265,0.2659,614235000.0
2021-08-24 16:00:00,0.2659,0.2659,0.2545,0.259,603872000.0
2021-08-24 17:00:00,0.2583,0.26,0.2529,0.2529,249776000.0
2021-08-24 18:00:00,0.2529,0.2529,0.2414,0.246,1542544000.0
2021-08-24 19:00:00,0.2459,0.2523,0.2453,0.2508,314885000.0
2021-08-24 20:00:00,0.249,0.251,0.2454,0.251,131542000.0
2021-08-24 21:00:00,0.252,0.2571,0.2475,0.2533,171631000.0
2021-08-24 22:00:00,0.253,0.2533,0.251,0.2518,76559000.0
2021-08-24 23:00:00,0.2526,0.2545,0.2503,0.2515,101949000.0
2021-08-25 00:00:00,0.2515,0.252,0.2504,0.2517,154096000.0
2021-08-25 01:00:00,0.2525,0.2528,0.2495,0.2495,125693000.0
2021-08-25 02:00:00,0.2489,0.2505,0.2471,0.25,114689000.0
2021-08-25 03:00:00,0.25,0.2619,0.25,0.258,213648000.0
2021-08-25 04:00:00,0.258,0.2602,0.2532,0.2539,110639000.0
2021-08-25 05:00:00,0.254,0.2563,0.2521,0.2525,47261000.0
2021-08-25 06:00:00,0.2524,0.255,0.2522,0.255,212335000.0
2021-08-25 07:00:00,0.255,0.2604,0.254,0.256,268761000.0
2021-08-25 08:00:00,0.256,0.2566,0.2535,0.2549,208389000.0
2021-08-25 09:00:00,0.2539,0.2624,0.2539,0.2571,376578000.0
2021-08-25 10:00:00,0.2556,0.2556,0.2435,0.2448,491370000.0
2021-08-25 11:00:00,0.2439,0.2478,0.2395,0.2404,1150813000.0
2021-08-25 12:00:00,0.2414,0.2466,0.2414,0.2458,223118000.0
2021-08-25 13:00:00,0.2462,0.2462,0.243,0.2455,115859000.0
2021-08-25 14:00:00,0.2452,0.2497,0.2452,0.2489,271535000.0
2021-08-25 15:00:00,0.249,0.2519,0.2479,0.2489,308843000.0
2021-08-25 16:00:00,0.2488,0.2511,0.2475,0.251,157722000.0
2021-08-25 17:00:00,0.2511,0.269,0.2502,0.2665,493195000.0
2021-08-25 18:00:00,0.2666,0.2682,0.2589,0.2601,402236000.0
2021-08-25 19:00:00,0.26,0.2631,0.2577,0.2624,292644000.0
2021-08-25 20:00:00,0.263,0.2634,0.2585,0.2608,211932000.0
2021-08-25 21:00:00,0.2608,0.2616,0.2585,0.2588,110767000.0
2021-08-25 22:00:00,0.2588,0.2601,0.2569,0.2591,299099000.0
2021-08-25 23:00:00,0.2592,0.2593,0.256,0.2569,148623000.0
