,Open,High,Low,Close,Volume
2021-11-05 07:00:00,44.21,61.9,42.31,44.46,315557180.0
2021-11-05 08:00:00,44.46,44.99,42.0,43.41,35613430.0
2021-11-05 09:00:00,43.47,45.4,41.42,42.9,40606200.0
2021-11-05 10:00:00,42.96,44.83,42.21,42.21,20543610.0
2021-11-05 11:00:00,42.21,43.0,38.71,40.35,33441190.000000004
2021-11-05 12:00:00,40.37,41.13,38.72,38.73,13841720.0
2021-11-05 13:00:00,38.73,40.9,37.66,39.14,15692110.0
2021-11-05 14:00:00,39.14,40.52,32.23,36.88,27666010.0
2021-11-05 15:00:00,36.86,39.48,35.75,38.88,28590630.0
2021-11-05 16:00:00,38.88,39.81,37.75,38.9,7887360.0
2021-11-05 17:00:00,38.85,39.99,38.41,38.45,5033600.0
2021-11-05 18:00:00,38.45,40.87,38.41,39.65,5402390.0
2021-11-05 19:00:00,39.7,41.17,39.7,40.51,3210720.0
2021-11-05 20:00:00,40.45,40.8,39.18,40.8,3284060.0
2021-11-05 21:00:00,40.78,41.48,40.03,41.47,4965070.0
2021-11-05 22:00:00,41.47,42.0,40.83,41.05,3061250.0
2021-11-05 23:00:00,41.12,42.0,40.36,40.43,6090840.0
2021-11-06 00:00:00,40.48,41.0,40.16,40.24,2558100.0
2021-11-06 01:00:00,40.3,41.9,40.25,41.41,5379850.0
2021-11-06 02:00:00,41.49,42.0,40.7,41.73,5209060.0
2021-11-06 03:00:00,41.73,43.2,41.55,43.2,10927200.0
2021-11-06 04:00:00,43.2,47.0,42.85,45.44,22239800.0
2021-11-06 05:00:00,45.23,47.68,45.02,45.96,11724960.0
2021-11-06 06:00:00,45.96,49.0,45.75,47.8,24231630.0
2021-11-06 07:00:00,47.79,70.0,46.61,51.0,191931740.0
2021-11-06 08:00:00,51.0,67.0,50.0,56.43,206966510.0
2021-11-06 09:00:00,56.54,62.88,54.0,58.92,115824310.0
2021-11-06 10:00:00,58.86,60.0,56.05,57.13,63108490.0
2021-11-06 11:00:00,57.13,64.6,57.13,61.81,205679320.0
2021-11-06 12:00:00,61.84,61.84,52.62,52.94,118239910.0
2021-11-06 13:00:00,52.88,53.57,50.74,52.39,69955830.0
2021-11-06 14:00:00,52.39,52.5,43.91,49.34,104074290.0
2021-11-06 15:00:00,49.12,51.98,45.5,49.99,99158810.0
2021-11-06 16:00:00,50.1,52.5,47.62,48.5,64076510.0
2021-11-06 17:00:00,48.6,50.31,47.83,48.9,27217050.0
2021-11-06 18:00:00,48.88,59.0,48.41,53.87,133986810.0
2021-11-06 19:00:00,53.8,55.9,52.36,53.51,50665910.0
2021-11-06 20:00:00,53.5,56.0,52.2,52.22,44218930.0
2021-11-06 21:00:00,52.22,53.24,49.88,50.18,33528059.999999996
2021-11-06 22:00:00,50.21,54.24,49.91,51.1,31772640.0
2021-11-06 23:00:00,51.1,51.9,50.01,50.68,16094480.0
2021-11-07 00:00:00,50.61,51.07,49.57,49.6,7636620.0
2021-11-07 01:00:00,49.56,49.56,48.14,48.66,12069640.0
2021-11-07 02:00:00,48.64,50.29,47.9,48.09,18485350.0
2021-11-07 03:00:00,48.04,48.61,47.18,47.3,17978960.0
2021-11-07 04:00:00,47.34,47.67,46.4,46.79,6399230.0
2021-11-07 05:00:00,46.66,48.36,46.48,46.61,7188380.0
2021-11-07 06:00:00,46.72,47.03,46.31,46.37,6106220.0
2021-11-07 07:00:00,46.37,49.23,46.33,47.08,9877100.0
2021-11-07 08:00:00,47.08,47.61,45.58,47.12,22184840.0
2021-11-07 09:00:00,47.26,47.3,46.06,46.96,5917260.0
2021-11-07 10:00:00,46.89,47.4,46.0,46.87,9463430.0
2021-11-07 11:00:00,46.79,48.75,46.62,47.72,12484600.0
2021-11-07 12:00:00,47.72,48.07,46.73,47.05,8560330.0
2021-11-07 13:00:00,47.1,47.58,46.66,47.0,5577610.0
2021-11-07 14:00:00,46.96,47.9,46.5,47.18,5569060.0
2021-11-07 15:00:00,47.18,48.94,46.66,47.37,13731240.0
2021-11-07 16:00:00,47.46,49.34,47.21,49.16,6462830.0
2021-11-07 17:00:00,49.15,49.46,48.0,48.04,11962220.0
2021-11-07 18:00:00,48.08,48.74,48.0,48.38,8630970.0
2021-11-07 19:00:00,48.32,50.0,48.0,49.83,6469090.0
2021-11-07 20:00:00,49.58,49.89,48.34,48.63,3711080.0
2021-11-07 21:00:00,48.64,50.49,48.3,49.81,5193890.0
2021-11-07 22:00:00,49.78,50.5,48.65,49.05,8604680.0
2021-11-07 23:00:00,48.98,49.5,48.4,48.58,2657050.0
2021-11-08 00:00:00,48.57,48.78,48.24,48.48,1945250.0
2021-11-08 01:00:00,48.48,48.77,47.67,47.85,3173270.0
2021-11-08 02:00:00,47.85,48.17,47.41,47.44,2447660.0
2021-11-08 03:00:00,47.43,48.22,47.34,47.43,2051139.9999999998
2021-11-08 04:00:00,47.43,47.43,47.01,47.21,2335550.0
2021-11-08 05:00:00,47.23,47.38,46.55,46.55,3463910.0
2021-11-08 06:00:00,46.55,46.75,46.0,46.0,5675520.0
2021-11-08 07:00:00,46.06,46.06,45.56,45.58,3699150.0
2021-11-08 08:00:00,45.58,45.95,44.93,45.21,3502770.0
2021-11-08 09:00:00,45.11,45.27,43.53,43.96,5630920.0
2021-11-08 10:00:00,43.96,46.32,43.56,44.13,4864990.0
2021-11-08 11:00:00,44.12,46.38,44.05,44.57,3999310.0
2021-11-08 12:00:00,44.69,45.27,44.4,44.55,3288810.0
2021-11-08 13:00:00,44.55,44.97,44.5,44.81,1404490.0
2021-11-08 14:00:00,44.82,46.33,44.82,45.44,4902040.0
2021-11-08 15:00:00,45.44,45.74,44.91,45.66,2712270.0
2021-11-08 16:00:00,45.66,45.73,42.0,45.71,5379120.0
2021-11-08 17:00:00,45.71,45.88,44.92,45.39,2872990.0
2021-11-08 18:00:00,45.39,45.95,45.38,45.77,1035910.0000000001
2021-11-08 19:00:00,45.81,45.99,45.6,45.62,1161170.0
2021-11-08 20:00:00,45.63,45.93,45.49,45.49,1121430.0
2021-11-08 21:00:00,45.49,45.64,44.4,44.93,2828590.0
2021-11-08 22:00:00,44.81,47.1,44.4,45.5,3664440.0
2021-11-08 23:00:00,45.49,46.76,45.0,45.97,2301500.0
2021-11-09 00:00:00,45.95,46.11,45.56,46.11,737550.0
2021-11-09 01:00:00,46.11,46.21,45.66,45.78,1261980.0
2021-11-09 02:00:00,45.83,46.2,45.58,46.17,996440.0
2021-11-09 03:00:00,46.07,46.17,44.84,44.84,2402910.0
2021-11-09 04:00:00,44.83,45.12,44.65,45.12,585620.0
2021-11-09 05:00:00,45.13,45.33,44.99,44.99,903580.0
2021-11-09 06:00:00,44.99,45.35,44.99,45.31,1060220.0
2021-11-09 07:00:00,45.32,45.37,44.98,45.06,628390.0
2021-11-09 08:00:00,45.01,45.06,44.33,44.55,1677920.0
2021-11-09 09:00:00,44.64,45.49,44.15,44.57,1706370.0
2021-11-09 10:00:00,44.57,45.06,44.45,44.67,1097470.0
2021-11-09 11:00:00,44.65,45.2,44.47,45.13,1776630.0
2021-11-09 12:00:00,45.11,45.11,43.0,43.95,1685010.0
2021-11-09 13:00:00,44.01,44.46,44.0,44.35,722270.0
2021-11-09 14:00:00,44.31,44.98,44.25,44.95,1041690.0
2021-11-09 15:00:00,44.95,45.5,44.5,44.66,1937230.0
2021-11-09 16:00:00,44.49,44.91,44.1,44.17,2081040.0
2021-11-09 17:00:00,44.17,44.17,43.12,43.49,7841660.0
2021-11-09 18:00:00,43.43,43.5,43.16,43.26,1712510.0
2021-11-09 19:00:00,43.32,43.5,43.23,43.37,431600.0
2021-11-09 20:00:00,43.48,43.5,42.71,42.85,3015990.0
2021-11-09 21:00:00,42.73,43.79,42.72,43.58,2616930.0
2021-11-09 22:00:00,43.58,43.91,43.4,43.9,257290.00000000003
2021-11-09 23:00:00,43.74,44.29,43.22,43.46,973020.0
2021-11-10 00:00:00,43.46,44.09,43.38,43.38,624440.0
2021-11-10 01:00:00,43.51,43.68,42.98,43.22,344060.0
2021-11-10 02:00:00,43.02,43.36,42.55,43.0,1104540.0
2021-11-10 03:00:00,42.99,43.36,42.92,43.15,483720.0
2021-11-10 04:00:00,42.97,43.12,42.25,42.43,921610.0
2021-11-10 05:00:00,42.28,42.69,42.03,42.55,494790.0
2021-11-10 06:00:00,42.52,42.52,42.01,42.28,355450.0
2021-11-10 07:00:00,42.26,43.0,42.0,42.5,1064150.0
2021-11-10 08:00:00,42.44,42.84,41.85,42.11,2396830.0
2021-11-10 09:00:00,41.95,42.19,41.48,41.75,2209730.0
2021-11-10 10:00:00,41.75,42.17,41.66,42.01,1222360.0
2021-11-10 11:00:00,42.02,42.19,41.9,42.1,234780.0
2021-11-10 12:00:00,42.09,43.0,42.01,42.46,1282410.0
2021-11-10 13:00:00,42.47,42.73,42.29,42.31,368700.0
2021-11-10 14:00:00,42.52,42.79,42.27,42.56,720700.0
2021-11-10 15:00:00,42.7,43.95,42.43,43.5,2745160.0
2021-11-10 16:00:00,43.63,43.89,42.79,42.82,1615510.0
2021-11-10 17:00:00,42.93,43.97,42.78,43.7,2714230.0
2021-11-10 18:00:00,43.7,44.47,43.5,44.03,1203180.0
2021-11-10 19:00:00,44.15,44.18,43.14,43.35,2185900.0
2021-11-10 20:00:00,43.5,43.91,42.71,42.71,1636960.0
2021-11-10 21:00:00,42.71,43.28,40.83,41.92,5730670.0
2021-11-10 22:00:00,42.08,42.18,39.3,39.37,5238010.0
2021-11-10 23:00:00,39.51,41.33,39.32,41.03,1899810.0
2021-11-11 00:00:00,41.03,41.89,41.03,41.89,773970.0
2021-11-11 01:00:00,41.89,41.89,40.79,41.3,1018110.0
2021-11-11 02:00:00,41.17,41.69,41.12,41.37,402280.0
2021-11-11 03:00:00,41.43,41.65,41.0,41.39,666200.0
2021-11-11 04:00:00,41.26,41.53,41.23,41.25,323530.0
2021-11-11 05:00:00,41.24,41.56,41.02,41.02,473550.0
2021-11-11 06:00:00,41.02,41.22,40.89,40.89,227710.0
2021-11-11 07:00:00,40.97,41.13,40.79,41.01,293900.0
2021-11-11 08:00:00,41.05,41.4,40.96,41.23,702700.0
2021-11-11 09:00:00,41.23,41.49,40.94,41.43,740250.0
2021-11-11 10:00:00,41.48,42.01,41.36,41.41,1078150.0
2021-11-11 11:00:00,41.41,41.56,40.94,40.95,616150.0
2021-11-11 12:00:00,41.06,41.84,40.88,41.47,659160.0
2021-11-11 13:00:00,41.48,41.82,41.19,41.37,374000.0
2021-11-11 14:00:00,41.43,41.43,40.57,40.97,1076510.0
2021-11-11 15:00:00,40.97,41.09,40.76,40.89,313930.0
2021-11-11 16:00:00,40.88,41.18,40.39,40.41,540220.0
2021-11-11 17:00:00,40.54,41.79,40.2,41.54,2245740.0
2021-11-11 18:00:00,41.51,42.0,41.45,41.68,1438840.0
2021-11-11 19:00:00,41.68,41.71,40.86,40.94,759310.0
2021-11-11 20:00:00,41.03,42.59,40.93,41.61,3330920.0
2021-11-11 21:00:00,41.54,41.54,40.87,41.28,2897310.0
2021-11-11 22:00:00,41.2,41.77,41.0,41.43,1355850.0
2021-11-11 23:00:00,41.4,41.55,41.19,41.45,302750.0
2021-11-12 00:00:00,41.45,41.58,41.06,41.25,412750.0
2021-11-12 01:00:00,41.21,41.21,40.61,41.05,1305420.0
2021-11-12 02:00:00,41.02,41.58,40.82,41.33,1040300.0
2021-11-12 03:00:00,41.34,41.52,41.3,41.38,876730.0
2021-11-12 04:00:00,41.38,42.21,41.3,41.95,933990.0
2021-11-12 05:00:00,42.01,42.72,41.33,42.09,2456580.0
2021-11-12 06:00:00,42.18,42.99,42.18,42.76,589830.0
2021-11-12 07:00:00,42.72,42.75,42.19,42.42,1664960.0
2021-11-12 08:00:00,42.3,42.52,41.42,41.78,381480.0
2021-11-12 09:00:00,41.79,42.31,41.54,41.98,3380560.0
2021-11-12 10:00:00,41.9,41.97,40.86,40.91,994440.0
2021-11-12 11:00:00,40.9,41.09,40.25,40.49,1691030.0
2021-11-12 12:00:00,40.49,40.74,40.11,40.35,713930.0
2021-11-12 13:00:00,40.38,40.68,39.97,40.04,926460.0
2021-11-12 14:00:00,40.02,40.37,39.76,40.37,902510.0
2021-11-12 15:00:00,40.3,40.45,40.05,40.26,459090.0
2021-11-12 16:00:00,40.12,40.25,39.75,39.98,371810.0
2021-11-12 17:00:00,39.84,40.08,39.57,39.68,644920.0
2021-11-12 18:00:00,39.9,42.51,39.82,41.67,5951050.0
2021-11-12 19:00:00,41.65,42.98,41.64,42.89,1884000.0
2021-11-12 20:00:00,42.91,42.98,41.81,42.24,3619190.0
2021-11-12 21:00:00,42.15,43.82,42.04,42.2,9400770.0
2021-11-12 22:00:00,42.25,42.49,41.77,42.16,2152420.0
2021-11-12 23:00:00,42.17,42.22,41.99,42.0,612940.0
2021-11-13 00:00:00,42.14,42.28,41.9,42.04,135980.0
2021-11-13 01:00:00,42.18,42.55,42.18,42.52,408630.0
2021-11-13 02:00:00,42.55,42.55,42.1,42.17,459300.0
2021-11-13 03:00:00,42.09,43.04,41.78,42.37,872470.0
2021-11-13 04:00:00,42.37,42.58,41.83,41.99,226470.0
2021-11-13 05:00:00,41.96,42.22,41.75,41.88,600360.0
2021-11-13 06:00:00,41.88,41.89,41.56,41.61,126330.0
2021-11-13 07:00:00,41.62,42.02,41.56,42.02,593220.0
2021-11-13 08:00:00,42.01,42.49,41.56,42.21,814380.0
2021-11-13 09:00:00,42.47,42.82,42.12,42.63,2699640.0
2021-11-13 10:00:00,42.65,42.79,41.94,42.4,1903200.0
2021-11-13 11:00:00,42.1,42.1,41.71,41.93,257149.99999999997
2021-11-13 12:00:00,42.02,42.12,41.47,41.55,680840.0
2021-11-13 13:00:00,41.55,43.04,41.46,42.1,2982830.0
2021-11-13 14:00:00,42.1,42.45,41.94,42.18,247110.0
2021-11-13 15:00:00,42.11,43.32,42.08,42.79,1306760.0
2021-11-13 16:00:00,42.94,43.34,42.3,42.6,1654390.0
2021-11-13 17:00:00,42.67,42.68,42.17,42.47,655950.0
2021-11-13 18:00:00,42.47,42.51,42.19,42.32,287980.0
2021-11-13 19:00:00,42.32,42.32,41.81,42.01,375570.0
2021-11-13 20:00:00,42.0,42.07,41.82,42.02,145580.0
2021-11-13 21:00:00,41.89,42.06,41.18,41.57,1843650.0
2021-11-13 22:00:00,41.55,41.55,41.03,41.26,558850.0
2021-11-13 23:00:00,41.26,41.47,41.05,41.23,333470.0
2021-11-14 00:00:00,41.07,41.2,41.02,41.1,165180.0
2021-11-14 01:00:00,41.12,41.61,41.12,41.55,325410.0
2021-11-14 02:00:00,41.55,41.61,41.48,41.61,107900.0
2021-11-14 03:00:00,41.55,41.67,41.44,41.47,219030.0
