,Open,High,Low,Close,Volume
2019-11-14 04:00:00,0.75,0.7543,0.7241,0.7241,11236760.0
2019-11-14 05:00:00,0.7241,0.7284,0.7181,0.7284,7053700.0
2019-11-14 06:00:00,0.7191,0.7597,0.719,0.7274,1263960.0
2019-11-14 07:00:00,0.7401,0.75,0.7303,0.733,1355720.0
2019-11-14 08:00:00,0.7341,0.7417,0.7237,0.7246,2289600.0
2019-11-14 09:00:00,0.726,0.726,0.718,0.718,7518820.0
2019-11-14 10:00:00,0.7182,0.7293,0.7111,0.728,5426310.0
2019-11-14 11:00:00,0.7279,0.7279,0.718,0.718,259010.0
2019-11-14 12:00:00,0.718,0.718,0.7105,0.7105,627890.0
2019-11-14 13:00:00,0.7105,0.7231,0.7097,0.7231,7990110.0
2019-11-14 14:00:00,0.7203,0.7212,0.7177,0.7177,1206450.0
2019-11-14 15:00:00,0.7239,0.7339,0.7127,0.7152,4610440.0
2019-11-14 16:00:00,0.7152,0.72,0.7042,0.7073,3298390.0
2019-11-14 17:00:00,0.705,0.72,0.705,0.7148,12884610.0
2019-11-14 18:00:00,0.7234,0.7314,0.7177,0.7177,9368950.0
2019-11-14 19:00:00,0.7178,0.7282,0.7177,0.7257,4318220.0
2019-11-14 20:00:00,0.726,0.7294,0.721,0.721,67752360.0
2019-11-14 21:00:00,0.7229,0.7236,0.7167,0.7222,441450.0
2019-11-14 22:00:00,0.7134,0.7134,0.7123,0.7126,185670.0
2019-11-14 23:00:00,0.713,0.7147,0.7126,0.7147,534550.0
2019-11-15 00:00:00,0.7147,0.7147,0.7147,0.7147,0.0
2019-11-15 01:00:00,0.7126,0.7126,0.7114,0.7114,557590.0
2019-11-15 02:00:00,0.7114,0.7114,0.7114,0.7114,0.0
2019-11-15 03:00:00,0.7114,0.7212,0.7001,0.7127,2044010.0
2019-11-15 04:00:00,0.7215,0.7215,0.7061,0.7061,1539750.0
2019-11-15 05:00:00,0.7061,0.7061,0.7061,0.7061,0.0
2019-11-15 06:00:00,0.7061,0.7103,0.7002,0.7023,5353850.0
2019-11-15 07:00:00,0.7027,0.72,0.69,0.697,24225740.0
2019-11-15 08:00:00,0.6973,0.7044,0.697,0.7044,159660.0
2019-11-15 09:00:00,0.7058,0.7148,0.7058,0.7148,227520.0
2019-11-15 10:00:00,0.7115,0.7205,0.7059,0.7109,1211420.0
2019-11-15 11:00:00,0.7109,0.7109,0.7109,0.7109,393180.0
2019-11-15 12:00:00,0.7109,0.7109,0.7109,0.7109,0.0
2019-11-15 13:00:00,0.713,0.7205,0.7127,0.7205,4737450.0
2019-11-15 14:00:00,0.7222,0.7269,0.7131,0.7199,1207860.0
2019-11-15 15:00:00,0.7185,0.7293,0.6911,0.6994,7658930.0
2019-11-15 16:00:00,0.6937,0.7069,0.6858,0.6982,2208060.0
2019-11-15 17:00:00,0.6982,0.7012,0.6982,0.7012,133030.0
2019-11-15 18:00:00,0.6973,0.749,0.6916,0.7011,1558210.0
2019-11-15 19:00:00,0.7012,0.7179,0.6888,0.7058,3478640.0
2019-11-15 20:00:00,0.7058,0.7069,0.7018,0.7069,90670.0
2019-11-15 21:00:00,0.6966,0.7394,0.6966,0.7075,1560760.0
2019-11-15 22:00:00,0.7071,0.714,0.6971,0.6993,1761290.0
2019-11-15 23:00:00,0.7064,0.7086,0.6885,0.7059,4413370.0
2019-11-16 00:00:00,0.7059,0.7059,0.6904,0.7045,5484150.0
2019-11-16 01:00:00,0.7036,0.7046,0.6937,0.7044,1299760.0
2019-11-16 02:00:00,0.7035,0.7172,0.6966,0.7135,4116649.9999999995
2019-11-16 03:00:00,0.7104,0.7172,0.7054,0.7064,1305110.0
2019-11-16 04:00:00,0.7116,0.7144,0.6993,0.7104,605780.0
2019-11-16 05:00:00,0.7104,0.7166,0.7099,0.7114,53980.0
2019-11-16 06:00:00,0.7027,0.7114,0.6975,0.7037,156030.0
2019-11-16 07:00:00,0.7036,0.7221,0.6989,0.7184,18434960.0
2019-11-16 08:00:00,0.7125,0.7282,0.7125,0.7194,244880.0
2019-11-16 09:00:00,0.7218,0.7282,0.7183,0.7241,179610.0
2019-11-16 10:00:00,0.7241,0.7395,0.7221,0.7289,7001940.0
2019-11-16 11:00:00,0.7333,0.738,0.7187,0.729,3456070.0
2019-11-16 12:00:00,0.729,0.7304,0.7201,0.7285,2121280.0
2019-11-16 13:00:00,0.7283,0.7304,0.7181,0.727,3712190.0
2019-11-16 14:00:00,0.7275,0.7305,0.7275,0.7304,2101340.0
2019-11-16 15:00:00,0.7265,0.7305,0.7182,0.7248,5320110.0
2019-11-16 16:00:00,0.7248,0.7304,0.7189,0.73,330930.0
2019-11-16 17:00:00,0.7215,0.7289,0.7204,0.7256,3034730.0
2019-11-16 18:00:00,0.72,0.7256,0.7185,0.72,5377360.0
2019-11-16 19:00:00,0.724,0.73,0.724,0.73,4845100.0
2019-11-16 20:00:00,0.7323,0.7481,0.73,0.7455,15869840.0
2019-11-16 21:00:00,0.7462,0.7847,0.742,0.7836,69088110.0
2019-11-16 22:00:00,0.778,0.7825,0.7536,0.7739,34632120.0
2019-11-16 23:00:00,0.7646,0.7791,0.7578,0.7768,12932970.0
2019-11-17 00:00:00,0.7767,0.7795,0.7483,0.7576,9303760.0
2019-11-17 01:00:00,0.7649,0.765,0.7611,0.7611,2147960.0
2019-11-17 02:00:00,0.7611,0.764,0.7505,0.7632,1216660.0
2019-11-17 03:00:00,0.7541,0.7638,0.7456,0.757,1840320.0
2019-11-17 04:00:00,0.757,0.7622,0.7501,0.7501,148190.0
2019-11-17 05:00:00,0.7639,0.7757,0.759,0.7697,2007140.0
2019-11-17 06:00:00,0.7699,0.79,0.7692,0.7844,4015280.0
2019-11-17 07:00:00,0.7859,0.91,0.7797,0.7889,33611190.0
2019-11-17 08:00:00,0.7933,0.8194,0.792,0.7978,27387140.0
2019-11-17 09:00:00,0.798,0.8082,0.785,0.7951,25029420.0
2019-11-17 10:00:00,0.7983,0.8021,0.7861,0.801,16271370.0
2019-11-17 11:00:00,0.8001,0.8113,0.793,0.8081,8346980.0
2019-11-17 12:00:00,0.804,0.8109,0.8009,0.808,5064720.0
2019-11-17 13:00:00,0.808,0.8115,0.7948,0.7964,12718510.0
2019-11-17 14:00:00,0.7963,0.8116,0.7963,0.8038,13729550.0
2019-11-17 15:00:00,0.8008,0.8489,0.8008,0.8437,60885350.0
2019-11-17 16:00:00,0.8437,0.8498,0.816,0.8254,11955990.0
2019-11-17 17:00:00,0.8254,0.86,0.8254,0.8597,25331120.0
