,Open,High,Low,Close,Volume
2021-11-27 11:00:00,6.1,7.55,2.5,6.474,1707014670.0
2021-11-27 12:00:00,6.476,6.845,6.36,6.737,282073530.0
2021-11-27 13:00:00,6.737,7.945,6.737,7.743,1011707890.0
2021-11-27 14:00:00,7.736,7.736,7.085,7.287,537550600.0
2021-11-27 15:00:00,7.279,7.619,7.151,7.471,370891490.0
2021-11-27 16:00:00,7.455,7.455,7.124,7.26,187176170.0
2021-11-27 17:00:00,7.269,7.275,6.951,7.215,152868620.0
2021-11-27 18:00:00,7.215,7.244,6.992,7.229,125444590.0
2021-11-27 19:00:00,7.233,7.259,7.1,7.214,69877030.0
2021-11-27 20:00:00,7.225,7.327,7.102,7.178,83529030.0
2021-11-27 21:00:00,7.178,7.319,6.89,6.998,179736260.0
2021-11-27 22:00:00,6.989,7.067,6.8,6.972,153864370.0
2021-11-27 23:00:00,6.971,7.001,6.961,6.981,52230260.0
2021-11-28 00:00:00,6.983,7.647,6.981,7.47,471397250.0
2021-11-28 01:00:00,7.47,7.827,7.2,7.34,369510150.0
2021-11-28 02:00:00,7.339,7.383,7.069,7.185,223131730.0
2021-11-28 03:00:00,7.178,7.232,6.88,7.03,108998890.0
2021-11-28 04:00:00,7.03,7.03,6.771,6.782,63575200.0
2021-11-28 05:00:00,6.775,6.974,6.681,6.802,73392710.0
2021-11-28 06:00:00,6.81,7.017,6.802,6.931,66286539.99999999
2021-11-28 07:00:00,6.924,7.189,6.777,6.832,200466940.0
2021-11-28 08:00:00,6.83,7.037,6.714,6.897,113200680.0
2021-11-28 09:00:00,6.9,6.9,6.629,6.673,81082350.0
2021-11-28 10:00:00,6.67,6.711,6.436,6.602,125131950.0
2021-11-28 11:00:00,6.599,6.767,6.51,6.73,63006130.0
2021-11-28 12:00:00,6.737,7.008,6.73,6.811,171308850.0
2021-11-28 13:00:00,6.804,6.888,6.669,6.688,81583280.0
2021-11-28 14:00:00,6.688,6.783,6.558,6.567,37017120.0
2021-11-28 15:00:00,6.56,6.674,6.469,6.627,39374110.0
2021-11-28 16:00:00,6.626,6.81,6.618,6.752,53356110.0
2021-11-28 17:00:00,6.751,6.751,6.501,6.606,30493290.0
2021-11-28 18:00:00,6.606,6.652,6.083,6.126,176314110.0
2021-11-28 19:00:00,6.127,6.585,6.094,6.413,393061250.0
2021-11-28 20:00:00,6.411,6.616,6.305,6.464,181564060.0
2021-11-28 21:00:00,6.469,6.71,6.354,6.702,126323870.0
2021-11-28 22:00:00,6.686,6.781,6.523,6.748,81660140.0
2021-11-28 23:00:00,6.774,7.114,6.762,6.806,74353190.0
2021-11-29 00:00:00,6.82,7.025,6.798,6.948,57386240.0
2021-11-29 01:00:00,6.968,7.05,6.878,7.041,37823420.0
2021-11-29 02:00:00,7.056,7.135,6.826,6.926,36318360.0
2021-11-29 03:00:00,6.926,6.955,6.537,6.631,67462900.0
2021-11-29 04:00:00,6.631,6.746,6.574,6.746,44962130.0
2021-11-29 05:00:00,6.74,6.74,6.663,6.671,9215290.0
2021-11-29 06:00:00,6.671,6.671,6.497,6.582,59334560.0
2021-11-29 07:00:00,6.597,6.704,6.597,6.621,24593140.0
2021-11-29 08:00:00,6.63,6.637,6.518,6.56,16441730.0
2021-11-29 09:00:00,6.56,6.65,6.496,6.528,33894320.0
2021-11-29 10:00:00,6.529,6.55,6.37,6.486,34132540.0
2021-11-29 11:00:00,6.489,6.597,6.425,6.468,19519890.0
2021-11-29 12:00:00,6.467,6.509,6.35,6.474,63221540.0
2021-11-29 13:00:00,6.477,6.515,6.425,6.46,37188850.0
2021-11-29 14:00:00,6.455,6.554,6.436,6.438,48499860.0
2021-11-29 15:00:00,6.452,6.519,6.377,6.519,65850800.0
2021-11-29 16:00:00,6.519,6.654,6.395,6.504,83359580.0
2021-11-29 17:00:00,6.502,6.53,6.333,6.463,65522560.0
2021-11-29 18:00:00,6.463,7.106,6.4,6.877,141984330.0
2021-11-29 19:00:00,6.88,7.092,6.799,6.837,141644810.0
2021-11-29 20:00:00,6.841,6.933,6.643,6.874,91144200.0
2021-11-29 21:00:00,6.879,7.14,6.803,7.058,86761980.0
2021-11-29 22:00:00,7.055,7.22,7.002,7.02,65511680.0
2021-11-29 23:00:00,7.019,7.123,7.0,7.0,42513400.0
2021-11-30 00:00:00,7.01,7.018,6.773,6.788,45258540.0
2021-11-30 01:00:00,6.795,6.824,6.683,6.743,48369140.0
2021-11-30 02:00:00,6.744,6.753,6.473,6.576,151639740.0
2021-11-30 03:00:00,6.576,6.629,6.4,6.548,68746360.0
2021-11-30 04:00:00,6.559,6.636,6.521,6.522,18987580.0
2021-11-30 05:00:00,6.522,6.536,6.295,6.405,54449360.0
2021-11-30 06:00:00,6.405,6.44,6.327,6.33,21861350.0
2021-11-30 07:00:00,6.319,6.434,6.251,6.401,41890840.0
2021-11-30 08:00:00,6.409,6.458,6.395,6.404,12781480.0
2021-11-30 09:00:00,6.4,6.446,6.348,6.426,22016470.0
2021-11-30 10:00:00,6.443,6.446,6.316,6.4,24715330.0
2021-11-30 11:00:00,6.398,6.613,6.382,6.595,25144890.0
2021-11-30 12:00:00,6.609,6.733,6.517,6.623,102798340.0
2021-11-30 13:00:00,6.614,6.729,6.508,6.67,66097310.0
2021-11-30 14:00:00,6.674,6.674,6.576,6.653,26615630.0
2021-11-30 15:00:00,6.653,6.773,6.653,6.766,15486890.0
2021-11-30 16:00:00,6.762,6.778,6.428,6.444,70912530.0
2021-11-30 17:00:00,6.444,6.51,6.272,6.442,47738310.0
2021-11-30 18:00:00,6.429,6.56,6.317,6.522,33293320.0
2021-11-30 19:00:00,6.539,6.552,6.49,6.53,10593710.0
2021-11-30 20:00:00,6.522,6.53,6.304,6.329,54732750.0
2021-11-30 21:00:00,6.34,6.368,6.138,6.3,73392980.0
2021-11-30 22:00:00,6.3,6.385,6.282,6.315,31749190.0
2021-11-30 23:00:00,6.314,6.39,6.268,6.268,33943880.0
2021-12-01 00:00:00,6.265,6.292,6.15,6.268,68610410.0
2021-12-01 01:00:00,6.276,6.337,6.241,6.275,33633870.0
2021-12-01 02:00:00,6.275,6.298,6.241,6.242,9438410.0
2021-12-01 03:00:00,6.255,6.3,6.188,6.285,31108080.0
2021-12-01 04:00:00,6.298,6.304,6.233,6.252,37669360.0
2021-12-01 05:00:00,6.27,6.321,6.25,6.261,9792410.0
2021-12-01 06:00:00,6.276,6.36,6.112,6.125,38304550.0
2021-12-01 07:00:00,6.12,6.223,6.047,6.059,77627850.0
2021-12-01 08:00:00,6.07,6.145,5.949,6.04,70215450.0
2021-12-01 09:00:00,6.032,6.176,5.999,6.11,53025390.0
2021-12-01 10:00:00,6.105,6.116,5.617,5.7,278734530.0
2021-12-01 11:00:00,5.698,5.798,5.56,5.619,188649390.0
2021-12-01 12:00:00,5.619,5.778,5.591,5.692,125492790.0
2021-12-01 13:00:00,5.683,5.756,5.289,5.359,271806820.0
2021-12-01 14:00:00,5.359,5.69,5.35,5.52,193779390.0
2021-12-01 15:00:00,5.519,5.71,5.455,5.582,218127490.0
2021-12-01 16:00:00,5.578,5.615,5.445,5.494,132132540.00000001
2021-12-01 17:00:00,5.498,5.829,5.483,5.66,204135630.0
2021-12-01 18:00:00,5.66,5.944,5.633,5.743,169279050.0
2021-12-01 19:00:00,5.743,5.865,5.609,5.748,134493840.0
2021-12-01 20:00:00,5.758,5.777,5.57,5.655,93454980.0
2021-12-01 21:00:00,5.668,5.733,5.544,5.612,76291220.0
2021-12-01 22:00:00,5.606,5.61,5.258,5.445,244958340.0
2021-12-01 23:00:00,5.445,5.493,5.267,5.308,102231540.0
2021-12-02 00:00:00,5.308,5.427,5.145,5.401,212399650.0
2021-12-02 01:00:00,5.407,5.582,5.296,5.3,195911290.0
2021-12-02 02:00:00,5.3,5.428,5.222,5.311,58042250.0
2021-12-02 03:00:00,5.311,5.316,5.203,5.204,37895020.0
2021-12-02 04:00:00,5.204,5.204,5.0,5.105,107143230.0
2021-12-02 05:00:00,5.109,5.23,5.1,5.157,67990920.0
2021-12-02 06:00:00,5.157,5.227,5.156,5.227,48973900.0
2021-12-02 07:00:00,5.23,5.473,5.222,5.308,90805040.0
2021-12-02 08:00:00,5.3,5.3,5.196,5.223,66207670.0
2021-12-02 09:00:00,5.223,5.3,5.2,5.203,56139900.0
2021-12-02 10:00:00,5.198,5.209,5.12,5.143,65737490.00000001
2021-12-02 11:00:00,5.143,5.216,5.037,5.154,98505560.0
2021-12-02 12:00:00,5.154,5.164,5.0,5.007,96294500.0
2021-12-02 13:00:00,5.004,5.074,4.92,5.021,123488400.0
2021-12-02 14:00:00,5.019,5.113,4.978,5.025,93719280.0
2021-12-02 15:00:00,5.017,5.372,5.014,5.239,147334060.0
2021-12-02 16:00:00,5.245,5.741,5.24,5.574,430550840.0
2021-12-02 17:00:00,5.574,5.578,5.364,5.447,124480240.0
2021-12-02 18:00:00,5.447,5.526,5.152,5.195,158498480.0
2021-12-02 19:00:00,5.195,5.302,5.179,5.216,80296240.0
2021-12-02 20:00:00,5.215,5.331,5.201,5.325,22183580.0
2021-12-02 21:00:00,5.331,5.365,5.289,5.298,20379040.0
2021-12-02 22:00:00,5.293,5.308,5.246,5.306,17790290.0
2021-12-02 23:00:00,5.306,5.523,5.291,5.52,44151680.0
2021-12-03 00:00:00,5.52,5.7,5.415,5.617,83782700.0
2021-12-03 01:00:00,5.616,5.94,5.474,5.688,354645250.0
2021-12-03 02:00:00,5.697,6.318,5.676,6.193,473225980.0
2021-12-03 03:00:00,6.193,6.782,6.051,6.24,631640330.0
2021-12-03 04:00:00,6.231,6.525,6.153,6.21,309356390.0
2021-12-03 05:00:00,6.211,6.301,5.851,5.947,301257420.0
2021-12-03 06:00:00,5.95,6.0,5.875,5.942,189645470.0
2021-12-03 07:00:00,5.94,5.963,5.757,5.786,145305680.0
2021-12-03 08:00:00,5.787,5.833,5.6,5.604,171111780.0
2021-12-03 09:00:00,5.604,5.63,5.577,5.6,80719980.0
2021-12-03 10:00:00,5.6,5.65,5.578,5.641,57950760.0
2021-12-03 11:00:00,5.641,5.946,5.638,5.75,224525620.0
2021-12-03 12:00:00,5.748,5.917,5.747,5.892,56428740.0
2021-12-03 13:00:00,5.879,5.894,5.689,5.72,71832490.0
2021-12-03 14:00:00,5.708,5.77,5.654,5.672,59806240.0
2021-12-03 15:00:00,5.66,5.672,5.55,5.638,90232300.0
2021-12-03 16:00:00,5.629,5.698,5.532,5.586,56957170.0
2021-12-03 17:00:00,5.577,5.583,5.102,5.154,128990990.0
2021-12-03 18:00:00,5.148,5.235,5.016,5.191,55464670.0
2021-12-03 19:00:00,5.192,5.291,5.184,5.26,32897190.000000004
2021-12-03 20:00:00,5.269,5.269,5.003,5.031,84696500.0
2021-12-03 21:00:00,5.02,5.14,4.828,5.121,279641290.0
2021-12-03 22:00:00,5.127,5.3,5.122,5.149,110025340.0
2021-12-03 23:00:00,5.149,5.196,4.96,4.984,180659900.0
2021-12-04 00:00:00,4.986,5.154,4.985,5.1,86318540.0
2021-12-04 01:00:00,5.106,5.13,4.834,4.843,157632470.0
2021-12-04 02:00:00,4.837,4.994,4.82,4.94,113261670.0
2021-12-04 03:00:00,4.948,5.089,4.939,5.088,60042280.0
2021-12-04 04:00:00,5.09,5.094,4.825,4.825,155728080.0
2021-12-04 05:00:00,4.832,4.863,4.59,4.672,218378920.0
2021-12-04 06:00:00,4.663,4.667,3.88,4.307,466702290.0
2021-12-04 07:00:00,4.307,4.684,4.306,4.536,278577880.0
2021-12-04 08:00:00,4.549,4.752,4.275,4.573,176882860.0
2021-12-04 09:00:00,4.572,4.573,4.409,4.566,97092360.0
2021-12-04 10:00:00,4.557,4.63,4.51,4.594,59668660.0
2021-12-04 11:00:00,4.596,4.663,4.517,4.521,74869190.0
2021-12-04 12:00:00,4.524,4.527,4.213,4.288,75858540.0
2021-12-04 13:00:00,4.289,4.49,4.288,4.455,53994600.0
2021-12-04 14:00:00,4.455,4.563,4.455,4.558,49976930.0
2021-12-04 15:00:00,4.55,4.88,4.534,4.877,178863180.0
2021-12-04 16:00:00,4.875,5.571,4.875,5.362,558736150.0
2021-12-04 17:00:00,5.363,6.074,5.25,5.506,1384513890.0
2021-12-04 18:00:00,5.513,5.766,5.457,5.654,631641770.0
2021-12-04 19:00:00,5.654,5.654,5.333,5.401,285104850.0
2021-12-04 20:00:00,5.402,5.428,5.265,5.273,100904880.0
2021-12-04 21:00:00,5.273,5.353,5.093,5.257,247782180.0
2021-12-04 22:00:00,5.255,5.344,5.121,5.205,94552760.0
2021-12-04 23:00:00,5.216,5.382,5.186,5.269,92509800.0
2021-12-05 00:00:00,5.269,5.521,5.259,5.266,187208820.0
2021-12-05 01:00:00,5.268,5.731,5.265,5.685,274998880.0
2021-12-05 02:00:00,5.693,5.722,5.393,5.393,104359800.0
2021-12-05 03:00:00,5.39,5.424,5.115,5.124,82098530.0
2021-12-05 04:00:00,5.125,5.28,5.016,5.254,94196080.0
2021-12-05 05:00:00,5.264,5.453,5.234,5.391,85356830.0
2021-12-05 06:00:00,5.383,5.384,5.14,5.348,53444720.0
2021-12-05 07:00:00,5.341,5.414,5.166,5.271,106610250.0
2021-12-05 08:00:00,5.266,5.446,5.199,5.292,143088860.0
