,Open,High,Low,Close,Volume
2020-08-27 09:00:00,0.02273,0.028,0.02273,0.02552,12964325900.0
2020-08-27 10:00:00,0.02553,0.0296,0.0253,0.02592,4702672800.0
2020-08-27 11:00:00,0.02592,0.02641,0.0247,0.02548,3291479200.0
2020-08-27 12:00:00,0.02548,0.0255,0.02475,0.02505,2466745900.0
2020-08-27 13:00:00,0.02514,0.02635,0.02446,0.02464,4665583700.0
2020-08-27 14:00:00,0.02464,0.02666,0.02413,0.02503,3033292500.0
2020-08-27 15:00:00,0.0253,0.02578,0.02389,0.02478,3797922400.0
2020-08-27 16:00:00,0.02495,0.0252,0.02431,0.02466,3652181900.0
2020-08-27 17:00:00,0.02466,0.026,0.02445,0.02519,2876423200.0
2020-08-27 18:00:00,0.02524,0.02529,0.02417,0.02431,1957117200.0
2020-08-27 19:00:00,0.0244,0.0259,0.02309,0.02373,4439985100.0
2020-08-27 20:00:00,0.02373,0.02554,0.02263,0.02322,6891856600.0
2020-08-27 21:00:00,0.02322,0.02384,0.02278,0.02298,1494639600.0
2020-08-27 22:00:00,0.02297,0.02324,0.0223,0.02286,3129180700.0
2020-08-27 23:00:00,0.02286,0.02483,0.0227,0.02331,2503503600.0
2020-08-28 00:00:00,0.02331,0.02394,0.0227,0.02314,1071908700.0
2020-08-28 01:00:00,0.02305,0.02484,0.02274,0.024,2853640900.0
2020-08-28 02:00:00,0.02401,0.02673,0.024,0.02526,7154926500.0
2020-08-28 03:00:00,0.02528,0.0268,0.02506,0.02571,3643848400.0
2020-08-28 04:00:00,0.02571,0.02699,0.02536,0.02668,6239231800.0
2020-08-28 05:00:00,0.02654,0.027,0.0259,0.02626,2911235400.0
2020-08-28 06:00:00,0.02618,0.027,0.02587,0.02678,2721802800.0
2020-08-28 07:00:00,0.027,0.02788,0.0255,0.02635,4302656100.0
2020-08-28 08:00:00,0.02643,0.02671,0.02498,0.02605,2912829400.0
2020-08-28 09:00:00,0.02587,0.02797,0.02562,0.0269,5758099100.0
2020-08-28 10:00:00,0.02696,0.02725,0.02651,0.02722,1515938000.0
2020-08-28 11:00:00,0.02722,0.02784,0.02635,0.02666,1650006000.0
2020-08-28 12:00:00,0.02666,0.027,0.02593,0.02665,1225677200.0
2020-08-28 13:00:00,0.02642,0.027,0.02634,0.0266,1254228900.0
2020-08-28 14:00:00,0.02665,0.027,0.0263,0.02674,1575895900.0
2020-08-28 15:00:00,0.02678,0.02696,0.02573,0.02613,2777466000.0
2020-08-28 16:00:00,0.02627,0.02627,0.02569,0.02602,2053208100.0
2020-08-28 17:00:00,0.02579,0.02638,0.02556,0.02587,1855952300.0
2020-08-28 18:00:00,0.02584,0.02689,0.02584,0.02671,1223227900.0
2020-08-28 19:00:00,0.02675,0.02688,0.02579,0.02595,760484900.0
2020-08-28 20:00:00,0.02591,0.02625,0.02579,0.026,418416800.0
2020-08-28 21:00:00,0.02596,0.02629,0.02554,0.0257,1823138700.0
2020-08-28 22:00:00,0.02572,0.02669,0.02555,0.02595,832948600.0
2020-08-28 23:00:00,0.02597,0.02663,0.02527,0.02538,769312600.0
2020-08-29 00:00:00,0.02538,0.026,0.025,0.02568,2071490800.0
2020-08-29 01:00:00,0.02568,0.02591,0.02546,0.02591,531631400.0
2020-08-29 02:00:00,0.0257,0.0265,0.0255,0.0256,1422327200.0
2020-08-29 03:00:00,0.0256,0.02599,0.02518,0.02518,656022500.0
2020-08-29 04:00:00,0.02524,0.02536,0.025,0.02523,2536059000.0
2020-08-29 05:00:00,0.02511,0.02534,0.025,0.02528,900642700.0
2020-08-29 06:00:00,0.02522,0.02531,0.02481,0.02492,1671314700.0
2020-08-29 07:00:00,0.02492,0.02525,0.0248,0.02505,582837100.0
2020-08-29 08:00:00,0.02505,0.02505,0.02429,0.02467,1388782700.0
2020-08-29 09:00:00,0.02477,0.02489,0.02419,0.0246,2857401700.0
2020-08-29 10:00:00,0.0246,0.02587,0.02447,0.02522,4747519500.0
2020-08-29 11:00:00,0.02521,0.02601,0.02519,0.02583,6101928800.0
2020-08-29 12:00:00,0.02582,0.027,0.02565,0.0258,2998579900.0
2020-08-29 13:00:00,0.02593,0.02625,0.02531,0.02568,2244965900.0
2020-08-29 14:00:00,0.02568,0.02625,0.02488,0.02497,3869123100.0
2020-08-29 15:00:00,0.02497,0.02553,0.02462,0.0249,1769600700.0
2020-08-29 16:00:00,0.02477,0.02509,0.02455,0.02488,1346956800.0
2020-08-29 17:00:00,0.02478,0.026,0.02465,0.02485,2808360000.0
2020-08-29 18:00:00,0.02486,0.026,0.02362,0.02437,9371759500.0
2020-08-29 19:00:00,0.0244,0.02512,0.0239,0.024,3787237700.0
2020-08-29 20:00:00,0.02401,0.02475,0.02342,0.02402,8576015400.0
2020-08-29 21:00:00,0.02402,0.02517,0.02402,0.02463,5550836100.0
2020-08-29 22:00:00,0.02464,0.02599,0.02422,0.0255,6826754600.0
2020-08-29 23:00:00,0.02538,0.0255,0.02441,0.02451,3361692500.0
2020-08-30 00:00:00,0.02451,0.025,0.02409,0.02457,1267473700.0
2020-08-30 01:00:00,0.02447,0.02501,0.02432,0.02443,2123728500.0
2020-08-30 02:00:00,0.02438,0.0252,0.024,0.02428,4218251599.9999995
2020-08-30 03:00:00,0.02435,0.02505,0.02419,0.0245,4183269400.0
2020-08-30 04:00:00,0.02449,0.02464,0.02371,0.02398,4482035000.0
2020-08-30 05:00:00,0.024,0.0246,0.0238,0.02454,2961878200.0
2020-08-30 06:00:00,0.02454,0.02471,0.02389,0.02408,1777675300.0
2020-08-30 07:00:00,0.02409,0.02478,0.02385,0.02409,2041580800.0
2020-08-30 08:00:00,0.02409,0.02443,0.02408,0.02443,929961100.0
2020-08-30 09:00:00,0.02445,0.02475,0.024,0.02436,2067575600.0
2020-08-30 10:00:00,0.02438,0.0247,0.02403,0.02403,1901940400.0
2020-08-30 11:00:00,0.0241,0.02433,0.02393,0.02409,2419980800.0
2020-08-30 12:00:00,0.02411,0.02524,0.02391,0.02491,7099436300.0
2020-08-30 13:00:00,0.02492,0.02593,0.02467,0.02593,7249375500.0
