,Open,High,Low,Close,Volume
2021-12-01 12:00:00,2.5,35.993,2.5,16.726,6485766430.0
2021-12-01 13:00:00,16.746,17.8,15.597,16.731,1921169980.0
2021-12-01 14:00:00,16.73,16.9,13.686,14.528,1305558690.0
2021-12-01 15:00:00,14.5,14.536,13.068,14.069,834712940.0
2021-12-01 16:00:00,14.067,14.6,12.012,12.473,734080570.0
2021-12-01 17:00:00,12.479,14.369,12.3,13.236,1263994030.0
2021-12-01 18:00:00,13.236,14.148,12.433,12.924,415477600.0
2021-12-01 19:00:00,12.937,14.4,12.922,13.6,721451730.0
2021-12-01 20:00:00,13.594,13.7,12.873,13.104,291915250.0
2021-12-01 21:00:00,13.104,13.59,12.561,12.686,302465660.0
2021-12-01 22:00:00,12.683,12.7,11.19,11.547,572169700.0
2021-12-01 23:00:00,11.55,11.75,11.011,11.373,276322210.0
2021-12-02 00:00:00,11.379,11.544,10.37,10.41,205799410.0
2021-12-02 01:00:00,10.404,10.9,10.038,10.038,248604310.0
2021-12-02 02:00:00,10.049,11.542,10.038,11.249,317809850.0
2021-12-02 03:00:00,11.242,11.5,10.124,10.536,288139690.0
2021-12-02 04:00:00,10.532,10.535,9.307,9.805,265132469.99999997
2021-12-02 05:00:00,9.81,10.319,9.522,9.622,248986210.0
2021-12-02 06:00:00,9.622,10.5,9.5,10.029,283664220.0
2021-12-02 07:00:00,10.056,11.331,9.913,11.299,537094820.0
2021-12-02 08:00:00,11.299,11.299,10.149,10.261,330509980.0
2021-12-02 09:00:00,10.253,10.441,9.86,10.34,258527200.0
2021-12-02 10:00:00,10.338,10.402,9.62,9.943,229337380.0
2021-12-02 11:00:00,9.943,9.972,9.322,9.404,215704910.0
2021-12-02 12:00:00,9.429,9.448,8.849,8.95,285933800.0
2021-12-02 13:00:00,8.95,8.95,8.46,8.532,357835800.0
2021-12-02 14:00:00,8.53,9.135,8.468,8.998,305961320.0
2021-12-02 15:00:00,9.012,9.179,8.646,8.808,166252090.0
2021-12-02 16:00:00,8.806,9.118,8.5,8.543,159507310.0
2021-12-02 17:00:00,8.543,8.543,7.867,8.095,305296250.0
2021-12-02 18:00:00,8.091,9.069,8.01,8.414,335066300.0
2021-12-02 19:00:00,8.411,8.442,8.051,8.2,113845100.0
2021-12-02 20:00:00,8.19,8.422,8.116,8.34,80793040.0
2021-12-02 21:00:00,8.361,8.99,8.337,8.501,259913600.0
2021-12-02 22:00:00,8.496,8.695,8.368,8.54,85042630.0
2021-12-02 23:00:00,8.53,8.663,8.46,8.573,59829210.0
2021-12-03 00:00:00,8.543,8.701,8.199,8.428,53611670.0
2021-12-03 01:00:00,8.45,8.486,8.001,8.07,48317430.0
2021-12-03 02:00:00,8.075,8.197,7.871,7.903,28941260.0
2021-12-03 03:00:00,7.874,8.099,7.65,7.666,51972910.0
2021-12-03 04:00:00,7.666,7.905,7.606,7.621,81152310.0
2021-12-03 05:00:00,7.621,7.641,7.002,7.026,138462080.0
2021-12-03 06:00:00,7.02,7.574,7.016,7.087,237203330.0
2021-12-03 07:00:00,7.06,7.25,7.06,7.126,108272320.0
2021-12-03 08:00:00,7.12,7.251,6.75,6.813,161529620.0
2021-12-03 09:00:00,6.814,7.1,6.811,7.084,125040980.0
2021-12-03 10:00:00,7.08,7.128,6.801,6.807,81332820.0
2021-12-03 11:00:00,6.818,7.149,6.81,6.988,109829120.0
2021-12-03 12:00:00,6.981,7.11,6.844,6.86,61812640.0
2021-12-03 13:00:00,6.86,7.069,6.85,6.892,67837640.0
2021-12-03 14:00:00,6.893,7.158,6.575,6.76,140736480.0
2021-12-03 15:00:00,6.752,6.849,6.361,6.369,166864250.0
2021-12-03 16:00:00,6.369,6.49,6.236,6.352,119526640.0
2021-12-03 17:00:00,6.345,6.381,5.786,5.82,325723220.0
2021-12-03 18:00:00,5.82,6.3,5.75,6.024,205088100.0
2021-12-03 19:00:00,6.024,6.41,6.024,6.211,223243920.0
2021-12-03 20:00:00,6.211,6.32,5.85,6.025,159438790.0
2021-12-03 21:00:00,6.025,6.27,5.645,6.156,170393190.0
2021-12-03 22:00:00,6.147,6.23,5.925,5.968,60822810.0
2021-12-03 23:00:00,5.963,6.011,5.723,5.77,61939630.0
2021-12-04 00:00:00,5.777,5.899,5.645,5.802,77481450.0
2021-12-04 01:00:00,5.821,6.084,5.68,5.684,98564860.0
2021-12-04 02:00:00,5.683,5.685,5.384,5.454,75453400.0
2021-12-04 03:00:00,5.454,5.6,5.168,5.236,89195620.0
2021-12-04 04:00:00,5.237,5.237,5.011,5.014,70202860.0
2021-12-04 05:00:00,5.013,5.2,4.72,4.829,94388040.0
2021-12-04 06:00:00,4.833,4.868,4.064,4.468,253069160.0
2021-12-04 07:00:00,4.456,4.8,4.201,4.572,136952120.0
2021-12-04 08:00:00,4.573,4.615,4.28,4.38,134542780.0
2021-12-04 09:00:00,4.393,5.1,4.375,4.82,248664460.0
2021-12-04 10:00:00,4.829,5.199,4.72,4.75,178503300.0
2021-12-04 11:00:00,4.764,4.766,4.442,4.535,112763870.0
2021-12-04 12:00:00,4.528,4.55,4.249,4.47,92834130.0
2021-12-04 13:00:00,4.47,4.657,4.337,4.354,91190140.0
2021-12-04 14:00:00,4.355,4.477,4.314,4.365,64781760.0
2021-12-04 15:00:00,4.372,4.636,4.358,4.548,119899640.0
2021-12-04 16:00:00,4.533,4.598,4.355,4.417,93749720.0
2021-12-04 17:00:00,4.417,4.9,4.343,4.371,186282980.0
2021-12-04 18:00:00,4.382,4.433,4.305,4.407,76956110.0
2021-12-04 19:00:00,4.407,4.429,4.334,4.35,61263740.0
2021-12-04 20:00:00,4.343,4.65,4.338,4.52,112991330.0
