,Open,High,Low,Close,Volume
2021-02-08 14:00:00,0.1,1.9,0.1,1.491,74668228760.0
2021-02-08 15:00:00,1.4883,1.64,1.2899,1.3659,43729874500.0
2021-02-08 16:00:00,1.3659,1.4344,1.2,1.4189,26110607500.0
2021-02-08 17:00:00,1.4156,1.478,1.3101,1.4124,17670692460.0
2021-02-08 18:00:00,1.411,1.479,1.365,1.4433,10209949430.0
2021-02-08 19:00:00,1.4446,1.4447,1.33,1.3669,6704414130.0
2021-02-08 20:00:00,1.3657,1.4372,1.35,1.4198,4284895519.9999995
2021-02-08 21:00:00,1.4195,1.4463,1.3662,1.4421,3796288830.0
2021-02-08 22:00:00,1.4421,1.445,1.37,1.3888,2602346170.0
2021-02-08 23:00:00,1.3888,1.419,1.3714,1.382,2094710510.0
2021-02-09 00:00:00,1.3829,1.3974,1.2553,1.29,4162237170.0
2021-02-09 01:00:00,1.2901,1.686,1.2897,1.5351,15470054840.0
2021-02-09 02:00:00,1.535,1.888,1.5245,1.7989,16440344430.0
2021-02-09 03:00:00,1.7991,1.8,1.6276,1.7228,7954589760.0
2021-02-09 04:00:00,1.7229,1.7879,1.6524,1.7137,4358399060.0
2021-02-09 05:00:00,1.7119,1.7409,1.63,1.7409,3698591010.0
2021-02-09 06:00:00,1.7409,1.7465,1.605,1.64,3646109120.0
2021-02-09 07:00:00,1.6362,1.6536,1.53,1.5916,5514835320.0
2021-02-09 08:00:00,1.5874,1.7194,1.557,1.6412,4855521620.0
2021-02-09 09:00:00,1.6413,1.699,1.57,1.6566,4037795830.0
2021-02-09 10:00:00,1.6566,1.8486,1.65,1.7324,8818686800.0
2021-02-09 11:00:00,1.7369,1.9993,1.7351,1.9298,12835531930.0
2021-02-09 12:00:00,1.9265,2.37,1.92,2.1876,33248186930.0
2021-02-09 13:00:00,2.1871,2.77,2.1451,2.67,37696336130.0
2021-02-09 14:00:00,2.6508,2.7483,2.2611,2.29,23349642980.0
2021-02-09 15:00:00,2.29,2.6,2.29,2.4469,11585993550.0
2021-02-09 16:00:00,2.4469,2.654,2.4395,2.6,8823346890.0
2021-02-09 17:00:00,2.5948,2.99,2.548,2.968,15853358070.0
2021-02-09 18:00:00,2.968,3.75,2.85,3.7495,32244802550.0
2021-02-09 19:00:00,3.7495,4.45,3.461,3.7601,45977084350.0
2021-02-09 20:00:00,3.7603,3.95,3.1111,3.601,36198007640.0
2021-02-09 21:00:00,3.6,3.8,3.35,3.4759,11698470410.0
2021-02-09 22:00:00,3.4738,3.4738,2.8892,2.9995,14705329730.0
2021-02-09 23:00:00,2.9976,3.5445,2.85,3.2236,14436241620.0
2021-02-10 00:00:00,3.2342,3.52,3.0713,3.4637,7930872290.0
2021-02-10 01:00:00,3.4634,3.77,3.12,3.33,10502468510.0
2021-02-10 02:00:00,3.339,3.454,3.0245,3.1901,5618033020.0
2021-02-10 03:00:00,3.19,3.37,3.1082,3.1109,3384575090.0
2021-02-10 04:00:00,3.1083,3.295,3.05,3.222,2881040990.0
2021-02-10 05:00:00,3.2211,3.3165,2.7236,2.7999,9608363540.0
2021-02-10 06:00:00,2.7999,3.09,2.69,2.8503,8596055000.0
2021-02-10 07:00:00,2.8503,2.88,2.6333,2.7441,5562270520.0
2021-02-10 08:00:00,2.7434,3.4899,2.71,3.4075,13299212920.0
2021-02-10 09:00:00,3.4074,3.44,3.0511,3.2858,8104590430.0
2021-02-10 10:00:00,3.2858,3.4,3.1414,3.1471,4910458780.0
2021-02-10 11:00:00,3.1469,3.2498,3.0536,3.1279,4285657120.0
2021-02-10 12:00:00,3.1279,3.1279,2.8768,3.011,6121290370.0
2021-02-10 13:00:00,3.0105,3.1,2.55,2.7948,7666138950.0
2021-02-10 14:00:00,2.7868,2.9698,2.7411,2.8672,4616815770.0
2021-02-10 15:00:00,2.8671,2.9649,2.58,2.6255,4558198540.0
2021-02-10 16:00:00,2.6255,2.6899,2.4211,2.6242,10024467790.0
2021-02-10 17:00:00,2.6228,2.7653,2.506,2.6891,4751197630.0
2021-02-10 18:00:00,2.6891,2.7736,2.554,2.7736,2886454680.0
2021-02-10 19:00:00,2.7707,2.94,2.74,2.745,5188624430.0
2021-02-10 20:00:00,2.741,2.85,2.6417,2.6545,2579264320.0
2021-02-10 21:00:00,2.6541,2.6868,2.456,2.4594,3028567860.0
2021-02-10 22:00:00,2.4594,2.638,2.4,2.5067,3333381310.0
2021-02-10 23:00:00,2.5068,2.6,2.4739,2.5359,2633412320.0
2021-02-11 00:00:00,2.5405,2.5527,2.4355,2.4788,1781132160.0
2021-02-11 01:00:00,2.4775,2.789,2.4699,2.5757,5384378210.0
2021-02-11 02:00:00,2.575,2.678,2.55,2.6153,1493134400.0
2021-02-11 03:00:00,2.6153,2.73,2.6129,2.73,563240910.0
2021-02-11 04:00:00,2.73,2.73,2.73,2.73,0.0
2021-02-11 06:00:00,2.7237,2.77,2.61,2.615,1948327970.0
