,Open,High,Low,Close,Volume
2020-12-01 02:00:00,0.03,0.14,0.03,0.07636,77385290600.0
2020-12-01 03:00:00,0.07609,0.09848,0.07583,0.09848,37098411500.0
2020-12-01 04:00:00,0.09848,0.10463,0.09,0.09786,37435238900.0
2020-12-01 05:00:00,0.09691,0.09706,0.08305,0.0912,16102484800.0
2020-12-01 06:00:00,0.09121,0.09667,0.08833,0.08888,12303725200.0
2020-12-01 07:00:00,0.08888,0.0951,0.088,0.09185,7360112100.0
2020-12-01 08:00:00,0.09186,0.09229,0.08611,0.08703,8225159700.0
2020-12-01 09:00:00,0.08706,0.08837,0.085,0.08722,5343755700.0
2020-12-01 10:00:00,0.08709,0.08709,0.07891,0.08027,8686933800.0
2020-12-01 11:00:00,0.08002,0.08628,0.07625,0.08507,12089108500.0
2020-12-01 12:00:00,0.08513,0.08576,0.07831,0.08159,12146812600.0
2020-12-01 13:00:00,0.08175,0.08435,0.0786,0.0786,11351445400.0
2020-12-01 14:00:00,0.0786,0.07932,0.07686,0.0785,5652707900.0
2020-12-01 15:00:00,0.07838,0.08369,0.07831,0.08339,8855714300.0
2020-12-01 16:00:00,0.08339,0.08339,0.07851,0.07983,4971482700.0
2020-12-01 17:00:00,0.07975,0.08014,0.07739,0.08,4968150900.0
2020-12-01 18:00:00,0.08,0.08482,0.07876,0.08124,5581025600.0
2020-12-01 19:00:00,0.08136,0.0814,0.07819,0.07999,2384478600.0
2020-12-01 20:00:00,0.07999,0.08072,0.0775,0.0795,6858342600.0
2020-12-01 21:00:00,0.07922,0.08149,0.07802,0.07979,5854936300.0
2020-12-01 22:00:00,0.07979,0.07997,0.07818,0.07857,2158694000.0
2020-12-01 23:00:00,0.07863,0.07927,0.07675,0.07751,1874448600.0
2020-12-02 00:00:00,0.0774,0.07762,0.07105,0.07223,7873362100.0
2020-12-02 01:00:00,0.07189,0.07336,0.0695,0.0714,4888169800.0
2020-12-02 02:00:00,0.07143,0.07226,0.07082,0.0715,1152743400.0
2020-12-02 03:00:00,0.07151,0.07151,0.0693,0.0693,2084748200.0
2020-12-02 04:00:00,0.06939,0.07334,0.0693,0.0719,3626914200.0
2020-12-02 05:00:00,0.072,0.072,0.06976,0.07076,1694822700.0
2020-12-02 06:00:00,0.07058,0.07555,0.06981,0.07403,6861556900.0
2020-12-02 07:00:00,0.07403,0.07599,0.07288,0.07361,2984751700.0
2020-12-02 08:00:00,0.07361,0.07433,0.07287,0.0742,1584132200.0
2020-12-02 09:00:00,0.07418,0.07902,0.07391,0.07645,2819530400.0
2020-12-02 10:00:00,0.07643,0.07644,0.07311,0.07321,2094684000.0
2020-12-02 11:00:00,0.07326,0.07368,0.07189,0.07259,1808498600.0
2020-12-02 12:00:00,0.07239,0.075,0.07239,0.07445,2066672600.0
2020-12-02 13:00:00,0.07487,0.0749,0.07201,0.07242,1618252400.0
2020-12-02 14:00:00,0.07273,0.07341,0.0724,0.07252,803297200.0
2020-12-02 15:00:00,0.07252,0.07362,0.07201,0.07209,1449003200.0
2020-12-02 16:00:00,0.07209,0.07288,0.0713,0.072,2129390200.0000002
2020-12-02 17:00:00,0.07152,0.07481,0.07132,0.07381,2661862300.0
2020-12-02 18:00:00,0.0738,0.0738,0.07193,0.07231,1840262800.0
2020-12-02 19:00:00,0.0723,0.07363,0.07178,0.07339,1119580700.0
2020-12-02 20:00:00,0.07349,0.075,0.07271,0.0733,1632673300.0
2020-12-02 21:00:00,0.07333,0.07476,0.07299,0.07448,861584700.0
2020-12-02 22:00:00,0.07447,0.076,0.07433,0.07591,1450283500.0
2020-12-02 23:00:00,0.07589,0.0775,0.07559,0.07613,1759630200.0
2020-12-03 00:00:00,0.07603,0.082,0.07603,0.08148,2301302100.0
2020-12-03 01:00:00,0.0815,0.09,0.08149,0.08813,14377611800.0
2020-12-03 02:00:00,0.0874,0.0884,0.0818,0.0826,3955426900.0
2020-12-03 03:00:00,0.08217,0.08659,0.08194,0.08625,2537760700.0
2020-12-03 04:00:00,0.08616,0.08905,0.0843,0.08435,4816040200.0
2020-12-03 05:00:00,0.08436,0.08468,0.0839,0.0841,970106900.0
2020-12-03 06:00:00,0.08405,0.0843,0.0804,0.08178,2938897800.0
2020-12-03 07:00:00,0.08178,0.08178,0.07891,0.07929,4016736800.0
2020-12-03 08:00:00,0.07929,0.08182,0.07869,0.08152,1814991100.0
