,Open,High,Low,Close,Volume
2021-04-30 14:00:00,0.1128,0.2,0.1128,0.1803,85301751000.0
2021-04-30 15:00:00,0.1804,0.2153,0.1617,0.1975,133851299000.0
2021-04-30 16:00:00,0.1973,0.357,0.192,0.2987,477268651000.0
2021-04-30 17:00:00,0.2987,0.3153,0.2519,0.2722,296780017000.0
2021-04-30 18:00:00,0.2719,0.2722,0.2311,0.24,125201554000.0
2021-04-30 19:00:00,0.2402,0.2627,0.2252,0.2525,117496805000.0
2021-04-30 20:00:00,0.2529,0.2535,0.2152,0.2286,87639112000.0
2021-04-30 21:00:00,0.2284,0.2291,0.212,0.2167,42627758000.0
2021-04-30 22:00:00,0.2167,0.2171,0.2023,0.2073,55030162000.0
2021-04-30 23:00:00,0.2076,0.2445,0.2073,0.2439,82329717000.0
2021-05-01 00:00:00,0.2436,0.265,0.2357,0.2358,156541786000.0
2021-05-01 01:00:00,0.2358,0.2358,0.2124,0.2166,58365950000.0
2021-05-01 02:00:00,0.2166,0.2276,0.202,0.2273,63066755000.0
2021-05-01 03:00:00,0.2273,0.2597,0.213,0.2442,88893796000.0
2021-05-01 04:00:00,0.2443,0.252,0.2205,0.2418,69359658000.0
2021-05-01 05:00:00,0.2412,0.2419,0.2228,0.2254,21806901000.0
2021-05-01 06:00:00,0.2254,0.24,0.22,0.2207,29056859000.0
2021-05-01 07:00:00,0.2207,0.233,0.2201,0.2279,21552867000.0
2021-05-01 08:00:00,0.2279,0.2582,0.2262,0.243,75177195000.0
2021-05-01 09:00:00,0.2428,0.2648,0.2342,0.2597,53533753000.0
2021-05-01 10:00:00,0.2597,0.3292,0.2591,0.301,269873668000.0
2021-05-01 11:00:00,0.301,0.345,0.2949,0.302,267325128000.0
2021-05-01 12:00:00,0.302,0.3141,0.2782,0.2978,150985362000.0
2021-05-01 13:00:00,0.2976,0.322,0.2975,0.3038,93904749000.0
2021-05-01 14:00:00,0.3037,0.325,0.2888,0.3185,90789909000.0
2021-05-01 15:00:00,0.3177,0.4248,0.3165,0.3592,441115582000.0
2021-05-01 16:00:00,0.3592,0.3785,0.3334,0.3384,182645231000.0
2021-05-01 17:00:00,0.3389,0.38,0.3389,0.3507,108887395000.0
2021-05-01 18:00:00,0.3505,0.3575,0.3242,0.3255,76694215000.0
2021-05-01 19:00:00,0.3256,0.36,0.3254,0.3326,70959849000.0
2021-05-01 20:00:00,0.3325,0.3787,0.3324,0.3759,85781528000.0
2021-05-01 21:00:00,0.3754,0.385,0.3581,0.3786,95815624000.0
2021-05-01 22:00:00,0.3782,0.4077,0.3685,0.4028,108527652000.0
2021-05-01 23:00:00,0.4031,0.4039,0.3658,0.3695,79379792000.0
2021-05-02 00:00:00,0.3698,0.376,0.3469,0.3632,59914707000.0
2021-05-02 01:00:00,0.363,0.375,0.36,0.3638,28747951000.0
2021-05-02 02:00:00,0.3637,0.3659,0.3353,0.3533,56530096000.0
2021-05-02 03:00:00,0.3533,0.3593,0.331,0.3407,28563796000.0
2021-05-02 04:00:00,0.3407,0.3548,0.335,0.3456,21083216000.0
2021-05-02 05:00:00,0.3456,0.3648,0.34,0.3469,30524842000.0
2021-05-02 06:00:00,0.3468,0.3575,0.3272,0.347,36224665000.0
2021-05-02 07:00:00,0.3468,0.3548,0.3345,0.3544,22711387000.0
2021-05-02 08:00:00,0.3544,0.389,0.3445,0.3799,62015416000.0
2021-05-02 09:00:00,0.3798,0.3965,0.3628,0.3668,69383877000.0
2021-05-02 10:00:00,0.3667,0.375,0.3565,0.3652,32092095000.0
2021-05-02 11:00:00,0.3653,0.3828,0.3651,0.3714,33463493000.0
2021-05-02 12:00:00,0.3715,0.394,0.3663,0.3788,42327917000.0
2021-05-02 13:00:00,0.3788,0.391,0.3776,0.3828,25431461000.0
2021-05-02 14:00:00,0.3828,0.4061,0.3684,0.3754,80814358000.0
2021-05-02 15:00:00,0.3753,0.38,0.3536,0.3625,55544610000.0
2021-05-02 16:00:00,0.3625,0.372,0.356,0.359,34426737000.0
2021-05-02 17:00:00,0.3589,0.3609,0.3412,0.3501,39291685000.0
2021-05-02 18:00:00,0.3501,0.363,0.337,0.346,36215731000.0
2021-05-02 19:00:00,0.346,0.35,0.335,0.3496,21822334000.0
2021-05-02 20:00:00,0.3496,0.3557,0.3405,0.3425,22074929000.0
2021-05-02 21:00:00,0.3425,0.3456,0.3326,0.3326,12889375000.0
2021-05-02 22:00:00,0.333,0.345,0.3282,0.334,20045616000.0
2021-05-02 23:00:00,0.3341,0.353,0.3335,0.3425,23034409000.0
2021-05-03 00:00:00,0.3418,0.3523,0.3361,0.3381,14156422000.0
2021-05-03 01:00:00,0.3381,0.3399,0.33,0.3305,9575663000.0
2021-05-03 02:00:00,0.3305,0.339,0.3181,0.3198,24367711000.0
2021-05-03 03:00:00,0.3198,0.3256,0.3069,0.3155,25339176000.0
2021-05-03 04:00:00,0.3152,0.323,0.3,0.3079,23546571000.0
2021-05-03 05:00:00,0.3079,0.3154,0.305,0.3115,12856284000.0
2021-05-03 06:00:00,0.3112,0.3285,0.3112,0.3282,20447518000.0
2021-05-03 07:00:00,0.3282,0.3427,0.3187,0.3241,25961722000.0
2021-05-03 08:00:00,0.3244,0.325,0.3141,0.3172,17001164000.0
2021-05-03 09:00:00,0.3175,0.3268,0.314,0.3225,13965596000.0
2021-05-03 10:00:00,0.3217,0.327,0.313,0.3189,15241498000.0
2021-05-03 11:00:00,0.3192,0.32,0.3099,0.3129,15813707000.0
2021-05-03 12:00:00,0.3129,0.3188,0.31,0.3139,11250425000.0
2021-05-03 13:00:00,0.314,0.3185,0.3113,0.3154,11622839000.0
2021-05-03 14:00:00,0.3142,0.339,0.314,0.33,42659390000.0
2021-05-03 15:00:00,0.3302,0.3385,0.3155,0.3186,26167242000.0
2021-05-03 16:00:00,0.3187,0.323,0.315,0.3229,11198421000.0
2021-05-03 17:00:00,0.3223,0.323,0.3117,0.3126,11795895000.0
2021-05-03 18:00:00,0.3126,0.316,0.3112,0.3128,10638577000.0
2021-05-03 19:00:00,0.3127,0.3155,0.309,0.3112,10667854000.0
2021-05-03 20:00:00,0.3112,0.3149,0.305,0.3073,9552817000.0
2021-05-03 21:00:00,0.3072,0.308,0.294,0.2948,13259119000.0
2021-05-03 22:00:00,0.2948,0.2966,0.282,0.2915,20683153000.0
2021-05-03 23:00:00,0.2914,0.2948,0.2801,0.2945,14321774000.0
2021-05-04 00:00:00,0.2945,0.295,0.285,0.2909,8169210000.0
2021-05-04 01:00:00,0.2912,0.2971,0.285,0.2971,9081843000.0
2021-05-04 02:00:00,0.2971,0.2984,0.275,0.2754,21826308000.0
2021-05-04 03:00:00,0.2756,0.2895,0.275,0.285,8728151000.0
2021-05-04 04:00:00,0.285,0.3078,0.2843,0.3032,12461869000.0
2021-05-04 05:00:00,0.3031,0.3043,0.2837,0.2928,9921432000.0
2021-05-04 06:00:00,0.2928,0.2969,0.2832,0.2851,6768509000.0
2021-05-04 07:00:00,0.2854,0.3043,0.2854,0.2995,10717615000.0
2021-05-04 08:00:00,0.2999,0.305,0.2915,0.2934,7571612000.0
2021-05-04 09:00:00,0.2934,0.3033,0.2882,0.289,7138490000.0
2021-05-04 10:00:00,0.289,0.2925,0.2768,0.2842,14249067000.0
2021-05-04 11:00:00,0.2844,0.2892,0.2755,0.2785,10064722000.0
2021-05-04 12:00:00,0.2786,0.2884,0.276,0.285,8117223000.0
2021-05-04 13:00:00,0.285,0.2884,0.2761,0.2768,6904274000.0
2021-05-04 14:00:00,0.2767,0.2808,0.2705,0.2721,15568500000.0
2021-05-04 15:00:00,0.2725,0.274,0.2601,0.2609,17301445000.0
2021-05-04 16:00:00,0.2608,0.2728,0.25,0.2698,24993846000.0
2021-05-04 17:00:00,0.2698,0.2768,0.261,0.261,16300364000.0
2021-05-04 18:00:00,0.261,0.273,0.2558,0.2637,11751035000.0
2021-05-04 19:00:00,0.2633,0.2686,0.2555,0.2624,8113396000.0
2021-05-04 20:00:00,0.2622,0.265,0.259,0.264,4471147000.0
2021-05-04 21:00:00,0.264,0.2644,0.26,0.2612,2224250000.0
2021-05-04 22:00:00,0.2613,0.2998,0.2612,0.2919,25451430000.0
2021-05-04 23:00:00,0.2919,0.3343,0.2844,0.3059,93217509000.0
2021-05-05 00:00:00,0.3059,0.32,0.2903,0.292,28039756000.0
2021-05-05 01:00:00,0.292,0.313,0.2836,0.2905,22699564000.0
2021-05-05 02:00:00,0.2908,0.309,0.2811,0.2958,17950899000.0
2021-05-05 03:00:00,0.2952,0.3116,0.295,0.2983,12987710000.0
2021-05-05 04:00:00,0.2983,0.2983,0.288,0.2902,7394602000.0
2021-05-05 05:00:00,0.2901,0.2938,0.2723,0.2765,9802987000.0
2021-05-05 06:00:00,0.2769,0.282,0.2653,0.2702,9520062000.0
2021-05-05 07:00:00,0.2708,0.2836,0.2668,0.2715,8721362000.0
2021-05-05 08:00:00,0.2709,0.2749,0.2641,0.271,6625226000.0
2021-05-05 09:00:00,0.271,0.299,0.2708,0.296,19244194000.0
2021-05-05 10:00:00,0.2956,0.2962,0.2801,0.2859,12687439000.0
2021-05-05 11:00:00,0.2859,0.2919,0.278,0.2812,9167045000.0
2021-05-05 12:00:00,0.2812,0.2876,0.28,0.2808,6392557000.0
2021-05-05 13:00:00,0.2813,0.2814,0.2686,0.2707,9906527000.0
2021-05-05 14:00:00,0.2709,0.2777,0.2688,0.2696,8042001000.0
2021-05-05 15:00:00,0.2697,0.275,0.269,0.272,7038378000.0
2021-05-05 16:00:00,0.2723,0.3239,0.271,0.2948,79004683000.0
2021-05-05 17:00:00,0.2944,0.309,0.2843,0.2881,21512328000.0
2021-05-05 18:00:00,0.2881,0.2882,0.2752,0.2808,17089132000.0
2021-05-05 19:00:00,0.2808,0.2867,0.279,0.2813,8080668000.0
