,Open,High,Low,Close,Volume
2020-07-09 14:00:00,2.893,3.398,2.893,3.058,341316663.0
2020-07-09 15:00:00,3.058,3.075,2.901,2.985,118179981.0
2020-07-09 16:00:00,2.986,3.05,2.927,2.927,60910393.0
2020-07-09 17:00:00,2.927,2.927,2.71,2.771,71882250.0
2020-07-09 18:00:00,2.771,3.01,2.748,2.857,100730081.0
2020-07-09 19:00:00,2.869,2.905,2.789,2.804,38253054.0
2020-07-09 20:00:00,2.814,2.884,2.789,2.884,12124027.0
2020-07-09 21:00:00,2.867,2.91,2.847,2.875,12600302.0
2020-07-09 22:00:00,2.9,2.951,2.861,2.944,15494538.0
2020-07-09 23:00:00,2.909,3.0,2.85,2.985,20142554.0
2020-07-10 00:00:00,2.958,3.0,2.929,2.93,13246044.0
2020-07-10 01:00:00,2.927,2.978,2.916,2.956,9948702.0
2020-07-10 02:00:00,2.956,2.974,2.9,2.9,40373996.0
2020-07-10 03:00:00,2.9,2.935,2.871,2.932,4361003.0
2020-07-10 04:00:00,2.932,2.953,2.892,2.943,8028585.0
2020-07-10 05:00:00,2.933,2.969,2.892,2.95,10964919.0
2020-07-10 06:00:00,2.949,2.97,2.892,2.917,7676472.0
2020-07-10 07:00:00,2.919,2.94,2.895,2.927,24949766.0
2020-07-10 08:00:00,2.927,2.932,2.85,2.863,13771051.0
2020-07-10 09:00:00,2.868,2.912,2.849,2.911,17367832.0
2020-07-10 10:00:00,2.913,2.93,2.901,2.93,24634581.0
2020-07-10 11:00:00,2.922,2.936,2.87,2.901,8874980.0
2020-07-10 12:00:00,2.895,2.913,2.875,2.878,13197616.0
2020-07-10 13:00:00,2.875,2.906,2.844,2.855,12844539.0
2020-07-10 14:00:00,2.852,2.886,2.789,2.809,28922641.0
2020-07-10 15:00:00,2.809,2.829,2.77,2.804,17864833.0
2020-07-10 16:00:00,2.804,2.815,2.763,2.798,10520429.0
2020-07-10 17:00:00,2.794,2.869,2.789,2.809,12258515.0
2020-07-10 18:00:00,2.815,2.816,2.77,2.794,12289043.0
2020-07-10 19:00:00,2.793,2.805,2.772,2.804,4404466.0
2020-07-10 20:00:00,2.804,2.805,2.773,2.801,6381533.0
2020-07-10 21:00:00,2.801,2.805,2.774,2.801,6971993.0
2020-07-10 22:00:00,2.8,2.842,2.782,2.836,13064923.0
2020-07-10 23:00:00,2.841,2.852,2.809,2.849,5001607.0
2020-07-11 00:00:00,2.848,2.902,2.834,2.89,19739881.0
2020-07-11 01:00:00,2.884,2.929,2.861,2.921,11656744.0
2020-07-11 02:00:00,2.921,2.927,2.896,2.917,6065972.0
2020-07-11 03:00:00,2.922,2.927,2.835,2.851,18607237.0
2020-07-11 04:00:00,2.85,2.879,2.72,2.735,70185234.0
2020-07-11 05:00:00,2.74,2.772,2.654,2.772,47139165.0
