,Open,High,Low,Close,Volume
2021-12-24 09:00:00,0.02357,0.0281,0.02357,0.0246,422538803000.0
2021-12-24 10:00:00,0.02461,0.02529,0.0243,0.0249,38728001000.0
2021-12-24 11:00:00,0.02492,0.02529,0.0248,0.02521,31997900000.0
2021-12-24 12:00:00,0.02521,0.02526,0.02442,0.02499,50614091000.0
2021-12-24 13:00:00,0.02499,0.02529,0.02478,0.02483,29940348000.0
2021-12-24 14:00:00,0.02479,0.02495,0.02394,0.02443,41558027000.0
2021-12-24 15:00:00,0.02444,0.02448,0.0238,0.02386,24385881000.0
2021-12-24 16:00:00,0.02386,0.02404,0.02321,0.02388,42961227000.0
2021-12-24 17:00:00,0.0239,0.02425,0.02372,0.02396,18800987000.0
2021-12-24 18:00:00,0.02392,0.02397,0.02347,0.02378,18451216000.0
2021-12-24 19:00:00,0.02378,0.02382,0.0229,0.02309,28307360000.0
2021-12-24 20:00:00,0.02309,0.02465,0.0225,0.02301,40803854000.0
2021-12-24 21:00:00,0.02303,0.02304,0.02213,0.02294,32280831000.0
2021-12-24 22:00:00,0.02289,0.02321,0.02277,0.02282,19020063000.0
2021-12-24 23:00:00,0.02281,0.02286,0.02226,0.02234,19599849000.0
2021-12-25 00:00:00,0.02231,0.02241,0.02142,0.02179,28653885000.0
2021-12-25 01:00:00,0.02177,0.02295,0.02176,0.02255,26208254000.0
2021-12-25 02:00:00,0.02248,0.02287,0.02232,0.0224,13457538000.0
2021-12-25 03:00:00,0.02244,0.02297,0.0223,0.02258,13049054000.0
2021-12-25 04:00:00,0.02258,0.02285,0.02222,0.02285,11450298000.0
2021-12-25 05:00:00,0.02285,0.02347,0.02246,0.02327,14446294000.0
2021-12-25 06:00:00,0.02328,0.0235,0.023,0.02334,8480986000.0
2021-12-25 07:00:00,0.02331,0.02369,0.02281,0.02328,43340489000.0
2021-12-25 08:00:00,0.02324,0.02334,0.02265,0.02282,29395544000.0
2021-12-25 09:00:00,0.02285,0.02348,0.02275,0.02315,35165649000.0
2021-12-25 10:00:00,0.02315,0.0233,0.02288,0.02306,12632076000.0
2021-12-25 11:00:00,0.02306,0.02321,0.0228,0.02289,11134809000.0
2021-12-25 12:00:00,0.02289,0.02311,0.0228,0.02285,11512819000.0
2021-12-25 13:00:00,0.02287,0.02364,0.02275,0.02339,22337213000.0
2021-12-25 14:00:00,0.02339,0.02345,0.02254,0.02313,29290852000.0
2021-12-25 15:00:00,0.02314,0.0233,0.0227,0.02284,13428442000.0
2021-12-25 16:00:00,0.02285,0.02343,0.02283,0.02325,17840793000.0
2021-12-25 17:00:00,0.02325,0.02326,0.02272,0.02299,21165740000.0
2021-12-25 18:00:00,0.02299,0.02299,0.02254,0.02285,19828248000.0
2021-12-25 19:00:00,0.02285,0.02329,0.02282,0.02317,10721611000.0
2021-12-25 20:00:00,0.0232,0.02338,0.0229,0.02295,10524774000.0
2021-12-25 21:00:00,0.02291,0.02357,0.0229,0.02336,22794485000.0
2021-12-25 22:00:00,0.02337,0.02345,0.02313,0.02318,8648359000.0
2021-12-25 23:00:00,0.02318,0.02331,0.02283,0.02295,8901055000.0
2021-12-26 00:00:00,0.02295,0.02296,0.02283,0.02283,4573916000.0
2021-12-26 01:00:00,0.02283,0.02311,0.02231,0.02247,16050147000.0
2021-12-26 02:00:00,0.02245,0.02273,0.0222,0.02252,18726341000.0
