,Open,High,Low,Close,Volume
2020-08-11 15:00:00,0.11,5.0,0.11,1.2845,17665720040.0
2020-08-11 16:00:00,1.2844,1.3575,1.1563,1.2615,12739586510.0
2020-08-11 17:00:00,1.2648,1.3505,1.2601,1.3064,6768270940.0
2020-08-11 18:00:00,1.3064,1.324,1.2398,1.2657,2204636520.0
2020-08-11 19:00:00,1.2653,1.2741,1.2296,1.254,1115662490.0
2020-08-11 20:00:00,1.254,1.2877,1.2239,1.285,868562680.0
2020-08-11 21:00:00,1.2854,1.2999,1.2511,1.2764,682028950.0
2020-08-11 22:00:00,1.2766,1.305,1.261,1.2998,698479500.0
2020-08-11 23:00:00,1.2927,1.3875,1.288,1.3859,2173364730.0
2020-08-12 00:00:00,1.3873,1.614,1.365,1.5185,10456847540.0
2020-08-12 01:00:00,1.5185,1.5981,1.4712,1.5629,4724679270.0
2020-08-12 02:00:00,1.5609,1.985,1.555,1.91,13116943190.0
2020-08-12 03:00:00,1.9097,1.9844,1.7032,1.8002,8213451410.0
2020-08-12 04:00:00,1.8003,1.8213,1.6,1.6843,5223987620.0
2020-08-12 05:00:00,1.6845,1.793,1.6471,1.7569,3193288700.0
2020-08-12 06:00:00,1.7562,1.88,1.7529,1.7807,3677611250.0
2020-08-12 07:00:00,1.78,1.8395,1.7117,1.8107,2678760000.0
2020-08-12 08:00:00,1.8151,1.9376,1.8091,1.8481,4269761200.0
2020-08-12 09:00:00,1.8481,1.8846,1.78,1.8199,2509177720.0
2020-08-12 10:00:00,1.8182,1.88,1.8148,1.8638,1898590510.0
2020-08-12 11:00:00,1.8638,1.885,1.84,1.86,1154252590.0
2020-08-12 12:00:00,1.8657,1.869,1.7825,1.7943,1665991400.0
2020-08-12 13:00:00,1.7933,1.795,1.6285,1.6513,3866470120.0
2020-08-12 14:00:00,1.6555,1.78,1.617,1.7787,2908632060.0
2020-08-12 15:00:00,1.7778,1.84,1.735,1.7619,2882955030.0
2020-08-12 16:00:00,1.762,1.7938,1.7564,1.7742,1173107290.0
2020-08-12 17:00:00,1.7742,1.9139,1.7741,1.9,2840376280.0
2020-08-12 18:00:00,1.8915,1.91,1.8365,1.8548,1223410940.0
2020-08-12 19:00:00,1.853,1.8979,1.85,1.8956,691656270.0
2020-08-12 20:00:00,1.8949,1.9029,1.8194,1.8242,823938390.0
2020-08-12 21:00:00,1.8245,1.8649,1.778,1.8426,919301900.0
2020-08-12 22:00:00,1.8426,1.8469,1.7602,1.8101,464679180.0
2020-08-12 23:00:00,1.8101,1.8198,1.7641,1.7925,680419500.0
2020-08-13 00:00:00,1.7947,1.799,1.7,1.762,1472249880.0
2020-08-13 01:00:00,1.7644,1.7718,1.66,1.6658,1437875850.0
2020-08-13 02:00:00,1.6609,1.7772,1.628,1.7573,1686285450.0
2020-08-13 03:00:00,1.7573,1.7598,1.68,1.6886,993239970.0
2020-08-13 04:00:00,1.6882,1.7208,1.62,1.68,1337964020.0
2020-08-13 05:00:00,1.6909,1.7385,1.6455,1.7059,921762240.0
2020-08-13 06:00:00,1.7057,1.748,1.6613,1.7134,656508530.0
2020-08-13 07:00:00,1.7112,1.73,1.6712,1.6958,615175470.0
2020-08-13 08:00:00,1.6907,1.7206,1.6851,1.711,427281760.0
2020-08-13 09:00:00,1.7167,1.785,1.71,1.7835,985081920.0
2020-08-13 10:00:00,1.783,1.8079,1.69,1.7199,1218510390.0
2020-08-13 11:00:00,1.7199,1.733,1.6581,1.712,776152360.0
2020-08-13 12:00:00,1.7163,1.8,1.7001,1.794,945623390.0
2020-08-13 13:00:00,1.794,2.149,1.794,2.0567,5630574940.0
2020-08-13 14:00:00,2.0564,2.23,2.02,2.1,4915301810.0
2020-08-13 15:00:00,2.1,2.1675,2.0111,2.148,2562927270.0
2020-08-13 16:00:00,2.1456,2.195,2.07,2.1733,1546849590.0
2020-08-13 17:00:00,2.1733,2.18,2.0604,2.08,1417914670.0
2020-08-13 18:00:00,2.08,2.1073,2.0107,2.0393,816508170.0
2020-08-13 19:00:00,2.0307,2.0614,1.9747,2.0443,1318071150.0
2020-08-13 20:00:00,2.0411,2.0886,2.0381,2.0749,465744770.0
2020-08-13 21:00:00,2.0634,2.178,2.0578,2.1628,623070390.0
2020-08-13 22:00:00,2.1628,2.2087,2.025,2.0497,1290542970.0
2020-08-13 23:00:00,2.0469,2.0698,1.9514,1.9753,1287095610.0
2020-08-14 00:00:00,1.9725,1.99,1.9,1.9665,918263230.0
2020-08-14 01:00:00,1.9728,2.0344,1.966,2.0068,606126440.0
2020-08-14 02:00:00,2.0066,2.011,1.95,1.9633,496102380.0
2020-08-14 03:00:00,1.963,1.9829,1.912,1.9207,656398570.0
2020-08-14 04:00:00,1.9205,2.06,1.894,2.0125,956604190.0
2020-08-14 05:00:00,2.0139,2.0955,1.9876,2.0221,1048948750.0
2020-08-14 06:00:00,2.0226,2.0912,1.9512,2.0748,1085103540.0
2020-08-14 07:00:00,2.0788,2.1469,2.0484,2.1,1306516640.0
2020-08-14 08:00:00,2.1016,2.119,2.078,2.11,323712290.0
2020-08-14 09:00:00,2.11,2.11,2.0405,2.0621,529088280.0
2020-08-14 10:00:00,2.0518,2.1133,2.04,2.1008,510944360.0
2020-08-14 11:00:00,2.1003,2.103,2.0526,2.0716,279228230.0
2020-08-14 12:00:00,2.0716,2.08,2.05,2.0571,296837610.0
2020-08-14 13:00:00,2.0597,2.0656,2.027,2.0456,425948080.0
2020-08-14 14:00:00,2.0413,2.07,2.0111,2.0111,428734050.0
2020-08-14 15:00:00,2.0111,2.0224,1.9611,1.9863,864086010.0
2020-08-14 16:00:00,1.9866,1.9917,1.9101,1.9316,842007170.0
2020-08-14 17:00:00,1.9315,1.9687,1.906,1.9524,716900070.0
2020-08-14 18:00:00,1.9525,1.96,1.8276,1.8417,1038606690.0
2020-08-14 19:00:00,1.8419,1.8561,1.8,1.81,662603080.0
2020-08-14 20:00:00,1.81,1.8901,1.8,1.8758,676867260.0
2020-08-14 21:00:00,1.8758,1.899,1.8503,1.8746,241524790.0
2020-08-14 22:00:00,1.878,1.9078,1.8585,1.8949,188905820.0
2020-08-14 23:00:00,1.8956,1.9285,1.8831,1.9069,271452250.0
2020-08-15 00:00:00,1.9048,1.9083,1.8565,1.8652,263099340.00000003
2020-08-15 01:00:00,1.865,1.8689,1.8423,1.8574,165378140.0
2020-08-15 02:00:00,1.86,1.8876,1.8,1.8002,596789610.0
2020-08-15 03:00:00,1.8047,1.9287,1.7779,1.8794,858285160.0
2020-08-15 04:00:00,1.8829,1.9071,1.85,1.8694,373102690.0
2020-08-15 05:00:00,1.8628,1.8695,1.823,1.8343,204436700.0
2020-08-15 06:00:00,1.8343,1.84,1.808,1.8191,227146100.0
2020-08-15 07:00:00,1.8217,1.8339,1.749,1.765,782922270.0
2020-08-15 08:00:00,1.7622,1.7866,1.7445,1.7745,439574080.0
2020-08-15 09:00:00,1.767,1.83,1.767,1.83,346338100.0
2020-08-15 10:00:00,1.8303,1.8652,1.8035,1.852,460081730.0
2020-08-15 11:00:00,1.8491,1.86,1.79,1.811,442653800.0
2020-08-15 12:00:00,1.8078,1.8149,1.78,1.7826,436332080.0
2020-08-15 13:00:00,1.7827,1.8577,1.766,1.7851,631318790.0
2020-08-15 14:00:00,1.7872,1.79,1.7284,1.7731,899752250.0
2020-08-15 15:00:00,1.773,1.7992,1.7219,1.7439,731186980.0
2020-08-15 16:00:00,1.743,1.7591,1.7303,1.755,410248780.0
2020-08-15 17:00:00,1.755,1.7575,1.6877,1.7,933730220.0
2020-08-15 18:00:00,1.6999,1.7239,1.6964,1.7186,285605570.0
2020-08-15 19:00:00,1.7203,1.765,1.7186,1.7619,194113650.0
2020-08-15 20:00:00,1.764,1.7648,1.72,1.7376,245973470.0
2020-08-15 21:00:00,1.7366,1.7398,1.72,1.724,59869260.0
2020-08-15 22:00:00,1.724,1.7551,1.7232,1.7356,163723340.0
2020-08-15 23:00:00,1.7412,1.75,1.64,1.6788,762605580.0
2020-08-16 00:00:00,1.6788,1.7032,1.6658,1.6746,252136540.0
2020-08-16 01:00:00,1.6746,1.677,1.64,1.6651,236515030.0
2020-08-16 02:00:00,1.6629,1.6699,1.6262,1.6322,332594490.0
2020-08-16 03:00:00,1.6322,1.635,1.5173,1.532,1416382260.0
2020-08-16 04:00:00,1.5276,1.5922,1.525,1.5851,618721810.0
2020-08-16 05:00:00,1.5855,1.704,1.5829,1.699,848464950.0
2020-08-16 06:00:00,1.6992,1.7001,1.65,1.6516,465952170.0
2020-08-16 07:00:00,1.6521,1.71,1.6451,1.6747,246872440.0
2020-08-16 08:00:00,1.6766,1.7591,1.6593,1.7446,486399610.0
2020-08-16 09:00:00,1.7424,1.85,1.7423,1.8038,1389232370.0
2020-08-16 10:00:00,1.8045,1.8045,1.7425,1.7657,639189180.0
2020-08-16 11:00:00,1.7648,1.8,1.7648,1.7849,203133640.0
2020-08-16 12:00:00,1.7844,1.8452,1.7804,1.8091,523998670.0
2020-08-16 13:00:00,1.81,1.8149,1.7601,1.7606,396082400.0
2020-08-16 14:00:00,1.7668,1.7675,1.7153,1.7429,411135250.0
2020-08-16 15:00:00,1.7441,1.79,1.7385,1.7898,276218420.0
2020-08-16 16:00:00,1.7899,1.7958,1.755,1.7609,258317260.0
2020-08-16 17:00:00,1.7586,1.7674,1.735,1.7538,198279700.0
2020-08-16 18:00:00,1.7539,1.7539,1.72,1.7355,381742690.0
2020-08-16 19:00:00,1.7428,1.7468,1.705,1.7225,116936700.0
2020-08-16 20:00:00,1.7227,1.728,1.705,1.7225,93159050.0
2020-08-16 21:00:00,1.7224,1.7303,1.6969,1.713,102731810.0
2020-08-16 22:00:00,1.7121,1.7122,1.6833,1.6902,135522010.0
2020-08-16 23:00:00,1.6902,1.6993,1.6742,1.695,305856920.0
2020-08-17 00:00:00,1.6974,1.7185,1.6862,1.705,198168670.0
2020-08-17 01:00:00,1.7075,1.7332,1.705,1.73,179068410.0
2020-08-17 02:00:00,1.7313,1.7422,1.7,1.7165,177619030.0
2020-08-17 03:00:00,1.719,1.7235,1.69,1.696,134899420.0
2020-08-17 04:00:00,1.696,1.7178,1.6827,1.7108,200524420.0
2020-08-17 05:00:00,1.7108,1.7113,1.7,1.7028,86948620.0
2020-08-17 06:00:00,1.7001,1.7384,1.6937,1.734,256044370.0
2020-08-17 07:00:00,1.734,1.7869,1.726,1.7659,768408550.0
2020-08-17 08:00:00,1.7659,1.7667,1.75,1.7593,215394550.0
2020-08-17 09:00:00,1.7619,1.7625,1.7,1.7467,318829900.0
2020-08-17 10:00:00,1.7468,1.7499,1.7255,1.7366,285050860.0
2020-08-17 11:00:00,1.7348,1.7373,1.7133,1.7246,206253760.0
2020-08-17 12:00:00,1.7247,1.7363,1.7169,1.7256,126714570.0
2020-08-17 13:00:00,1.7251,1.7278,1.71,1.718,120447920.0
2020-08-17 14:00:00,1.718,1.7244,1.7097,1.7145,147469390.0
