,Open,High,Low,Close,Volume
2022-04-22 12:00:00,0.5988,0.6688,0.5421,0.5734,14451905100.0
2022-04-22 13:00:00,0.5739,0.5887,0.5433,0.5577,2421199400.0
2022-04-22 14:00:00,0.5547,0.5629,0.539,0.5423,1242098100.0
2022-04-22 15:00:00,0.5421,0.5556,0.525,0.5319,1650051700.0
2022-04-22 16:00:00,0.5318,0.5342,0.5112,0.5232,1262840700.0
2022-04-22 17:00:00,0.5227,0.5252,0.5097,0.5139,874526500.0
2022-04-22 18:00:00,0.514,0.5225,0.502,0.5066,908872000.0
2022-04-22 19:00:00,0.5049,0.52,0.5002,0.5056,945446100.0
2022-04-22 20:00:00,0.5038,0.52,0.5017,0.5146,1309555400.0
2022-04-22 21:00:00,0.5149,0.5198,0.5097,0.5165,940151500.0
2022-04-22 22:00:00,0.5165,0.518,0.505,0.5078,777757700.0
2022-04-22 23:00:00,0.5075,0.5947,0.5052,0.5643,3761397900.0
2022-04-23 00:00:00,0.5631,0.5782,0.5172,0.52,3093021500.0
2022-04-23 01:00:00,0.52,0.5273,0.51,0.5163,1086887500.0
2022-04-23 02:00:00,0.5172,0.5233,0.4736,0.4753,2608509700.0
2022-04-23 03:00:00,0.4754,0.4857,0.4647,0.4737,2115680100.0
2022-04-23 04:00:00,0.4734,0.493,0.4622,0.4841,2158758200.0
2022-04-23 05:00:00,0.4823,0.4835,0.4661,0.4686,994369500.0
2022-04-23 06:00:00,0.4688,0.4772,0.4659,0.4734,716918300.0
2022-04-23 07:00:00,0.4737,0.4829,0.4688,0.4727,759915100.0
2022-04-23 08:00:00,0.4727,0.4791,0.4628,0.4656,640749600.0
2022-04-23 09:00:00,0.4656,0.4775,0.465,0.4658,496019800.0
2022-04-23 10:00:00,0.4659,0.485,0.4628,0.4689,1324338600.0
2022-04-23 11:00:00,0.4691,0.479,0.4659,0.4679,1032443000.0
2022-04-23 12:00:00,0.4679,0.4737,0.4655,0.4705,489885800.0
2022-04-23 13:00:00,0.4702,0.4709,0.4625,0.4674,532497199.99999994
2022-04-23 14:00:00,0.4681,0.474,0.4669,0.4693,570090200.0
2022-04-23 15:00:00,0.469,0.4845,0.467,0.473,1574713700.0
2022-04-23 16:00:00,0.4738,0.4833,0.47,0.4774,1068913500.0
2022-04-23 17:00:00,0.4779,0.4844,0.4732,0.4769,1036563200.0
2022-04-23 18:00:00,0.4769,0.4772,0.472,0.4744,544889200.0
