,Open,High,Low,Close,Volume
2020-11-18 04:00:00,0.4904,0.618,0.4344,0.4841,480111920.0
2020-11-18 05:00:00,0.4897,0.4911,0.4686,0.469,123109690.0
2020-11-18 06:00:00,0.4709,0.4948,0.4504,0.4622,121199190.0
2020-11-18 07:00:00,0.4622,0.4802,0.4468,0.4626,45120760.0
2020-11-18 08:00:00,0.4626,0.4696,0.3293,0.385,553888740.0
2020-11-18 09:00:00,0.3887,0.429,0.357,0.3982,500063710.0
2020-11-18 10:00:00,0.3981,0.4089,0.3767,0.4023,142655880.0
2020-11-18 11:00:00,0.4052,0.4153,0.3688,0.4026,382113410.0
2020-11-18 12:00:00,0.405,0.4437,0.3951,0.4291,123449270.0
2020-11-18 13:00:00,0.4293,0.4962,0.4278,0.475,246273150.0
2020-11-18 14:00:00,0.473,0.4773,0.4401,0.4567,143189220.0
2020-11-18 15:00:00,0.4567,0.4586,0.4469,0.4493,36670270.0
2020-11-18 16:00:00,0.4498,0.4569,0.4405,0.4509,11016610.0
2020-11-18 17:00:00,0.4509,0.4569,0.436,0.4436,22954780.0
2020-11-18 18:00:00,0.443,0.4433,0.434,0.4383,23372810.0
2020-11-18 19:00:00,0.4379,0.4383,0.431,0.4343,37284560.0
2020-11-18 20:00:00,0.4339,0.4588,0.4334,0.452,26201730.0
2020-11-18 21:00:00,0.4472,0.4472,0.4326,0.4386,24348470.0
2020-11-18 22:00:00,0.4363,0.4402,0.4299,0.4321,24721210.0
2020-11-18 23:00:00,0.4321,0.4323,0.43,0.4323,36323860.0
2020-11-19 00:00:00,0.4323,0.4323,0.4264,0.4323,17837690.0
2020-11-19 01:00:00,0.4331,0.46,0.4331,0.4504,26727800.0
2020-11-19 02:00:00,0.4434,0.4496,0.4376,0.4438,7977110.0
2020-11-19 03:00:00,0.4482,0.45,0.4299,0.4353,20428550.0
2020-11-19 04:00:00,0.4392,0.4398,0.4319,0.4385,14130710.0
2020-11-19 05:00:00,0.4345,0.4406,0.4269,0.4341,15227020.0
2020-11-19 06:00:00,0.43,0.4394,0.4269,0.4294,16892440.0
2020-11-19 07:00:00,0.4329,0.4361,0.42,0.4234,72452490.0
2020-11-19 08:00:00,0.4219,0.43,0.4219,0.4269,19119490.0
2020-11-19 09:00:00,0.4285,0.4285,0.3962,0.3966,70981220.0
2020-11-19 10:00:00,0.3966,0.4251,0.3935,0.4161,75758880.0
2020-11-19 11:00:00,0.4123,0.42,0.3935,0.4017,85468520.0
2020-11-19 12:00:00,0.4019,0.4107,0.3936,0.4,17420640.0
2020-11-19 13:00:00,0.4021,0.4218,0.3969,0.4048,42715900.0
2020-11-19 14:00:00,0.4047,0.4213,0.3967,0.4091,79584410.0
2020-11-19 15:00:00,0.4094,0.4134,0.4061,0.4094,26522050.0
2020-11-19 16:00:00,0.4096,0.4138,0.4009,0.4029,65228250.0
2020-11-19 17:00:00,0.4024,0.4093,0.4,0.4053,59632250.0
2020-11-19 18:00:00,0.4052,0.4186,0.4049,0.4116,24224000.0
2020-11-19 19:00:00,0.4118,0.4169,0.41,0.4146,27111520.0
2020-11-19 20:00:00,0.4144,0.4224,0.41,0.412,18249040.0
2020-11-19 21:00:00,0.4127,0.4248,0.4116,0.424,23330420.0
2020-11-19 22:00:00,0.424,0.43,0.41,0.41,61290710.0
2020-11-19 23:00:00,0.41,0.4134,0.405,0.4095,13365080.0
2020-11-20 00:00:00,0.4094,0.4212,0.405,0.4061,54620590.0
2020-11-20 01:00:00,0.4058,0.412,0.4,0.4039,33948240.0
2020-11-20 02:00:00,0.4037,0.4088,0.3972,0.4042,21836430.0
2020-11-20 03:00:00,0.4081,0.4119,0.4005,0.4102,8426230.0
2020-11-20 04:00:00,0.4046,0.4241,0.4045,0.4121,18854520.0
2020-11-20 05:00:00,0.4101,0.4155,0.404,0.404,44170430.0
2020-11-20 06:00:00,0.4068,0.4122,0.404,0.4047,11973770.0
2020-11-20 07:00:00,0.4047,0.4093,0.404,0.4048,23188580.0
2020-11-20 08:00:00,0.408,0.4093,0.404,0.4041,9950540.0
2020-11-20 09:00:00,0.4042,0.41,0.4037,0.4045,31014150.0
2020-11-20 10:00:00,0.4045,0.4066,0.3972,0.4,40662990.0
