,Open,High,Low,Close,Volume
2019-10-25 06:00:00,0.3012,0.5,0.2,0.2664,9140611660.0
2019-10-25 07:00:00,0.2673,0.2885,0.2609,0.2884,617886350.0
2019-10-25 08:00:00,0.2832,0.2888,0.2717,0.2802,305067010.0
2019-10-25 09:00:00,0.2803,0.285,0.2677,0.2783,324336600.0
2019-10-25 10:00:00,0.2818,0.2835,0.2751,0.276,171012630.0
2019-10-25 11:00:00,0.276,0.2766,0.2685,0.27,268273289.99999997
2019-10-25 12:00:00,0.27,0.2733,0.2615,0.2649,254537490.0
2019-10-25 13:00:00,0.2663,0.2693,0.2636,0.2689,304165150.0
2019-10-25 14:00:00,0.2668,0.2772,0.2668,0.2736,399609040.0
2019-10-25 15:00:00,0.2731,0.2888,0.2705,0.2819,389775180.0
2019-10-25 16:00:00,0.2818,0.3198,0.2774,0.3101,1803969870.0
2019-10-25 17:00:00,0.311,0.3242,0.295,0.3085,1089771520.0
2019-10-25 18:00:00,0.3084,0.3331,0.2995,0.331,834369630.0
2019-10-25 19:00:00,0.3309,0.338,0.3193,0.3239,551935910.0
2019-10-25 20:00:00,0.3223,0.3461,0.3111,0.3395,599875460.0
2019-10-25 21:00:00,0.3395,0.3857,0.3376,0.3732,2042477260.0
2019-10-25 22:00:00,0.3723,0.3814,0.3603,0.3652,926781630.0
2019-10-25 23:00:00,0.3641,0.382,0.3512,0.3744,778881220.0
2019-10-26 00:00:00,0.3784,0.3994,0.3659,0.371,1148100240.0
2019-10-26 01:00:00,0.3709,0.3845,0.3685,0.376,592002570.0
2019-10-26 02:00:00,0.376,0.3795,0.3301,0.3363,1124722230.0
2019-10-26 03:00:00,0.336,0.3375,0.2601,0.2786,1387557580.0
2019-10-26 04:00:00,0.28,0.3148,0.2718,0.3078,973419960.0
2019-10-26 05:00:00,0.305,0.3087,0.2911,0.2987,446954560.0
2019-10-26 06:00:00,0.2987,0.305,0.2725,0.2747,380928130.0
2019-10-26 07:00:00,0.2749,0.2867,0.2664,0.2867,456375250.0
2019-10-26 08:00:00,0.2826,0.2989,0.2802,0.2843,312890960.0
2019-10-26 09:00:00,0.2868,0.2969,0.283,0.2946,506864360.0
2019-10-26 10:00:00,0.2948,0.295,0.2734,0.28,398998300.0
2019-10-26 11:00:00,0.28,0.325,0.2744,0.3036,1112276350.0
2019-10-26 12:00:00,0.3001,0.3196,0.2918,0.3106,486552610.0
2019-10-26 13:00:00,0.3105,0.3128,0.2931,0.2968,417973640.0
2019-10-26 14:00:00,0.2966,0.3009,0.2797,0.2847,452571290.0
2019-10-26 15:00:00,0.2846,0.29,0.279,0.2795,258092240.0
2019-10-26 16:00:00,0.2795,0.2821,0.2708,0.2729,405773500.0
2019-10-26 17:00:00,0.2729,0.282,0.2729,0.2794,309000280.0
2019-10-26 18:00:00,0.2794,0.2825,0.2718,0.2798,335756550.0
2019-10-26 19:00:00,0.2777,0.2791,0.2655,0.2699,359962440.0
2019-10-26 20:00:00,0.27,0.27,0.2503,0.2544,412977600.0
2019-10-26 21:00:00,0.2544,0.268,0.2523,0.2645,225467850.0
2019-10-26 22:00:00,0.2645,0.2799,0.2636,0.2718,460840940.0
2019-10-26 23:00:00,0.2717,0.2748,0.2655,0.2685,131230350.0
2019-10-27 00:00:00,0.2685,0.2737,0.2578,0.2683,199979080.0
2019-10-27 01:00:00,0.2684,0.2722,0.261,0.262,124547820.0
2019-10-27 02:00:00,0.2676,0.2736,0.2543,0.2575,94043420.0
2019-10-27 03:00:00,0.2576,0.2623,0.2511,0.2549,87095220.0
2019-10-27 04:00:00,0.2528,0.2528,0.2357,0.2368,555643830.0
2019-10-27 05:00:00,0.2367,0.2387,0.2313,0.2335,130985880.0
2019-10-27 06:00:00,0.2341,0.2418,0.2341,0.2418,75407460.0
2019-10-27 07:00:00,0.2424,0.2459,0.2393,0.2449,375419370.0
2019-10-27 08:00:00,0.2447,0.2497,0.2425,0.2463,59889190.0
2019-10-27 09:00:00,0.2463,0.2499,0.2416,0.2416,172476040.0
2019-10-27 10:00:00,0.2419,0.2568,0.2367,0.2513,317854850.0
2019-10-27 11:00:00,0.2513,0.2515,0.2394,0.243,165436270.0
2019-10-27 12:00:00,0.2425,0.2454,0.2156,0.2253,649156640.0
2019-10-27 13:00:00,0.2253,0.2303,0.2208,0.223,301607170.0
2019-10-27 14:00:00,0.2231,0.2314,0.2224,0.2314,288899200.0
2019-10-27 15:00:00,0.2321,0.2363,0.229,0.2347,396201640.0
2019-10-27 16:00:00,0.232,0.2326,0.2252,0.23,244055930.0
2019-10-27 17:00:00,0.23,0.23,0.2203,0.222,450329210.0
2019-10-27 18:00:00,0.222,0.2242,0.2208,0.2219,141214920.0
2019-10-27 19:00:00,0.222,0.235,0.222,0.232,320990980.0
2019-10-27 20:00:00,0.2307,0.2307,0.2223,0.2227,219714510.0
2019-10-27 21:00:00,0.223,0.2299,0.2222,0.2258,170028110.0
2019-10-27 22:00:00,0.226,0.229,0.2237,0.226,124287800.0
2019-10-27 23:00:00,0.227,0.2279,0.223,0.2238,89045900.0
2019-10-28 00:00:00,0.2238,0.225,0.2084,0.2121,484407460.0
2019-10-28 01:00:00,0.2136,0.2159,0.205,0.2081,422069910.0
2019-10-28 02:00:00,0.2072,0.2099,0.2054,0.2085,289001550.0
2019-10-28 03:00:00,0.2086,0.2116,0.2081,0.2115,122438280.0
2019-10-28 04:00:00,0.2114,0.218,0.2091,0.2135,301612500.0
2019-10-28 05:00:00,0.2135,0.2197,0.2115,0.2186,208259950.0
2019-10-28 06:00:00,0.2186,0.2198,0.2153,0.2185,75377690.0
2019-10-28 07:00:00,0.2182,0.2215,0.2119,0.2183,236364440.0
2019-10-28 08:00:00,0.2184,0.2202,0.2155,0.218,93123460.0
2019-10-28 09:00:00,0.2178,0.219,0.2136,0.2159,145911020.0
2019-10-28 10:00:00,0.2159,0.2381,0.2159,0.2331,892702620.0
2019-10-28 11:00:00,0.2334,0.2334,0.2223,0.2258,332003730.0
2019-10-28 12:00:00,0.2257,0.2292,0.2241,0.2241,185910260.0
2019-10-28 13:00:00,0.227,0.2274,0.2222,0.225,281200320.0
2019-10-28 14:00:00,0.2243,0.2372,0.2202,0.2321,891658840.0
2019-10-28 15:00:00,0.2319,0.236,0.2277,0.234,291161190.0
2019-10-28 16:00:00,0.2348,0.242,0.228,0.2296,392373990.0
2019-10-28 17:00:00,0.231,0.2479,0.2301,0.2416,618257860.0
2019-10-28 18:00:00,0.2415,0.25,0.2392,0.248,682187080.0
2019-10-28 19:00:00,0.248,0.248,0.2337,0.2349,437737370.0
2019-10-28 20:00:00,0.235,0.2378,0.228,0.2306,315725430.0
2019-10-28 21:00:00,0.2326,0.2326,0.2255,0.2255,234124920.0
2019-10-28 22:00:00,0.2255,0.2278,0.2231,0.2255,100551300.0
2019-10-28 23:00:00,0.2243,0.2259,0.2204,0.2215,187587360.0
2019-10-29 00:00:00,0.2243,0.2243,0.2123,0.2126,231536230.0
2019-10-29 01:00:00,0.2133,0.2189,0.2133,0.218,120042990.0
2019-10-29 02:00:00,0.218,0.2229,0.2155,0.2229,198686370.0
2019-10-29 03:00:00,0.2204,0.2224,0.218,0.2183,115894830.0
2019-10-29 04:00:00,0.2188,0.2188,0.2146,0.2173,161510030.0
2019-10-29 05:00:00,0.2173,0.218,0.2103,0.2135,356121390.0
2019-10-29 06:00:00,0.2144,0.2189,0.2133,0.218,120998890.0
2019-10-29 07:00:00,0.218,0.2219,0.218,0.2203,78710630.0
2019-10-29 08:00:00,0.2185,0.2203,0.2166,0.218,98698550.0
2019-10-29 09:00:00,0.2199,0.2203,0.2178,0.2178,73712420.0
2019-10-29 10:00:00,0.2193,0.2193,0.2151,0.2171,117350930.0
2019-10-29 11:00:00,0.2168,0.2185,0.2135,0.2135,125848600.0
2019-10-29 12:00:00,0.2138,0.216,0.2135,0.216,118646700.0
2019-10-29 13:00:00,0.2158,0.2178,0.2142,0.2155,45651320.0
2019-10-29 14:00:00,0.2155,0.2155,0.2092,0.2114,309901830.0
2019-10-29 15:00:00,0.2114,0.2131,0.2093,0.2127,161014210.0
2019-10-29 16:00:00,0.2126,0.2224,0.211,0.2155,174890780.0
2019-10-29 17:00:00,0.2157,0.2173,0.211,0.2133,188764600.0
2019-10-29 18:00:00,0.2133,0.2149,0.2121,0.2123,67588000.0
2019-10-29 19:00:00,0.2124,0.2165,0.2124,0.2143,45088600.0
2019-10-29 20:00:00,0.2143,0.2156,0.2076,0.2082,210190130.0
2019-10-29 21:00:00,0.2089,0.2148,0.2088,0.211,89993420.0
2019-10-29 22:00:00,0.212,0.2124,0.208,0.2092,129742950.0
2019-10-29 23:00:00,0.2118,0.2119,0.2083,0.211,120505710.0
2019-10-30 00:00:00,0.211,0.2121,0.211,0.211,47644980.0
2019-10-30 01:00:00,0.211,0.211,0.2082,0.2094,71414440.0
2019-10-30 02:00:00,0.2094,0.213,0.2085,0.2101,88562260.0
2019-10-30 03:00:00,0.2105,0.2128,0.2105,0.2126,25384940.0
2019-10-30 04:00:00,0.2112,0.213,0.2109,0.2115,36999690.0
2019-10-30 05:00:00,0.2116,0.2136,0.2109,0.2133,105230760.0
2019-10-30 06:00:00,0.2125,0.2132,0.2058,0.2065,282470370.0
2019-10-30 07:00:00,0.2063,0.2085,0.2058,0.206,61757840.0
2019-10-30 08:00:00,0.2067,0.214,0.2053,0.206,149846600.0
2019-10-30 09:00:00,0.2073,0.2095,0.2055,0.2065,113021490.0
2019-10-30 10:00:00,0.2065,0.21,0.2065,0.208,108313330.0
2019-10-30 11:00:00,0.2078,0.2096,0.2029,0.2031,196493550.0
2019-10-30 12:00:00,0.2031,0.2047,0.1944,0.1969,486361330.0
2019-10-30 13:00:00,0.1976,0.2004,0.1957,0.1982,187544720.0
2019-10-30 14:00:00,0.1986,0.2,0.1952,0.1983,122244680.0
2019-10-30 15:00:00,0.1966,0.2001,0.1961,0.1997,93787860.0
