,Open,High,Low,Close,Volume
2020-09-21 16:00:00,20.76,24.288,18.672,19.351,174139296.0
2020-09-21 17:00:00,19.361,20.5,18.01,19.02,18254414.0
2020-09-21 18:00:00,19.02,19.8,18.8,19.227,5080784.0
2020-09-21 19:00:00,19.227,19.886,19.111,19.537,3782172.0
2020-09-21 20:00:00,19.501,19.9,19.308,19.778,2063362.9999999998
2020-09-21 21:00:00,19.778,20.138,19.398,19.599,5041706.0
2020-09-21 22:00:00,19.6,19.869,18.22,19.454,6596658.0
2020-09-21 23:00:00,19.451,19.805,19.322,19.503,1649516.0
2020-09-22 00:00:00,19.692,20.004,19.541,19.8,1486913.0
2020-09-22 01:00:00,19.746,19.911,19.327,19.327,1310994.0
2020-09-22 02:00:00,19.355,19.738,19.2,19.649,1305416.0
2020-09-22 03:00:00,19.548,19.645,19.267,19.386,853489.0
2020-09-22 04:00:00,19.384,19.587,19.323,19.44,631581.0
2020-09-22 05:00:00,19.445,19.59,19.347,19.59,1491856.0
2020-09-22 06:00:00,19.589,19.65,19.415,19.65,912589.0
2020-09-22 07:00:00,19.453,19.487,19.2,19.372,5806855.0
2020-09-22 08:00:00,19.238,19.378,18.133,18.874,7156214.0
2020-09-22 09:00:00,18.809,18.87,18.201,18.318,4679924.0
2020-09-22 10:00:00,18.348,18.913,18.25,18.382,5649020.0
2020-09-22 11:00:00,18.385,18.692,17.996,18.332,10321327.0
2020-09-22 12:00:00,18.207,18.7,18.182,18.564,1826930.0
2020-09-22 13:00:00,18.543,19.436,18.25,18.47,8508868.0
2020-09-22 14:00:00,18.591,18.591,18.0,18.079,7633010.0
2020-09-22 15:00:00,18.07,18.833,18.07,18.34,4380583.0
2020-09-22 16:00:00,18.34,18.372,17.952,17.952,2457623.0
2020-09-22 17:00:00,17.998,17.998,17.454,17.722,10911488.0
2020-09-22 18:00:00,17.669,18.338,17.601,17.779,2884778.0
2020-09-22 19:00:00,17.78,18.0,17.674,17.988,943746.0
2020-09-22 20:00:00,17.91,17.912,17.652,17.79,1923507.0
2020-09-22 21:00:00,17.777,17.988,17.668,17.803,923500.0
2020-09-22 22:00:00,17.885,18.091,17.58,17.945,1936330.0
2020-09-22 23:00:00,17.945,17.997,17.678,17.734,488312.0
2020-09-23 00:00:00,17.75,17.781,17.568,17.568,901981.0
2020-09-23 01:00:00,17.586,18.055,17.558,17.939,1651640.0
2020-09-23 02:00:00,17.939,18.013,17.619,17.702,1427900.0
2020-09-23 03:00:00,17.695,17.808,17.625,17.675,1098656.0
2020-09-23 04:00:00,17.692,18.177,17.692,18.177,1121554.0
2020-09-23 05:00:00,18.129,18.236,17.945,18.0,834993.0
2020-09-23 06:00:00,18.001,18.201,17.617,17.7,1729170.0
2020-09-23 07:00:00,17.698,17.801,17.643,17.701,2199014.0
2020-09-23 08:00:00,17.7,17.7,17.328,17.328,4160689.9999999995
2020-09-23 09:00:00,17.328,17.369,17.022,17.033,3773202.0
2020-09-23 10:00:00,17.002,17.486,16.802,17.05,5554689.0
2020-09-23 11:00:00,17.079,17.169,16.929,17.08,1843732.0
2020-09-23 12:00:00,17.065,17.73,17.0,17.34,2891750.0
2020-09-23 13:00:00,17.321,17.896,17.171,17.64,2543178.0
2020-09-23 14:00:00,17.676,18.05,17.401,17.99,3369780.0
2020-09-23 15:00:00,17.99,18.18,17.789,17.867,3050867.0
2020-09-23 16:00:00,17.88,18.2,17.466,17.879,3421925.0
2020-09-23 17:00:00,17.872,18.045,17.632,17.954,1163214.0
2020-09-23 18:00:00,18.045,18.058,17.64,17.947,1324445.0
2020-09-23 19:00:00,17.957,18.348,17.518,17.653,2490631.0
2020-09-23 20:00:00,17.7,17.721,17.382,17.499,377517.0
2020-09-23 21:00:00,17.383,17.387,17.028,17.138,2518077.0
2020-09-23 22:00:00,17.174,17.348,16.806,16.907,3166732.0
2020-09-23 23:00:00,16.934,17.083,16.806,17.083,736993.0
2020-09-24 00:00:00,16.952,16.966,16.753,16.753,107643.0
2020-09-24 01:00:00,16.794,16.944,16.58,16.58,2247196.0
2020-09-24 02:00:00,16.687,16.687,16.27,16.5,2154073.0
2020-09-24 03:00:00,16.507,16.873,16.332,16.396,4549957.0
2020-09-24 04:00:00,16.395,16.493,16.315,16.489,185209.0
2020-09-24 05:00:00,16.482,16.816,16.471,16.62,352301.0
2020-09-24 06:00:00,16.517,16.523,16.365,16.37,780427.0
2020-09-24 07:00:00,16.358,16.425,16.205,16.411,1273740.0
2020-09-24 08:00:00,16.391,16.789,16.294,16.37,918421.0
2020-09-24 09:00:00,16.298,16.646,16.297,16.646,1069079.0
2020-09-24 10:00:00,16.576,16.607,16.282,16.351,580914.0
2020-09-24 11:00:00,16.35,16.4,16.257,16.399,496994.0
2020-09-24 12:00:00,16.371,16.646,16.371,16.547,1453050.0
2020-09-24 13:00:00,16.569,16.999,16.506,16.901,1725446.0
2020-09-24 14:00:00,16.901,17.15,16.376,16.417,1213631.0
2020-09-24 15:00:00,16.46,16.554,16.344,16.377,1470039.0
2020-09-24 16:00:00,16.39,16.833,16.322,16.527,2638179.0
2020-09-24 17:00:00,16.527,16.847,16.48,16.585,5228564.0
2020-09-24 18:00:00,16.652,16.926,16.586,16.912,1688036.0
2020-09-24 19:00:00,16.978,17.5,16.855,16.861,1936752.0
2020-09-24 20:00:00,16.952,16.953,16.742,16.742,454817.0
2020-09-24 21:00:00,16.742,16.93,16.742,16.848,463926.0
2020-09-24 22:00:00,16.855,16.915,16.527,16.711,802080.0
2020-09-24 23:00:00,16.721,16.879,16.566,16.831,926299.0
2020-09-25 00:00:00,16.835,17.04,16.759,16.958,678013.0
2020-09-25 01:00:00,16.946,17.0,16.881,16.925,662105.0
2020-09-25 02:00:00,16.934,16.99,16.811,16.837,1237344.0
2020-09-25 03:00:00,16.879,17.189,16.812,17.094,2992880.0
2020-09-25 04:00:00,17.108,17.407,16.933,17.003,3172193.0
2020-09-25 05:00:00,17.002,17.057,16.932,17.024,989884.0
2020-09-25 06:00:00,17.002,17.067,16.955,17.035,1575333.0
2020-09-25 07:00:00,17.017,17.04,16.736,16.737,872805.0
2020-09-25 08:00:00,16.695,16.829,16.586,16.8,1573602.0
2020-09-25 09:00:00,16.88,16.9,16.656,16.66,443456.0
2020-09-25 10:00:00,16.701,16.887,16.171,16.315,2294461.0
2020-09-25 11:00:00,16.293,16.461,16.217,16.383,894750.0
2020-09-25 12:00:00,16.4,16.452,16.202,16.202,1790479.0
2020-09-25 13:00:00,16.202,16.477,16.199,16.477,1610845.0
2020-09-25 14:00:00,16.416,16.809,16.4,16.686,2284655.0
2020-09-25 15:00:00,16.731,16.793,16.395,16.471,1997764.0
2020-09-25 16:00:00,16.471,16.474,16.253,16.474,820022.0
2020-09-25 17:00:00,16.441,16.669,16.378,16.605,608772.0
2020-09-25 18:00:00,16.669,16.742,16.329,16.503,1605161.0
2020-09-25 19:00:00,16.512,16.778,16.413,16.713,936729.0
2020-09-25 20:00:00,16.71,17.298,16.581,16.673,3426294.0
2020-09-25 21:00:00,16.635,16.925,16.634,16.831,992928.0
