,Open,High,Low,Close,Volume
2021-03-25 11:00:00,2.71,3.19,2.083,2.276,10388417023.0
2021-03-25 12:00:00,2.273,2.36,2.212,2.311,1289220126.0
2021-03-25 13:00:00,2.311,2.315,1.928,2.126,2036369961.0
2021-03-25 14:00:00,2.126,2.33,2.045,2.3,1049024718.0000001
2021-03-25 15:00:00,2.303,2.579,2.263,2.334,1549663046.0
2021-03-25 16:00:00,2.336,2.365,2.25,2.268,452929673.0
2021-03-25 17:00:00,2.268,2.41,2.256,2.291,390276100.0
2021-03-25 18:00:00,2.29,2.51,2.289,2.462,599674225.0
2021-03-25 19:00:00,2.462,2.96,2.451,2.948,3958834117.0
2021-03-25 20:00:00,2.947,3.1,2.56,2.714,2951208302.0
2021-03-25 21:00:00,2.709,2.869,2.581,2.61,950002838.0
2021-03-25 22:00:00,2.612,2.762,2.552,2.757,471966502.0
2021-03-25 23:00:00,2.757,2.856,2.684,2.711,645887186.0
2021-03-26 00:00:00,2.717,2.794,2.64,2.728,310710054.0
2021-03-26 01:00:00,2.719,3.024,2.711,2.798,1075833816.0
2021-03-26 02:00:00,2.798,2.862,2.632,2.683,380194497.0
2021-03-26 03:00:00,2.691,2.702,2.501,2.642,505525214.0
2021-03-26 04:00:00,2.649,2.849,2.616,2.681,428699990.0
2021-03-26 05:00:00,2.677,2.695,2.48,2.529,384581202.0
2021-03-26 06:00:00,2.529,2.601,2.439,2.492,383185204.0
2021-03-26 07:00:00,2.501,2.607,2.457,2.586,235961064.0
2021-03-26 08:00:00,2.586,2.697,2.504,2.581,331968076.0
2021-03-26 09:00:00,2.586,2.756,2.546,2.732,530907824.99999994
2021-03-26 10:00:00,2.732,2.799,2.655,2.711,335652839.0
2021-03-26 11:00:00,2.713,3.081,2.676,2.977,2176865002.0
2021-03-26 12:00:00,2.98,3.29,2.848,3.29,2790265355.0
2021-03-26 13:00:00,3.29,3.55,3.113,3.411,4519955929.0
2021-03-26 14:00:00,3.417,3.497,3.169,3.346,2905045428.0
2021-03-26 15:00:00,3.34,3.377,3.091,3.15,1428930238.0
2021-03-26 16:00:00,3.15,3.26,3.063,3.083,1182000339.0
2021-03-26 17:00:00,3.083,3.195,3.02,3.194,963833119.0
2021-03-26 18:00:00,3.189,3.215,3.057,3.088,622045982.0
2021-03-26 19:00:00,3.087,3.101,2.951,3.018,743119361.0
2021-03-26 20:00:00,3.018,3.327,3.009,3.15,1814747221.0
2021-03-26 21:00:00,3.149,3.173,3.064,3.133,562558798.0
2021-03-26 22:00:00,3.13,3.3,3.122,3.188,643258379.0
2021-03-26 23:00:00,3.187,3.2,3.092,3.195,397877677.0
2021-03-27 00:00:00,3.195,3.2,3.061,3.113,330622939.0
2021-03-27 01:00:00,3.107,3.199,3.094,3.135,251814697.0
2021-03-27 02:00:00,3.137,3.355,3.126,3.316,442588202.0
2021-03-27 03:00:00,3.316,3.5,3.28,3.432,810677641.0
2021-03-27 04:00:00,3.438,3.444,3.223,3.282,530851356.99999994
2021-03-27 05:00:00,3.288,3.42,3.279,3.384,358594713.0
2021-03-27 06:00:00,3.383,3.6,3.38,3.459,1088403474.0
2021-03-27 07:00:00,3.459,3.57,3.415,3.519,727015719.0
2021-03-27 08:00:00,3.514,3.8,3.416,3.662,2013479040.0
2021-03-27 09:00:00,3.662,3.888,3.626,3.791,2183445044.0
2021-03-27 10:00:00,3.787,3.86,3.625,3.784,1104130551.0
2021-03-27 11:00:00,3.781,3.827,3.573,3.61,814964121.0
2021-03-27 12:00:00,3.603,3.61,3.408,3.426,1246896710.0
2021-03-27 13:00:00,3.438,3.583,3.317,3.576,1058057845.0
2021-03-27 14:00:00,3.576,3.606,3.4,3.58,633511189.0
2021-03-27 15:00:00,3.582,3.621,3.4,3.43,734087618.0
2021-03-27 16:00:00,3.431,3.458,3.312,3.416,652186098.0
2021-03-27 17:00:00,3.415,3.566,3.371,3.519,673235404.0
2021-03-27 18:00:00,3.519,3.54,3.36,3.478,404207120.0
2021-03-27 19:00:00,3.478,3.663,3.45,3.5,808499623.0
2021-03-27 20:00:00,3.509,3.56,3.392,3.49,550169498.0
2021-03-27 21:00:00,3.49,3.579,3.45,3.54,391156072.0
2021-03-27 22:00:00,3.54,3.68,3.523,3.544,474199954.0
2021-03-27 23:00:00,3.543,3.59,3.454,3.518,309939373.0
2021-03-28 00:00:00,3.519,3.53,3.333,3.447,392323122.0
2021-03-28 01:00:00,3.451,3.47,3.235,3.352,480888437.0
2021-03-28 03:00:00,3.352,3.384,3.238,3.325,253401282.0
2021-03-28 04:00:00,3.332,3.36,3.257,3.286,204219164.0
2021-03-28 05:00:00,3.286,3.487,3.264,3.427,399156237.0
2021-03-28 06:00:00,3.431,3.45,3.31,3.335,187396892.0
2021-03-28 07:00:00,3.34,3.386,3.282,3.334,196745850.0
2021-03-28 08:00:00,3.339,3.378,3.25,3.267,225593807.0
2021-03-28 09:00:00,3.27,3.298,3.192,3.249,400906171.0
2021-03-28 10:00:00,3.248,3.341,3.141,3.326,761693564.0
2021-03-28 11:00:00,3.327,3.494,3.266,3.456,477599148.0
2021-03-28 12:00:00,3.455,3.598,3.298,3.534,936024295.0
2021-03-28 13:00:00,3.534,3.6,3.451,3.452,559468245.0
2021-03-28 14:00:00,3.461,3.6,3.394,3.501,780620656.0
2021-03-28 15:00:00,3.503,3.55,3.4,3.51,377120313.0
2021-03-28 16:00:00,3.51,3.575,3.45,3.47,476324478.0
2021-03-28 17:00:00,3.471,3.56,3.451,3.466,324891630.0
2021-03-28 18:00:00,3.462,3.462,3.317,3.357,425290935.0
2021-03-28 19:00:00,3.357,3.388,3.255,3.281,351878221.0
2021-03-28 20:00:00,3.283,3.35,3.18,3.23,329837500.0
2021-03-28 21:00:00,3.236,3.34,3.219,3.299,203504461.0
2021-03-28 22:00:00,3.3,3.458,3.261,3.34,232610055.0
2021-03-28 23:00:00,3.343,3.42,3.285,3.365,170474672.0
2021-03-29 00:00:00,3.365,3.45,3.342,3.421,170625886.0
2021-03-29 01:00:00,3.426,3.48,3.334,3.342,211373124.0
2021-03-29 02:00:00,3.342,3.348,3.242,3.289,149084625.0
2021-03-29 03:00:00,3.288,3.316,3.25,3.263,70891812.0
2021-03-29 04:00:00,3.26,3.425,3.252,3.342,164789867.0
2021-03-29 05:00:00,3.338,3.438,3.331,3.383,143044604.0
2021-03-29 06:00:00,3.384,3.39,3.312,3.333,114908474.0
2021-03-29 07:00:00,3.326,3.388,3.326,3.354,110994301.0
2021-03-29 08:00:00,3.356,3.38,3.24,3.348,311062155.0
2021-03-29 09:00:00,3.348,3.351,3.228,3.244,250312342.0
2021-03-29 10:00:00,3.244,3.447,3.225,3.438,380885492.0
2021-03-29 11:00:00,3.43,3.45,3.362,3.371,398134642.0
2021-03-29 12:00:00,3.376,3.379,3.257,3.266,463463387.0
2021-03-29 13:00:00,3.272,3.369,3.269,3.321,259675531.0
2021-03-29 14:00:00,3.321,3.342,3.3,3.315,264105612.00000003
2021-03-29 15:00:00,3.32,3.376,3.31,3.36,181910055.0
2021-03-29 16:00:00,3.364,3.393,3.321,3.341,202140470.0
2021-03-29 17:00:00,3.341,3.344,3.27,3.326,207617947.0
2021-03-29 18:00:00,3.314,3.356,3.3,3.328,171056618.0
2021-03-29 19:00:00,3.326,3.49,3.315,3.46,623545212.0
