,Open,High,Low,Close,Volume
2020-09-01 13:00:00,6.08,15.97,6.08,10.68,1973917073.0
2020-09-01 14:00:00,10.679,11.49,10.1,10.906,756307741.0
2020-09-01 15:00:00,10.905,10.918,9.463,9.934,801510450.0
2020-09-01 16:00:00,9.917,10.87,9.35,10.848,784286785.0
2020-09-01 17:00:00,10.848,10.985,9.88,10.22,709953023.0
2020-09-01 18:00:00,10.22,10.888,9.805,10.129,497659567.0
2020-09-01 19:00:00,10.121,10.917,10.051,10.451,392647768.0
2020-09-01 20:00:00,10.46,10.67,10.364,10.366,185948208.0
2020-09-01 21:00:00,10.38,10.415,10.037,10.166,246411785.0
2020-09-01 22:00:00,10.168,10.769,9.95,10.5,389719541.0
2020-09-01 23:00:00,10.498,10.734,9.88,10.111,466834398.0
2020-09-02 00:00:00,10.11,10.15,9.399,9.789,461741288.0
2020-09-02 01:00:00,9.785,9.806,8.6,8.804,505346612.0
2020-09-02 02:00:00,8.806,9.5,7.82,7.82,559133708.0
2020-09-02 03:00:00,7.823,8.038,7.15,7.338,789696589.0
2020-09-02 04:00:00,7.331,7.878,6.749,7.692,870602244.0
2020-09-02 05:00:00,7.69,8.189,7.566,8.039,549590011.0
2020-09-02 06:00:00,8.037,8.037,7.241,7.714,461175502.0
2020-09-02 07:00:00,7.712,7.769,7.265,7.276,297629402.0
2020-09-02 08:00:00,7.276,7.543,7.107,7.299,401427824.0
2020-09-02 09:00:00,7.286,7.79,7.266,7.37,321174534.0
2020-09-02 10:00:00,7.363,7.624,7.254,7.405,304676229.0
2020-09-02 11:00:00,7.43,7.734,7.4,7.569,320969812.0
2020-09-02 12:00:00,7.563,7.593,6.75,6.834,705479801.0
2020-09-02 13:00:00,6.839,6.882,5.944,6.721,890796930.0
2020-09-02 14:00:00,6.721,7.168,6.644,6.839,592056897.0
2020-09-02 15:00:00,6.837,7.184,6.6,6.782,444566342.0
2020-09-02 16:00:00,6.772,6.825,6.346,6.43,332903643.0
2020-09-02 17:00:00,6.422,6.667,5.992,6.178,485664609.0
2020-09-02 18:00:00,6.178,6.792,6.064,6.281,623457471.0
2020-09-02 19:00:00,6.281,6.659,6.2,6.508,448225839.0
2020-09-02 20:00:00,6.502,6.9,6.5,6.808,399515029.0
2020-09-02 21:00:00,6.815,6.916,6.656,6.866,177860450.0
2020-09-02 22:00:00,6.871,6.944,6.668,6.787,208751689.0
2020-09-02 23:00:00,6.794,7.38,6.539,6.916,445174727.0
2020-09-03 00:00:00,6.915,7.28,6.88,7.259,338856349.0
2020-09-03 01:00:00,7.253,7.399,7.086,7.245,324115633.0
2020-09-03 02:00:00,7.242,7.699,7.018,7.63,444385819.0
2020-09-03 03:00:00,7.631,8.865,7.459,8.441,1394865017.0
2020-09-03 04:00:00,8.441,8.945,8.182,8.195,854109908.0
2020-09-03 05:00:00,8.189,8.74,7.722,7.851,941336192.0
2020-09-03 06:00:00,7.864,8.2,7.325,7.514,630027583.0
2020-09-03 07:00:00,7.52,7.8,7.195,7.31,468583818.0
2020-09-03 08:00:00,7.313,7.453,7.01,7.105,544849631.0
2020-09-03 09:00:00,7.107,7.3,6.824,7.088,595671384.0
