,Open,High,Low,Close,Volume
2020-07-20 14:00:00,1.85,2.002,1.793,1.805,373104422.0
2020-07-20 15:00:00,1.807,1.833,1.61,1.702,965354784.0
2020-07-20 16:00:00,1.707,1.803,1.651,1.676,239445024.0
2020-07-20 17:00:00,1.683,1.815,1.655,1.736,283306648.0
2020-07-20 18:00:00,1.742,1.772,1.65,1.695,90429469.0
2020-07-20 19:00:00,1.695,1.8,1.669,1.8,82063105.0
2020-07-20 20:00:00,1.798,1.799,1.6,1.606,305802331.0
2020-07-20 21:00:00,1.606,1.64,1.427,1.5,578684472.0
2020-07-20 22:00:00,1.498,1.653,1.446,1.584,575159496.0
2020-07-20 23:00:00,1.588,1.788,1.56,1.772,350449000.0
2020-07-21 00:00:00,1.773,1.775,1.664,1.734,510524551.0
2020-07-21 01:00:00,1.737,1.743,1.63,1.655,136669165.0
2020-07-21 02:00:00,1.658,1.658,1.51,1.582,190036298.0
2020-07-21 03:00:00,1.579,1.637,1.542,1.589,160891461.0
2020-07-21 04:00:00,1.59,1.595,1.502,1.512,69266076.0
2020-07-21 05:00:00,1.508,1.51,1.413,1.492,260137257.0
2020-07-21 06:00:00,1.492,1.587,1.44,1.467,256841719.0
2020-07-21 07:00:00,1.468,1.491,1.373,1.412,359933641.0
2020-07-21 08:00:00,1.412,1.715,1.412,1.69,776129977.0
2020-07-21 09:00:00,1.69,1.695,1.581,1.622,336313348.0
2020-07-21 10:00:00,1.619,1.622,1.514,1.566,187334582.0
2020-07-21 11:00:00,1.569,1.68,1.56,1.594,455102439.0
2020-07-21 12:00:00,1.591,1.593,1.476,1.487,469837343.0
2020-07-21 13:00:00,1.487,1.55,1.477,1.531,252732687.0
2020-07-21 14:00:00,1.531,1.575,1.515,1.52,212980519.0
2020-07-21 15:00:00,1.524,1.555,1.492,1.503,146215139.0
2020-07-21 16:00:00,1.502,1.531,1.461,1.498,295359679.0
2020-07-21 17:00:00,1.496,1.584,1.485,1.53,337961001.0
2020-07-21 18:00:00,1.53,1.617,1.53,1.583,578302266.0
2020-07-21 19:00:00,1.583,1.734,1.56,1.706,768914387.0
2020-07-21 20:00:00,1.701,1.722,1.651,1.715,275476424.0
2020-07-21 21:00:00,1.713,1.73,1.654,1.689,164005634.0
2020-07-21 22:00:00,1.694,1.749,1.685,1.734,422833232.0
2020-07-21 23:00:00,1.735,1.744,1.618,1.669,321952404.0
2020-07-22 00:00:00,1.669,1.705,1.619,1.648,136923164.0
2020-07-22 01:00:00,1.647,1.663,1.613,1.655,162646582.0
2020-07-22 02:00:00,1.653,1.672,1.621,1.672,53682400.0
2020-07-22 03:00:00,1.671,1.759,1.645,1.734,346397683.0
2020-07-22 04:00:00,1.732,1.782,1.725,1.739,464882212.0
2020-07-22 05:00:00,1.735,1.737,1.691,1.723,84214984.0
2020-07-22 06:00:00,1.723,1.778,1.72,1.744,127560093.0
2020-07-22 07:00:00,1.742,1.757,1.72,1.744,107378405.0
