,Open,High,Low,Close,Volume
2021-09-24 12:00:00,0.2863,0.329,0.285,0.3,4852348000.0
2021-09-24 13:00:00,0.3,0.32,0.293,0.2981,2596783000.0
2021-09-24 14:00:00,0.298,0.308,0.29,0.2932,995903000.0
2021-09-24 15:00:00,0.2937,0.3149,0.2909,0.305,2921155000.0
2021-09-24 16:00:00,0.305,0.3267,0.3048,0.3103,2672793000.0
2021-09-24 17:00:00,0.3101,0.32,0.3019,0.3068,962949000.0
2021-09-24 18:00:00,0.306,0.32,0.3034,0.3093,1047045000.0
2021-09-24 19:00:00,0.3093,0.3138,0.3041,0.3054,402969000.0
2021-09-24 20:00:00,0.3054,0.3239,0.3042,0.3135,1579767000.0
2021-09-24 21:00:00,0.3136,0.325,0.3114,0.3161,638004000.0
2021-09-24 22:00:00,0.316,0.3216,0.3093,0.3187,717575000.0
2021-09-24 23:00:00,0.3178,0.325,0.3121,0.3154,509300000.0
2021-09-25 00:00:00,0.3155,0.3157,0.3083,0.3112,327555000.0
2021-09-25 01:00:00,0.3107,0.3197,0.309,0.3129,521340000.0
2021-09-25 02:00:00,0.3121,0.3523,0.3113,0.3404,11012579000.0
2021-09-25 03:00:00,0.3404,0.348,0.3251,0.3397,3126216000.0
2021-09-25 04:00:00,0.3402,0.349,0.3291,0.3322,1305254000.0
2021-09-25 05:00:00,0.3316,0.3353,0.3247,0.3257,1209413000.0
2021-09-25 06:00:00,0.3259,0.329,0.3196,0.3214,1105949000.0
2021-09-25 07:00:00,0.3214,0.3314,0.318,0.3214,1139539000.0
2021-09-25 08:00:00,0.3214,0.3299,0.3198,0.3256,781305000.0
2021-09-25 09:00:00,0.3259,0.3384,0.3252,0.3301,2178208000.0
2021-09-25 10:00:00,0.3301,0.3386,0.3155,0.3305,1751886000.0
2021-09-25 11:00:00,0.3291,0.3291,0.3186,0.3227,604728000.0
2021-09-25 12:00:00,0.3228,0.328,0.3198,0.32,548612000.0
2021-09-25 13:00:00,0.32,0.3278,0.3181,0.323,479561000.0
2021-09-25 14:00:00,0.3225,0.3263,0.3192,0.3192,269374000.0
2021-09-25 15:00:00,0.3206,0.3268,0.3162,0.3199,546631000.0
2021-09-25 16:00:00,0.3199,0.3207,0.306,0.3096,1446513000.0
2021-09-25 17:00:00,0.3095,0.31,0.3061,0.3079,407384000.0
2021-09-25 18:00:00,0.3078,0.3084,0.2988,0.3006,937593000.0
2021-09-25 19:00:00,0.3007,0.3014,0.298,0.3001,235031000.0
2021-09-25 20:00:00,0.3001,0.3015,0.296,0.2988,199170000.0
2021-09-25 21:00:00,0.2987,0.3031,0.297,0.302,155576000.0
2021-09-25 22:00:00,0.3016,0.3023,0.3002,0.3002,218562000.0
