,Open,High,Low,Close,Volume
2022-02-25 05:00:00,0.1168,0.1267,0.0982,0.1092,24155595000.0
2022-02-25 06:00:00,0.1092,0.12,0.102,0.1139,12661669700.0
2022-02-25 07:00:00,0.1138,0.1167,0.1061,0.1086,6699874500.0
2022-02-25 08:00:00,0.1085,0.1104,0.104,0.104,8303883900.0
2022-02-25 09:00:00,0.1041,0.1073,0.1023,0.103,6666729100.0
2022-02-25 10:00:00,0.1026,0.1076,0.0998,0.1052,11875443600.0
2022-02-25 11:00:00,0.1052,0.1104,0.1051,0.1076,4487586200.0
2022-02-25 12:00:00,0.1076,0.1078,0.1029,0.1039,4775267500.0
2022-02-25 13:00:00,0.1041,0.1072,0.1035,0.106,2564782800.0
2022-02-25 14:00:00,0.106,0.1177,0.105,0.1131,13411254700.0
2022-02-25 15:00:00,0.1131,0.116,0.1103,0.1115,4715187900.0
2022-02-25 16:00:00,0.1115,0.1239,0.1101,0.1187,17517149600.0
2022-02-25 17:00:00,0.1187,0.122,0.1161,0.1189,6247023600.0
2022-02-25 18:00:00,0.119,0.1194,0.1144,0.1157,4615502100.0
2022-02-25 19:00:00,0.1153,0.1178,0.115,0.1159,1466995400.0
2022-02-25 20:00:00,0.1159,0.117,0.1125,0.1147,1709854900.0
2022-02-25 21:00:00,0.1146,0.1161,0.113,0.1152,679666800.0
2022-02-25 22:00:00,0.1152,0.1197,0.1138,0.1162,1471123200.0
2022-02-25 23:00:00,0.116,0.1189,0.1139,0.1185,2392054100.0
2022-02-26 00:00:00,0.1189,0.1256,0.1174,0.125,5198509100.0
2022-02-26 01:00:00,0.1251,0.126,0.1153,0.1213,10171461100.0
2022-02-26 02:00:00,0.1205,0.13,0.1192,0.1236,6494612400.0
2022-02-26 03:00:00,0.1236,0.1257,0.1196,0.1204,4822474400.0
2022-02-26 04:00:00,0.1201,0.1233,0.12,0.1209,1461840500.0
2022-02-26 05:00:00,0.1206,0.1232,0.1197,0.1214,2635009500.0
2022-02-26 06:00:00,0.1215,0.1236,0.1185,0.1191,2993291900.0
2022-02-26 07:00:00,0.1191,0.1213,0.1181,0.1207,1884467000.0
2022-02-26 08:00:00,0.1202,0.1209,0.1193,0.1197,743711900.0
2022-02-26 09:00:00,0.1197,0.123,0.1176,0.118,2591045600.0
2022-02-26 10:00:00,0.1179,0.1224,0.1179,0.1213,3797563100.0
2022-02-26 11:00:00,0.1215,0.1221,0.1196,0.1198,1824811700.0
2022-02-26 12:00:00,0.12,0.1222,0.1179,0.1216,5179414200.0
2022-02-26 13:00:00,0.1218,0.138,0.1215,0.1332,27821672300.0
2022-02-26 14:00:00,0.1332,0.142,0.1289,0.1364,37121639300.0
2022-02-26 15:00:00,0.1363,0.1414,0.1312,0.1394,20891009100.0
2022-02-26 16:00:00,0.1395,0.1402,0.134,0.137,14457313100.0
2022-02-26 17:00:00,0.137,0.137,0.132,0.134,4483187600.0
2022-02-26 18:00:00,0.1339,0.1365,0.1322,0.1359,2383548100.0
2022-02-26 19:00:00,0.1358,0.1387,0.1348,0.1361,5204408100.0
