,Open,High,Low,Close,Volume
2019-05-24 12:00:00,0.025,0.026,0.0133,0.01372,203289660500.0
2019-05-24 13:00:00,0.01356,0.01411,0.01222,0.0129,61182735700.0
2019-05-24 14:00:00,0.01295,0.01378,0.01243,0.01338,53108327500.0
2019-05-24 15:00:00,0.01338,0.01346,0.01273,0.01299,34121382700.000004
2019-05-24 16:00:00,0.01299,0.01498,0.01276,0.01415,85342181400.0
2019-05-24 17:00:00,0.01414,0.01768,0.01381,0.01718,126602530100.0
2019-05-24 18:00:00,0.01718,0.01973,0.01621,0.01703,206180744800.0
2019-05-24 19:00:00,0.01698,0.01729,0.01536,0.01602,70180057700.0
2019-05-24 20:00:00,0.01602,0.0163,0.01488,0.01578,49743988300.0
2019-05-24 21:00:00,0.01577,0.01696,0.01565,0.01589,39482449200.0
2019-05-24 22:00:00,0.01589,0.01627,0.0148,0.0154,45722652800.0
2019-05-24 23:00:00,0.0154,0.0163,0.01483,0.01575,50362460300.0
2019-05-25 00:00:00,0.01574,0.0162,0.01522,0.01539,39524961500.0
2019-05-25 01:00:00,0.01541,0.0156,0.015,0.01515,25775877000.0
2019-05-25 02:00:00,0.01514,0.01723,0.01503,0.01652,95209657400.0
2019-05-25 03:00:00,0.01652,0.0188,0.0165,0.01767,100364618600.0
2019-05-25 04:00:00,0.01767,0.0182,0.01658,0.01661,58842925200.0
2019-05-25 05:00:00,0.01659,0.01726,0.01645,0.01686,22945678700.0
2019-05-25 06:00:00,0.01694,0.018,0.01694,0.01791,37226471800.0
2019-05-25 07:00:00,0.0179,0.0183,0.017,0.01719,37371880600.0
2019-05-25 08:00:00,0.01726,0.01786,0.0171,0.01775,18356374900.0
2019-05-25 09:00:00,0.01775,0.0189,0.01747,0.01815,72799293900.0
2019-05-25 10:00:00,0.01827,0.02174,0.01815,0.02116,120787752500.0
2019-05-25 11:00:00,0.02116,0.0244,0.01997,0.02334,201477110100.0
2019-05-25 12:00:00,0.02334,0.0239,0.02113,0.02223,161220040300.0
2019-05-25 13:00:00,0.02222,0.02478,0.022,0.02442,157316861800.0
2019-05-25 14:00:00,0.02442,0.02467,0.0226,0.02319,103312178600.0
2019-05-25 15:00:00,0.02323,0.0242,0.02242,0.02279,83488726500.0
2019-05-25 16:00:00,0.0228,0.0231,0.02117,0.0212,99603194200.0
2019-05-25 17:00:00,0.02118,0.02217,0.02055,0.02055,95488104700.0
2019-05-25 18:00:00,0.02055,0.02158,0.02005,0.02113,98469851400.0
2019-05-25 19:00:00,0.02113,0.02234,0.02104,0.02162,92954651900.0
2019-05-25 20:00:00,0.02163,0.02175,0.01909,0.02016,144855729500.0
2019-05-25 21:00:00,0.02016,0.0206,0.0192,0.02044,64125532400.0
2019-05-25 22:00:00,0.02048,0.02141,0.02006,0.02041,91708452900.0
2019-05-25 23:00:00,0.02043,0.0223,0.02017,0.02211,111296818900.0
2019-05-26 00:00:00,0.02211,0.0234,0.02114,0.0229,106836396800.0
2019-05-26 01:00:00,0.0229,0.02315,0.02126,0.022,123004466900.0
2019-05-26 02:00:00,0.02195,0.02308,0.02123,0.02136,97873477900.0
2019-05-26 03:00:00,0.0214,0.02156,0.02003,0.02095,97040572500.0
2019-05-26 04:00:00,0.0209,0.02148,0.02024,0.02084,41932409000.0
2019-05-26 05:00:00,0.02088,0.0216,0.02083,0.02126,37498902200.0
2019-05-26 06:00:00,0.02129,0.02133,0.02041,0.02078,46793204200.0
2019-05-26 07:00:00,0.02077,0.02091,0.01828,0.01927,113353887800.0
2019-05-26 08:00:00,0.01934,0.01979,0.01888,0.01945,68604981900.00001
2019-05-26 09:00:00,0.01945,0.01964,0.01831,0.01869,72590135800.0
2019-05-26 10:00:00,0.01865,0.01989,0.01854,0.01966,53704567400.0
2019-05-26 11:00:00,0.01954,0.01964,0.0186,0.01883,42426476800.0
2019-05-26 12:00:00,0.01891,0.01917,0.01809,0.01857,40291507900.0
2019-05-26 13:00:00,0.01859,0.01861,0.01736,0.0179,71540636200.0
2019-05-26 14:00:00,0.0179,0.01851,0.0175,0.01788,66709561700.0
2019-05-26 15:00:00,0.01785,0.01973,0.01785,0.01904,93761369600.0
2019-05-26 16:00:00,0.01899,0.0193,0.01852,0.01892,57595641800.0
2019-05-26 17:00:00,0.01891,0.01891,0.01803,0.01825,37306232200.0
2019-05-26 18:00:00,0.01826,0.01874,0.01802,0.01835,28179540400.0
2019-05-26 19:00:00,0.01835,0.01869,0.018,0.01834,18261768100.0
2019-05-26 20:00:00,0.01832,0.01899,0.01826,0.01865,35825907300.0
2019-05-26 21:00:00,0.01869,0.01895,0.01691,0.01715,80553758600.0
2019-05-26 22:00:00,0.01715,0.01783,0.017,0.01757,40951704200.0
2019-05-26 23:00:00,0.01757,0.01792,0.01705,0.01738,46616898300.0
2019-05-27 00:00:00,0.01743,0.01764,0.01713,0.01737,30519882700.0
2019-05-27 01:00:00,0.0173,0.01761,0.01723,0.01756,16409177800.0
2019-05-27 02:00:00,0.0176,0.018,0.01656,0.01663,85922497900.0
2019-05-27 03:00:00,0.01666,0.01721,0.01642,0.01711,48872288500.0
2019-05-27 04:00:00,0.0171,0.0173,0.0168,0.017,21993867300.0
2019-05-27 05:00:00,0.01699,0.01706,0.01645,0.01705,21340098900.0
2019-05-27 06:00:00,0.01707,0.01755,0.01691,0.01713,53075214400.0
2019-05-27 07:00:00,0.01713,0.01715,0.0167,0.0169,35585891600.0
2019-05-27 08:00:00,0.01688,0.017,0.01672,0.01695,14273689300.0
2019-05-27 09:00:00,0.01695,0.01717,0.01686,0.01696,16472578300.0
2019-05-27 10:00:00,0.01695,0.01798,0.01692,0.0178,46480660800.0
2019-05-27 11:00:00,0.01776,0.01786,0.0172,0.01735,30281640000.0
2019-05-27 12:00:00,0.01738,0.01738,0.01702,0.0172,21186194900.0
2019-05-27 13:00:00,0.01721,0.01775,0.0172,0.01742,20957517200.0
2019-05-27 14:00:00,0.01744,0.01754,0.01681,0.01713,36085371400.0
2019-05-27 15:00:00,0.01713,0.01716,0.01672,0.01689,22665272600.0
2019-05-27 16:00:00,0.01689,0.01699,0.01645,0.01664,23195066800.0
2019-05-27 17:00:00,0.01657,0.01675,0.01641,0.0165,27724530500.0
2019-05-27 18:00:00,0.01656,0.01666,0.01576,0.01594,53570377200.0
2019-05-27 19:00:00,0.01594,0.01615,0.01575,0.01586,20598343300.0
2019-05-27 20:00:00,0.01591,0.01626,0.01575,0.0162,21861144800.0
2019-05-27 21:00:00,0.01619,0.01624,0.01577,0.01582,16708019300.0
2019-05-27 22:00:00,0.0158,0.01615,0.01578,0.01611,14513835700.0
2019-05-27 23:00:00,0.01611,0.01622,0.01601,0.01613,9824172200.0
2019-05-28 00:00:00,0.01613,0.0164,0.01606,0.01633,10461228000.0
2019-05-28 01:00:00,0.01633,0.01652,0.01621,0.01646,9231447900.0
2019-05-28 02:00:00,0.01642,0.01658,0.0158,0.01586,20597986600.0
2019-05-28 03:00:00,0.01587,0.01598,0.0155,0.0158,20361487500.0
2019-05-28 04:00:00,0.0158,0.01589,0.01557,0.01571,7668669100.0
2019-05-28 05:00:00,0.01575,0.016,0.01571,0.0159,16584022500.0
2019-05-28 06:00:00,0.01588,0.016,0.01569,0.016,14955351200.0
2019-05-28 07:00:00,0.016,0.0161,0.01564,0.01587,24426210400.0
2019-05-28 08:00:00,0.01587,0.01595,0.01561,0.01562,8012427500.0
2019-05-28 09:00:00,0.01563,0.01586,0.01561,0.01578,6984880500.0
2019-05-28 10:00:00,0.01578,0.01623,0.01571,0.01614,25277979900.0
2019-05-28 11:00:00,0.01614,0.01636,0.016,0.0161,24956531300.0
2019-05-28 12:00:00,0.01606,0.01618,0.01592,0.01615,8108361000.0
2019-05-28 13:00:00,0.01615,0.01627,0.0159,0.0161,13913644200.0
2019-05-28 14:00:00,0.01612,0.01634,0.016,0.01605,15745441600.0
2019-05-28 15:00:00,0.01604,0.01618,0.01562,0.01584,34699866400.0
2019-05-28 16:00:00,0.01587,0.01704,0.01581,0.01668,92148983400.0
2019-05-28 17:00:00,0.01669,0.01679,0.01621,0.01626,45910170300.0
2019-05-28 18:00:00,0.01625,0.01637,0.01601,0.01611,23786292600.0
2019-05-28 19:00:00,0.01613,0.01617,0.01582,0.01601,25489095900.0
2019-05-28 20:00:00,0.01606,0.01629,0.01601,0.01609,6871890300.0
2019-05-28 21:00:00,0.01609,0.01615,0.01563,0.01577,18868305700.0
2019-05-28 22:00:00,0.01578,0.01602,0.01573,0.01598,9399134900.0
2019-05-28 23:00:00,0.01598,0.016,0.01585,0.01598,5277523000.0
2019-05-29 00:00:00,0.01598,0.01607,0.01586,0.01603,6420933200.0
2019-05-29 01:00:00,0.01603,0.01643,0.016,0.01643,12148207500.0
2019-05-29 02:00:00,0.01643,0.01643,0.01604,0.01629,13206829100.0
2019-05-29 03:00:00,0.01632,0.01679,0.01628,0.01672,24353744700.0
2019-05-29 04:00:00,0.01669,0.01746,0.01656,0.01673,93341348600.0
2019-05-29 05:00:00,0.01676,0.01724,0.0166,0.01697,32661059900.0
2019-05-29 06:00:00,0.01698,0.0172,0.0161,0.01652,33578972799.999996
2019-05-29 07:00:00,0.01651,0.01654,0.0158,0.01591,30111948000.0
2019-05-29 08:00:00,0.01591,0.01645,0.01586,0.0164,21538908600.0
2019-05-29 09:00:00,0.0164,0.01652,0.01626,0.01638,10723054800.0
2019-05-29 10:00:00,0.01642,0.01665,0.01611,0.01629,14151390500.0
2019-05-29 11:00:00,0.01627,0.0165,0.01619,0.01639,6837507800.0
2019-05-29 12:00:00,0.01645,0.0169,0.01636,0.01684,21323893100.0
2019-05-29 13:00:00,0.01684,0.01709,0.01654,0.01699,27008726000.0
2019-05-29 14:00:00,0.01697,0.01766,0.01688,0.01727,77954480000.0
2019-05-29 15:00:00,0.01727,0.01734,0.01668,0.01679,44480296000.0
2019-05-29 16:00:00,0.01678,0.01688,0.0165,0.0167,21013350400.0
2019-05-29 17:00:00,0.0167,0.01715,0.01662,0.01697,26580839600.0
2019-05-29 18:00:00,0.01691,0.01755,0.01681,0.01737,51445224800.0
2019-05-29 19:00:00,0.01737,0.01779,0.01722,0.01758,32470988600.0
2019-05-29 20:00:00,0.0176,0.01782,0.01717,0.01743,23470473500.0
2019-05-29 21:00:00,0.01743,0.01757,0.01727,0.0173,7140951000.0
2019-05-29 22:00:00,0.01733,0.01794,0.01732,0.01785,23193080100.0
2019-05-29 23:00:00,0.01779,0.0185,0.01759,0.0182,62732122300.0
2019-05-30 00:00:00,0.0182,0.01865,0.0179,0.01817,44153755400.0
2019-05-30 01:00:00,0.01814,0.01834,0.01775,0.01798,24031217700.0
2019-05-30 02:00:00,0.01793,0.01804,0.01722,0.0177,31649959800.0
2019-05-30 03:00:00,0.0177,0.0179,0.01685,0.01761,40644519100.0
2019-05-30 04:00:00,0.01762,0.01763,0.01677,0.01719,20995270900.0
2019-05-30 05:00:00,0.01721,0.01789,0.01694,0.0171,23885806900.0
