,Open,High,Low,Close,Volume
2021-04-07 15:00:00,0.1,10.0,0.1,2.986,148409884280.0
2021-04-07 16:00:00,2.986,3.09,2.4597,2.9774,41411732340.0
2021-04-07 17:00:00,2.9768,3.81,2.9704,3.401,57263692180.0
2021-04-07 18:00:00,3.4042,3.47,3.0566,3.2984,23723627330.0
2021-04-07 19:00:00,3.2981,3.3086,2.7317,2.9269,18986558190.0
2021-04-07 20:00:00,2.933,3.1771,2.81,2.862,11864178090.0
2021-04-07 21:00:00,2.862,2.99,2.624,2.6393,6892303540.0
2021-04-07 22:00:00,2.6463,2.935,2.6344,2.7777,7193087820.0
2021-04-07 23:00:00,2.7795,2.791,2.677,2.7126,3450010170.0
2021-04-08 00:00:00,2.711,2.746,2.55,2.68,3397959380.0
2021-04-08 01:00:00,2.68,2.989,2.5936,2.9857,5803749170.0
2021-04-08 02:00:00,2.9857,3.182,2.777,2.9999,8561794800.000001
2021-04-08 03:00:00,2.9943,3.139,2.9,2.9298,4158405620.0
2021-04-08 04:00:00,2.93,2.9348,2.8436,2.8814,1803646050.0
2021-04-08 05:00:00,2.8814,3.2,2.8632,3.1386,5392852620.0
2021-04-08 06:00:00,3.1278,3.1614,2.9721,3.0749,3329191740.0
2021-04-08 07:00:00,3.0751,3.0769,2.8156,2.8963,3796836790.0
2021-04-08 08:00:00,2.8968,2.9888,2.757,2.762,3532095870.0
2021-04-08 09:00:00,2.7636,2.8398,2.69,2.8098,3920880930.0
2021-04-08 10:00:00,2.8129,2.8398,2.7037,2.7401,2715532610.0
2021-04-08 11:00:00,2.7401,2.8035,2.71,2.7721,1599544030.0
2021-04-08 12:00:00,2.7721,3.019,2.77,2.8865,5114265820.0
2021-04-08 13:00:00,2.8865,2.9571,2.7616,2.782,3111573710.0
2021-04-08 14:00:00,2.7823,2.91,2.715,2.8088,3691542740.0
2021-04-08 15:00:00,2.8096,2.835,2.645,2.6519,4345499260.0
2021-04-08 16:00:00,2.6504,2.7302,2.6,2.6327,3728499260.0
2021-04-08 17:00:00,2.6347,2.6813,2.6,2.669,2540386340.0
2021-04-08 18:00:00,2.669,2.67,2.501,2.5603,4217961730.0000005
2021-04-08 19:00:00,2.5603,2.5638,2.3393,2.3519,4766698740.0
2021-04-08 20:00:00,2.3519,2.5,2.3506,2.424,3909097920.0
2021-04-08 21:00:00,2.426,2.4336,2.355,2.3685,1480208500.0
2021-04-08 22:00:00,2.3722,2.44,2.3228,2.3276,1526775330.0
2021-04-08 23:00:00,2.3275,2.43,2.3064,2.3939,1555205510.0
2021-04-09 00:00:00,2.3947,2.45,2.37,2.4303,1314202180.0
2021-04-09 01:00:00,2.431,2.438,2.3523,2.3877,847362650.0
2021-04-09 02:00:00,2.3881,2.4279,2.3561,2.406,1323321810.0
2021-04-09 03:00:00,2.406,2.5564,2.3427,2.3772,3082716280.0
2021-04-09 04:00:00,2.3772,2.53,2.3747,2.475,1736176070.0
2021-04-09 05:00:00,2.4751,2.54,2.3925,2.3938,1322481920.0
2021-04-09 06:00:00,2.3938,2.435,2.3467,2.4015,1394674620.0
2021-04-09 07:00:00,2.4015,2.5001,2.375,2.4336,1451567370.0
2021-04-09 08:00:00,2.4334,2.48,2.4005,2.4495,769109120.0
2021-04-09 09:00:00,2.4456,2.5,2.417,2.44,1032868260.0
2021-04-09 10:00:00,2.442,2.459,2.37,2.3781,976082770.0
2021-04-09 11:00:00,2.3797,2.4,2.35,2.3548,1151336060.0
2021-04-09 12:00:00,2.3526,2.43,2.3456,2.3722,1246044680.0
2021-04-09 13:00:00,2.3731,2.42,2.3055,2.318,1527154790.0
2021-04-09 14:00:00,2.318,2.3562,2.2221,2.2551,3170334650.0
2021-04-09 15:00:00,2.2478,2.277,2.135,2.1461,3665887060.0
2021-04-09 16:00:00,2.1441,2.2699,2.101,2.208,3314008020.0
2021-04-09 17:00:00,2.2079,2.2623,2.172,2.2111,1301347480.0
2021-04-09 18:00:00,2.2111,2.32,2.2,2.2501,1874980010.0
2021-04-09 19:00:00,2.2541,2.2876,2.2051,2.2142,870728170.0
2021-04-09 20:00:00,2.2142,2.252,2.1968,2.1968,591145180.0
2021-04-09 21:00:00,2.1989,2.2286,2.1637,2.1877,441828890.0
2021-04-09 22:00:00,2.1838,2.2122,2.1703,2.1772,521593520.0
2021-04-09 23:00:00,2.1772,2.199,2.1612,2.1909,465924430.0
2021-04-10 00:00:00,2.1909,2.1988,2.152,2.1733,502019590.0
2021-04-10 01:00:00,2.1716,2.3202,2.152,2.2719,1300960820.0
2021-04-10 02:00:00,2.2773,2.3839,2.2592,2.3462,1667964400.0
2021-04-10 03:00:00,2.3462,2.4232,2.314,2.3791,1656835010.0
2021-04-10 04:00:00,2.3791,2.39,2.286,2.3353,933263540.0
2021-04-10 05:00:00,2.3355,2.4271,2.2825,2.389,1084000120.0
2021-04-10 06:00:00,2.3891,2.6,2.3735,2.5704,3408483580.0
2021-04-10 07:00:00,2.5704,2.5718,2.45,2.5009,2170228100.0
