,Open,High,Low,Close,Volume
2021-04-13 08:00:00,0.1,5.95,0.1,0.8698,214923564090.0
2021-04-13 09:00:00,0.8698,0.8882,0.5915,0.657,125881617790.0
2021-04-13 10:00:00,0.6583,0.738,0.5689,0.681,82640926990.0
2021-04-13 11:00:00,0.6819,0.6993,0.565,0.6151,52797783050.0
2021-04-13 12:00:00,0.6151,0.6236,0.5523,0.5747,33155222550.0
2021-04-13 13:00:00,0.574,0.595,0.543,0.5555,26683659840.0
2021-04-13 14:00:00,0.5542,0.5696,0.5315,0.5649,28924357570.0
2021-04-13 15:00:00,0.5648,0.6032,0.5451,0.5583,30426655510.0
2021-04-13 16:00:00,0.5593,0.575,0.5357,0.548,17604388200.0
2021-04-13 17:00:00,0.5479,0.5678,0.5355,0.5483,15226100910.0
2021-04-13 18:00:00,0.5481,0.5491,0.5025,0.5132,19541695710.0
2021-04-13 19:00:00,0.5127,0.53,0.5032,0.5101,12089029810.0
2021-04-13 20:00:00,0.5097,0.5255,0.503,0.5165,11465316660.0
2021-04-13 21:00:00,0.5178,0.555,0.505,0.5428,18585038530.0
2021-04-13 22:00:00,0.5429,0.685,0.5416,0.6542,86304827570.0
2021-04-13 23:00:00,0.6542,0.658,0.5852,0.64,68392149390.0
2021-04-14 00:00:00,0.6399,0.658,0.6124,0.6345,27364199110.0
2021-04-14 01:00:00,0.6377,0.74,0.632,0.7269,62245987060.0
2021-04-14 02:00:00,0.7269,0.9389,0.7267,0.8344,144325741500.0
2021-04-14 03:00:00,0.8344,0.935,0.7754,0.8958,101627078050.0
2021-04-14 04:00:00,0.8957,0.8958,0.7833,0.8382,41597280080.0
2021-04-14 05:00:00,0.8383,0.8383,0.706,0.708,34324720509.999996
2021-04-14 06:00:00,0.7082,0.815,0.7064,0.737,32747895720.0
2021-04-14 07:00:00,0.7372,0.7972,0.7223,0.7372,22771859680.0
2021-04-14 08:00:00,0.7372,0.7405,0.6163,0.6399,49169895870.0
2021-04-14 09:00:00,0.6392,0.67,0.5923,0.6172,30519246520.0
2021-04-14 10:00:00,0.6172,0.647,0.5751,0.5874,30215405890.0
2021-04-14 11:00:00,0.5883,0.6101,0.555,0.5699,29417563210.0
2021-04-14 12:00:00,0.5699,0.6677,0.5635,0.6313,40224965900.0
2021-04-14 13:00:00,0.63,0.648,0.605,0.6219,28675848960.0
2021-04-14 14:00:00,0.6236,0.63,0.5956,0.6222,18063571670.0
2021-04-14 15:00:00,0.623,0.6275,0.5912,0.5983,10074313360.0
2021-04-14 16:00:00,0.5983,0.624,0.571,0.6162,13893396360.0
2021-04-14 17:00:00,0.6162,0.6215,0.5951,0.609,11292302400.0
2021-04-14 18:00:00,0.6091,0.6091,0.5706,0.5968,13313406800.0
2021-04-14 19:00:00,0.596,0.61,0.577,0.5802,9129949170.0
2021-04-14 20:00:00,0.5775,0.6198,0.5716,0.6146,9810965820.0
2021-04-14 21:00:00,0.6146,0.615,0.58,0.5894,7935677680.0
2021-04-14 22:00:00,0.5894,0.6129,0.581,0.583,9127579530.0
2021-04-14 23:00:00,0.5835,0.592,0.57,0.5739,6412319990.0
2021-04-15 00:00:00,0.573,0.5796,0.5502,0.5615,9787687370.0
2021-04-15 01:00:00,0.563,0.586,0.558,0.583,6498998970.0
2021-04-15 02:00:00,0.5844,0.5844,0.5529,0.5567,5626299880.0
2021-04-15 03:00:00,0.5557,0.5649,0.5473,0.551,7901931640.0
2021-04-15 04:00:00,0.551,0.5631,0.5473,0.5522,4894029850.0
2021-04-15 05:00:00,0.552,0.5558,0.53,0.5355,7660784250.0
2021-04-15 06:00:00,0.5355,0.5514,0.527,0.5275,6169629520.0
2021-04-15 07:00:00,0.5275,0.5398,0.5265,0.5377,6233856770.0
2021-04-15 08:00:00,0.538,0.5512,0.5301,0.5384,5845817340.0
2021-04-15 09:00:00,0.5384,0.5466,0.5297,0.5426,5886203050.0
2021-04-15 10:00:00,0.5418,0.5734,0.5356,0.5639,12282170770.0
2021-04-15 11:00:00,0.5633,0.579,0.5469,0.5573,12765601430.0
2021-04-15 12:00:00,0.5573,0.5573,0.536,0.5372,6799995710.0
2021-04-15 13:00:00,0.5372,0.5441,0.5308,0.5351,5396658080.0
2021-04-15 14:00:00,0.5354,0.5442,0.53,0.5365,5531128160.0
2021-04-15 15:00:00,0.5365,0.5399,0.53,0.5387,4217761840.0
2021-04-15 16:00:00,0.5387,0.5517,0.5334,0.5363,7886684410.0
2021-04-15 17:00:00,0.5364,0.55,0.536,0.5465,5553198630.0
2021-04-15 18:00:00,0.5464,0.5499,0.5326,0.5344,5653250300.0
2021-04-15 19:00:00,0.5346,0.5406,0.5327,0.5356,3465754700.0
2021-04-15 20:00:00,0.5356,0.5375,0.4867,0.4977,26258364020.0
2021-04-15 21:00:00,0.4972,0.5177,0.487,0.4973,19318076390.0
2021-04-15 22:00:00,0.4972,0.4977,0.475,0.4806,13034709720.0
2021-04-15 23:00:00,0.4805,0.4982,0.4658,0.4862,13437367670.0
2021-04-16 00:00:00,0.4855,0.4912,0.471,0.4795,6550574130.0
2021-04-16 01:00:00,0.4796,0.4966,0.475,0.4799,6988784160.0
2021-04-16 02:00:00,0.48,0.485,0.4598,0.4611,7743817160.0
2021-04-16 03:00:00,0.4616,0.466,0.442,0.4561,10639272760.0
2021-04-16 04:00:00,0.4561,0.4561,0.4343,0.4378,8803083940.0
2021-04-16 05:00:00,0.4378,0.4532,0.436,0.4504,7370137350.0
2021-04-16 06:00:00,0.4504,0.451,0.43,0.43,5286043440.0
2021-04-16 07:00:00,0.43,0.44,0.424,0.4304,5667663980.0
2021-04-16 08:00:00,0.4308,0.44,0.405,0.4331,11528938850.0
2021-04-16 09:00:00,0.4331,0.4705,0.4278,0.4496,14667122720.0
2021-04-16 10:00:00,0.4499,0.4625,0.435,0.4354,7539594000.0
2021-04-16 11:00:00,0.4353,0.44,0.4265,0.4316,5144432780.0
2021-04-16 12:00:00,0.4317,0.444,0.4236,0.4253,4748063170.0
2021-04-16 13:00:00,0.4253,0.4265,0.3991,0.4153,12562629620.0
2021-04-16 14:00:00,0.4155,0.424,0.4038,0.4131,7218622560.0
2021-04-16 15:00:00,0.4131,0.4199,0.3726,0.3795,14022693270.0
2021-04-16 16:00:00,0.3773,0.406,0.3767,0.398,11205868390.0
2021-04-16 17:00:00,0.3981,0.4088,0.3813,0.4013,7814616070.0
2021-04-16 18:00:00,0.4019,0.4101,0.381,0.4,8034230220.0
2021-04-16 19:00:00,0.4,0.4185,0.3906,0.4078,6675292930.0
2021-04-16 20:00:00,0.4077,0.43,0.3967,0.4022,9960631720.0
2021-04-16 21:00:00,0.4022,0.4088,0.395,0.3972,5229451830.0
2021-04-16 22:00:00,0.3967,0.4189,0.395,0.4037,5513741070.0
2021-04-16 23:00:00,0.4037,0.4181,0.3951,0.4002,7433855730.0
2021-04-17 00:00:00,0.4,0.4052,0.3869,0.3906,3902629690.0
2021-04-17 01:00:00,0.3911,0.3964,0.3812,0.3829,4784749380.0
2021-04-17 02:00:00,0.3826,0.3981,0.3783,0.3842,4909966680.0
2021-04-17 03:00:00,0.3846,0.3938,0.38,0.3924,4057139540.0
2021-04-17 04:00:00,0.3922,0.4063,0.3849,0.403,4152034890.0
2021-04-17 05:00:00,0.4032,0.406,0.3804,0.3871,5506469060.0
2021-04-17 06:00:00,0.3874,0.408,0.3847,0.4024,5435636230.0
2021-04-17 07:00:00,0.4023,0.422,0.3965,0.4101,6430634660.0
2021-04-17 08:00:00,0.4118,0.4499,0.403,0.432,14031372540.0
2021-04-17 09:00:00,0.432,0.4449,0.4197,0.4356,10217575920.0
2021-04-17 10:00:00,0.4356,0.4367,0.416,0.4228,4741958210.0
2021-04-17 11:00:00,0.4227,0.435,0.4124,0.415,5840881080.0
2021-04-17 12:00:00,0.415,0.4177,0.4,0.4143,6596496370.0
2021-04-17 13:00:00,0.4143,0.4183,0.3962,0.4005,5365609300.0
2021-04-17 14:00:00,0.4006,0.4082,0.3965,0.4046,4540649330.0
2021-04-17 15:00:00,0.4045,0.4047,0.3795,0.392,8203984890.0
2021-04-17 16:00:00,0.3914,0.404,0.3901,0.4,4389588340.0
2021-04-17 17:00:00,0.3999,0.4018,0.385,0.3859,3853558650.0
2021-04-17 18:00:00,0.3868,0.3965,0.38,0.3929,4026786620.0
2021-04-17 19:00:00,0.3928,0.394,0.385,0.385,2252832370.0
2021-04-17 20:00:00,0.385,0.3978,0.3811,0.3895,3479818930.0
2021-04-17 21:00:00,0.3896,0.3979,0.385,0.3859,2713561760.0
2021-04-17 22:00:00,0.386,0.393,0.3851,0.3888,2146618810.0
2021-04-17 23:00:00,0.3896,0.3966,0.387,0.3918,1861875890.0
2021-04-18 00:00:00,0.3918,0.405,0.3918,0.3975,4034128030.0
2021-04-18 01:00:00,0.3974,0.42,0.3962,0.3999,7324351470.0
2021-04-18 02:00:00,0.4001,0.4095,0.38,0.385,5302658110.0
2021-04-18 03:00:00,0.385,0.3887,0.3651,0.3718,6172771840.0
2021-04-18 04:00:00,0.3715,0.379,0.3626,0.3681,4562800760.0
2021-04-18 05:00:00,0.3682,0.3695,0.315,0.3275,8656150190.0
2021-04-18 06:00:00,0.3275,0.3438,0.3151,0.324,4432879640.0
2021-04-18 07:00:00,0.3242,0.3415,0.3179,0.3342,3879124010.0
2021-04-18 08:00:00,0.3332,0.3542,0.33,0.3354,5252432080.0
2021-04-18 09:00:00,0.3354,0.3498,0.3344,0.3484,3983357400.0
2021-04-18 10:00:00,0.3482,0.351,0.3358,0.3363,4523461130.0
2021-04-18 11:00:00,0.3363,0.3377,0.3108,0.3211,5423185610.0
2021-04-18 12:00:00,0.321,0.33,0.3172,0.3216,4050582770.0
2021-04-18 13:00:00,0.3215,0.3259,0.3048,0.305,3312306030.0
2021-04-18 14:00:00,0.305,0.3198,0.3038,0.3137,3714893260.0
2021-04-18 15:00:00,0.3138,0.3242,0.3121,0.3222,2910418160.0
2021-04-18 16:00:00,0.3223,0.3324,0.317,0.3275,3438484200.0
2021-04-18 17:00:00,0.3275,0.334,0.3206,0.3257,3193879120.0
2021-04-18 18:00:00,0.3251,0.3332,0.3227,0.3247,2720096500.0
2021-04-18 19:00:00,0.3254,0.3255,0.313,0.3165,3000392410.0
2021-04-18 20:00:00,0.316,0.3219,0.3104,0.3195,1985235320.0
2021-04-18 21:00:00,0.3194,0.329,0.3187,0.3237,2655308700.0
2021-04-18 22:00:00,0.3238,0.3277,0.3181,0.3229,2004465300.0
2021-04-18 23:00:00,0.3229,0.3247,0.3149,0.3207,2407743190.0
2021-04-19 00:00:00,0.3207,0.348,0.32,0.336,7958962720.0
2021-04-19 01:00:00,0.3366,0.3825,0.3329,0.3597,16472538300.0
2021-04-19 02:00:00,0.3595,0.39,0.3526,0.3641,9021472080.0
2021-04-19 03:00:00,0.3641,0.383,0.3563,0.3647,5711497690.0
2021-04-19 04:00:00,0.3645,0.3739,0.355,0.3725,3124319900.0
2021-04-19 05:00:00,0.3717,0.395,0.3705,0.3767,5464790350.0
2021-04-19 06:00:00,0.3768,0.3829,0.3618,0.3703,3521694340.0
2021-04-19 07:00:00,0.3703,0.3703,0.3557,0.3559,2832527360.0
2021-04-19 08:00:00,0.3562,0.3879,0.3558,0.3846,4912874910.0
2021-04-19 09:00:00,0.3839,0.415,0.3731,0.4138,16452127060.0
2021-04-19 10:00:00,0.4142,0.415,0.3751,0.3779,10465417280.0
2021-04-19 11:00:00,0.3779,0.3955,0.371,0.3775,6796861250.0
2021-04-19 12:00:00,0.377,0.3788,0.3607,0.3641,7044375870.0
2021-04-19 13:00:00,0.3643,0.375,0.3577,0.3635,6426462140.0
2021-04-19 14:00:00,0.3635,0.3643,0.3507,0.3581,5151528130.0
2021-04-19 15:00:00,0.358,0.366,0.3375,0.3444,8694913540.0
2021-04-19 16:00:00,0.3431,0.347,0.3256,0.3348,8979392190.0
2021-04-19 17:00:00,0.3338,0.3406,0.317,0.3199,5854685630.0
2021-04-19 18:00:00,0.3197,0.3432,0.318,0.3317,5930345330.0
2021-04-19 19:00:00,0.3316,0.3455,0.3253,0.3449,3983602360.0
2021-04-19 20:00:00,0.345,0.3537,0.333,0.3347,4404927960.0
2021-04-19 21:00:00,0.3344,0.3488,0.3327,0.3387,2750934120.0
2021-04-19 22:00:00,0.3384,0.3499,0.329,0.3383,3446266510.0
2021-04-19 23:00:00,0.3382,0.3533,0.3346,0.3476,2590442590.0
2021-04-20 00:00:00,0.348,0.348,0.332,0.3326,2134750370.0
2021-04-20 01:00:00,0.3323,0.3378,0.3202,0.3211,2456622460.0
2021-04-20 02:00:00,0.3211,0.3234,0.2912,0.2971,6262121490.0
2021-04-20 03:00:00,0.2971,0.3099,0.293,0.3045,3809069620.0
2021-04-20 06:00:00,0.3035,0.3269,0.3003,0.3159,3417184870.0
2021-04-20 07:00:00,0.3159,0.3215,0.3001,0.307,3042878780.0
2021-04-20 08:00:00,0.3066,0.309,0.2952,0.2967,3537379270.0
2021-04-20 09:00:00,0.2965,0.3045,0.295,0.303,2677063800.0
2021-04-20 10:00:00,0.3031,0.314,0.3002,0.3099,2738474180.0
2021-04-20 11:00:00,0.3099,0.314,0.3012,0.3021,3007190810.0
2021-04-20 12:00:00,0.3021,0.325,0.3017,0.3182,5657020890.0
2021-04-20 13:00:00,0.3181,0.323,0.3109,0.3193,2768497130.0
2021-04-20 14:00:00,0.3187,0.3218,0.3127,0.3155,1800895440.0
2021-04-20 15:00:00,0.3159,0.336,0.313,0.3293,3446353050.0
2021-04-20 16:00:00,0.3291,0.3332,0.308,0.3102,3970253910.0
2021-04-20 17:00:00,0.3101,0.3182,0.3079,0.3171,1809189700.0
2021-04-20 18:00:00,0.3173,0.3183,0.309,0.3149,1947141170.0
2021-04-20 19:00:00,0.3148,0.3168,0.3103,0.3154,1811858420.0
2021-04-20 20:00:00,0.3154,0.3157,0.31,0.3116,2081349970.0
