,Open,High,Low,Close,Volume
2020-08-29 09:00:00,45.07,100.0,45.07,59.093,8186184.0
2020-08-29 10:00:00,59.12,67.9,59.12,61.0,18318499.0
2020-08-29 11:00:00,60.864,62.883,59.615,60.905,8981033.0
2020-08-29 12:00:00,60.845,63.975,60.845,62.515,9401727.0
2020-08-29 13:00:00,62.967,62.967,60.306,62.052,3664710.0
2020-08-29 14:00:00,62.053,62.49,60.757,60.998,1846649.0
2020-08-29 15:00:00,60.978,61.558,57.788,58.207,4167145.9999999995
2020-08-29 16:00:00,58.267,60.075,56.86,59.016,5435492.0
2020-08-29 17:00:00,59.043,60.1,57.5,57.994,2625495.0
2020-08-29 18:00:00,57.995,62.242,57.995,60.565,4577063.0
2020-08-29 19:00:00,60.583,61.8,59.877,60.83,3089310.0
2020-08-29 20:00:00,60.83,67.746,60.716,66.899,15379570.0
2020-08-29 21:00:00,66.81,75.898,66.735,70.607,47976191.0
2020-08-29 22:00:00,70.607,78.7,70.425,74.271,32783050.000000004
2020-08-29 23:00:00,73.919,75.0,70.5,73.042,11511195.0
2020-08-30 00:00:00,72.964,78.794,70.5,77.066,16960439.0
2020-08-30 01:00:00,77.066,77.994,73.0,74.989,11712034.0
2020-08-30 02:00:00,74.99,81.019,70.1,80.194,22937095.0
2020-08-30 03:00:00,80.19,90.101,79.795,83.0,48040401.0
2020-08-30 04:00:00,82.857,87.0,80.802,83.902,18438221.0
2020-08-30 05:00:00,83.902,88.8,78.533,81.501,19417836.0
2020-08-30 06:00:00,81.502,86.0,76.609,82.412,24488455.0
2020-08-30 07:00:00,82.464,86.666,81.75,83.58,11957339.0
2020-08-30 08:00:00,83.58,83.714,78.5,82.507,11534917.0
2020-08-30 09:00:00,82.6,83.97,77.61,77.827,14835455.0
2020-08-30 10:00:00,77.827,79.6,76.0,78.358,10349892.0
2020-08-30 11:00:00,78.358,85.3,76.327,79.489,16990664.0
2020-08-30 12:00:00,79.667,80.0,78.0,78.357,5091112.0
2020-08-30 13:00:00,78.567,78.861,73.602,75.758,10221530.0
2020-08-30 14:00:00,75.515,76.54,73.047,73.26,6065127.0
2020-08-30 15:00:00,73.26,75.459,70.7,74.88,13713187.0
2020-08-30 16:00:00,74.88,74.97,70.824,71.402,9084374.0
2020-08-30 17:00:00,71.53,77.336,70.4,77.243,10721101.0
2020-08-30 18:00:00,77.335,84.01,77.2,77.3,32477086.0
2020-08-30 19:00:00,77.571,78.906,74.948,77.25,9920136.0
2020-08-30 20:00:00,77.251,77.336,74.0,76.0,4392706.0
2020-08-30 21:00:00,76.163,76.87,73.112,74.44,4285401.0
2020-08-30 22:00:00,74.147,74.5,72.0,73.016,5038754.0
2020-08-30 23:00:00,72.755,73.112,71.24,71.522,3822084.0
2020-08-31 00:00:00,71.499,74.222,71.0,73.115,5790279.0
2020-08-31 01:00:00,73.055,74.989,71.8,71.8,3523134.0
2020-08-31 02:00:00,72.141,72.8,71.068,71.103,2456254.0
2020-08-31 03:00:00,71.465,72.961,71.0,71.936,1656901.0
2020-08-31 04:00:00,71.771,73.8,71.1,73.346,3461491.0
2020-08-31 05:00:00,73.369,75.033,72.135,72.159,4913495.0
2020-08-31 06:00:00,72.173,73.812,72.0,72.7,1207128.0
2020-08-31 07:00:00,72.701,72.884,71.089,71.541,2752764.0
2020-08-31 08:00:00,71.454,73.101,71.156,71.678,2605266.0
2020-08-31 09:00:00,71.7,72.664,71.518,71.551,2365911.0
2020-08-31 10:00:00,71.551,74.0,71.175,71.72,6906654.0
2020-08-31 11:00:00,71.72,72.072,67.672,70.232,13204399.0
2020-08-31 12:00:00,70.188,71.0,69.649,70.067,3955157.0
2020-08-31 13:00:00,70.053,71.0,68.26,68.4,5057717.0
2020-08-31 14:00:00,68.472,69.398,65.708,67.39,7361660.0
2020-08-31 15:00:00,67.39,68.402,66.0,67.505,7008956.0
2020-08-31 16:00:00,67.468,67.583,65.311,66.699,4156685.9999999995
2020-08-31 17:00:00,66.731,70.0,66.283,68.99,8641996.0
2020-08-31 18:00:00,68.983,73.0,68.982,70.5,10066079.0
2020-08-31 19:00:00,70.491,70.494,66.29,67.402,5738711.0
2020-08-31 20:00:00,67.401,68.474,65.8,66.267,5630299.0
2020-08-31 21:00:00,66.3,68.0,65.8,66.556,4250315.0
2020-08-31 22:00:00,66.556,68.613,65.999,66.0,3232614.0
2020-08-31 23:00:00,66.0,67.0,65.51,66.018,2118406.0
2020-09-01 00:00:00,66.01,66.239,64.496,66.162,3378849.0
2020-09-01 01:00:00,66.162,71.39,65.0,68.369,6091407.0
2020-09-01 02:00:00,68.406,73.0,67.439,69.331,11525058.0
2020-09-01 03:00:00,69.332,72.947,69.331,71.925,4679159.0
2020-09-01 04:00:00,71.774,72.6,68.0,72.357,4644421.0
2020-09-01 05:00:00,72.251,73.0,69.918,70.733,3875346.0
2020-09-01 06:00:00,70.557,71.513,68.5,70.123,4263564.0
2020-09-01 07:00:00,70.104,70.868,68.555,69.981,2816279.0
2020-09-01 08:00:00,69.925,70.0,65.811,66.972,7090768.0
2020-09-01 09:00:00,66.879,69.7,66.219,67.79,4997621.0
2020-09-01 10:00:00,67.781,74.453,67.653,71.335,10124646.0
2020-09-01 11:00:00,71.456,75.0,70.914,71.566,12131847.0
2020-09-01 12:00:00,71.566,72.3,69.4,69.651,5257660.0
2020-09-01 13:00:00,69.401,71.77,66.0,70.681,20067643.0
2020-09-01 14:00:00,70.663,70.741,67.592,68.519,5261194.0
2020-09-01 15:00:00,68.603,69.502,67.0,67.426,4296025.0
2020-09-01 16:00:00,67.45,69.25,67.366,68.374,3315243.0
2020-09-01 17:00:00,68.476,68.51,66.5,66.81,4874820.0
2020-09-01 18:00:00,66.81,67.4,65.464,67.135,4618758.0
2020-09-01 19:00:00,67.075,67.79,66.001,67.641,3019973.0
2020-09-01 20:00:00,67.645,68.0,66.5,66.5,2423327.0
2020-09-01 21:00:00,66.501,66.648,63.0,63.799,5947777.0
2020-09-01 22:00:00,63.834,65.2,57.906,59.937,23858684.0
2020-09-01 23:00:00,59.938,61.322,58.386,59.618,9941125.0
2020-09-02 00:00:00,59.47,63.79,59.465,62.622,5851546.0
2020-09-02 01:00:00,62.378,63.6,59.384,60.222,3717408.0
2020-09-02 02:00:00,60.213,63.198,60.0,61.056,5336144.0
2020-09-02 03:00:00,61.214,63.885,61.214,62.457,6431739.0
2020-09-02 04:00:00,62.326,65.539,62.302,64.324,3356015.0
2020-09-02 05:00:00,64.324,68.3,64.295,66.804,7007322.0
2020-09-02 06:00:00,66.812,68.032,63.587,64.966,5321993.0
2020-09-02 07:00:00,64.992,65.0,62.647,62.879,3262509.0
2020-09-02 08:00:00,62.868,62.941,61.1,61.708,5270808.0
2020-09-02 09:00:00,61.774,63.403,61.5,62.333,2789864.0
2020-09-02 10:00:00,62.333,62.634,60.111,61.956,3475843.0
2020-09-02 11:00:00,62.038,65.999,60.862,64.976,5334937.0
2020-09-02 12:00:00,65.096,65.4,60.69,60.991,4507003.0
2020-09-02 13:00:00,61.025,62.0,55.495,60.553,7649713.0
2020-09-02 14:00:00,60.553,62.88,58.899,60.609,4392514.0
2020-09-02 15:00:00,60.629,60.885,58.498,58.696,3482683.0
