,Open,High,Low,Close,Volume
2020-09-10 09:00:00,10.0,10.181,9.791,10.016,346290.0
2020-09-10 10:00:00,10.304,10.305,10.092,10.198,590030.0
2020-09-10 11:00:00,10.36,10.605,10.36,10.45,11087480.0
2020-09-10 12:00:00,10.367,10.544,10.187,10.544,2720940.0
2020-09-10 13:00:00,10.514,10.514,10.238,10.282,681110.0
2020-09-10 14:00:00,10.228,10.279,9.7,9.7,8576720.0
2020-09-10 15:00:00,9.511,9.97,9.507,9.709,185470.0
2020-09-10 16:00:00,10.205,10.205,10.101,10.191,8350.0
2020-09-10 17:00:00,10.322,10.344,10.111,10.263,266300.0
2020-09-10 18:00:00,10.15,10.595,10.15,10.488,37990.0
2020-09-10 19:00:00,10.375,10.375,10.358,10.359,108910.0
2020-09-10 20:00:00,10.289,10.53,10.219,10.516,157340.0
2020-09-10 21:00:00,10.53,10.965,10.53,10.965,477330.0
2020-09-10 22:00:00,10.803,10.814,10.671,10.671,437470.0
2020-09-10 23:00:00,10.694,10.694,10.488,10.537,79420.0
2020-09-11 00:00:00,10.489,10.489,10.368,10.436,28740.0
2020-09-11 01:00:00,10.53,10.631,10.53,10.631,15350.0
2020-09-11 02:00:00,10.561,10.561,10.101,10.283,84770.0
2020-09-11 03:00:00,10.383,10.592,10.383,10.515,302830.0
2020-09-11 04:00:00,10.478,11.246,10.478,11.246,90510.0
2020-09-11 05:00:00,11.157,11.537,11.061,11.532,131650.0
2020-09-11 06:00:00,11.459,11.609,11.232,11.313,186210.0
2020-09-11 07:00:00,11.214,11.37,11.065,11.065,421570.0
2020-09-11 08:00:00,11.131,11.216,10.919,10.919,423740.0
2020-09-11 09:00:00,11.033,11.16,10.804,11.16,176840.0
2020-09-11 10:00:00,11.0,11.015,10.539,10.763,110150.0
2020-09-11 11:00:00,10.728,10.744,10.6,10.6,632310.0
2020-09-11 12:00:00,10.833,10.884,10.67,10.773,25980.0
2020-09-11 13:00:00,10.89,10.891,10.593,10.825,99440.0
2020-09-11 14:00:00,10.737,10.737,10.062,10.157,852620.0
2020-09-11 15:00:00,10.149,10.346,9.767,10.058,594270.0
2020-09-11 16:00:00,10.139,10.3,10.101,10.277,518520.0
2020-09-11 17:00:00,10.321,10.322,10.036,10.084,165910.0
2020-09-11 18:00:00,9.9,9.987,9.439,9.979,2708760.0
2020-09-11 19:00:00,10.023,10.076,9.92,9.926,109090.0
2020-09-11 20:00:00,9.96,9.96,9.736,9.736,334750.0
2020-09-11 21:00:00,9.802,9.879,9.698,9.879,2367410.0
2020-09-11 22:00:00,9.879,9.99,9.84,9.957,325570.0
2020-09-11 23:00:00,9.921,9.946,9.84,9.946,322150.0
2020-09-12 00:00:00,9.84,9.989,9.784,9.989,4724070.0
2020-09-12 01:00:00,10.076,10.338,10.068,10.338,1147790.0
2020-09-12 02:00:00,10.16,10.615,10.16,10.615,392740.0
2020-09-12 03:00:00,10.48,10.517,10.393,10.443,769880.0
2020-09-12 04:00:00,10.642,10.693,10.6,10.6,8080.0
2020-09-12 05:00:00,10.6,10.756,10.504,10.533,528710.0
2020-09-12 06:00:00,10.575,10.575,10.43,10.488,189580.0
2020-09-12 07:00:00,10.575,10.7,10.533,10.6,459900.0
2020-09-12 08:00:00,10.709,10.728,10.706,10.728,97660.0
2020-09-12 09:00:00,10.843,10.843,10.642,10.642,16570.0
2020-09-12 10:00:00,10.575,10.642,10.575,10.642,15440.0
2020-09-12 11:00:00,10.739,10.74,10.739,10.74,20000.0
2020-09-12 12:00:00,10.642,11.023,10.642,11.023,88800.0
2020-09-12 13:00:00,11.029,11.051,11.029,11.051,4330.0
2020-09-12 14:00:00,10.769,10.972,10.768,10.866,171520.0
2020-09-12 15:00:00,10.816,11.153,10.816,11.104,527550.0
2020-09-12 16:00:00,11.103,11.103,10.884,10.887,28530.0
2020-09-12 17:00:00,10.7,10.887,10.7,10.887,93880.0
2020-09-12 18:00:00,10.831,10.954,10.831,10.954,11190.0
2020-09-12 19:00:00,10.89,11.061,10.889,11.061,302180.0
2020-09-12 20:00:00,10.83,10.862,10.715,10.715,62850.0
2020-09-12 21:00:00,10.642,10.682,10.615,10.682,13930.0
2020-09-12 22:00:00,10.653,10.759,10.653,10.759,110800.0
2020-09-12 23:00:00,10.608,10.608,10.488,10.51,14170.0
2020-09-13 00:00:00,10.554,10.7,10.554,10.686,985470.0
2020-09-13 01:00:00,10.671,10.69,10.671,10.69,5670.0
2020-09-13 02:00:00,10.721,10.977,10.721,10.977,192740.0
2020-09-13 03:00:00,11.061,11.071,11.061,11.071,7200.0
2020-09-13 04:00:00,11.153,11.153,11.081,11.081,120200.0
2020-09-13 05:00:00,10.941,10.977,10.615,10.906,219900.0
2020-09-13 06:00:00,10.787,10.932,10.786,10.877,296170.0
2020-09-13 07:00:00,10.877,10.877,10.877,10.877,0.0
2020-09-13 08:00:00,11.074,11.074,11.074,11.074,1090.0
2020-09-13 09:00:00,10.906,10.906,10.885,10.885,50850.0
2020-09-13 10:00:00,10.921,11.074,10.921,11.064,27920.0
2020-09-13 11:00:00,11.152,11.423,11.152,11.423,108780.0
2020-09-13 12:00:00,11.49,11.838,11.49,11.779,272870.0
2020-09-13 13:00:00,11.747,11.857,11.107,11.107,5720350.0
2020-09-13 14:00:00,11.373,11.692,11.001,11.692,413940.0
2020-09-13 15:00:00,11.758,11.961,11.637,11.846,376040.0
2020-09-13 16:00:00,11.846,11.846,11.78,11.824,160570.0
2020-09-13 17:00:00,12.004,12.23,11.729,12.23,1095070.0
2020-09-13 18:00:00,12.499,12.964,12.43,12.789,1642230.0
2020-09-13 19:00:00,12.777,13.111,12.398,12.404,389870.0
2020-09-13 20:00:00,12.451,12.777,12.314,12.755,442830.0
2020-09-13 21:00:00,12.755,12.766,12.139,12.218,482200.0
2020-09-13 22:00:00,12.028,12.542,12.028,12.535,23840.0
2020-09-13 23:00:00,12.44,12.44,11.976,12.083,845820.0
2020-09-14 00:00:00,12.104,12.265,11.984,12.244,345290.0
2020-09-14 01:00:00,11.984,12.125,11.838,11.849,338660.0
2020-09-14 02:00:00,11.846,12.474,11.846,12.394,666160.0
2020-09-14 03:00:00,12.269,12.549,12.168,12.42,67860.0
2020-09-14 04:00:00,12.357,12.357,12.094,12.094,1125460.0
2020-09-14 05:00:00,12.148,12.148,11.301,11.312,354180.0
2020-09-14 06:00:00,11.533,11.76,11.533,11.65,37030.0
2020-09-14 07:00:00,11.57,12.016,11.504,11.734,153480.0
