,Open,High,Low,Close,Volume
2020-09-10 09:00:00,10.0,10.162,9.78,9.853,1241600.0
2020-09-10 10:00:00,9.853,9.853,9.641,9.817,450380.0
2020-09-10 11:00:00,9.74,9.813,9.629,9.629,89920.0
2020-09-10 12:00:00,9.518,9.802,9.518,9.548,72010.0
2020-09-10 13:00:00,9.471,9.652,9.471,9.652,138190.0
2020-09-10 14:00:00,9.64,10.307,9.64,10.303,177350.0
2020-09-10 15:00:00,10.425,10.491,10.05,10.295,304070.0
2020-09-10 16:00:00,10.262,10.262,9.701,9.701,198780.0
2020-09-10 17:00:00,9.642,9.74,9.641,9.74,132490.0
2020-09-10 18:00:00,9.852,9.852,9.408,9.5,665460.0
2020-09-10 19:00:00,9.514,9.654,9.514,9.616,294200.0
2020-09-10 20:00:00,9.662,9.71,9.409,9.409,100280.0
2020-09-10 21:00:00,9.431,9.472,8.986,9.063,443790.0
2020-09-10 22:00:00,9.175,9.344,9.139,9.321,301810.0
2020-09-10 23:00:00,9.345,9.575,9.329,9.401,27700.0
2020-09-11 00:00:00,9.49,9.627,9.49,9.552,61360.0
2020-09-11 01:00:00,9.596,9.596,9.31,9.401,37810.0
2020-09-11 02:00:00,9.456,9.925,9.456,9.683,91270.0
2020-09-11 03:00:00,9.609,9.609,9.444,9.489,64150.00000000001
2020-09-11 04:00:00,9.526,9.526,8.745,8.808,163930.0
2020-09-11 05:00:00,8.914,8.943,8.298,8.418,4678680.0
2020-09-11 06:00:00,8.289,8.703,8.289,8.6,140730.0
2020-09-11 07:00:00,8.615,8.878,8.6,8.813,138310.0
2020-09-11 08:00:00,8.886,8.986,8.886,8.951,13700.0
2020-09-11 09:00:00,9.108,9.108,8.82,8.878,10130.0
2020-09-11 10:00:00,8.946,9.513,8.939,9.161,181580.0
2020-09-11 11:00:00,9.282,9.351,9.2,9.2,20070.0
2020-09-11 12:00:00,9.084,9.313,9.084,9.174,94380.0
2020-09-11 13:00:00,9.133,9.315,9.022,9.022,157410.0
2020-09-11 14:00:00,9.315,9.777,9.263,9.771,227130.0
2020-09-11 15:00:00,9.781,10.201,9.675,9.887,124150.0
2020-09-11 16:00:00,9.84,9.84,9.675,9.675,541540.0
