,Open,High,Low,Close,Volume
2021-01-27 09:00:00,0.1698,0.5,0.1698,0.2888,54071486980.0
2021-01-27 10:00:00,0.2888,0.2911,0.25,0.2874,14823313820.0
2021-01-27 11:00:00,0.2874,0.293,0.2713,0.2795,7620084300.0
2021-01-27 12:00:00,0.2804,0.285,0.2603,0.2614,6634568290.0
2021-01-27 13:00:00,0.2615,0.2682,0.2508,0.2561,6227202130.0
2021-01-27 14:00:00,0.2566,0.2853,0.254,0.2797,7169204800.0
2021-01-27 15:00:00,0.2797,0.2891,0.26,0.2718,10464678380.0
2021-01-27 16:00:00,0.2713,0.2749,0.2582,0.2655,8335522800.0
2021-01-27 17:00:00,0.2655,0.28,0.2645,0.2746,5230457370.0
2021-01-27 18:00:00,0.2746,0.35,0.27,0.3281,28144216530.0
2021-01-27 19:00:00,0.3282,0.3979,0.3266,0.3358,60992168590.0
2021-01-27 20:00:00,0.3383,0.385,0.3348,0.3765,27980738670.0
2021-01-27 21:00:00,0.3779,0.3819,0.345,0.3604,12948732290.0
2021-01-27 22:00:00,0.3608,0.3774,0.358,0.3689,9375823500.0
2021-01-27 23:00:00,0.3683,0.418,0.3657,0.4054,18305627030.0
2021-01-28 00:00:00,0.4054,0.4488,0.4039,0.431,29360752660.0
2021-01-28 01:00:00,0.4312,0.4314,0.3505,0.3835,22449339490.0
2021-01-28 02:00:00,0.3834,0.4219,0.3716,0.3997,12873314030.0
2021-01-28 03:00:00,0.3999,0.405,0.3652,0.377,4407618100.0
2021-01-28 04:00:00,0.3771,0.3896,0.36,0.3615,4158398300.0
2021-01-28 05:00:00,0.3616,0.385,0.3525,0.374,5133562370.0
2021-01-28 06:00:00,0.374,0.392,0.36,0.3699,4856646230.0
2021-01-28 07:00:00,0.37,0.3719,0.3268,0.3445,8851116110.0
2021-01-28 08:00:00,0.3445,0.3488,0.3179,0.3304,7484413470.0
2021-01-28 09:00:00,0.3314,0.351,0.3214,0.3298,8555629640.000001
2021-01-28 10:00:00,0.3298,0.34,0.3201,0.3255,4304886390.0
2021-01-28 11:00:00,0.3251,0.36,0.3246,0.3453,8625061880.0
2021-01-28 12:00:00,0.3452,0.3884,0.344,0.367,12447959670.0
2021-01-28 13:00:00,0.3662,0.3814,0.3391,0.3474,8367856460.0
2021-01-28 14:00:00,0.3469,0.3612,0.3333,0.357,6866479430.0
2021-01-28 15:00:00,0.358,0.358,0.3395,0.34,3891730020.0
2021-01-28 16:00:00,0.34,0.3466,0.324,0.3265,5047331400.0
2021-01-28 17:00:00,0.3269,0.3422,0.325,0.3334,3568429690.0
2021-01-28 18:00:00,0.3334,0.3345,0.3179,0.3228,3466893420.0
2021-01-28 19:00:00,0.3241,0.3241,0.302,0.3053,4312789860.0
2021-01-28 20:00:00,0.3039,0.32,0.3031,0.3084,3478148320.0
2021-01-28 21:00:00,0.3084,0.3113,0.3051,0.3081,1942572520.0
2021-01-28 22:00:00,0.3086,0.3366,0.3082,0.316,5064020280.0
2021-01-28 23:00:00,0.3157,0.3319,0.314,0.323,2218153310.0
2021-01-29 00:00:00,0.3228,0.323,0.2919,0.3012,4286515490.0
2021-01-29 01:00:00,0.3009,0.3178,0.2777,0.2782,6182117370.0
2021-01-29 02:00:00,0.2782,0.2949,0.2769,0.2939,3774109840.0
2021-01-29 03:00:00,0.2931,0.294,0.28,0.28,2893785930.0
2021-01-29 04:00:00,0.2799,0.2817,0.257,0.2616,5757114690.0
2021-01-29 05:00:00,0.2616,0.2748,0.252,0.2696,4940293270.0
2021-01-29 06:00:00,0.2696,0.2747,0.2523,0.2642,3969446500.0
2021-01-29 07:00:00,0.2613,0.2722,0.2548,0.2646,2882891780.0
2021-01-29 08:00:00,0.2639,0.28,0.2633,0.2766,3107895520.0
2021-01-29 09:00:00,0.275,0.2929,0.265,0.2691,4648226540.0
2021-01-29 10:00:00,0.2691,0.2716,0.2607,0.2686,2679257250.0
2021-01-29 11:00:00,0.2682,0.287,0.2676,0.2757,3311857990.0
2021-01-29 12:00:00,0.2757,0.292,0.2695,0.2858,3004934620.0
2021-01-29 13:00:00,0.2851,0.2857,0.2711,0.2745,2971711270.0
2021-01-29 14:00:00,0.2745,0.2818,0.2658,0.269,2292818970.0
2021-01-29 15:00:00,0.2664,0.276,0.2652,0.2749,1994377900.0
2021-01-29 16:00:00,0.2745,0.275,0.268,0.2743,1314627030.0
2021-01-29 17:00:00,0.2741,0.2755,0.2672,0.2684,1450530260.0
2021-01-29 18:00:00,0.2691,0.2743,0.2672,0.2713,978858520.0
2021-01-29 19:00:00,0.2717,0.2722,0.2605,0.2673,1157130100.0
2021-01-29 20:00:00,0.2678,0.288,0.2673,0.2735,2488174130.0
2021-01-29 21:00:00,0.2735,0.29,0.2721,0.2804,2097680960.0
2021-01-29 22:00:00,0.2787,0.321,0.278,0.3141,5816264340.0
2021-01-29 23:00:00,0.3141,0.321,0.295,0.3045,3067085130.0
2021-01-30 00:00:00,0.3045,0.3068,0.2807,0.288,1830146670.0
2021-01-30 01:00:00,0.2878,0.3078,0.2841,0.3076,1413301940.0
2021-01-30 02:00:00,0.3077,0.3185,0.295,0.2969,2193932760.0
2021-01-30 03:00:00,0.2975,0.332,0.2975,0.3272,2902574670.0
2021-01-30 04:00:00,0.3261,0.348,0.3037,0.33,6741494350.0
2021-01-30 05:00:00,0.3299,0.3388,0.3131,0.3216,2038758750.0
2021-01-30 06:00:00,0.3217,0.3286,0.313,0.3276,1702056320.0
2021-01-30 07:00:00,0.3281,0.3478,0.3232,0.3332,3725769730.0
2021-01-30 08:00:00,0.3332,0.3354,0.3172,0.3189,2206225180.0
2021-01-30 09:00:00,0.3202,0.3282,0.309,0.309,2227643900.0
2021-01-30 10:00:00,0.3096,0.3101,0.2894,0.2925,3661519590.0
2021-01-30 11:00:00,0.2926,0.3013,0.2909,0.297,1548718410.0
2021-01-30 12:00:00,0.297,0.312,0.2925,0.3027,1736670370.0
2021-01-30 13:00:00,0.3027,0.3069,0.29,0.2933,2401354290.0
2021-01-30 14:00:00,0.2925,0.2959,0.2844,0.2921,1815140560.0
2021-01-30 15:00:00,0.2921,0.297,0.285,0.2955,1640602780.0
2021-01-30 16:00:00,0.2955,0.31,0.295,0.3025,2001538920.0
2021-01-30 17:00:00,0.3025,0.3033,0.2865,0.2893,2255023190.0
2021-01-30 18:00:00,0.2875,0.3008,0.283,0.3001,1843572470.0
2021-01-30 19:00:00,0.3,0.3007,0.292,0.2967,868453660.0
2021-01-30 20:00:00,0.2966,0.2967,0.2909,0.2926,460389950.0
2021-01-30 21:00:00,0.2922,0.302,0.2904,0.2984,894418300.0
2021-01-30 22:00:00,0.2992,0.3055,0.2979,0.3047,503480050.0
2021-01-30 23:00:00,0.3046,0.307,0.298,0.2993,625643900.0
2021-01-31 00:00:00,0.2992,0.3035,0.295,0.298,568858550.0
2021-01-31 01:00:00,0.298,0.3099,0.29,0.2994,1029054710.0
2021-01-31 02:00:00,0.2994,0.303,0.2945,0.3016,313947590.0
2021-01-31 03:00:00,0.3029,0.307,0.2958,0.2977,646902820.0
2021-01-31 04:00:00,0.2983,0.309,0.2962,0.3038,882711610.0
2021-01-31 05:00:00,0.3033,0.31,0.3,0.3096,854008290.0
2021-01-31 06:00:00,0.3098,0.3213,0.3089,0.3117,1613271490.0
2021-01-31 07:00:00,0.3117,0.32,0.3005,0.3012,952739230.0
2021-01-31 08:00:00,0.3012,0.3065,0.2968,0.2984,806315380.0
2021-01-31 09:00:00,0.2985,0.3048,0.2964,0.2981,749946670.0
2021-01-31 10:00:00,0.2981,0.2999,0.29,0.2918,1478915120.0
2021-01-31 11:00:00,0.2908,0.2979,0.29,0.2957,774999900.0
2021-01-31 12:00:00,0.2957,0.3064,0.2944,0.3,2165103880.0
2021-01-31 13:00:00,0.2996,0.301,0.2961,0.2971,580866430.0
2021-01-31 14:00:00,0.2972,0.2993,0.293,0.2986,740166820.0
2021-01-31 15:00:00,0.2982,0.3035,0.2959,0.3012,793670280.0
2021-01-31 16:00:00,0.3004,0.3014,0.2869,0.2938,1986679270.0
2021-01-31 17:00:00,0.2939,0.2952,0.287,0.2901,796306040.0
2021-01-31 18:00:00,0.2908,0.2959,0.285,0.285,1495775530.0
2021-01-31 19:00:00,0.2853,0.2901,0.2833,0.2864,961574400.0
2021-01-31 20:00:00,0.2864,0.3081,0.2851,0.3013,2934251160.0
2021-01-31 21:00:00,0.3011,0.3085,0.2921,0.2945,2114670520.0
2021-01-31 22:00:00,0.2946,0.295,0.2876,0.2903,897054410.0
2021-01-31 23:00:00,0.2904,0.295,0.287,0.2894,683757070.0
2021-02-01 00:00:00,0.2896,0.2943,0.2876,0.2907,340361600.0
2021-02-01 01:00:00,0.2907,0.2925,0.2876,0.2921,361368360.0
2021-02-01 02:00:00,0.2921,0.296,0.2867,0.2942,694071060.0
2021-02-01 03:00:00,0.2942,0.298,0.2918,0.2973,313342850.0
2021-02-01 04:00:00,0.2969,0.3057,0.2962,0.3018,922482680.0
2021-02-01 05:00:00,0.3019,0.302,0.295,0.2959,620318890.0
2021-02-01 06:00:00,0.2969,0.3004,0.2945,0.2978,498708400.0
2021-02-01 07:00:00,0.2982,0.3034,0.2952,0.3,784561780.0
2021-02-01 08:00:00,0.2992,0.2999,0.296,0.2976,503321550.0
2021-02-01 09:00:00,0.2976,0.3031,0.2962,0.3031,1144421940.0
2021-02-01 10:00:00,0.3031,0.3091,0.3005,0.308,1978765090.0
2021-02-01 11:00:00,0.3079,0.3197,0.3013,0.3073,3092315450.0
2021-02-01 12:00:00,0.3073,0.3187,0.3061,0.3061,1812367920.0
2021-02-01 13:00:00,0.3061,0.315,0.3045,0.3045,950429310.0
2021-02-01 14:00:00,0.3062,0.3108,0.3,0.3025,1496510890.0
2021-02-01 15:00:00,0.3025,0.3063,0.295,0.3055,1298888510.0
2021-02-01 16:00:00,0.3055,0.3059,0.2965,0.298,667266330.0
2021-02-01 17:00:00,0.298,0.3025,0.2966,0.3001,682620770.0
2021-02-01 18:00:00,0.3001,0.3045,0.2987,0.3025,680524820.0
2021-02-01 19:00:00,0.3025,0.3039,0.297,0.2994,491700780.0
2021-02-01 20:00:00,0.2994,0.302,0.2974,0.2997,384103010.0
2021-02-01 21:00:00,0.3,0.304,0.2981,0.2989,917330630.0
2021-02-01 22:00:00,0.2989,0.306,0.2989,0.3051,461719730.0
2021-02-01 23:00:00,0.3051,0.3056,0.3016,0.3025,395988180.0
2021-02-02 00:00:00,0.302,0.3025,0.3,0.3018,321990790.0
2021-02-02 01:00:00,0.3018,0.3031,0.2963,0.3014,553549130.0
2021-02-02 02:00:00,0.3016,0.3024,0.2966,0.298,317115760.0
2021-02-02 03:00:00,0.298,0.3049,0.2969,0.3027,449435770.0
2021-02-02 04:00:00,0.3027,0.3036,0.2998,0.2998,396040270.0
2021-02-02 05:00:00,0.3004,0.3052,0.2998,0.3013,329152830.0
2021-02-02 06:00:00,0.3013,0.3069,0.3001,0.3057,775405070.0
2021-02-02 07:00:00,0.3057,0.3129,0.305,0.312,1395882840.0
2021-02-02 08:00:00,0.312,0.3185,0.31,0.3111,1728298360.0
2021-02-02 09:00:00,0.3111,0.3129,0.3065,0.3072,854229960.0
2021-02-02 10:00:00,0.3078,0.312,0.3055,0.3076,1400360630.0
2021-02-02 11:00:00,0.3084,0.3086,0.3027,0.3041,552110840.0
2021-02-02 12:00:00,0.3041,0.3069,0.3028,0.305,555541660.0
2021-02-02 13:00:00,0.3049,0.3065,0.3016,0.3048,671442630.0
2021-02-02 14:00:00,0.3048,0.3084,0.303,0.3062,820895060.0
2021-02-02 15:00:00,0.3062,0.3161,0.3062,0.315,1605771620.0
2021-02-02 16:00:00,0.3154,0.3183,0.3096,0.3168,1288316730.0
2021-02-02 17:00:00,0.3167,0.339,0.3162,0.3383,4076362450.0
