,Open,High,Low,Close,Volume
2020-11-19 07:00:00,1.3,6.59,1.3,4.8914,3696362620.0
2020-11-19 08:00:00,4.8914,4.8999,3.33,3.6701,2252741520.0
2020-11-19 09:00:00,3.6655,3.95,3.4463,3.7604,625580040.0
2020-11-19 10:00:00,3.7501,3.93,3.61,3.8061,274992310.0
2020-11-19 11:00:00,3.8276,3.8294,3.7,3.7268,148629630.0
2020-11-19 12:00:00,3.7264,3.77,3.2431,3.3,338743340.0
2020-11-19 13:00:00,3.3,3.4493,3.14,3.2,309163250.0
2020-11-19 14:00:00,3.1993,3.74,3.1977,3.6938,401766160.0
2020-11-19 15:00:00,3.6936,4.52,3.5334,4.1841,1118469710.0
2020-11-19 16:00:00,4.1837,4.6,3.9727,4.1734,957828690.0
2020-11-19 17:00:00,4.1772,4.29,3.8912,3.9794,333646140.0
2020-11-19 18:00:00,3.9821,4.4067,3.9469,4.3,429578250.0
2020-11-19 19:00:00,4.2823,4.4484,4.14,4.1402,224095650.0
2020-11-19 20:00:00,4.1402,4.4201,4.0775,4.3491,178951200.0
2020-11-19 21:00:00,4.3745,4.4603,4.3,4.3519,136391670.0
2020-11-19 22:00:00,4.3511,4.3884,4.0762,4.1007,136282960.0
2020-11-19 23:00:00,4.1175,4.2999,3.92,4.1562,217960320.0
2020-11-20 00:00:00,4.1556,4.1796,3.6651,3.9761,282576030.0
2020-11-20 01:00:00,3.9761,4.25,3.9494,4.1183,233241460.0
2020-11-20 02:00:00,4.1072,4.2755,4.0,4.0619,158150350.0
2020-11-20 03:00:00,4.0454,4.11,3.8095,3.8445,158870260.0
2020-11-20 04:00:00,3.8449,4.13,3.7703,4.072,155632310.0
2020-11-20 05:00:00,4.0714,4.0916,3.9278,3.949,72665690.0
2020-11-20 06:00:00,3.949,4.1121,3.9106,3.9799,89886840.0
2020-11-20 07:00:00,3.9891,4.02,3.8,3.84,160552080.0
2020-11-20 08:00:00,3.8391,3.9745,3.75,3.9398,136105920.0
2020-11-20 09:00:00,3.9224,3.9379,3.75,3.8051,77893410.0
2020-11-20 10:00:00,3.8051,3.9029,3.7604,3.7736,73620550.0
2020-11-20 11:00:00,3.767,3.8377,3.7501,3.7941,53081220.0
2020-11-20 12:00:00,3.7943,3.883,3.7938,3.8611,61116980.0
