,Open,High,Low,Close,Volume
2021-09-10 06:00:00,1.0,2.0,0.9998,0.9999,4221009429.9999995
2021-09-10 07:00:00,1.0,1.0,0.9998,0.9999,376687690.0
2021-09-10 08:00:00,0.9998,1.001,0.9998,1.0002,148707440.0
2021-09-10 09:00:00,1.0003,2.0,0.9998,0.9998,13401807440.0
2021-09-10 10:00:00,0.9999,1.0,0.9993,1.0,2274351530.0
2021-09-10 11:00:00,0.9999,1.0,0.9998,0.9998,358749200.0
2021-09-10 12:00:00,0.9999,1.0,0.9998,0.9998,524771920.00000006
2021-09-10 13:00:00,0.9999,1.0,0.9998,0.9998,434790280.0
2021-09-10 14:00:00,0.9998,1.0,0.9998,0.9998,415942600.0
2021-09-10 15:00:00,0.9998,1.0,0.9998,0.9998,311862650.0
2021-09-10 16:00:00,0.9999,1.0,0.9998,1.0,371938830.0
2021-09-10 17:00:00,1.0,1.0001,0.9999,1.0,385484310.0
2021-09-10 18:00:00,0.9999,1.0001,0.9998,0.9998,188573130.0
2021-09-10 19:00:00,0.9998,1.0001,0.9998,0.9998,348555280.0
2021-09-10 20:00:00,0.9998,1.0001,0.9998,0.9998,115430440.0
2021-09-10 21:00:00,0.9998,1.0001,0.9998,0.9998,85966940.0
2021-09-10 22:00:00,0.9998,1.0001,0.9998,1.0001,66847810.0
2021-09-10 23:00:00,1.0001,1.0001,0.9998,0.9998,91713720.0
2021-09-11 00:00:00,0.9998,1.0001,0.9998,0.9998,34674720.0
2021-09-11 01:00:00,0.9998,1.0001,0.9998,1.0,261894900.0
2021-09-11 02:00:00,1.0,1.0,0.9998,1.0,31688600.0
2021-09-11 03:00:00,0.9998,1.0001,0.9998,0.9998,33708180.0
2021-09-11 04:00:00,0.9998,1.0001,0.9998,0.9998,16157310.0
2021-09-11 05:00:00,0.9998,1.0001,0.9998,0.9998,40680520.0
2021-09-11 06:00:00,0.9998,1.0001,0.9998,0.9998,28287300.0
2021-09-11 07:00:00,0.9998,1.0001,0.9998,0.9998,82731480.0
2021-09-11 08:00:00,0.9998,1.0001,0.9998,0.9998,33208190.000000004
2021-09-11 09:00:00,0.9998,1.0001,0.9998,0.9998,92332260.0
2021-09-11 10:00:00,0.9999,1.0,0.9998,0.9998,46888010.0
2021-09-11 11:00:00,0.9998,1.0001,0.9998,0.9998,107082940.0
2021-09-11 12:00:00,0.9998,1.0001,0.9998,0.9999,95334960.0
2021-09-11 13:00:00,0.9999,1.0001,0.9998,0.9999,219851990.0
2021-09-11 14:00:00,0.9998,1.0,0.9998,0.9999,57343600.0
2021-09-11 15:00:00,0.9999,1.0001,0.9999,0.9999,23813320.0
2021-09-11 16:00:00,0.9999,1.0,0.9999,0.9999,44464710.0
2021-09-11 17:00:00,0.9999,1.0,0.9999,0.9999,106274570.0
2021-09-11 18:00:00,0.9999,1.0001,0.9999,1.0,49481060.0
2021-09-11 19:00:00,1.0,1.0001,0.9999,0.9999,77815490.0
2021-09-11 20:00:00,0.9999,1.0,0.9999,1.0,11909790.0
2021-09-11 21:00:00,1.0,1.0001,0.9999,0.9999,39223890.0
2021-09-11 22:00:00,0.9999,1.0001,0.9999,0.9999,23451850.0
2021-09-11 23:00:00,0.9999,1.0001,0.9999,0.9999,26242380.0
2021-09-12 00:00:00,0.9999,1.0001,0.9999,1.0001,41606480.0
2021-09-12 01:00:00,0.9999,1.0001,0.9999,1.0001,50719640.0
2021-09-12 02:00:00,1.0,1.0001,0.9998,1.0,143920770.0
2021-09-12 03:00:00,0.9998,1.0001,0.9998,0.9998,10403100.0
2021-09-12 04:00:00,0.9998,1.0001,0.9998,1.0,12918290.0
2021-09-12 05:00:00,1.0,1.0,0.9998,0.9998,24319380.0
2021-09-12 06:00:00,0.9998,1.0001,0.9998,0.9998,166944730.0
2021-09-12 07:00:00,0.9998,1.0001,0.9998,0.9998,208432070.0
2021-09-12 08:00:00,0.9998,1.0,0.9998,1.0,73088850.0
2021-09-12 09:00:00,0.9998,1.0001,0.9998,0.9998,271041120.0
2021-09-12 10:00:00,0.9998,1.0001,0.9998,1.0,83970540.0
2021-09-12 11:00:00,0.9998,1.0001,0.9998,1.0,127890730.0
2021-09-12 12:00:00,1.0,1.0001,0.9998,0.9998,105212060.0
2021-09-12 13:00:00,1.0,1.0001,0.9996,1.0,207796480.0
2021-09-12 14:00:00,1.0,1.0001,0.9996,0.9997,32251330.0
2021-09-12 15:00:00,1.0001,1.0001,0.9996,1.0,46446360.0
2021-09-12 16:00:00,1.0,1.0,0.9996,0.9996,20513370.0
2021-09-12 17:00:00,0.9996,1.0,0.9996,0.9996,41958120.0
2021-09-12 18:00:00,0.9996,1.0,0.9996,0.9996,90706810.0
