,Open,High,Low,Close,Volume
2021-12-24 09:00:00,1.0,1.05,0.961,1.001,3131833000.0
2021-12-24 10:00:00,1.0008,1.0014,0.9999,1.0013,1412598000.0
2021-12-24 11:00:00,1.001,1.004,1.0002,1.0015,593982000.0
2021-12-24 12:00:00,1.0015,1.002,1.0006,1.0017,396639000.0
2021-12-24 13:00:00,1.0019,1.003,1.0011,1.0018,638501000.0
2021-12-24 14:00:00,1.0018,1.0031,1.0006,1.0021,257645000.0
2021-12-24 15:00:00,1.0029,1.0031,1.0003,1.0015,581493000.0
2021-12-24 16:00:00,1.0016,1.0019,1.0,1.0017,881230000.0
2021-12-24 17:00:00,1.0017,1.0018,1.0,1.0015,382877000.0
2021-12-24 18:00:00,1.0017,1.0018,1.0007,1.0011,289965000.0
2021-12-24 19:00:00,1.0011,1.003,1.0009,1.0021,256231000.0
2021-12-24 20:00:00,1.0018,1.0036,1.0015,1.0022,155849000.0
2021-12-24 21:00:00,1.0022,1.0033,1.001,1.0024,183636000.0
2021-12-24 22:00:00,1.0024,1.0036,1.001,1.0016,149808000.0
2021-12-24 23:00:00,1.0014,1.0036,1.001,1.0028,190835000.0
2021-12-25 00:00:00,1.0028,1.003,1.0005,1.0019,583698000.0
2021-12-25 01:00:00,1.0019,1.0035,1.0,1.0012,678247000.0
2021-12-25 02:00:00,1.0001,1.0018,1.0,1.0012,188020000.0
2021-12-25 03:00:00,1.0012,1.0013,1.0003,1.0013,280606000.0
2021-12-25 04:00:00,1.0013,1.0034,1.0001,1.0019,582562000.0
2021-12-25 05:00:00,1.0019,1.003,1.001,1.0017,864581000.0
2021-12-25 06:00:00,1.0017,1.0019,1.0009,1.0018,426679000.0
2021-12-25 07:00:00,1.001,1.0019,1.0003,1.0004,370176000.0
2021-12-25 08:00:00,1.0016,1.0029,1.0004,1.0006,255298000.0
2021-12-25 09:00:00,1.0014,1.0024,1.0005,1.0013,255607000.0
2021-12-25 10:00:00,1.0013,1.0018,1.0005,1.0007,148308000.0
2021-12-25 11:00:00,1.0016,1.0018,1.0006,1.0012,470570000.0
2021-12-25 12:00:00,1.0012,1.0025,1.001,1.0014,318991000.0
2021-12-25 13:00:00,1.0014,1.0024,1.001,1.0019,237199000.0
2021-12-25 14:00:00,1.0019,1.003,1.0006,1.0017,453752000.0
2021-12-25 15:00:00,1.0016,1.0024,1.0005,1.0016,227049000.0
2021-12-25 16:00:00,1.0018,1.0019,1.001,1.0018,228980000.0
2021-12-25 17:00:00,1.0018,1.0023,1.0008,1.0019,293432000.0
2021-12-25 18:00:00,1.0019,1.0027,1.0006,1.0021,339335000.0
2021-12-25 19:00:00,1.0015,1.003,1.0007,1.0022,419192000.0
2021-12-25 20:00:00,1.003,1.003,1.0008,1.001,157092000.0
2021-12-25 21:00:00,1.001,1.0029,1.0006,1.0019,143297000.0
2021-12-25 22:00:00,1.0019,1.002,1.0006,1.0018,402108000.0
2021-12-25 23:00:00,1.0009,1.003,1.0001,1.0013,522367000.0
2021-12-26 00:00:00,1.0002,1.0029,1.0001,1.0023,434565000.0
2021-12-26 01:00:00,1.0022,1.0029,1.0008,1.0008,153299000.0
2021-12-26 02:00:00,1.0009,1.002,1.0002,1.0003,375692000.0
2021-12-26 03:00:00,1.0014,1.002,1.0003,1.0018,71020000.0
2021-12-26 04:00:00,1.0009,1.0017,1.0002,1.001,370189000.0
2021-12-26 05:00:00,1.001,1.0017,1.0008,1.0008,210453000.0
2021-12-26 06:00:00,1.0016,1.0017,1.0001,1.0012,616199000.0
2021-12-26 07:00:00,1.0013,1.0017,1.0003,1.0004,700472000.0
2021-12-26 08:00:00,1.0015,1.0017,1.0003,1.0017,151719000.0
2021-12-26 09:00:00,1.0012,1.0024,1.0005,1.0009,242050000.0
2021-12-26 10:00:00,1.0009,1.0029,1.0005,1.0029,353735000.0
2021-12-26 11:00:00,1.0029,1.003,1.0001,1.001,795454000.0
2021-12-26 12:00:00,1.001,1.0025,1.0005,1.0012,324551000.0
2021-12-26 13:00:00,1.0012,1.0029,1.001,1.0011,665589000.0
2021-12-26 14:00:00,1.0026,1.0029,1.0009,1.0019,326935000.0
2021-12-26 15:00:00,1.001,1.002,1.0004,1.0018,238999000.0
2021-12-26 16:00:00,1.0018,1.002,1.0004,1.001,207477000.0
2021-12-26 17:00:00,1.001,1.0022,1.0004,1.0014,287302000.0
2021-12-26 18:00:00,1.0018,1.002,1.0004,1.001,145326000.0
2021-12-26 19:00:00,1.0016,1.0018,1.0003,1.0016,119596000.0
2021-12-26 20:00:00,1.0016,1.0019,1.0003,1.0006,68943000.0
2021-12-26 21:00:00,1.001,1.0017,1.0003,1.001,151368000.0
2021-12-26 22:00:00,1.001,1.0017,1.0003,1.0017,316114000.0
2021-12-26 23:00:00,1.0008,1.0017,1.0006,1.0007,110677000.0
2021-12-27 00:00:00,1.0007,1.0016,1.0005,1.001,107688000.0
2021-12-27 01:00:00,1.001,1.0016,1.0003,1.0015,483960000.0
2021-12-27 02:00:00,1.0015,1.0015,1.0006,1.0008,145891000.0
2021-12-27 03:00:00,1.001,1.0015,1.0004,1.0015,351075000.0
2021-12-27 04:00:00,1.0015,1.0018,1.0004,1.0004,188362000.0
2021-12-27 05:00:00,1.0004,1.0016,1.0003,1.001,334777000.0
2021-12-27 06:00:00,1.0016,1.0016,1.0003,1.0014,206450000.0
2021-12-27 07:00:00,1.0014,1.0015,1.0005,1.0011,201801000.0
2021-12-27 08:00:00,1.0011,1.0015,1.0004,1.0007,136130000.0
2021-12-27 09:00:00,1.0006,1.0024,1.0005,1.002,1159165000.0
2021-12-27 10:00:00,1.002,1.002,1.0003,1.0016,1727949000.0
2021-12-27 11:00:00,1.0017,1.0017,1.0006,1.0015,127432000.0
2021-12-27 12:00:00,1.0007,1.0015,1.0004,1.0004,580682000.0
2021-12-27 13:00:00,1.0004,1.0013,1.0002,1.0002,839155000.0
2021-12-27 14:00:00,1.0002,1.0015,1.0002,1.0003,695555000.0
2021-12-27 15:00:00,1.0003,1.0014,1.0003,1.0008,229780000.0
2021-12-27 16:00:00,1.0008,1.002,1.0002,1.0019,1111831000.0
2021-12-27 17:00:00,1.0008,1.0017,1.0002,1.0016,1073440000.0
2021-12-27 18:00:00,1.0005,1.0019,1.0001,1.0003,722379000.0
2021-12-27 19:00:00,1.0003,1.0004,1.0002,1.0002,366430000.0
2021-12-27 20:00:00,1.0002,1.0013,1.0001,1.0001,475127000.0
2021-12-27 21:00:00,1.0002,1.0004,1.0001,1.0001,242565000.0
2021-12-27 22:00:00,1.0004,1.0016,1.0001,1.0016,390691000.0
2021-12-27 23:00:00,1.0008,1.0017,1.0001,1.0002,651239000.0
2021-12-28 00:00:00,1.0002,1.0017,1.0001,1.0009,279885000.0
2021-12-28 01:00:00,1.0005,1.0009,1.0,1.0001,502890000.0
2021-12-28 02:00:00,1.0001,1.0012,1.0,1.0005,674816000.0
2021-12-28 03:00:00,1.0001,1.0012,0.9999,1.0,370549000.0
2021-12-28 04:00:00,0.9999,1.0012,0.9999,1.0001,1503978000.0
2021-12-28 05:00:00,1.0001,1.0012,0.9994,1.0006,459459000.0
2021-12-28 06:00:00,1.0003,1.001,1.0,1.0003,431059000.0
2021-12-28 07:00:00,1.0003,1.001,0.999,1.0009,905540000.0
2021-12-28 08:00:00,1.0008,1.0009,1.0001,1.0003,149738000.0
2021-12-28 09:00:00,1.0003,1.001,1.0001,1.0006,998459000.0
2021-12-28 10:00:00,1.0006,1.0016,1.0001,1.0002,510523000.0
2021-12-28 11:00:00,1.0002,1.0015,1.0001,1.0014,412016000.0
2021-12-28 12:00:00,1.0014,1.0014,1.0002,1.0004,192735000.0
2021-12-28 13:00:00,1.0004,1.0014,1.0003,1.0012,216200000.0
2021-12-28 14:00:00,1.0012,1.0014,1.0002,1.0014,205341000.0
2021-12-28 15:00:00,1.0014,1.0015,1.0003,1.0015,365959000.0
2021-12-28 16:00:00,1.0005,1.0015,1.0,1.0002,746992000.0
2021-12-28 17:00:00,1.0002,1.0014,1.0,1.0012,718941000.0
2021-12-28 18:00:00,1.0012,1.0015,1.0001,1.0014,889093000.0
2021-12-28 19:00:00,1.001,1.0014,1.0001,1.0013,697533000.0
2021-12-28 20:00:00,1.0012,1.0014,1.0001,1.0003,408243000.0
2021-12-28 21:00:00,1.0007,1.0013,1.0001,1.0004,206776000.0
2021-12-28 22:00:00,1.0013,1.0015,1.0004,1.001,418942000.0
2021-12-28 23:00:00,1.001,1.0015,1.0006,1.0006,1032138000.0
