,Open,High,Low,Close,Volume
2020-10-02 08:00:00,0.1371,0.29,0.1371,0.2115,17216227550.0
2020-10-02 09:00:00,0.2108,0.2121,0.1804,0.187,5803724110.0
2020-10-02 10:00:00,0.1871,0.1926,0.1734,0.1763,4299251280.0
2020-10-02 11:00:00,0.1763,0.1818,0.1631,0.1656,2026152150.0
2020-10-02 12:00:00,0.1655,0.1899,0.164,0.1822,2171414400.0
2020-10-02 13:00:00,0.1822,0.1854,0.1723,0.1745,788763440.0
2020-10-02 14:00:00,0.1744,0.1792,0.1656,0.176,1005485430.0
2020-10-02 15:00:00,0.1769,0.1774,0.1601,0.1652,1225415610.0
2020-10-02 16:00:00,0.1638,0.175,0.1608,0.1711,1461163620.0
2020-10-02 17:00:00,0.1708,0.1761,0.1649,0.1719,1333309550.0
2020-10-02 18:00:00,0.1719,0.1835,0.167,0.1826,1193683850.0
2020-10-02 19:00:00,0.1811,0.1868,0.172,0.1738,1791177650.0
2020-10-02 20:00:00,0.1732,0.1801,0.1731,0.1757,491903330.0
2020-10-02 21:00:00,0.1757,0.1757,0.165,0.168,822009220.0
2020-10-02 22:00:00,0.168,0.1787,0.166,0.1757,1249708400.0
2020-10-02 23:00:00,0.1726,0.1822,0.1692,0.1734,475485550.0
2020-10-03 00:00:00,0.1736,0.1768,0.1675,0.1683,619031040.0
2020-10-03 01:00:00,0.1689,0.1735,0.167,0.1701,380187350.0
2020-10-03 02:00:00,0.171,0.174,0.1695,0.174,209832790.0
2020-10-03 03:00:00,0.1734,0.1781,0.1707,0.1738,316750660.0
2020-10-03 04:00:00,0.1742,0.1796,0.1717,0.1796,256518800.0
2020-10-03 05:00:00,0.1796,0.1796,0.1683,0.1748,358855230.0
2020-10-03 06:00:00,0.1748,0.1763,0.1712,0.173,135193930.0
2020-10-03 07:00:00,0.1732,0.1763,0.1724,0.1724,257880860.0
2020-10-03 08:00:00,0.1724,0.1737,0.1639,0.166,523065900.0
2020-10-03 09:00:00,0.166,0.1684,0.1647,0.1647,327550510.0
2020-10-03 10:00:00,0.165,0.174,0.16,0.1608,604712450.0
2020-10-03 11:00:00,0.161,0.1638,0.1522,0.1563,964793540.0
2020-10-03 12:00:00,0.1558,0.1566,0.1525,0.1552,630908450.0
2020-10-03 13:00:00,0.1544,0.1566,0.1514,0.1533,527331540.00000006
2020-10-03 14:00:00,0.1527,0.156,0.1524,0.155,452785080.0
2020-10-03 15:00:00,0.1548,0.156,0.1532,0.156,315579590.0
2020-10-03 16:00:00,0.156,0.1574,0.147,0.1505,786039070.0
