,Open,High,Low,Close,Volume
2021-11-22 08:00:00,3.781,5.8,1.05,4.736,2289162700.0
2021-11-22 09:00:00,4.737,4.882,4.426,4.519,537614700.0
2021-11-22 10:00:00,4.522,4.579,4.213,4.26,256874400.0
2021-11-22 11:00:00,4.26,4.624,4.237,4.333,148429800.0
2021-11-22 12:00:00,4.333,4.7,4.247,4.451,129209900.0
2021-11-22 13:00:00,4.449,4.846,4.424,4.631,259056600.0
2021-11-22 14:00:00,4.629,5.7,4.616,5.276,2684336700.0
2021-11-22 15:00:00,5.278,5.3,4.8,5.151,809304600.0
2021-11-22 16:00:00,5.161,5.611,5.015,5.192,1261833300.0
2021-11-22 17:00:00,5.192,5.25,4.877,5.151,410480000.0
2021-11-22 18:00:00,5.15,5.15,4.839,4.944,275781000.0
2021-11-22 19:00:00,4.94,4.986,4.615,4.893,180708900.0
2021-11-22 20:00:00,4.898,5.23,4.776,4.806,388661300.0
2021-11-22 21:00:00,4.806,5.4,4.799,5.218,295392500.0
2021-11-22 22:00:00,5.219,5.4,4.967,5.191,382222300.0
2021-11-22 23:00:00,5.185,5.435,5.082,5.333,381628200.0
2021-11-23 00:00:00,5.334,5.472,5.08,5.179,366603300.0
2021-11-23 01:00:00,5.179,5.203,4.975,5.189,194513100.0
2021-11-23 02:00:00,5.189,5.818,5.173,5.796,1006715800.0
2021-11-23 03:00:00,5.782,5.815,5.154,5.283,578898000.0
2021-11-23 04:00:00,5.292,5.302,5.082,5.204,264041300.0
2021-11-23 05:00:00,5.205,5.21,4.878,4.973,276175900.0
2021-11-23 06:00:00,4.96,5.011,4.765,5.002,259384000.0
2021-11-23 07:00:00,5.002,5.043,4.728,4.743,139896200.0
2021-11-23 08:00:00,4.746,4.92,4.733,4.891,86997900.0
2021-11-23 09:00:00,4.895,5.174,4.89,5.124,120037100.0
2021-11-23 10:00:00,5.12,5.122,4.776,4.794,112849300.0
2021-11-23 11:00:00,4.798,4.899,4.795,4.8,84750600.0
2021-11-23 12:00:00,4.797,5.09,4.779,5.09,107030200.0
2021-11-23 13:00:00,5.076,5.14,4.829,4.829,60245200.0
2021-11-23 14:00:00,4.829,5.25,4.827,4.935,155741200.0
2021-11-23 15:00:00,4.942,5.149,4.899,4.933,112389200.0
2021-11-23 16:00:00,4.942,5.005,4.851,4.914,50605000.0
2021-11-23 17:00:00,4.92,4.988,4.871,4.896,55460700.0
2021-11-23 18:00:00,4.895,5.133,4.81,4.958,135278300.0
2021-11-23 19:00:00,4.958,5.051,4.836,5.036,113399800.0
2021-11-23 20:00:00,5.036,5.046,4.869,4.937,27154700.0
2021-11-23 21:00:00,4.937,4.937,4.8,4.804,40195100.0
