,Open,High,Low,Close,Volume
2021-09-09 10:00:00,1.0711,1.37,1.0437,1.0834,1559853400.0
2021-09-09 11:00:00,1.0835,1.1479,1.0725,1.1028,690447600.0
2021-09-09 12:00:00,1.0976,1.13,1.07,1.0864,517962000.0
2021-09-09 13:00:00,1.0864,1.0948,1.02,1.0202,527524300.00000006
2021-09-09 14:00:00,1.0221,1.0598,0.95,0.9957,1058979399.9999999
2021-09-09 15:00:00,0.9958,1.06,0.9956,1.0043,458859300.0
2021-09-09 16:00:00,1.0041,1.037,0.9975,1.0186,377278400.0
2021-09-09 17:00:00,1.0185,1.0227,0.9929,1.0031,505612700.0
2021-09-09 18:00:00,1.0004,1.0049,0.962,0.985,631203100.0
2021-09-09 19:00:00,0.9858,0.9907,0.9634,0.9702,314436700.0
2021-09-09 20:00:00,0.9708,0.9752,0.9361,0.9459,410755800.0
2021-09-09 21:00:00,0.9458,0.965,0.9267,0.9401,439182500.0
2021-09-09 22:00:00,0.9401,0.9549,0.9,0.9429,609219100.0
2021-09-09 23:00:00,0.9405,0.9497,0.9245,0.9424,301774800.0
2021-09-10 00:00:00,0.9436,0.987,0.9252,0.9548,418548500.0
2021-09-10 01:00:00,0.9548,0.9775,0.9253,0.929,193313600.0
2021-09-10 02:00:00,0.929,0.9697,0.9202,0.949,257398500.0
2021-09-10 03:00:00,0.9514,0.9941,0.9502,0.9638,213968200.0
2021-09-10 04:00:00,0.9622,0.9977,0.93,0.9304,265556500.0
2021-09-10 05:00:00,0.9321,1.0,0.93,0.9573,213094200.0
2021-09-10 06:00:00,0.9575,0.9584,0.9246,0.9344,197171200.0
2021-09-10 07:00:00,0.9342,0.9499,0.9092,0.9295,287859100.0
2021-09-10 08:00:00,0.9296,0.945,0.8962,0.9036,423391200.0
2021-09-10 09:00:00,0.8993,0.9222,0.8609,0.8646,509376300.0
2021-09-10 10:00:00,0.868,0.8978,0.8522,0.8848,486561300.0
2021-09-10 11:00:00,0.8832,0.89,0.8551,0.8662,345089400.0
2021-09-10 12:00:00,0.8659,0.88,0.855,0.87,271897300.0
2021-09-10 13:00:00,0.8694,0.8775,0.856,0.8598,230754300.0
2021-09-10 14:00:00,0.859,0.8721,0.853,0.8545,236315500.0
2021-09-10 15:00:00,0.8544,0.8666,0.8238,0.8301,477106100.0
2021-09-10 16:00:00,0.83,0.8307,0.8,0.808,468959600.0
2021-09-10 17:00:00,0.81,0.8279,0.7868,0.8278,295099600.0
2021-09-10 18:00:00,0.8276,0.8397,0.8042,0.8101,340279600.0
2021-09-10 19:00:00,0.8103,0.8287,0.79,0.7951,588297800.0
2021-09-10 20:00:00,0.7951,0.8125,0.792,0.7962,177162200.0
2021-09-10 21:00:00,0.7969,0.8444,0.796,0.824,474058100.0
2021-09-10 22:00:00,0.824,0.85,0.804,0.8042,235608500.0
2021-09-10 23:00:00,0.805,0.8285,0.778,0.7891,194392300.0
2021-09-11 00:00:00,0.7891,0.835,0.7722,0.801,308908700.0
2021-09-11 01:00:00,0.8009,0.8291,0.8,0.8145,165745800.0
