,Open,High,Low,Close,Volume
2021-12-14 13:00:00,0.2,6.95,0.2,2.7167,51123396200.0
2021-12-14 14:00:00,2.7167,3.1125,2.6037,2.6752,26519937800.0
2021-12-14 15:00:00,2.6752,3.0949,2.5632,2.9501,15047577300.0
2021-12-14 16:00:00,2.9501,3.1842,2.8237,2.8938,14518755600.0
2021-12-14 17:00:00,2.8941,2.9699,2.6531,2.7705,8246685100.0
2021-12-14 18:00:00,2.7701,2.8268,2.45,2.4733,6518091200.0
2021-12-14 19:00:00,2.4708,2.5276,2.285,2.4936,7671636900.0
2021-12-14 20:00:00,2.4936,2.775,2.3509,2.775,6464198600.0
2021-12-14 21:00:00,2.7732,2.7733,2.5392,2.6311,6204823900.0
2021-12-14 22:00:00,2.6393,2.6424,2.4179,2.5351,3697344400.0
2021-12-14 23:00:00,2.5351,2.68,2.48,2.6651,2703697500.0
2021-12-15 00:00:00,2.6678,2.95,2.6319,2.835,6711409100.0
2021-12-15 01:00:00,2.834,2.8438,2.5347,2.69,3573330100.0
2021-12-15 02:00:00,2.6877,2.6958,2.5652,2.632,1170764900.0
2021-12-15 03:00:00,2.632,2.91,2.6301,2.791,3957633600.0
2021-12-15 04:00:00,2.7907,2.913,2.735,2.8533,2481433700.0
2021-12-15 05:00:00,2.8561,3.2,2.7705,3.1456,6306034100.0
2021-12-15 06:00:00,3.1456,3.4,3.0912,3.2301,7777121500.0
2021-12-15 07:00:00,3.2329,3.83,3.1615,3.7088,10831884900.0
2021-12-15 08:00:00,3.7087,3.98,3.4371,3.5553,13077889400.0
2021-12-15 09:00:00,3.5552,3.84,3.545,3.8248,7335014500.0
2021-12-15 10:00:00,3.8248,4.5678,3.79,4.1953,23750684900.0
2021-12-15 11:00:00,4.1972,4.4485,4.0305,4.2669,12665453900.0
2021-12-15 12:00:00,4.2657,4.3275,3.7678,3.8776,10183325300.0
2021-12-15 13:00:00,3.876,4.05,3.6061,3.8098,13587122100.0
2021-12-15 14:00:00,3.8098,4.0286,3.6614,3.6699,5756020200.0
2021-12-15 15:00:00,3.6779,3.7599,3.4125,3.4125,5627621600.0
2021-12-15 16:00:00,3.4126,3.5555,3.337,3.3834,5897850500.0
2021-12-15 17:00:00,3.3843,3.499,3.2296,3.3781,6609771500.0
2021-12-15 18:00:00,3.3778,3.689,3.369,3.5181,6680489600.0
2021-12-15 19:00:00,3.518,3.8629,3.49,3.735,5764766100.0
2021-12-15 20:00:00,3.7341,4.2199,3.7157,4.1289,7579271300.0
2021-12-15 21:00:00,4.1323,4.4,3.9754,4.1995,9181564700.0
2021-12-15 22:00:00,4.2046,4.2449,3.8655,3.9029,5541177300.0
2021-12-15 23:00:00,3.9079,3.9256,3.6311,3.7251,4487663600.0
2021-12-16 00:00:00,3.7256,4.0778,3.683,3.7831,4072110600.0
2021-12-16 01:00:00,3.778,4.0788,3.6666,3.91,3308446000.0
2021-12-16 02:00:00,3.91,4.39,3.91,4.3806,5272182400.0
2021-12-16 03:00:00,4.3828,4.75,4.272,4.6894,8126597600.0
2021-12-16 04:00:00,4.6863,4.7716,4.2285,4.3212,5550252500.0
2021-12-16 05:00:00,4.3232,4.5783,4.11,4.1881,4981560400.0
2021-12-16 06:00:00,4.1881,4.4336,4.0649,4.3372,4081463200.0
2021-12-16 07:00:00,4.3372,4.38,4.02,4.1427,3138385200.0
2021-12-16 08:00:00,4.1445,4.32,4.04,4.2832,2776224200.0
2021-12-16 09:00:00,4.2832,4.3724,4.0621,4.1009,2993034300.0
2021-12-16 10:00:00,4.1,4.1779,3.7005,3.8076,6109758000.0
2021-12-16 11:00:00,3.8087,3.8087,3.57,3.6719,4464294300.0
2021-12-16 12:00:00,3.6703,3.7567,3.5406,3.7287,3189950100.0
2021-12-16 13:00:00,3.7244,3.85,3.6701,3.795,3398477000.0
2021-12-16 14:00:00,3.7962,3.83,3.5643,3.6509,2050831000.0
2021-12-16 15:00:00,3.6509,3.794,3.5998,3.7715,1669642300.0
2021-12-16 16:00:00,3.7715,3.88,3.6,3.6019,2968538000.0
2021-12-16 17:00:00,3.6018,3.6599,3.4,3.4744,2499805100.0
2021-12-16 18:00:00,3.4734,3.5316,3.335,3.4889,2348579400.0
2021-12-16 19:00:00,3.4889,3.495,3.2666,3.293,1497201700.0
2021-12-16 20:00:00,3.293,3.3359,3.1288,3.198,2364717000.0
2021-12-16 21:00:00,3.1962,3.493,3.1931,3.4089,2440032100.0
2021-12-16 22:00:00,3.4088,3.5115,3.301,3.36,2115944400.0
2021-12-16 23:00:00,3.3603,3.4292,3.2827,3.3891,1156093700.0
2021-12-17 00:00:00,3.3867,3.3885,3.2339,3.2667,1157116400.0
2021-12-17 01:00:00,3.2667,3.4397,3.1874,3.2314,1436669100.0
2021-12-17 02:00:00,3.2343,3.28,3.116,3.1172,1155632600.0
2021-12-17 03:00:00,3.12,3.1491,2.9827,3.1187,1852673400.0
2021-12-17 04:00:00,3.1147,3.3417,3.0644,3.257,1873953500.0
2021-12-17 05:00:00,3.2525,3.38,3.1136,3.122,882772300.0
2021-12-17 06:00:00,3.1249,3.25,3.1214,3.1778,544805500.0
2021-12-17 07:00:00,3.1778,3.1778,3.0011,3.0335,829252000.0
