,Open,High,Low,Close,Volume
2019-08-27 06:00:00,0.5,0.5,0.3432,0.4523,81967580.0
2019-08-27 07:00:00,0.4555,0.4681,0.4549,0.4633,36646660.0
2019-08-27 08:00:00,0.4604,0.4944,0.4545,0.4768,65597850.00000001
2019-08-27 09:00:00,0.4806,0.4915,0.4734,0.4774,73104660.0
2019-08-27 10:00:00,0.484,0.4844,0.475,0.484,20885710.0
2019-08-27 11:00:00,0.4837,0.4883,0.4696,0.4728,18169400.0
2019-08-27 12:00:00,0.47,0.4888,0.4649,0.4674,61724830.0
2019-08-27 13:00:00,0.4673,0.4711,0.4571,0.4635,21231400.0
2019-08-27 14:00:00,0.4634,0.4649,0.4428,0.4556,84331960.0
2019-08-27 15:00:00,0.4557,0.4557,0.43,0.4407,181160680.0
2019-08-27 16:00:00,0.44,0.4471,0.4318,0.4363,61833200.0
2019-08-27 17:00:00,0.4362,0.4387,0.422,0.4275,56665390.0
2019-08-27 18:00:00,0.4291,0.4335,0.4251,0.4285,48017090.0
2019-08-27 19:00:00,0.4291,0.4332,0.4283,0.4297,35202350.0
2019-08-27 20:00:00,0.4299,0.4313,0.4098,0.411,239661400.0
2019-08-27 21:00:00,0.41,0.4169,0.4083,0.416,42694990.0
2019-08-27 22:00:00,0.4159,0.416,0.4096,0.4153,92191970.0
2019-08-27 23:00:00,0.4154,0.4155,0.4101,0.4133,14686870.0
2019-08-28 00:00:00,0.411,0.4145,0.3909,0.4084,152760620.0
2019-08-28 01:00:00,0.4068,0.409,0.4034,0.409,21772710.0
2019-08-28 02:00:00,0.4082,0.4269,0.4061,0.4265,118731290.0
2019-08-28 03:00:00,0.4266,0.4266,0.404,0.4069,34325770.0
2019-08-28 04:00:00,0.4071,0.4093,0.3986,0.3988,54900260.0
2019-08-28 05:00:00,0.403,0.4038,0.3918,0.3958,73630030.0
2019-08-28 06:00:00,0.3956,0.4035,0.3942,0.3981,26438530.0
2019-08-28 07:00:00,0.3986,0.4149,0.397,0.4142,38047350.0
2019-08-28 08:00:00,0.4142,0.4164,0.401,0.401,46512560.0
2019-08-28 09:00:00,0.401,0.4065,0.3884,0.3903,56751850.0
2019-08-28 10:00:00,0.3909,0.428,0.3896,0.4059,141085180.0
2019-08-28 11:00:00,0.4027,0.4108,0.3996,0.4108,60987950.0
2019-08-28 12:00:00,0.4108,0.4499,0.4108,0.4255,147437940.0
2019-08-28 13:00:00,0.4265,0.44,0.4181,0.4231,150938240.0
2019-08-28 14:00:00,0.4227,0.4228,0.4035,0.4058,101220340.0
2019-08-28 15:00:00,0.405,0.416,0.3945,0.3987,175822520.0
2019-08-28 16:00:00,0.3949,0.4198,0.3819,0.4069,228971150.0
2019-08-28 17:00:00,0.4062,0.4087,0.3987,0.4042,103902260.0
2019-08-28 18:00:00,0.4035,0.4039,0.3934,0.3998,28300600.0
2019-08-28 19:00:00,0.4001,0.4029,0.3952,0.3974,20426400.0
2019-08-28 20:00:00,0.3968,0.3968,0.3423,0.3584,530458150.0
2019-08-28 21:00:00,0.3571,0.3616,0.345,0.3549,190165700.0
2019-08-28 22:00:00,0.3563,0.3563,0.3461,0.3494,115065290.0
2019-08-28 23:00:00,0.3496,0.3574,0.346,0.35,36032320.0
2019-08-29 00:00:00,0.3498,0.3552,0.3463,0.3504,28844370.0
2019-08-29 01:00:00,0.3503,0.3528,0.344,0.3462,196193690.0
2019-08-29 02:00:00,0.3462,0.3465,0.3289,0.3335,69076440.0
