,Open,High,Low,Close,Volume
2019-08-01 12:00:00,0.0004123,0.000948,0.0004123,0.0004285,29117849776000.0
2019-08-01 13:00:00,0.0004281,0.0004281,0.0004036,0.000407,5856981841000.0
2019-08-01 14:00:00,0.000407,0.000412,0.0003996,0.0004027,2840895272000.0
2019-08-01 15:00:00,0.0004033,0.0004234,0.0004027,0.0004166,3003011348000.0
2019-08-01 16:00:00,0.0004166,0.0004169,0.0004039,0.000406,1594537935000.0
2019-08-01 17:00:00,0.0004058,0.000409,0.0003913,0.0004056,1592872057000.0
2019-08-01 18:00:00,0.0004051,0.0004195,0.0004037,0.0004151,1179302971000.0
2019-08-01 19:00:00,0.0004145,0.000427,0.0004138,0.0004178,1181654374000.0
2019-08-01 20:00:00,0.0004163,0.0004219,0.0004138,0.0004169,460053841000.0
2019-08-01 21:00:00,0.0004166,0.0004177,0.0004112,0.0004144,375887340000.0
2019-08-01 22:00:00,0.0004143,0.000425,0.0004131,0.0004241,566688865000.0
2019-08-01 23:00:00,0.0004241,0.0004287,0.0004187,0.0004274,312596483000.0
2019-08-02 00:00:00,0.0004275,0.0004302,0.0004169,0.0004223,588702605000.0
2019-08-02 01:00:00,0.0004228,0.0004548,0.0004228,0.0004431,1943108885000.0
2019-08-02 02:00:00,0.0004461,0.0004496,0.000432,0.0004337,884498898000.0
2019-08-02 03:00:00,0.0004337,0.0004355,0.000422,0.0004295,740055259000.0
2019-08-02 04:00:00,0.0004303,0.000434,0.0004192,0.0004217,887317197000.0
2019-08-02 05:00:00,0.0004223,0.0004261,0.000414,0.0004169,1149647845000.0
2019-08-02 06:00:00,0.0004156,0.000423,0.0004145,0.000419,461537399000.0
2019-08-02 07:00:00,0.0004183,0.0004245,0.0004179,0.0004223,306508479000.0
2019-08-02 08:00:00,0.0004223,0.0004308,0.000415,0.0004211,490885149000.0
2019-08-02 09:00:00,0.0004211,0.0004265,0.00042,0.0004215,691945381000.0
2019-08-02 10:00:00,0.000422,0.0004226,0.0004183,0.0004209,504384490000.0
2019-08-02 11:00:00,0.0004201,0.000422,0.000417,0.000418,960938363000.0
2019-08-02 12:00:00,0.0004177,0.0004195,0.0003854,0.0003909,2805088745000.0
2019-08-02 13:00:00,0.0003899,0.0003917,0.0003766,0.0003901,971362403000.0
2019-08-02 14:00:00,0.00039,0.000395,0.0003807,0.0003853,697705684000.0
2019-08-02 15:00:00,0.0003851,0.0003898,0.0003828,0.000389,426923458000.0
2019-08-02 16:00:00,0.0003885,0.0003925,0.0003863,0.000388,350681611000.0
2019-08-02 17:00:00,0.0003885,0.0003898,0.000382,0.0003821,249335865000.0
2019-08-02 18:00:00,0.0003822,0.0003839,0.0003702,0.0003811,738755493000.0
2019-08-02 19:00:00,0.0003796,0.0003816,0.000371,0.0003748,233821216000.0
2019-08-02 20:00:00,0.0003735,0.0004,0.0003735,0.0003905,844279196000.0
2019-08-02 21:00:00,0.0003907,0.000394,0.0003813,0.0003823,339313460000.0
2019-08-02 22:00:00,0.0003836,0.0003853,0.0003771,0.0003806,163588184000.0
2019-08-02 23:00:00,0.0003814,0.0003871,0.0003796,0.0003851,130536195000.0
2019-08-03 00:00:00,0.0003831,0.00039,0.0003803,0.0003884,143364655000.0
2019-08-03 01:00:00,0.0003888,0.0004009,0.0003871,0.0003958,465225608000.0
2019-08-03 02:00:00,0.0003959,0.0004004,0.0003755,0.0003809,572704873000.0
2019-08-03 03:00:00,0.0003807,0.0003879,0.0003804,0.0003857,149128416000.0
2019-08-03 04:00:00,0.0003853,0.0003856,0.0003807,0.0003825,320169235000.0
2019-08-03 05:00:00,0.0003825,0.0003844,0.0003772,0.0003841,441817406000.0
2019-08-03 06:00:00,0.0003837,0.0003917,0.0003837,0.000386,795875151000.0
2019-08-03 07:00:00,0.000386,0.00039,0.0003836,0.0003843,694194970000.0
2019-08-03 08:00:00,0.0003841,0.0003853,0.0003801,0.0003823,579910472000.0
2019-08-03 09:00:00,0.0003827,0.0003829,0.000379,0.0003814,443964007000.0
2019-08-03 10:00:00,0.0003815,0.0003828,0.000379,0.0003817,344316934000.0
2019-08-03 11:00:00,0.0003817,0.0003829,0.0003798,0.0003798,404817924000.0
2019-08-03 12:00:00,0.0003799,0.0003801,0.0003729,0.0003743,806960675000.0
2019-08-03 13:00:00,0.0003741,0.0003769,0.000363,0.0003661,853002026000.0
2019-08-03 14:00:00,0.0003662,0.0003713,0.0003623,0.0003687,833593793000.0
2019-08-03 15:00:00,0.0003688,0.0003694,0.0003636,0.000367,483159866000.0
2019-08-03 16:00:00,0.0003668,0.0003686,0.0003581,0.0003611,1074850140000.0
2019-08-03 17:00:00,0.0003607,0.0003648,0.0003556,0.0003627,503971685000.0
2019-08-03 18:00:00,0.0003627,0.0003635,0.0003613,0.0003634,275773269000.0
2019-08-03 19:00:00,0.0003634,0.0003638,0.0003622,0.0003636,218938140000.0
2019-08-03 20:00:00,0.0003636,0.0003699,0.0003632,0.0003652,455646507000.0
2019-08-03 21:00:00,0.0003651,0.0003658,0.0003618,0.0003627,311190351000.0
2019-08-03 22:00:00,0.0003627,0.0003664,0.0003622,0.0003659,258862804000.0
2019-08-03 23:00:00,0.0003659,0.0003688,0.0003634,0.0003654,341724614000.0
2019-08-04 00:00:00,0.0003655,0.0003672,0.0003644,0.0003647,452987122000.0
2019-08-04 01:00:00,0.0003646,0.0003656,0.000364,0.0003643,213511022000.0
2019-08-04 02:00:00,0.0003643,0.0003688,0.0003641,0.0003675,234940172000.0
2019-08-04 03:00:00,0.0003675,0.0003916,0.0003674,0.0003906,1688476354000.0
2019-08-04 04:00:00,0.0003905,0.0004227,0.0003875,0.0004183,1783075205000.0
2019-08-04 05:00:00,0.0004184,0.000424,0.0004022,0.0004033,1833165001000.0
2019-08-04 06:00:00,0.0004034,0.0004038,0.0003852,0.0003878,1220543735000.0
2019-08-04 07:00:00,0.0003876,0.000405,0.000386,0.0003948,1030492710000.0
2019-08-04 08:00:00,0.0003951,0.0003973,0.0003876,0.0003926,2713305921000.0
2019-08-04 09:00:00,0.0003924,0.0004,0.0003885,0.0003905,2536891902000.0
2019-08-04 10:00:00,0.0003904,0.0003908,0.0003721,0.0003782,2979148641000.0
2019-08-04 11:00:00,0.0003782,0.0003816,0.0003728,0.0003782,2517464872000.0
2019-08-04 12:00:00,0.0003782,0.0003862,0.0003778,0.000385,1969432822000.0
2019-08-04 13:00:00,0.0003849,0.0003855,0.0003746,0.0003793,1162107117000.0
2019-08-04 14:00:00,0.0003793,0.0003817,0.0003781,0.0003811,751752924000.0
2019-08-04 15:00:00,0.0003814,0.0003875,0.0003799,0.0003843,1867832184000.0
2019-08-04 16:00:00,0.0003847,0.0003949,0.0003847,0.0003917,2278580201000.0
2019-08-04 17:00:00,0.0003915,0.000392,0.000385,0.0003909,1441738813000.0
2019-08-04 18:00:00,0.0003906,0.000391,0.000363,0.0003677,3822157407000.0
2019-08-04 19:00:00,0.0003676,0.000375,0.0003675,0.0003735,1289828151000.0
2019-08-04 20:00:00,0.0003736,0.0003736,0.0003659,0.0003678,1619358417000.0
2019-08-04 21:00:00,0.0003677,0.0003707,0.0003655,0.0003685,1149564019000.0
2019-08-04 22:00:00,0.0003686,0.0003768,0.0003674,0.0003727,1780815403000.0
2019-08-04 23:00:00,0.0003726,0.0003729,0.0003679,0.000372,2368001159000.0
2019-08-05 00:00:00,0.0003719,0.0003719,0.0003697,0.0003711,1686730262000.0
2019-08-05 01:00:00,0.0003711,0.0003715,0.0003697,0.0003707,1380956453000.0
2019-08-05 02:00:00,0.0003709,0.0003859,0.0003708,0.0003834,2066623000000.0
2019-08-05 03:00:00,0.0003833,0.0003843,0.0003724,0.0003789,1282998010000.0
2019-08-05 04:00:00,0.0003787,0.0003798,0.0003634,0.0003665,1719884849000.0
2019-08-05 05:00:00,0.0003661,0.0003694,0.0003644,0.0003682,1576725759000.0
2019-08-05 06:00:00,0.0003678,0.0003707,0.0003676,0.0003692,1204150971000.0
2019-08-05 07:00:00,0.0003692,0.0003696,0.0003652,0.0003678,1714836645000.0
2019-08-05 08:00:00,0.0003679,0.0003717,0.000367,0.0003698,3883725705000.0
2019-08-05 09:00:00,0.0003697,0.0003697,0.0003647,0.0003652,4304591850000.0
2019-08-05 10:00:00,0.0003654,0.0003705,0.0003648,0.0003703,4436563004000.0
2019-08-05 11:00:00,0.0003701,0.0003718,0.0003687,0.0003709,2397720219000.0
2019-08-05 12:00:00,0.0003708,0.0003713,0.0003676,0.0003687,3094195126000.0
2019-08-05 13:00:00,0.0003685,0.00037,0.000368,0.0003695,3170887429000.0
2019-08-05 14:00:00,0.0003694,0.00037,0.0003666,0.000368,3050433007000.0
2019-08-05 15:00:00,0.000368,0.0003698,0.0003655,0.000366,2452276731000.0
2019-08-05 16:00:00,0.0003662,0.0003676,0.000364,0.0003647,2284331989000.0
2019-08-05 17:00:00,0.0003648,0.0003671,0.000361,0.0003652,2719447220000.0
2019-08-05 18:00:00,0.000365,0.00037,0.000364,0.0003646,2304200168000.0
