,Open,High,Low,Close,Volume
2020-09-16 04:00:00,20.0,300.0,20.0,189.173,51612685.0
2020-09-16 05:00:00,189.217,190.993,155.0,180.799,10720068.0
2020-09-16 06:00:00,181.985,208.997,137.7,141.67,21213425.0
2020-09-16 07:00:00,141.67,145.5,121.234,128.789,14439083.0
2020-09-16 08:00:00,127.581,135.0,110.902,121.076,17383895.0
2020-09-16 09:00:00,121.076,133.7,116.0,121.392,16330378.0
2020-09-16 10:00:00,120.509,130.89,115.7,119.0,10919615.0
2020-09-16 11:00:00,119.0,124.62,105.22,109.0,11678449.0
2020-09-16 12:00:00,109.5,111.954,90.86,92.13,17719530.0
2020-09-16 13:00:00,92.557,99.808,88.3,90.165,19630470.0
2020-09-16 14:00:00,90.285,96.514,88.88,93.522,9346529.0
2020-09-16 15:00:00,93.502,93.86,73.7,73.7,22412701.0
2020-09-16 16:00:00,73.7,80.5,68.884,69.652,20600590.0
2020-09-16 17:00:00,69.63,71.208,61.0,62.44,28234128.0
2020-09-16 18:00:00,62.612,66.6,57.995,61.648,26742225.0
2020-09-16 19:00:00,61.642,81.293,60.694,76.581,34805080.0
2020-09-16 20:00:00,76.581,76.763,67.88,69.712,28168621.0
2020-09-16 21:00:00,69.852,74.878,66.661,71.499,12484049.0
2020-09-16 22:00:00,71.449,107.193,71.398,102.011,61215323.0
2020-09-16 23:00:00,102.535,120.0,93.0,96.746,70097980.0
2020-09-17 00:00:00,96.945,110.999,83.0,87.551,48630386.0
2020-09-17 01:00:00,87.583,106.0,84.0,92.496,30834989.0
2020-09-17 02:00:00,92.496,107.819,92.496,92.501,23965036.0
2020-09-17 03:00:00,92.501,92.501,73.379,75.755,27143673.0
2020-09-17 04:00:00,75.755,76.967,68.22,71.059,12846805.0
2020-09-17 05:00:00,71.058,75.28,65.514,70.487,13286460.0
2020-09-17 06:00:00,70.604,74.629,66.5,71.608,9915194.0
2020-09-17 07:00:00,71.246,74.4,68.518,70.4,4976026.0
2020-09-17 08:00:00,70.163,71.334,61.709,63.748,10625518.0
2020-09-17 09:00:00,63.748,68.199,62.266,64.008,11631245.0
2020-09-17 10:00:00,63.986,66.0,59.185,61.694,9788637.0
2020-09-17 11:00:00,61.694,65.0,57.337,63.624,8912392.0
2020-09-17 12:00:00,63.624,64.265,60.306,63.626,6194309.0
2020-09-17 13:00:00,63.159,78.009,63.159,70.16,31964895.0
2020-09-17 14:00:00,69.816,74.019,65.845,66.546,11174010.0
2020-09-17 15:00:00,66.6,68.375,63.011,64.721,11859372.0
2020-09-17 16:00:00,64.708,66.022,63.707,64.375,4264118.0
2020-09-17 17:00:00,64.084,64.084,59.718,61.459,8252179.0
2020-09-17 18:00:00,61.507,71.194,61.078,64.2,20205515.0
2020-09-17 19:00:00,64.569,73.145,64.2,70.36,14010918.0
2020-09-17 20:00:00,70.18,70.998,65.523,66.0,4249075.0
2020-09-17 21:00:00,66.474,70.3,65.777,65.797,4242633.0
