,Open,High,Low,Close,Volume
2020-08-28 09:00:00,48.88,53.0,45.736,47.068,1563158.0
2020-08-28 10:00:00,47.068,49.0,45.523,47.652,1468954.0
2020-08-28 11:00:00,47.706,48.997,45.802,46.73,9080902.0
2020-08-28 12:00:00,46.495,48.5,46.485,47.698,2517698.0
2020-08-28 13:00:00,47.773,48.169,47.014,47.502,1442449.0
2020-08-28 14:00:00,47.501,48.499,47.501,47.744,1059260.0
2020-08-28 15:00:00,47.8,48.353,47.31,47.5,1697484.0
2020-08-28 16:00:00,47.309,47.497,46.012,46.619,2211752.0
2020-08-28 17:00:00,46.603,48.0,46.086,47.68,1373035.0
2020-08-28 18:00:00,47.799,49.0,46.706,49.0,3065904.0
2020-08-28 19:00:00,49.0,49.304,47.006,47.64,4393034.0
2020-08-28 20:00:00,47.682,49.082,47.297,48.182,538132.0
2020-08-28 21:00:00,47.9,50.0,47.04,48.55,925666.0
2020-08-28 22:00:00,48.55,49.89,47.348,47.99,872146.0
2020-08-28 23:00:00,48.026,48.424,47.596,47.889,123610.0
2020-08-29 00:00:00,48.04,48.553,47.176,47.449,750736.0
2020-08-29 01:00:00,47.449,48.824,46.886,47.52,3098062.0
2020-08-29 02:00:00,47.503,48.702,47.226,47.358,600269.0
2020-08-29 03:00:00,47.279,48.5,47.0,47.128,367947.0
2020-08-29 04:00:00,47.256,48.3,47.09,47.425,388911.0
2020-08-29 05:00:00,47.297,47.597,46.902,47.128,275217.0
2020-08-29 06:00:00,47.13,47.938,46.967,47.433,412311.0
2020-08-29 07:00:00,47.882,49.499,47.401,47.824,4297004.0
2020-08-29 08:00:00,47.777,48.804,47.5,48.681,306289.0
2020-08-29 09:00:00,48.425,49.089,47.5,48.349,2339481.0
2020-08-29 10:00:00,48.044,49.488,47.864,48.004,1262487.0
2020-08-29 11:00:00,47.888,48.506,47.71,48.012,429941.0
2020-08-29 12:00:00,48.112,48.506,46.68,47.404,1327888.0
2020-08-29 13:00:00,47.379,47.998,46.708,47.267,491368.0
2020-08-29 14:00:00,47.4,47.404,46.283,47.126,896875.0
2020-08-29 15:00:00,47.335,47.479,46.562,47.08,479446.0
