,Open,High,Low,Close,Volume
2022-02-08 07:00:00,0.6868,0.879,0.6868,0.7836,10457748800.0
2022-02-08 08:00:00,0.7836,0.839,0.768,0.8045,5369876300.0
2022-02-08 09:00:00,0.8045,0.8047,0.7605,0.7736,2432862400.0
2022-02-08 10:00:00,0.7732,0.793,0.7508,0.7639,1969755300.0
2022-02-08 11:00:00,0.7625,0.7684,0.7512,0.7537,762286400.0
2022-02-08 12:00:00,0.7533,0.7851,0.73,0.7784,2086183200.0
2022-02-08 13:00:00,0.7789,0.7845,0.735,0.7472,1401098600.0
2022-02-08 14:00:00,0.7479,0.775,0.7468,0.7664,997569000.0
2022-02-08 15:00:00,0.7666,0.7698,0.7235,0.73,1223472700.0
2022-02-08 16:00:00,0.73,0.7529,0.7152,0.736,1631581300.0
2022-02-08 17:00:00,0.736,0.7615,0.7283,0.7356,918854500.0
2022-02-08 18:00:00,0.7365,0.7425,0.6954,0.701,1310271600.0
2022-02-08 19:00:00,0.7011,0.733,0.701,0.7098,961789900.0
2022-02-08 20:00:00,0.7117,0.7127,0.688,0.6925,815286100.0
2022-02-08 21:00:00,0.694,0.755,0.6931,0.7529,1686421900.0
2022-02-08 22:00:00,0.754,0.7714,0.7302,0.7667,1228127600.0
2022-02-08 23:00:00,0.7637,0.7798,0.7421,0.7627,1406560900.0
2022-02-09 00:00:00,0.7647,0.778,0.7479,0.7626,1022380400.0
2022-02-09 01:00:00,0.7625,0.7988,0.7439,0.7967,1615422500.0
2022-02-09 02:00:00,0.7972,0.82,0.7727,0.7839,1421918900.0
2022-02-09 03:00:00,0.7827,0.7869,0.7395,0.7472,858751800.0
2022-02-09 04:00:00,0.7467,0.7546,0.7394,0.7462,245954700.0
2022-02-09 05:00:00,0.7461,0.7516,0.74,0.7444,187417800.0
2022-02-09 06:00:00,0.7447,0.7461,0.7258,0.7343,473963700.0
2022-02-09 07:00:00,0.7343,0.7411,0.7297,0.7409,324000500.0
2022-02-09 08:00:00,0.7405,0.7416,0.7262,0.7361,237834200.0
2022-02-09 09:00:00,0.7341,0.7362,0.7166,0.7189,424548500.0
2022-02-09 10:00:00,0.7189,0.7308,0.718,0.719,399187800.0
2022-02-09 11:00:00,0.719,0.7298,0.7121,0.7247,428987000.0
2022-02-09 12:00:00,0.7245,0.7392,0.718,0.7321,480666700.0
2022-02-09 13:00:00,0.7332,0.7641,0.7271,0.7628,1005350700.0
2022-02-09 14:00:00,0.7627,0.7627,0.7336,0.7367,864574800.0
2022-02-09 15:00:00,0.7365,0.7488,0.7365,0.746,314152600.0
2022-02-09 16:00:00,0.7469,0.7484,0.7322,0.7344,472345000.0
2022-02-09 17:00:00,0.7336,0.745,0.7278,0.7418,375144800.0
2022-02-09 18:00:00,0.7414,0.7592,0.7306,0.7404,908464000.0
2022-02-09 19:00:00,0.7406,0.7477,0.7262,0.7477,413997800.0
2022-02-09 20:00:00,0.7479,0.76,0.7413,0.7522,442381400.0
2022-02-09 21:00:00,0.7545,0.76,0.7417,0.7594,406291600.0
2022-02-09 22:00:00,0.7593,0.7593,0.7393,0.7394,291481100.0
2022-02-09 23:00:00,0.7395,0.7473,0.7353,0.7452,202323100.0
2022-02-10 00:00:00,0.745,0.7472,0.7291,0.7329,303449500.0
2022-02-10 01:00:00,0.7329,0.7355,0.7104,0.7147,483380700.0
2022-02-10 02:00:00,0.7148,0.7222,0.7116,0.7213,192879400.0
2022-02-10 03:00:00,0.7204,0.723,0.7027,0.7028,600056600.0
2022-02-10 04:00:00,0.7028,0.7054,0.6993,0.6996,315454500.0
2022-02-10 05:00:00,0.6999,0.7047,0.6962,0.7023,238169600.0
2022-02-10 06:00:00,0.7021,0.715,0.7,0.7098,275359700.0
2022-02-10 07:00:00,0.7098,0.73,0.7007,0.7233,415342900.0
2022-02-10 08:00:00,0.7235,0.7243,0.7058,0.7108,413348200.0
2022-02-10 09:00:00,0.7115,0.7154,0.7051,0.706,156207100.0
2022-02-10 10:00:00,0.7061,0.737,0.7021,0.7264,625605800.0
2022-02-10 11:00:00,0.7245,0.7399,0.7238,0.7276,367426500.0
2022-02-10 12:00:00,0.7276,0.74,0.716,0.7231,776316400.0
2022-02-10 13:00:00,0.7231,0.7293,0.7124,0.7178,303053600.0
2022-02-10 14:00:00,0.7178,0.7236,0.67,0.6801,1654646300.0
2022-02-10 15:00:00,0.6801,0.7035,0.6593,0.7035,773553400.0
