,Open,High,Low,Close,Volume
2020-11-24 14:00:00,0.1437,0.18,0.1437,0.1587,1145291130.0
2020-11-24 15:00:00,0.1577,0.1578,0.1505,0.1533,306567140.0
2020-11-24 16:00:00,0.1545,0.1637,0.1525,0.1616,331470880.0
2020-11-24 17:00:00,0.1612,0.2,0.1599,0.1647,1242820590.0
2020-11-24 18:00:00,0.1641,0.1675,0.1601,0.1611,511905030.0
2020-11-24 19:00:00,0.1612,0.1629,0.16,0.1613,286598520.0
2020-11-24 20:00:00,0.1615,0.1664,0.1615,0.1646,396460620.0
2020-11-24 21:00:00,0.1645,0.1657,0.1627,0.1644,140822340.0
2020-11-24 22:00:00,0.1644,0.1675,0.1521,0.1597,593140520.0
2020-11-24 23:00:00,0.1596,0.1637,0.1581,0.1637,149999590.0
2020-11-25 00:00:00,0.1637,0.1665,0.1627,0.1657,103067810.0
2020-11-25 01:00:00,0.1657,0.2172,0.1655,0.1925,7583427800.0
2020-11-25 02:00:00,0.1929,0.209,0.1911,0.1958,4483169310.0
2020-11-25 03:00:00,0.1956,0.1995,0.1779,0.1853,2094498840.0
2020-11-25 04:00:00,0.186,0.1979,0.1781,0.1801,1834908250.0
2020-11-25 05:00:00,0.1801,0.1911,0.1756,0.1766,1929898500.0
2020-11-25 06:00:00,0.1765,0.1866,0.1758,0.1857,983004650.0
2020-11-25 07:00:00,0.1853,0.1858,0.1789,0.1816,448412380.0
2020-11-25 08:00:00,0.1819,0.1918,0.1807,0.1915,1257191440.0
2020-11-25 09:00:00,0.1915,0.1923,0.1856,0.1891,761649780.0
2020-11-25 10:00:00,0.1882,0.198,0.1855,0.1923,1370517610.0
2020-11-25 11:00:00,0.1925,0.1974,0.188,0.1933,973655420.0
2020-11-25 12:00:00,0.1933,0.21,0.1906,0.1991,2804748280.0
2020-11-25 13:00:00,0.1994,0.2022,0.1932,0.2,1246402160.0
2020-11-25 14:00:00,0.1993,0.2,0.1863,0.1906,1918568690.0
2020-11-25 15:00:00,0.1911,0.1962,0.189,0.1956,756691800.0
2020-11-25 16:00:00,0.1956,0.203,0.1944,0.201,1286066040.0
2020-11-25 17:00:00,0.201,0.2027,0.1923,0.198,1260795380.0
2020-11-25 18:00:00,0.1987,0.1993,0.1835,0.1926,1284648790.0
2020-11-25 19:00:00,0.1931,0.197,0.1911,0.1931,346793500.0
2020-11-25 20:00:00,0.1931,0.1937,0.1872,0.189,654056380.0
2020-11-25 21:00:00,0.189,0.1894,0.1748,0.1818,1029532980.0
2020-11-25 22:00:00,0.1818,0.1867,0.18,0.1849,534580260.0
2020-11-25 23:00:00,0.1839,0.1857,0.1735,0.1777,800478820.0
2020-11-26 00:00:00,0.1778,0.202,0.15,0.1831,7177492900.0
2020-11-26 01:00:00,0.1826,0.188,0.1751,0.185,1002593690.0
2020-11-26 02:00:00,0.1851,0.1868,0.1743,0.1838,2659923270.0
2020-11-26 03:00:00,0.1835,0.184,0.165,0.175,1609943080.0
2020-11-26 04:00:00,0.1749,0.1876,0.151,0.1793,1924114340.0
2020-11-26 05:00:00,0.1793,0.1822,0.1644,0.1691,1144040980.0
2020-11-26 06:00:00,0.1692,0.2,0.1676,0.1828,1076715090.0
2020-11-26 07:00:00,0.1828,0.1954,0.175,0.1786,2222808080.0
2020-11-26 08:00:00,0.1788,0.1788,0.156,0.1643,1535917840.0
2020-11-26 09:00:00,0.1642,0.1667,0.1419,0.1518,2286072660.0
2020-11-26 10:00:00,0.1516,0.161,0.1481,0.161,1306106010.0
2020-11-26 11:00:00,0.1604,0.1659,0.1575,0.1651,878360590.0
2020-11-26 12:00:00,0.1651,0.175,0.1542,0.1591,1902001980.0
2020-11-26 13:00:00,0.1595,0.1636,0.154,0.1597,500021920.0
2020-11-26 14:00:00,0.1603,0.1613,0.1543,0.1545,283849230.0
2020-11-26 15:00:00,0.1547,0.1555,0.1472,0.1504,546758470.0
2020-11-26 16:00:00,0.1508,0.1605,0.1497,0.1515,1520664730.0
2020-11-26 17:00:00,0.1505,0.1597,0.1441,0.1467,623478200.0
2020-11-26 18:00:00,0.1462,0.1568,0.1425,0.151,747513870.0
