,Open,High,Low,Close,Volume
2019-03-15 05:00:00,51.99,52.0,51.03,52.0,510142.13999999996
2019-03-15 06:00:00,51.95,52.0,50.98,50.99,203003.51
2019-03-15 07:00:00,50.99,51.8,50.87,50.87,385021.69
2019-03-15 08:00:00,50.85,51.02,50.85,51.02,71117.45000000001
2019-03-15 09:00:00,51.02,51.24,50.9,51.0,47242.77
2019-03-15 10:00:00,51.0,51.25,51.0,51.25,140019.62
2019-03-15 11:00:00,51.31,51.63,51.13,51.34,59499.1
2019-03-15 12:00:00,51.33,51.68,51.33,51.68,116403.36
2019-03-15 13:00:00,51.59,51.59,51.25,51.41,75914.13
2019-03-15 14:00:00,51.42,51.67,48.67,51.19,1586498.91
2019-03-15 15:00:00,51.42,51.42,51.0,51.08,261125.38999999998
2019-03-15 16:00:00,51.08,51.88,51.0,51.76,523090.23000000004
2019-03-15 17:00:00,51.76,52.15,51.62,51.73,160997.6
2019-03-15 18:00:00,51.99,52.15,51.8,52.09,177783.83
2019-03-15 19:00:00,51.8,51.98,51.65,51.98,48355.780000000006
2019-03-15 20:00:00,52.12,52.22,52.12,52.13,82079.69
2019-03-15 21:00:00,52.17,52.19,51.77,51.82,141918.24
2019-03-15 22:00:00,51.97,51.97,51.65,51.82,133958.53
2019-03-15 23:00:00,51.82,52.08,51.82,51.87,120963.5
2019-03-16 00:00:00,52.05,52.1,51.84,52.1,63402.23
2019-03-16 01:00:00,52.1,52.45,52.1,52.38,116940.20000000001
2019-03-16 02:00:00,52.38,52.66,52.36,52.63,189225.12
2019-03-16 03:00:00,52.53,52.77,52.49,52.63,166693.04
2019-03-16 04:00:00,52.63,53.08,52.63,52.72,811690.22
2019-03-16 05:00:00,52.83,53.78,52.83,53.63,784014.7100000001
2019-03-16 06:00:00,53.67,54.21,53.67,54.02,250832.73
2019-03-16 07:00:00,54.2,54.24,53.72,53.81,648199.2699999999
2019-03-16 08:00:00,53.7,54.01,53.62,53.8,118672.07999999999
2019-03-16 09:00:00,53.71,53.81,53.17,53.77,326083.84
2019-03-16 10:00:00,53.73,53.99,53.56,53.95,57521.9
2019-03-16 11:00:00,53.95,54.89,53.6,54.08,834009.59
2019-03-16 12:00:00,54.08,54.21,53.78,53.9,247973.49
2019-03-16 13:00:00,53.9,53.99,52.75,53.26,381879.01
2019-03-16 14:00:00,53.02,53.42,52.87,53.38,253903.68000000002
2019-03-16 15:00:00,53.12,54.13,53.12,53.77,509177.57
