,Open,High,Low,Close,Volume
2020-09-11 09:00:00,10.0,10.085,9.909,10.001,51660.0
2020-09-11 10:00:00,10.01,10.01,10.0,10.0,33620.0
2020-09-11 11:00:00,9.909,9.909,9.891,9.891,41940.0
2020-09-11 12:00:00,9.86,9.99,9.86,9.99,20080.0
2020-09-11 13:00:00,9.99,9.99,9.99,9.99,2420.0
2020-09-11 14:00:00,9.99,9.99,9.99,9.99,0.0
2020-09-11 15:00:00,9.99,10.052,9.99,10.052,10000.0
2020-09-11 16:00:00,9.952,9.952,9.952,9.952,13360.0
2020-09-11 17:00:00,9.999,10.0,9.999,10.0,71380.0
2020-09-11 18:00:00,10.0,10.0,10.0,10.0,0.0
2020-09-11 19:00:00,10.068,10.068,10.068,10.068,1200.0
2020-09-11 20:00:00,10.068,10.068,10.068,10.068,0.0
2020-09-11 21:00:00,9.811,9.857,9.772,9.857,80230.0
2020-09-11 22:00:00,9.816,9.889,9.816,9.889,10330.0
2020-09-11 23:00:00,9.889,9.889,9.889,9.889,0.0
2020-09-12 00:00:00,9.794,9.857,9.794,9.857,201540.0
2020-09-12 01:00:00,9.909,9.909,9.909,9.909,50200.0
2020-09-12 02:00:00,9.927,9.966,9.814,9.952,251640.0
2020-09-12 03:00:00,9.865,9.865,9.864,9.864,2530.0
2020-09-12 04:00:00,9.937,9.937,9.937,9.937,1210.0
2020-09-12 05:00:00,9.942,9.942,9.942,9.942,1510.0
2020-09-12 06:00:00,9.942,9.942,9.942,9.942,0.0
2020-09-12 12:00:00,9.946,9.946,9.946,9.946,10000.0
2020-09-12 13:00:00,9.946,9.946,9.946,9.946,0.0
2020-09-12 14:00:00,9.92,9.996,9.92,9.996,105740.0
2020-09-12 15:00:00,9.976,10.112,9.976,10.112,25290.0
2020-09-12 16:00:00,10.07,10.07,9.947,9.947,3600.0
2020-09-12 17:00:00,9.894,9.935,9.894,9.935,13150.0
2020-09-12 18:00:00,9.935,9.935,9.935,9.935,0.0
2020-09-12 19:00:00,9.896,9.896,9.795,9.795,31720.0
2020-09-12 20:00:00,9.795,9.813,9.377,9.377,386880.0
2020-09-12 21:00:00,9.408,9.48,9.293,9.293,48270.0
2020-09-12 22:00:00,9.345,9.356,9.345,9.356,11490.0
2020-09-12 23:00:00,9.37,9.37,9.326,9.326,12280.0
2020-09-13 00:00:00,9.439,9.439,9.354,9.366,618130.0
2020-09-13 01:00:00,9.366,9.366,9.366,9.366,0.0
2020-09-13 02:00:00,9.285,9.431,9.285,9.358,112340.0
2020-09-13 03:00:00,9.358,9.358,9.358,9.358,0.0
2020-09-13 05:00:00,9.224,9.224,8.842,8.842,334970.0
2020-09-13 06:00:00,8.904,8.974,8.904,8.974,57190.0
2020-09-13 07:00:00,8.974,8.974,8.974,8.974,0.0
2020-09-13 08:00:00,9.016,9.016,8.937,8.977,6890.0
2020-09-13 09:00:00,8.948,8.948,8.948,8.948,300000.0
2020-09-13 10:00:00,8.948,8.948,8.948,8.948,1930.0
2020-09-13 11:00:00,9.153,9.195,9.153,9.195,2640.0
2020-09-13 12:00:00,9.195,9.195,9.195,9.195,0.0
2020-09-13 13:00:00,9.391,9.545,9.391,9.545,3820.0
2020-09-13 14:00:00,9.751,9.9,9.658,9.9,739670.0
2020-09-13 15:00:00,10.07,10.07,9.833,9.833,7430.0
2020-09-13 17:00:00,9.8,10.088,9.8,10.088,210470.0
2020-09-13 18:00:00,10.134,10.37,10.113,10.37,422390.0
2020-09-13 19:00:00,10.289,10.309,10.124,10.124,441390.0
2020-09-13 20:00:00,10.124,10.124,10.124,10.124,0.0
2020-09-13 22:00:00,10.1,10.1,10.08,10.08,199190.0
2020-09-13 23:00:00,10.059,10.104,10.027,10.028,14040.0
2020-09-14 00:00:00,10.009,10.009,9.989,9.989,3580.0
2020-09-14 01:00:00,9.989,9.989,9.989,9.989,0.0
2020-09-14 02:00:00,10.044,10.182,10.044,10.162,1092290.0
2020-09-14 03:00:00,9.946,9.946,9.946,9.946,1010.0
2020-09-14 04:00:00,9.874,9.89,9.813,9.89,7090.0
2020-09-14 05:00:00,9.89,9.89,9.89,9.89,0.0
2020-09-14 06:00:00,9.979,9.979,9.979,9.979,186900.0
2020-09-14 07:00:00,9.89,9.89,9.89,9.89,12000.0
2020-09-14 08:00:00,9.823,9.823,9.636,9.688,7090.0
2020-09-14 09:00:00,9.688,9.688,9.598,9.598,4590.0
2020-09-14 10:00:00,9.639,9.738,9.639,9.738,3230.0
2020-09-14 11:00:00,9.852,9.956,9.851,9.95,18270.0
2020-09-14 12:00:00,9.739,9.739,9.738,9.738,7620.0
2020-09-14 13:00:00,9.758,9.758,9.738,9.738,36230.0
2020-09-14 14:00:00,9.584,9.738,9.584,9.738,930360.0
2020-09-14 15:00:00,9.679,9.679,9.408,9.566,1723980.0
2020-09-14 16:00:00,9.514,9.514,9.514,9.514,2090.0
2020-09-14 17:00:00,9.471,9.471,9.315,9.327,875730.0
2020-09-14 18:00:00,9.327,9.462,9.275,9.359,80890.0
2020-09-14 19:00:00,9.442,9.517,9.442,9.517,2480.0
2020-09-14 20:00:00,9.473,9.596,9.473,9.596,21570.0
2020-09-14 21:00:00,9.596,9.596,9.596,9.596,4059.9999999999995
2020-09-14 22:00:00,9.431,9.558,9.431,9.558,6300.0
2020-09-14 23:00:00,9.443,9.443,9.443,9.443,10060.0
2020-09-15 00:00:00,9.545,9.545,9.526,9.526,16350.000000000002
2020-09-15 01:00:00,9.601,9.601,9.601,9.601,9700.0
2020-09-15 02:00:00,9.516,9.516,9.516,9.516,1260.0
2020-09-15 03:00:00,9.516,9.516,9.516,9.516,0.0
2020-09-15 04:00:00,9.343,9.343,9.238,9.311,16149.999999999998
2020-09-15 05:00:00,9.352,9.352,9.332,9.332,2690.0
2020-09-15 06:00:00,9.414,9.414,9.413,9.413,4260.0
2020-09-15 07:00:00,9.383,9.383,9.383,9.383,9300.0
2020-09-15 08:00:00,9.476,9.476,9.476,9.476,1270.0
2020-09-15 09:00:00,9.476,9.476,9.476,9.476,0.0
2020-09-15 10:00:00,9.438,9.917,9.438,9.771,108040.0
2020-09-15 11:00:00,9.643,9.691,9.643,9.691,256630.0
2020-09-15 12:00:00,9.593,9.593,9.396,9.396,6960.0
2020-09-15 13:00:00,9.383,9.418,9.333,9.354,39140.0
2020-09-15 14:00:00,9.366,9.387,9.248,9.314,82760.0
2020-09-15 15:00:00,9.49,9.509,9.467,9.509,54230.0
2020-09-15 16:00:00,9.519,9.7,9.447,9.7,1195800.0
2020-09-15 17:00:00,9.653,9.781,9.653,9.771,1681820.0
2020-09-15 18:00:00,9.614,9.624,9.614,9.624,25700.0
2020-09-15 19:00:00,9.624,9.624,9.624,9.624,0.0
2020-09-15 22:00:00,9.8,9.8,9.8,9.8,101930.0
2020-09-16 00:00:00,9.617,9.722,9.617,9.722,22020.0
2020-09-16 01:00:00,9.84,9.851,9.84,9.851,3240.0
2020-09-16 02:00:00,9.88,10.721,9.88,10.576,138130.0
2020-09-16 03:00:00,10.368,10.368,10.368,10.368,43920.0
