,Open,High,Low,Close,Volume
2020-08-07 09:00:00,10.0,10.18,10.0,10.09,5920.0
2020-08-07 10:00:00,10.09,10.09,9.83,9.83,5540.0
2020-08-07 11:00:00,9.83,9.83,9.83,9.83,0.0
2020-08-07 13:00:00,10.16,10.16,10.16,10.16,1670.0
2020-08-07 14:00:00,10.16,10.16,10.16,10.16,0.0
2020-08-07 16:00:00,10.84,10.84,10.84,10.84,1670.0
2020-08-07 17:00:00,10.84,10.84,10.84,10.84,0.0
2020-08-07 19:00:00,11.0,12.3,11.0,11.78,11727760.0
2020-08-07 20:00:00,12.06,12.06,11.06,11.06,814150.0
2020-08-07 21:00:00,10.79,10.79,10.49,10.49,14890.0
2020-08-07 22:00:00,10.49,10.49,10.49,10.49,0.0
2020-08-07 23:00:00,10.49,10.49,10.49,10.49,4750.0
2020-08-08 00:00:00,10.49,10.49,10.49,10.49,6700.0
2020-08-08 01:00:00,10.64,10.64,10.4,10.4,20240.0
2020-08-08 02:00:00,10.8,10.8,10.8,10.8,15470.0
2020-08-08 03:00:00,10.52,10.52,10.35,10.35,202240.0
2020-08-08 04:00:00,10.35,10.35,10.35,10.35,0.0
2020-08-08 06:00:00,10.35,10.45,10.35,10.45,329080.0
2020-08-08 07:00:00,10.63,10.63,10.35,10.4,30950.0
2020-08-08 08:00:00,10.4,10.49,10.4,10.49,27230.0
2020-08-08 11:00:00,10.4,10.4,10.34,10.34,2890.0
2020-08-08 12:00:00,10.14,10.14,10.13,10.13,448380.0
2020-08-08 13:00:00,10.0,10.0,10.0,10.0,2000.0
2020-08-08 14:00:00,10.0,10.0,10.0,10.0,0.0
2020-08-08 16:00:00,10.25,10.25,10.21,10.21,91490.0
2020-08-08 17:00:00,10.03,10.03,9.53,9.53,149870.0
2020-08-08 18:00:00,9.8,10.04,8.88,8.88,2101070.0
2020-08-08 19:00:00,9.36,9.36,8.99,8.99,440430.0
2020-08-08 20:00:00,9.0,9.35,9.0,9.13,100710.0
2020-08-08 21:00:00,8.89,8.89,7.69,7.92,3833690.0
2020-08-08 22:00:00,8.0,8.15,7.45,7.45,7066360.0
2020-08-08 23:00:00,7.85,7.94,7.69,7.94,205620.0
2020-08-09 00:00:00,8.08,8.43,8.0,8.12,546240.0
2020-08-09 01:00:00,7.96,8.2,7.88,8.04,31130.0
2020-08-09 02:00:00,8.23,8.56,8.23,8.5,554140.0
2020-08-09 03:00:00,8.46,8.46,8.15,8.15,1509400.0
2020-08-09 04:00:00,8.27,8.28,8.27,8.27,52450.0
2020-08-09 05:00:00,8.12,8.33,8.08,8.09,501040.0
2020-08-09 06:00:00,8.0,8.0,7.8,7.93,316120.0
2020-08-09 07:00:00,8.02,8.02,8.02,8.02,2000.0
2020-08-09 08:00:00,8.02,8.06,7.95,7.95,51450.0
2020-08-09 09:00:00,7.92,7.92,7.71,7.8,86400.0
2020-08-09 10:00:00,7.75,7.75,7.15,7.21,539610.0
2020-08-09 11:00:00,7.25,7.27,6.87,7.14,1532820.0
2020-08-09 12:00:00,7.24,7.5,7.19,7.19,452410.0
2020-08-09 13:00:00,7.06,7.06,7.02,7.02,120600.0
2020-08-09 14:00:00,7.25,7.71,7.14,7.71,6368040.0
2020-08-09 15:00:00,7.84,7.94,7.43,7.83,2306590.0
2020-08-09 16:00:00,7.83,8.17,7.72,7.95,994570.0
2020-08-09 17:00:00,7.9,7.9,7.44,7.51,254240.0
